Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №23																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №8050	УИК №8317									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1207	9	16	10	15	6	7	14	15	20	13	23	13	35	13	16	17	14	26	17	17	16	18	18	32	22	13	33	17	18	15	16	16	19	14	20	4	16	16	12	10	11	11	24	22	21	19	15	17	14	13	20	25	24	18	19	25	14	22	20	12	16	14	20	15	24	19	5	7	27	33									
		2.81%	1.86%	3.11%	1.70%	2.74%	1.79%	1.35%	3.53%	2.65%	4.71%	2.71%	4.45%	2.35%	5.38%	3.02%	2.33%	2.55%	1.87%	3.31%	2.47%	2.19%	3.14%	2.69%	3.26%	4.05%	1.85%	2.86%	6.33%	2.56%	3.23%	2.58%	2.24%	2.82%	2.81%	2.56%	2.99%	0.86%	2.94%	2.68%	2.13%	1.77%	2.27%	2.06%	3.61%	2.66%	2.60%	2.34%	2.55%	2.72%	2.24%	2.24%	2.69%	3.84%	3.20%	2.92%	3.68%	3.42%	2.26%	3.57%	3.40%	2.04%	2.23%	2.66%	3.12%	2.51%	3.25%	2.88%	1.34%	1.33%	2.85%	5.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	533	3	5	6	6	7	9	7	3	4	7	9	3	8	1	8	15	13	10	9	6	9	6	7	11	22	4	3	10	9	12	13	4	6	8	6	9	7	10	9	4	5	4	6	8	10	8	8	6	7	6	9	8	4	11	7	11	7	7	5	12	13	4	5	6	10	4	4	7	17	6									
		1.24%	0.62%	0.97%	1.02%	1.09%	2.09%	1.74%	1.76%	0.53%	0.94%	1.46%	1.74%	0.54%	1.23%	0.23%	1.16%	2.25%	1.74%	1.27%	1.31%	0.77%	1.77%	0.90%	1.27%	1.39%	1.85%	0.88%	0.58%	1.51%	1.62%	2.06%	1.82%	0.71%	0.89%	1.46%	0.90%	1.93%	1.29%	1.68%	1.60%	0.71%	1.03%	0.75%	0.90%	0.97%	1.24%	0.98%	1.36%	0.96%	1.12%	1.03%	1.21%	1.23%	0.53%	1.79%	1.36%	1.51%	1.13%	1.13%	0.85%	2.04%	1.81%	0.76%	0.78%	1.00%	1.36%	0.61%	1.07%	1.33%	1.79%	1.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	968	4	16	9	10	16	9	10	23	9	11	23	4	18	10	15	10	17	28	16	24	6	24	16	19	18	13	6	13	19	14	15	6	13	7	7	13	11	11	7	14	14	11	20	15	16	27	11	11	2	9	21	15	16	19	14	19	10	19	15	13	12	11	15	14	24	16	7	5	19	14									
		2.25%	0.82%	3.11%	1.53%	1.82%	4.78%	1.74%	2.52%	4.06%	2.12%	2.29%	4.45%	0.72%	2.76%	2.32%	2.18%	1.50%	2.27%	3.57%	2.32%	3.09%	1.18%	3.59%	2.90%	2.41%	1.51%	2.86%	1.15%	1.96%	3.41%	2.41%	2.10%	1.06%	1.93%	1.28%	1.04%	2.78%	2.02%	1.84%	1.24%	2.47%	2.89%	2.06%	3.01%	1.81%	1.98%	3.32%	1.87%	1.76%	0.32%	1.55%	2.83%	2.30%	2.13%	3.08%	2.71%	2.60%	1.62%	3.08%	2.55%	2.21%	1.67%	2.09%	2.34%	2.34%	3.25%	2.42%	1.88%	0.95%	2.00%	2.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16635	302	204	250	242	100	205	138	222	175	177	178	214	215	190	269	282	258	263	251	334	201	231	228	273	391	172	213	261	218	210	268	210	272	201	335	173	215	221	238	215	173	221	265	336	277	288	202	239	255	230	267	188	255	224	182	272	216	208	228	222	249	187	242	223	228	237	184	276	613	233									
		38.67%	62.27%	39.69%	42.52%	44.16%	29.85%	39.65%	34.76%	39.15%	41.18%	36.88%	34.43%	38.70%	33.03%	44.08%	39.16%	42.34%	34.49%	33.50%	36.43%	43.04%	39.49%	34.58%	41.30%	34.56%	32.86%	37.80%	40.88%	39.37%	39.14%	36.08%	37.48%	37.04%	40.30%	36.75%	50.00%	37.04%	39.52%	37.02%	42.27%	37.99%	35.67%	41.31%	39.91%	40.63%	34.24%	35.42%	34.30%	38.30%	40.80%	39.59%	35.94%	28.88%	33.95%	36.36%	35.27%	37.26%	34.89%	33.71%	38.71%	37.82%	34.68%	35.55%	37.75%	37.29%	30.89%	35.91%	49.33%	52.57%	64.59%	41.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	578	0	9	12	9	2	6	5	13	2	3	7	8	8	4	5	4	17	13	8	11	9	7	3	9	30	6	6	9	7	7	10	6	11	4	4	5	6	12	5	6	7	8	11	19	16	8	8	6	8	7	7	13	5	8	10	10	9	11	11	10	10	3	9	10	12	10	4	3	10	7									
		1.34%	0.00%	1.75%	2.04%	1.64%	0.60%	1.16%	1.26%	2.29%	0.47%	0.63%	1.35%	1.45%	1.23%	0.93%	0.73%	0.60%	2.27%	1.66%	1.16%	1.42%	1.77%	1.05%	0.54%	1.14%	2.52%	1.32%	1.15%	1.36%	1.26%	1.20%	1.40%	1.06%	1.63%	0.73%	0.60%	1.07%	1.10%	2.01%	0.89%	1.06%	1.44%	1.50%	1.66%	2.30%	1.98%	0.98%	1.36%	0.96%	1.28%	1.20%	0.94%	1.99%	0.67%	1.30%	1.94%	1.37%	1.45%	1.78%	1.87%	1.70%	1.39%	0.57%	1.40%	1.67%	1.63%	1.52%	1.07%	0.57%	1.05%	1.25%									
24	"6. Политическая партия ""Гражданская Платформа"""	124	1	1	4	0	0	3	1	1	0	0	0	1	0	1	3	1	2	2	2	3	0	2	1	2	29	0	1	0	0	1	3	2	3	2	3	2	0	2	3	1	1	2	3	0	1	0	4	1	1	2	1	2	1	2	2	1	0	3	1	0	0	1	2	1	1	2	0	2	2	2									
		0.29%	0.21%	0.19%	0.68%	0.00%	0.00%	0.58%	0.25%	0.18%	0.00%	0.00%	0.00%	0.18%	0.00%	0.23%	0.44%	0.15%	0.27%	0.25%	0.29%	0.39%	0.00%	0.30%	0.18%	0.25%	2.44%	0.00%	0.19%	0.00%	0.00%	0.17%	0.42%	0.35%	0.44%	0.37%	0.45%	0.43%	0.00%	0.34%	0.53%	0.18%	0.21%	0.37%	0.45%	0.00%	0.12%	0.00%	0.68%	0.16%	0.16%	0.34%	0.13%	0.31%	0.13%	0.32%	0.39%	0.14%	0.00%	0.49%	0.17%	0.00%	0.00%	0.19%	0.31%	0.17%	0.14%	0.30%	0.00%	0.38%	0.21%	0.36%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4945	33	62	82	51	45	75	59	81	48	44	60	55	80	61	62	74	83	108	76	106	76	77	59	93	153	71	54	64	86	80	75	65	77	72	54	66	64	69	65	73	68	57	76	89	102	71	106	80	65	66	77	83	92	53	61	74	62	70	66	55	95	64	60	75	82	57	65	49	53	34									
		11.50%	6.80%	12.06%	13.95%	9.31%	13.43%	14.51%	14.86%	14.29%	11.29%	9.17%	11.61%	9.95%	12.29%	14.15%	9.02%	11.11%	11.10%	13.76%	11.03%	13.66%	14.93%	11.53%	10.69%	11.77%	12.86%	15.60%	10.36%	9.65%	15.44%	13.75%	10.49%	11.46%	11.41%	13.16%	8.06%	14.13%	11.76%	11.56%	11.55%	12.90%	14.02%	10.65%	11.45%	10.76%	12.61%	8.73%	17.99%	12.82%	10.40%	11.36%	10.36%	12.75%	12.25%	8.60%	11.82%	10.14%	10.02%	11.35%	11.21%	9.37%	13.23%	12.17%	9.36%	12.54%	11.11%	8.64%	17.43%	9.33%	5.58%	6.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	936	16	9	16	11	6	12	3	10	11	6	16	9	20	6	13	13	12	20	18	9	5	17	11	21	27	9	11	10	8	12	15	6	10	11	10	18	31	13	8	14	9	14	9	20	10	22	15	13	17	10	13	15	19	13	3	9	9	11	10	14	10	13	21	10	15	16	2	26	26	39									
		2.18%	3.30%	1.75%	2.72%	2.01%	1.79%	2.32%	0.76%	1.76%	2.59%	1.25%	3.09%	1.63%	3.07%	1.39%	1.89%	1.95%	1.60%	2.55%	2.61%	1.16%	0.98%	2.54%	1.99%	2.66%	2.27%	1.98%	2.11%	1.51%	1.44%	2.06%	2.10%	1.06%	1.48%	2.01%	1.49%	3.85%	5.70%	2.18%	1.42%	2.47%	1.86%	2.62%	1.36%	2.42%	1.24%	2.71%	2.55%	2.08%	2.72%	1.72%	1.75%	2.30%	2.53%	2.11%	0.58%	1.23%	1.45%	1.78%	1.70%	2.39%	1.39%	2.47%	3.28%	1.67%	2.03%	2.42%	0.54%	4.95%	2.74%	6.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	5069	37	57	49	58	35	47	51	62	43	73	59	70	95	46	91	89	84	89	92	94	57	87	56	111	199	51	46	83	50	68	99	69	104	64	51	46	42	77	54	83	59	59	81	79	113	111	64	65	85	74	101	81	99	69	81	93	89	79	69	86	112	70	90	66	103	89	18	21	26	19									
		11.78%	7.63%	11.09%	8.33%	10.58%	10.45%	9.09%	12.85%	10.93%	10.12%	15.21%	11.41%	12.66%	14.59%	10.67%	13.25%	13.36%	11.23%	11.34%	13.35%	12.11%	11.20%	13.02%	10.14%	14.05%	16.72%	11.21%	8.83%	12.52%	8.98%	11.68%	13.85%	12.17%	15.41%	11.70%	7.61%	9.85%	7.72%	12.90%	9.59%	14.66%	12.16%	11.03%	12.20%	9.55%	13.97%	13.65%	10.87%	10.42%	13.60%	12.74%	13.59%	12.44%	13.18%	11.20%	15.70%	12.74%	14.38%	12.80%	11.71%	14.65%	15.60%	13.31%	14.04%	11.04%	13.96%	13.48%	4.83%	4.00%	2.74%	3.39%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	111	0	0	1	1	1	0	1	0	5	1	0	1	1	1	2	0	0	2	1	6	0	1	2	5	3	1	2	1	1	5	2	4	2	3	3	0	2	0	3	1	1	8	1	0	1	1	2	1	1	0	3	2	2	1	0	2	3	1	0	2	7	0	1	1	0	1	2	0	2	0									
		0.26%	0.00%	0.00%	0.17%	0.18%	0.30%	0.00%	0.25%	0.00%	1.18%	0.21%	0.00%	0.18%	0.15%	0.23%	0.29%	0.00%	0.00%	0.25%	0.15%	0.77%	0.00%	0.15%	0.36%	0.63%	0.25%	0.22%	0.38%	0.15%	0.18%	0.86%	0.28%	0.71%	0.30%	0.55%	0.45%	0.00%	0.37%	0.00%	0.53%	0.18%	0.21%	1.50%	0.15%	0.00%	0.12%	0.12%	0.34%	0.16%	0.16%	0.00%	0.40%	0.31%	0.27%	0.16%	0.00%	0.27%	0.48%	0.16%	0.00%	0.34%	0.97%	0.00%	0.16%	0.17%	0.00%	0.15%	0.54%	0.00%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3531	32	36	42	37	40	24	30	33	37	37	35	39	40	16	50	49	85	71	61	43	25	64	46	64	73	33	39	54	39	38	48	53	39	34	56	40	29	70	40	50	29	31	53	80	59	76	43	54	69	62	73	63	66	60	51	73	66	48	45	62	49	50	60	40	77	67	17	66	65	106									
		8.21%	6.60%	7.00%	7.14%	6.75%	11.94%	4.64%	7.56%	5.82%	8.71%	7.71%	6.77%	7.05%	6.14%	3.71%	7.28%	7.36%	11.36%	9.04%	8.85%	5.54%	4.91%	9.58%	8.33%	8.10%	6.13%	7.25%	7.49%	8.14%	7.00%	6.53%	6.71%	9.35%	5.78%	6.22%	8.36%	8.57%	5.33%	11.73%	7.10%	8.83%	5.98%	5.79%	7.98%	9.67%	7.29%	9.35%	7.30%	8.65%	11.04%	10.67%	9.83%	9.68%	8.79%	9.74%	9.88%	10.00%	10.66%	7.78%	7.64%	10.56%	6.82%	9.51%	9.36%	6.69%	10.43%	10.15%	4.56%	12.57%	6.85%	18.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5135	27	53	64	73	44	62	47	53	41	69	70	73	63	47	87	78	108	92	87	64	62	88	55	96	142	51	73	85	68	51	85	80	70	86	69	53	64	56	62	60	75	53	63	102	90	120	75	85	70	66	109	103	114	89	49	97	87	86	77	67	100	78	74	88	86	96	26	35	65	52									
		11.94%	5.57%	10.31%	10.88%	13.32%	13.13%	11.99%	11.84%	9.35%	9.65%	14.38%	13.54%	13.20%	9.68%	10.90%	12.66%	11.71%	14.44%	11.72%	12.63%	8.25%	12.18%	13.17%	9.96%	12.15%	11.93%	11.21%	14.01%	12.82%	12.21%	8.76%	11.89%	14.11%	10.37%	15.72%	10.30%	11.35%	11.76%	9.38%	11.01%	10.60%	15.46%	9.91%	9.49%	12.33%	11.12%	14.76%	12.73%	13.62%	11.20%	11.36%	14.67%	15.82%	15.18%	14.45%	9.50%	13.29%	14.05%	13.94%	13.07%	11.41%	13.93%	14.83%	11.54%	14.72%	11.65%	14.55%	6.97%	6.67%	6.85%	9.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	152	0	5	2	2	0	3	1	1	3	3	1	3	4	1	0	1	3	7	2	5	2	1	1	2	3	0	0	0	1	7	3	4	0	5	2	1	0	0	2	2	3	2	0	2	9	0	3	7	1	4	2	4	3	0	1	5	0	5	2	0	0	0	1	2	1	2	4	2	3	1									
		0.35%	0.00%	0.97%	0.34%	0.36%	0.00%	0.58%	0.25%	0.18%	0.71%	0.63%	0.19%	0.54%	0.61%	0.23%	0.00%	0.15%	0.40%	0.89%	0.29%	0.64%	0.39%	0.15%	0.18%	0.25%	0.25%	0.00%	0.00%	0.00%	0.18%	1.20%	0.42%	0.71%	0.00%	0.91%	0.30%	0.21%	0.00%	0.00%	0.36%	0.35%	0.62%	0.37%	0.00%	0.24%	1.11%	0.00%	0.51%	1.12%	0.16%	0.69%	0.27%	0.61%	0.40%	0.00%	0.19%	0.68%	0.00%	0.81%	0.34%	0.00%	0.00%	0.00%	0.16%	0.33%	0.14%	0.30%	1.07%	0.38%	0.32%	0.18%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2159	14	27	27	25	26	36	24	37	21	30	27	42	42	33	47	33	34	30	32	34	32	41	30	25	53	22	24	38	27	38	45	27	37	24	37	25	33	26	41	22	30	36	43	42	58	56	21	20	20	26	24	36	45	33	21	28	21	35	31	14	33	20	27	30	46	30	21	17	17	10									
		5.02%	2.89%	5.25%	4.59%	4.56%	7.76%	6.96%	6.05%	6.53%	4.94%	6.25%	5.22%	7.59%	6.45%	7.66%	6.84%	4.95%	4.55%	3.82%	4.64%	4.38%	6.29%	6.14%	5.43%	3.16%	4.45%	4.84%	4.61%	5.73%	4.85%	6.53%	6.29%	4.76%	5.48%	4.39%	5.52%	5.35%	6.07%	4.36%	7.28%	3.89%	6.19%	6.73%	6.48%	5.08%	7.17%	6.89%	3.57%	3.21%	3.20%	4.48%	3.23%	5.53%	5.99%	5.36%	4.07%	3.84%	3.39%	5.67%	5.26%	2.39%	4.60%	3.80%	4.21%	5.02%	6.23%	4.55%	5.63%	3.24%	1.79%	1.79%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
