Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Пучежская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  698					
		0.76%	0.24%	0.67%	0.54%	0.87%	0.52%	1.25%	0.36%	1.09%	2.55%	0.73%	0.88%	0.91%	0.0%	0.0%	0.0%	1.13%	0.0%	0.41%	0.70%	1.42%	0.82%	0.99%	0.0%					
30	"13. ""Демократическая партия России"""	20	0	0	2	1	5	0	1	2	2	0	2	0	0	1	0	0	0	2	0	1	0	0	1					
		0.23%	0.0%	0.0%	0.36%	0.12%	0.52%	0.0%	0.18%	0.72%	0.39%	0.0%	0.58%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.83%	0.0%	0.35%	0.0%	0.0%	0.69%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	5	0	1	2	4	5	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0					
		0.26%	0.61%	0.0%	0.18%	0.24%	0.42%	1.04%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	1.80%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.12%	0.10%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.70%	1.06%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	434	47	54	43	53	44	5	39	8	25	8	12	3	0	4	6	2	3	5	10	35	4	9	15					
		5.17%	5.81%	7.32%	7.76%	6.59%	4.65%	1.04%	7.05%	2.90%	4.92%	2.94%	3.52%	2.75%	0.0%	2.36%	6.38%	1.13%	1.63%	2.09%	3.50%	12.45%	3.30%	4.47%	10.41%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	30	1	1	1	3	1	0	1	3	3	0	4	0	0	2	0	1	0	2	0	3	1	1	2					
		0.35%	0.12%	0.13%	0.18%	0.37%	0.10%	0.0%	0.18%	1.09%	0.59%	0.0%	1.17%	0.0%	0.0%	1.18%	0.0%	0.56%	0.0%	0.83%	0.0%	1.06%	0.82%	0.49%	1.38%					
35	"18. ""ЛДПР"""	1020	79	100	85	96	164	31	95	41	49	20	47	9	8	21	6	26	22	18	45	23	3	25	7					
		12.16%	9.77%	13.56%	15.34%	11.94%	17.35%	6.49%	17.17%	14.90%	9.64%	7.35%	13.82%	8.25%	7.20%	12.42%	6.38%	14.77%	12.02%	7.53%	15.78%	8.18%	2.47%	12.43%	4.86%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	275	33	19	19	36	26	18	28	9	8	7	13	2	1	7	3	0	5	3	7	7	1	13	10					
		3.27%	4.08%	2.57%	3.42%	4.47%	2.75%	3.77%	5.06%	3.27%	1.57%	2.57%	3.82%	1.83%	0.90%	4.14%	3.19%	0.0%	2.73%	1.25%	2.45%	2.49%	0.82%	6.46%	6.94%					
37	"20. ""Политическая партия ""Единая Россия"""	3343	318	259	221	329	400	266	202	85	213	108	129	52	42	51	33	70	81	116	101	76	36	86	69					
		39.86%	39.35%	35.14%	39.89%	40.92%	42.32%	55.76%	36.52%	30.90%	41.92%	39.70%	37.94%	47.70%	37.83%	30.17%	35.10%	39.77%	44.26%	48.53%	35.43%	27.04%	29.75%	42.78%	47.91%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	1	2	0	1	2	2	0	0	3	0	2	0	0	0	0	0	1	1	1	0	0	0	0					
		0.19%	0.12%	0.27%	0.0%	0.12%	0.21%	0.41%	0.0%	0.0%	0.59%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.41%	0.35%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	21	2	4	2	3	1	3	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0					
		0.25%	0.24%	0.54%	0.36%	0.37%	0.10%	0.62%	0.0%	0.0%	0.19%	0.36%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.41%	0.35%	0.35%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1072	138	131	85	105	110	36	76	27	69	29	46	16	10	7	11	15	13	19	29	48	8	27	17					
		12.78%	17.07%	17.77%	15.34%	13.05%	11.64%	7.54%	13.74%	9.81%	13.58%	10.66%	13.52%	14.67%	9.00%	4.14%	11.70%	8.52%	7.10%	7.94%	10.17%	17.08%	6.61%	13.43%	11.80%					
																														
41	Против всех	327	37	31	21	25	28	21	30	13	18	12	5	3	2	13	6	12	5	7	13	14	3	4	4					
		3.89%	4.57%	4.20%	3.79%	3.10%	2.96%	4.40%	5.42%	4.72%	3.54%	4.41%	1.47%	2.75%	1.80%	7.69%	6.38%	6.81%	2.73%	2.92%	4.56%	4.98%	2.47%	1.99%	2.77%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
