Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																									
Дата голосования: 04.12.2011																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Учалинская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1651	15	29	74	59	50	30	7	1	0	0	0	16	1	6	6	6	1	32	9	14	15	33	27	32	103	20	21	14	12	14	37	5	13	39	4	1	15	18	7	9	5	7	10	17	14	70	4	0	8	55	3	21	19	6	35	15	16	27	15	21	18	11	30	1	29	23	30	9	28	21	22	24	29	34	26	32	30	24	16	36	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1651	15	29	74	59	50	30	7	1	0	0	0	16	1	6	6	6	1	32	9	14	15	33	27	32	103	20	21	14	12	14	37	5	13	39	4	1	15	18	7	9	5	7	10	17	14	70	4	0	8	55	3	21	19	6	35	15	16	27	15	21	18	11	30	1	29	23	30	9	28	21	22	24	29	34	26	32	30	24	16	36	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	809	6	6	5	8	12	4	4	1	0	2	3	13	4	4	3	1	3	9	4	6	1	5	3	9	16	3	3	3	4	3	7	5	4	4	3	0	7	6	2	5	0	3	3	0	4	7	0	3	2	14	2	8	5	4	3	4	13	8	3	3	25	6	12	11	18	31	30	15	23	28	13	35	24	27	17	14	46	23	34	20	38	39					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	548	12	13	9	11	15	17	0	0	1	0	3	15	3	3	5	0	0	12	3	4	3	4	7	5	25	10	3	6	13	26	17	1	0	26	0	0	3	6	0	2	1	2	1	3	1	15	2	0	3	40	2	4	5	3	4	5	9	6	3	5	5	5	5	1	8	4	7	8	11	6	8	9	6	9	6	8	9	9	10	8	9	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4053	0	20	86	45	55	32	13	6	1	8	3	28	22	54	19	7	11	24	34	40	35	46	21	32	106	29	25	11	16	15	31	23	21	47	10	9	18	34	31	8	10	5	32	12	4	56	7	11	19	96	27	32	49	33	37	55	41	66	25	18	93	90	82	36	113	118	129	103	125	126	134	130	122	129	120	121	110	85	78	169	97	32					
		8.68%	0.00%	4.44%	8.77%	5.99%	9.98%	6.68%	5.75%	6.90%	1.32%	5.33%	2.97%	3.37%	5.13%	8.87%	6.99%	3.45%	9.40%	7.16%	7.59%	6.75%	7.69%	7.14%	4.20%	6.63%	9.38%	9.39%	7.08%	5.45%	4.80%	4.50%	6.03%	4.98%	7.78%	5.25%	7.46%	5.52%	4.37%	9.09%	7.03%	5.52%	4.46%	4.20%	16.00%	8.96%	2.41%	6.81%	3.54%	5.61%	10.38%	8.93%	11.54%	7.80%	7.24%	8.75%	8.69%	7.35%	8.25%	9.42%	6.53%	7.29%	12.29%	8.19%	8.28%	9.18%	11.27%	11.85%	11.30%	9.82%	11.37%	11.20%	11.07%	12.09%	10.93%	12.10%	10.28%	10.76%	11.21%	8.74%	6.71%	13.82%	9.27%	11.03%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2604	0	20	60	40	36	11	2	1	5	6	1	29	10	20	11	10	3	33	21	31	20	32	15	14	83	20	6	8	8	6	11	43	7	22	7	2	10	12	7	1	4	1	5	4	3	37	7	5	15	44	11	13	26	21	17	38	27	32	21	10	27	90	103	39	102	69	77	64	91	73	84	94	79	77	73	41	76	71	54	85	88	22					
		5.58%	0.00%	4.44%	6.12%	5.33%	6.53%	2.30%	0.88%	1.15%	6.58%	4.00%	0.99%	3.49%	2.33%	3.28%	4.04%	4.93%	2.56%	9.85%	4.69%	5.23%	4.40%	4.97%	3.00%	2.90%	7.35%	6.47%	1.70%	3.96%	2.40%	1.80%	2.14%	9.31%	2.59%	2.46%	5.22%	1.23%	2.43%	3.21%	1.59%	0.69%	1.79%	0.84%	2.50%	2.99%	1.81%	4.50%	3.54%	2.55%	8.20%	4.09%	4.70%	3.17%	3.84%	5.57%	3.99%	5.08%	5.43%	4.56%	5.48%	4.05%	3.57%	8.19%	10.40%	9.95%	10.17%	6.93%	6.74%	6.10%	8.28%	6.49%	6.94%	8.74%	7.08%	7.22%	6.26%	3.64%	7.75%	7.30%	4.65%	6.95%	8.41%	7.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	386	0	2	7	4	6	5	2	0	2	1	0	5	2	5	0	0	0	3	3	3	6	1	5	8	12	2	2	3	2	1	5	1	1	2	0	4	1	1	1	0	0	2	0	0	0	3	3	1	2	4	2	3	10	3	1	3	2	7	5	0	10	10	7	0	17	9	25	11	7	11	10	16	14	10	12	8	8	7	11	18	6	0					
		0.83%	0.00%	0.44%	0.71%	0.53%	1.09%	1.04%	0.88%	0.00%	2.63%	0.67%	0.00%	0.60%	0.47%	0.82%	0.00%	0.00%	0.00%	0.90%	0.67%	0.51%	1.32%	0.16%	1.00%	1.66%	1.06%	0.65%	0.57%	1.49%	0.60%	0.30%	0.97%	0.22%	0.37%	0.22%	0.00%	2.45%	0.24%	0.27%	0.23%	0.00%	0.00%	1.68%	0.00%	0.00%	0.00%	0.36%	1.52%	0.51%	1.09%	0.37%	0.85%	0.73%	1.48%	0.80%	0.23%	0.40%	0.40%	0.99%	1.31%	0.00%	1.32%	0.91%	0.71%	0.00%	1.69%	0.90%	2.19%	1.05%	0.64%	0.98%	0.83%	1.49%	1.25%	0.94%	1.03%	0.71%	0.82%	0.72%	0.95%	1.47%	0.57%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13247	79	126	317	254	99	148	66	25	23	44	18	288	47	145	79	59	43	92	114	174	149	176	106	108	263	50	81	40	73	60	164	50	44	204	10	19	66	78	60	33	27	25	73	55	35	226	88	71	57	435	73	115	236	132	149	204	139	187	111	70	251	388	292	82	351	354	345	322	398	214	355	323	326	335	397	366	319	303	185	343	349	67					
		28.39%	24.38%	28.00%	32.31%	33.82%	17.97%	30.90%	29.20%	28.74%	30.26%	29.33%	17.82%	34.62%	10.96%	23.81%	29.04%	29.06%	36.75%	27.46%	25.45%	29.34%	32.75%	27.33%	21.20%	22.36%	23.27%	16.18%	22.95%	19.80%	21.92%	18.02%	31.91%	10.82%	16.30%	22.79%	7.46%	11.66%	16.02%	20.86%	13.61%	22.76%	12.05%	21.01%	36.50%	41.04%	21.08%	27.49%	44.44%	36.22%	31.15%	40.47%	31.20%	28.05%	34.86%	35.01%	34.98%	27.27%	27.97%	26.68%	28.98%	28.34%	33.16%	35.30%	29.49%	20.92%	34.99%	35.54%	30.21%	30.70%	36.21%	19.02%	29.34%	30.05%	29.21%	31.43%	34.02%	32.53%	32.52%	31.14%	15.92%	28.05%	33.37%	23.10%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	589	0	0	8	5	6	3	0	1	0	1	0	1	2	7	2	2	1	2	4	3	6	0	7	2	6	1	0	3	0	2	2	3	1	5	0	0	1	2	2	0	0	0	0	0	0	4	1	0	3	12	0	5	6	4	6	9	7	11	7	3	15	19	14	6	17	25	20	17	24	22	23	31	27	15	31	8	23	10	21	36	13	3					
		1.26%	0.00%	0.00%	0.82%	0.67%	1.09%	0.63%	0.00%	1.15%	0.00%	0.67%	0.00%	0.12%	0.47%	1.15%	0.74%	0.99%	0.85%	0.60%	0.89%	0.51%	1.32%	0.00%	1.40%	0.41%	0.53%	0.32%	0.00%	1.49%	0.00%	0.60%	0.39%	0.65%	0.37%	0.56%	0.00%	0.00%	0.24%	0.53%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.51%	0.00%	1.64%	1.12%	0.00%	1.22%	0.89%	1.06%	1.41%	1.20%	1.41%	1.57%	1.83%	1.21%	1.98%	1.73%	1.41%	1.53%	1.69%	2.51%	1.75%	1.62%	2.18%	1.96%	1.90%	2.88%	2.42%	1.41%	2.66%	0.71%	2.34%	1.03%	1.81%	2.94%	1.24%	1.03%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24500	245	271	476	389	338	271	133	40	45	88	79	445	341	368	157	116	58	179	267	340	224	341	328	314	641	201	234	134	232	248	292	333	181	613	99	126	307	242	316	97	179	83	84	61	121	488	88	107	86	460	119	240	338	177	210	430	273	375	208	145	323	481	462	203	384	393	511	496	429	535	576	462	521	486	511	574	422	472	668	551	458	161					
		52.50%	75.62%	60.22%	48.52%	51.80%	61.34%	56.58%	58.85%	45.98%	59.21%	58.67%	78.22%	53.49%	79.49%	60.43%	57.72%	57.14%	49.57%	53.43%	59.60%	57.34%	49.23%	52.95%	65.60%	65.01%	56.73%	65.05%	66.29%	66.34%	69.67%	74.47%	56.81%	72.08%	67.04%	68.49%	73.88%	77.30%	74.51%	64.71%	71.66%	66.90%	79.91%	69.75%	42.00%	45.52%	72.89%	59.37%	44.44%	54.59%	46.99%	42.79%	50.85%	58.54%	49.93%	46.95%	49.30%	57.49%	54.93%	53.50%	54.31%	58.70%	42.67%	43.77%	46.67%	51.79%	38.29%	39.46%	44.75%	47.28%	39.04%	47.56%	47.60%	42.98%	46.68%	45.59%	43.79%	51.02%	43.02%	48.51%	57.49%	45.05%	43.79%	55.52%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	184	0	1	4	0	6	3	2	1	0	0	0	3	0	4	1	5	0	0	3	1	4	3	0	2	0	0	3	0	0	0	4	2	0	1	0	0	1	1	1	0	1	0	0	0	0	5	0	0	1	2	1	0	0	3	3	1	1	5	2	1	7	3	4	2	3	1	7	5	6	4	10	3	7	5	6	3	2	3	2	8	8	3					
		0.39%	0.00%	0.22%	0.41%	0.00%	1.09%	0.63%	0.88%	1.15%	0.00%	0.00%	0.00%	0.36%	0.00%	0.66%	0.37%	2.46%	0.00%	0.00%	0.67%	0.17%	0.88%	0.47%	0.00%	0.41%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.78%	0.43%	0.00%	0.11%	0.00%	0.00%	0.24%	0.27%	0.23%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.55%	0.19%	0.43%	0.00%	0.00%	0.80%	0.70%	0.13%	0.20%	0.71%	0.52%	0.40%	0.92%	0.27%	0.40%	0.51%	0.30%	0.10%	0.61%	0.48%	0.55%	0.36%	0.83%	0.28%	0.63%	0.47%	0.51%	0.27%	0.20%	0.31%	0.17%	0.65%	0.76%	1.03%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
