Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																									
Дата голосования: 02.12.2007																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Учалинская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1030	16	8	7	12	8	24	10	4	0	8	6	6	4	14	1	4	4	6	2	6	15	13	4	82	6	10	6	6	6	4	4	12	1	25	1	4	4	4	0	0	25	6	0	6	14	7	4	12	1	0	4	29	4	22	6	11	9	12	8	14	23	7	14	25	4	28	9	22	22	22	27	22	17	29	32	22	14	30	22	36	52	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	990	16	8	7	12	8	24	8	4	0	8	6	6	3	14	1	4	4	5	2	6	15	13	4	82	6	10	6	4	4	3	4	11	0	25	1	2	4	0	0	0	25	6	0	6	14	7	4	12	1	0	1	29	0	20	6	11	9	11	8	14	23	7	14	25	3	21	7	22	22	22	25	22	17	29	31	22	14	30	22	36	52	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	625	6	6	4	10	12	4	10	1	1	3	5	3	2	2	0	4	0	4	4	8	3	3	4	9	1	2	6	5	4	3	0	5	2	8	0	0	1	1	9	1	11	2	1	2	2	0	3	8	3	2	1	15	8	5	6	7	3	3	1	6	26	4	8	13	5	5	6	21	21	15	23	9	18	26	31	17	21	21	20	37	16	17					
14	Число погашенных неиспользованных открепительных удостоверений	40	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	1	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	2	0	0	0	1	0	0	0	0	0	0	1	7	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	118	1	2	1	3	3	1	0	0	0	2	0	0	1	0	0	0	1	1	2	0	0	3	0	3	0	0	1	2	0	0	0	1	0	2	1	1	0	0	0	0	2	1	3	2	0	0	0	1	1	0	0	2	1	0	1	1	3	3	2	1	8	1	5	3	0	1	3	2	1	2	2	2	3	1	11	2	1	5	3	4	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																									
18	1.Политическая партия «Аграрная партия России»	607	10	2	6	23	22	6	4	0	1	26	7	13	2	9	0	4	2	2	10	11	6	4	6	8	3	8	14	2	8	4	1	9	2	14	2	1	2	2	5	0	6	4	5	10	6	2	2	11	3	1	3	18	10	2	3	5	6	13	7	1	5	8	7	11	2	11	6	7	15	11	18	9	11	9	28	15	4	5	7	22	16	1					
		1.28%	1.99%	0.49%	1.85%	2.10%	2.72%	1.20%	0.76%	0.00%	1.10%	3.20%	1.92%	2.52%	0.81%	5.23%	0.00%	3.15%	0.82%	0.55%	2.67%	2.16%	1.21%	0.62%	1.86%	0.62%	0.88%	2.48%	2.90%	0.94%	3.70%	3.67%	0.38%	1.97%	1.54%	1.56%	2.56%	0.38%	1.54%	2.41%	3.05%	0.00%	1.60%	0.97%	2.86%	2.39%	3.16%	1.42%	1.21%	1.35%	1.55%	0.57%	1.58%	1.49%	4.59%	0.87%	0.71%	0.95%	1.20%	2.80%	1.35%	0.21%	0.71%	1.40%	0.61%	0.96%	0.83%	1.57%	1.35%	0.53%	1.37%	0.98%	1.50%	0.81%	0.99%	0.77%	1.31%	1.32%	0.36%	0.41%	0.66%	1.01%	0.74%	0.36%					
19	2.Всероссийская политическая партия «Гражданская Сила»	167	0	0	2	1	3	1	1	1	0	2	0	1	0	0	1	1	0	0	1	0	3	3	3	5	1	0	4	0	3	0	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	3	1	2	0	1	3	3	0	3	2	5	5	8	5	9	2	3	7	6	9	8	7	16	10	1					
		0.35%	0.00%	0.00%	0.62%	0.09%	0.37%	0.20%	0.19%	0.46%	0.00%	0.25%	0.00%	0.19%	0.00%	0.00%	0.99%	0.79%	0.00%	0.00%	0.27%	0.00%	0.61%	0.47%	0.93%	0.39%	0.29%	0.00%	0.83%	0.00%	1.39%	0.00%	0.38%	0.00%	0.77%	0.22%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.60%	0.65%	0.19%	0.41%	0.00%	0.18%	0.26%	0.26%	0.00%	0.43%	0.45%	0.38%	0.46%	0.71%	0.42%	0.81%	0.18%	0.26%	0.33%	0.53%	0.81%	0.65%	0.66%	0.74%	0.46%	0.36%					
20	3.Политическая партия «Демократическая партия России»	48	0	0	0	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	3	1	0	0	0	3	1	0	1	6	1	1	0	1	3	5	0					
		0.10%	0.00%	0.00%	0.00%	0.36%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.31%	0.15%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	2.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.12%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.09%	0.09%	0.42%	0.43%	0.22%	0.00%	0.00%	0.00%	0.25%	0.09%	0.00%	0.09%	0.28%	0.09%	0.09%	0.00%	0.09%	0.14%	0.23%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6159	34	36	37	109	50	41	38	10	2	102	52	40	16	18	11	4	16	59	69	74	70	102	40	163	18	42	95	7	28	6	23	42	6	66	4	21	18	12	24	9	38	13	16	35	18	12	8	87	12	7	5	146	46	9	35	70	97	32	64	85	82	67	179	95	35	109	59	180	176	152	159	203	187	211	387	188	229	162	160	311	348	31					
		12.95%	6.76%	8.85%	11.42%	9.95%	6.17%	8.20%	7.21%	4.59%	2.20%	12.56%	14.25%	7.77%	6.48%	10.47%	10.89%	3.15%	6.53%	16.12%	18.40%	14.51%	14.17%	15.91%	12.38%	12.58%	5.29%	13.04%	19.67%	3.29%	12.96%	5.50%	8.81%	9.19%	4.62%	7.34%	5.13%	8.05%	13.85%	14.46%	14.63%	8.04%	10.16%	3.14%	9.14%	8.37%	9.47%	8.51%	4.85%	10.70%	6.22%	4.00%	2.63%	12.07%	21.10%	3.90%	8.33%	13.23%	19.40%	6.88%	12.36%	17.45%	11.61%	11.75%	15.48%	8.29%	14.58%	15.55%	13.26%	13.56%	16.12%	13.54%	13.26%	18.37%	16.89%	17.96%	18.09%	16.52%	20.48%	13.26%	14.99%	14.31%	16.00%	11.07%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	134	1	0	1	1	5	5	0	0	0	0	0	3	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	0	1	1	2	2	0	5	2	0	3	0	9	2	4	4	5	7	6	13	5	7	4	7	6	5	1					
		0.28%	0.20%	0.00%	0.31%	0.09%	0.62%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.40%	0.00%	0.00%	0.79%	0.00%	0.27%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.58%	0.00%	1.21%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.19%	0.41%	0.28%	0.00%	0.43%	0.17%	0.00%	0.43%	0.00%	0.68%	0.18%	0.36%	0.33%	0.45%	0.63%	0.51%	0.61%	0.44%	0.63%	0.33%	0.66%	0.28%	0.23%	0.36%					
23	6.Политическая партия «Партия социальной справедливости»	61	0	0	0	0	1	0	4	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	2	1	0	0	2	1	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	3	0	1	3	3	3	2	1	2	2	4	0	7	0					
		0.13%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.76%	0.00%	0.00%	0.00%	0.82%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.11%	0.00%	0.38%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	1.14%	0.24%	0.00%	0.00%	1.21%	0.12%	0.00%	0.00%	1.58%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.29%	0.22%	0.08%	0.27%	0.00%	0.08%	0.27%	0.27%	0.26%	0.09%	0.09%	0.18%	0.16%	0.37%	0.00%	0.32%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1623	5	4	1	24	23	22	18	3	0	36	9	15	6	0	1	4	3	14	10	14	10	23	4	51	5	5	5	2	10	0	10	26	6	26	1	0	2	1	4	1	4	1	3	4	5	1	5	6	3	1	7	33	3	4	8	13	7	5	11	22	24	10	47	47	16	35	25	49	45	61	43	41	41	57	97	58	64	49	54	89	112	9					
		3.41%	0.99%	0.98%	0.31%	2.19%	2.84%	4.40%	3.42%	1.38%	0.00%	4.43%	2.47%	2.91%	2.43%	0.00%	0.99%	3.15%	1.22%	3.83%	2.67%	2.75%	2.02%	3.59%	1.24%	3.94%	1.47%	1.55%	1.04%	0.94%	4.63%	0.00%	3.83%	5.69%	4.62%	2.89%	1.28%	0.00%	1.54%	1.20%	2.44%	0.89%	1.07%	0.24%	1.71%	0.96%	2.63%	0.71%	3.03%	0.74%	1.55%	0.57%	3.68%	2.73%	1.38%	1.73%	1.90%	2.46%	1.40%	1.08%	2.12%	4.52%	3.40%	1.75%	4.07%	4.10%	6.67%	4.99%	5.62%	3.69%	4.12%	5.43%	3.59%	3.71%	3.70%	4.85%	4.53%	5.10%	5.72%	4.01%	5.06%	4.09%	5.15%	3.21%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1779	7	0	1	16	21	12	12	2	2	19	4	21	5	0	0	5	2	4	16	12	13	30	3	76	6	7	9	3	2	1	9	8	2	19	1	5	0	4	5	0	5	2	6	7	1	1	9	17	7	6	3	38	2	7	14	18	28	21	34	12	23	24	47	50	8	32	15	58	75	34	57	47	50	48	97	85	56	71	51	122	123	4					
		3.74%	1.39%	0.00%	0.31%	1.46%	2.59%	2.40%	2.28%	0.92%	2.20%	2.34%	1.10%	4.08%	2.02%	0.00%	0.00%	3.94%	0.82%	1.09%	4.27%	2.35%	2.63%	4.68%	0.93%	5.86%	1.76%	2.17%	1.86%	1.41%	0.93%	0.92%	3.45%	1.75%	1.54%	2.11%	1.28%	1.92%	0.00%	4.82%	3.05%	0.00%	1.34%	0.48%	3.43%	1.67%	0.53%	0.71%	5.45%	2.09%	3.63%	3.43%	1.58%	3.14%	0.92%	3.03%	3.33%	3.40%	5.60%	4.52%	6.56%	2.46%	3.26%	4.21%	4.07%	4.36%	3.33%	4.56%	3.37%	4.37%	6.87%	3.03%	4.75%	4.25%	4.52%	4.09%	4.53%	7.47%	5.01%	5.81%	4.78%	5.61%	5.66%	1.43%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	212	0	0	4	7	6	3	3	3	0	5	2	2	0	0	0	1	1	2	0	4	0	3	3	9	3	4	2	0	2	0	2	1	0	5	0	2	0	0	3	0	2	0	1	1	2	0	1	2	2	5	4	8	0	1	1	1	1	2	2	4	1	4	3	7	1	3	5	1	4	4	8	6	3	0	10	4	0	5	2	9	9	1					
		0.45%	0.00%	0.00%	1.23%	0.64%	0.74%	0.60%	0.57%	1.38%	0.00%	0.62%	0.55%	0.39%	0.00%	0.00%	0.00%	0.79%	0.41%	0.55%	0.00%	0.78%	0.00%	0.47%	0.93%	0.69%	0.88%	1.24%	0.41%	0.00%	0.93%	0.00%	0.77%	0.22%	0.00%	0.56%	0.00%	0.77%	0.00%	0.00%	1.83%	0.00%	0.53%	0.00%	0.57%	0.24%	1.05%	0.00%	0.61%	0.25%	1.04%	2.86%	2.11%	0.66%	0.00%	0.43%	0.24%	0.19%	0.20%	0.43%	0.39%	0.82%	0.14%	0.70%	0.26%	0.61%	0.42%	0.43%	1.12%	0.08%	0.37%	0.36%	0.67%	0.54%	0.27%	0.00%	0.47%	0.35%	0.00%	0.41%	0.19%	0.41%	0.41%	0.36%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	35929	437	357	271	896	664	402	432	199	84	603	283	417	216	139	84	103	217	281	265	391	387	464	253	964	301	253	350	186	144	98	213	360	108	685	69	224	108	62	118	100	308	388	142	354	154	125	133	679	165	155	165	937	156	207	349	414	355	384	393	354	554	454	857	922	176	484	326	991	737	821	872	768	776	822	1428	757	732	901	757	1554	1504	231					
		75.55%	86.88%	87.71%	83.64%	81.75%	81.98%	80.40%	81.97%	91.28%	92.31%	74.26%	77.53%	80.97%	87.45%	80.81%	83.17%	81.10%	88.57%	76.78%	70.67%	76.67%	78.34%	72.39%	78.33%	74.38%	88.53%	78.57%	72.46%	87.32%	66.67%	89.91%	81.61%	78.77%	83.08%	76.20%	88.46%	85.82%	83.08%	74.70%	71.95%	89.29%	82.35%	93.72%	81.14%	84.69%	81.05%	88.65%	80.61%	83.52%	85.49%	88.57%	86.84%	77.44%	71.56%	89.61%	83.10%	78.26%	71.00%	82.58%	75.87%	72.69%	78.47%	79.65%	74.13%	80.45%	73.33%	69.04%	73.26%	74.68%	67.49%	73.11%	72.73%	69.50%	70.10%	69.96%	66.76%	66.52%	65.47%	73.73%	70.95%	71.48%	69.15%	82.50%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	233	1	1	0	4	3	3	3	0	2	2	2	2	1	0	2	0	1	0	1	2	0	5	1	4	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	5	0	1	1	2	0	3	0	2	6	1	7	2	0	9	1	8	11	10	8	5	5	11	19	8	7	7	9	18	19	0					
		0.49%	0.20%	0.25%	0.00%	0.36%	0.37%	0.60%	0.57%	0.00%	2.20%	0.25%	0.55%	0.39%	0.40%	0.00%	1.98%	0.00%	0.41%	0.00%	0.27%	0.39%	0.00%	0.78%	0.31%	0.31%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.11%	1.28%	0.00%	0.00%	0.00%	0.61%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.43%	0.24%	0.38%	0.00%	0.65%	0.00%	0.41%	0.85%	0.18%	0.61%	0.17%	0.00%	1.28%	0.22%	0.60%	1.01%	0.89%	0.67%	0.45%	0.45%	0.94%	0.89%	0.70%	0.63%	0.57%	0.84%	0.83%	0.87%	0.00%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
