Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Сут-Хольская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
28	"11. ""Истинные патриоты России"""	1	0	0	1	0	0	0	0					
		0.03%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	7	2	0	0	2	0	1	2					
		0.21%	0.35%	0.0%	0.0%	0.21%	0.0%	0.43%	0.42%					
30	"13. ""Демократическая партия России"""	1	0	0	0	0	1	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	1	0	3	1	2	0	0					
		0.21%	0.17%	0.0%	0.81%	0.10%	0.51%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	7	2	1	3	1	0	0	0					
		0.21%	0.35%	0.36%	0.81%	0.10%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7	1	0	1	1	3	1	0					
		0.21%	0.17%	0.0%	0.27%	0.10%	0.77%	0.43%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	0	0	0	1	0	0	1					
		0.06%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.21%					
35	"18. ""ЛДПР"""	7	1	1	1	3	0	1	0					
		0.21%	0.17%	0.36%	0.27%	0.32%	0.0%	0.43%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	14	2	0	0	5	3	2	2					
		0.43%	0.35%	0.0%	0.0%	0.54%	0.77%	0.86%	0.42%					
37	"20. ""Политическая партия ""Единая Россия"""	2714	498	240	274	753	341	192	416					
		84.10%	87.67%	86.64%	74.25%	81.84%	88.11%	83.11%	87.57%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	1	1	0	0	0	1	0					
		0.09%	0.17%	0.36%	0.0%	0.0%	0.0%	0.43%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	1	1	0	1	0	2	0					
		0.15%	0.17%	0.36%	0.0%	0.10%	0.0%	0.86%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	137	21	13	26	43	6	14	14					
		4.24%	3.69%	4.69%	7.04%	4.67%	1.55%	6.06%	2.94%					
														
41	Против всех	19	4	1	4	6	2	1	1					
		0.58%	0.70%	0.36%	1.08%	0.65%	0.51%	0.43%	0.21%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
