Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Плюсская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  592	УИК  593	УИК  594	УИК  595	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604					
		0.07%	0.0%	0.43%	0.21%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	24	1	2	3	2	0	4	2	1	1	1	2	5	0					
		0.46%	0.35%	0.87%	0.64%	0.85%	0.0%	0.38%	0.32%	0.41%	0.38%	0.43%	0.58%	1.61%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	1	0	0	1	0	0	0	1	0	0	1	2	1					
		0.13%	0.35%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.29%	0.64%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	0	0	1	1	2	1	0	0	0	0	0	2					
		0.15%	0.35%	0.0%	0.0%	0.42%	0.43%	0.19%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%					
27	"10. ""Аграрная партия России"""	189	15	10	17	10	6	30	15	10	3	11	21	16	25					
		3.69%	5.35%	4.36%	3.67%	4.27%	2.59%	2.90%	2.47%	4.14%	1.14%	4.74%	6.10%	5.16%	3.81%					
28	"11. ""Истинные патриоты России"""	1	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	35	3	0	1	2	0	11	4	0	0	1	2	1	10					
		0.68%	1.07%	0.0%	0.21%	0.85%	0.0%	1.06%	0.65%	0.0%	0.0%	0.43%	0.58%	0.32%	1.52%					
30	"13. ""Демократическая партия России"""	15	4	0	2	1	0	4	1	0	1	0	1	0	1					
		0.29%	1.42%	0.0%	0.43%	0.42%	0.0%	0.38%	0.16%	0.0%	0.38%	0.0%	0.29%	0.0%	0.15%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	0	1	1	0	1	0	0	0	1	0	2	1	3					
		0.19%	0.0%	0.43%	0.21%	0.0%	0.43%	0.0%	0.0%	0.0%	0.38%	0.0%	0.58%	0.32%	0.45%					
32	"15. ""Партия СЛОН"""	7	0	0	1	0	1	2	2	0	0	0	0	1	0					
		0.13%	0.0%	0.0%	0.21%	0.0%	0.43%	0.19%	0.32%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	345	12	14	21	20	12	72	36	14	19	19	27	27	52					
		6.73%	4.28%	6.11%	4.54%	8.54%	5.19%	6.98%	5.93%	5.80%	7.22%	8.18%	7.84%	8.70%	7.92%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	2	0	4	1	1	3	0	3	0	1	2	1	3					
		0.41%	0.71%	0.0%	0.86%	0.42%	0.43%	0.29%	0.0%	1.24%	0.0%	0.43%	0.58%	0.32%	0.45%					
35	"18. ""ЛДПР"""	601	31	35	48	25	31	111	98	22	34	23	23	48	72					
		11.73%	11.07%	15.28%	10.38%	10.68%	13.41%	10.76%	16.14%	9.12%	12.92%	9.91%	6.68%	15.48%	10.97%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	202	7	7	19	3	8	48	40	7	6	8	15	6	28					
		3.94%	2.49%	3.05%	4.11%	1.28%	3.46%	4.65%	6.58%	2.90%	2.28%	3.44%	4.36%	1.93%	4.26%					
37	"20. ""Политическая партия ""Единая Россия"""	2385	125	113	238	106	129	479	258	128	156	112	160	127	254					
		46.58%	44.64%	49.34%	51.51%	45.29%	55.84%	46.45%	42.50%	53.11%	59.31%	48.27%	46.51%	40.96%	38.71%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	2	0	0	0	0	1	0	1	0	1	0	0	3					
		0.15%	0.71%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.41%	0.0%	0.43%	0.0%	0.0%	0.45%					
39	"22. ""Развитие предпринимательства"""	15	1	1	4	0	2	3	0	0	1	0	0	0	3					
		0.29%	0.35%	0.43%	0.86%	0.0%	0.86%	0.29%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.45%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	538	27	18	42	23	14	115	56	24	21	12	47	35	104					
		10.50%	9.64%	7.86%	9.09%	9.82%	6.06%	11.15%	9.22%	9.95%	7.98%	5.17%	13.66%	11.29%	15.85%					
																				
41	Против всех	161	21	7	9	3	4	38	19	6	3	13	6	14	18					
		3.14%	7.49%	3.05%	1.94%	1.28%	1.73%	3.68%	3.13%	2.48%	1.14%	5.60%	1.74%	4.51%	2.74%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
