Выборы Президента Российской Федерации																																																			
																																																			
"Наименование Избирательной комиссии:    Иваново, Фрунзенская"																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181					
		12.38%	10.46%	17.02%	12.93%	14.74%	15.41%	12.06%	13.78%	11.38%	10.72%	11.88%	11.52%	15.29%	11.22%	12.20%	10.92%	12.03%	13.87%	11.26%	11.15%	12.14%	14.34%	12.09%	10.93%	16.07%	12.20%	15.66%	11.59%	9.91%	16.50%	12.71%	10.72%	14.33%	13.84%	12.54%	4.28%	5.64%	22.04%	10.95%	9.73%	14.08%	8.44%	12.74%	17.90%	11.27%					
																																																			
24	Против всех	2334	91	41	59	46	40	40	63	51	36	41	65	15	34	42	34	73	33	69	95	95	45	38	48	32	74	75	67	72	43	63	38	49	66	60	54	45	37	44	45	71	56	48	56	45					
		4.89%	6.22%	3.92%	5.49%	5.26%	4.93%	5.36%	6.03%	5.00%	3.71%	4.43%	6.24%	2.52%	3.82%	3.71%	4.13%	5.74%	4.36%	6.02%	6.62%	6.41%	4.39%	4.03%	4.60%	3.73%	5.47%	5.76%	5.11%	5.58%	4.20%	5.76%	4.91%	4.18%	6.26%	5.83%	3.17%	3.91%	3.78%	4.23%	3.98%	5.05%	6.22%	4.02%	4.30%	4.30%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
