Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Магнитогорск, Правобережная"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №2260	УИК №2285	УИК №2300									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1821	45	15	20	15	30	45	40	35	35	25	25	30	20	35	20	35	30	30	35	35	30	20	15	25	35	45	0	50	45	25	30	35	20	35	30	50	50	25	20	30	25	30	35	30	60	35	25	36	35	60	35	35	40	45	40	0	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1443	35	14	13	13	26	41	40	22	23	17	12	26	20	27	19	21	15	23	34	26	23	12	13	21	32	35	0	29	33	21	26	33	14	35	26	39	41	21	18	23	25	22	20	19	45	25	25	29	26	60	26	27	36	32	35	0	29									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1295	11	6	7	12	21	10	13	27	7	18	13	8	20	12	65	64	4	3	7	12	8	10	15	20	18	129	0	60	10	9	19	21	12	81	15	6	11	7	9	4	9	11	8	11	27	19	16	13	7	11	22	151	100	52	19	0	15									
14	Число погашенных неиспользованных открепительных удостоверений	378	10	1	7	2	4	4	0	13	12	8	13	4	0	8	1	14	15	7	1	9	7	8	2	4	3	10	0	21	12	4	4	2	6	0	4	11	9	4	2	7	0	8	15	11	15	10	0	7	9	0	9	8	4	13	5	0	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	190	12	2	2	0	4	6	0	4	3	3	2	6	0	0	7	4	2	4	4	3	0	3	1	0	1	1	0	0	7	4	3	5	4	4	2	4	9	1	0	1	6	7	5	2	1	4	1	5	2	8	4	5	7	5	4	0	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	986	28	15	13	10	19	24	24	9	20	18	17	19	11	11	22	14	18	22	20	20	13	16	15	17	22	25	0	8	17	22	14	10	10	27	20	28	13	10	9	7	10	16	18	17	23	23	18	13	19	49	15	24	18	16	24	4	22									
		2.36%	3.03%	2.55%	2.23%	2.22%	2.57%	2.18%	3.00%	1.48%	3.36%	3.98%	2.90%	2.63%	1.89%	1.85%	2.68%	1.70%	2.60%	2.77%	2.29%	2.55%	2.22%	2.90%	2.50%	2.30%	3.26%	2.77%	0.00%	1.01%	2.16%	2.84%	1.81%	0.94%	2.04%	2.81%	2.33%	3.46%	1.56%	1.71%	2.11%	1.13%	1.27%	2.38%	2.39%	3.33%	2.23%	3.03%	2.15%	1.67%	3.18%	4.07%	2.05%	2.27%	1.64%	2.06%	2.22%	2.70%	2.94%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1074	23	8	18	15	16	42	14	13	21	8	20	21	15	12	12	21	19	20	20	16	14	11	19	15	15	31	0	20	16	28	23	29	16	40	18	17	18	15	4	20	16	23	22	9	27	25	22	25	8	34	25	21	28	17	23	6	20									
		2.57%	2.49%	1.36%	3.08%	3.33%	2.16%	3.82%	1.75%	2.13%	3.53%	1.77%	3.41%	2.90%	2.58%	2.01%	1.46%	2.55%	2.75%	2.52%	2.29%	2.04%	2.39%	1.99%	3.17%	2.03%	2.22%	3.44%	0.00%	2.52%	2.03%	3.61%	2.98%	2.73%	3.26%	4.16%	2.10%	2.10%	2.16%	2.57%	0.94%	3.22%	2.04%	3.43%	2.92%	1.76%	2.62%	3.29%	2.63%	3.21%	1.34%	2.82%	3.42%	1.99%	2.55%	2.19%	2.13%	4.05%	2.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	913	15	14	18	8	17	23	16	0	13	8	17	21	14	17	13	19	17	20	13	14	16	11	19	17	15	22	1	19	17	23	24	23	10	16	21	16	27	10	13	16	24	17	17	11	14	17	19	18	18	19	14	30	17	18	16	5	6									
		2.19%	1.62%	2.38%	3.08%	1.78%	2.30%	2.09%	2.00%	0.00%	2.18%	1.77%	2.90%	2.90%	2.41%	2.85%	1.59%	2.31%	2.46%	2.52%	1.49%	1.79%	2.74%	1.99%	3.17%	2.30%	2.22%	2.44%	0.45%	2.40%	2.16%	2.97%	3.11%	2.16%	2.04%	1.66%	2.45%	1.98%	3.24%	1.71%	3.05%	2.57%	3.05%	2.53%	2.26%	2.15%	1.36%	2.24%	2.27%	2.31%	3.02%	1.58%	1.92%	2.84%	1.55%	2.32%	1.48%	3.38%	0.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15525	338	221	223	167	282	373	328	236	215	181	231	261	224	207	324	281	225	278	298	262	203	208	227	278	252	373	217	291	294	291	285	409	173	325	312	271	311	200	159	199	304	266	279	200	398	277	314	284	213	431	238	404	471	270	424	63	256									
		37.20%	36.58%	37.59%	38.18%	37.11%	38.11%	33.94%	41.05%	38.69%	36.13%	40.04%	39.42%	36.10%	38.49%	34.73%	39.51%	34.10%	32.51%	34.97%	34.10%	33.46%	34.70%	37.75%	37.90%	37.57%	37.33%	41.40%	96.88%	36.70%	37.36%	37.55%	36.92%	38.48%	35.23%	33.82%	36.41%	33.50%	37.29%	34.25%	37.32%	31.99%	38.68%	39.64%	37.05%	39.14%	38.64%	36.50%	37.56%	36.41%	35.68%	35.77%	32.56%	38.22%	42.94%	34.75%	39.30%	42.57%	34.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	487	13	4	10	5	8	12	7	10	4	5	7	5	6	11	10	6	7	9	13	15	2	5	4	7	10	12	1	7	14	5	3	10	9	7	10	8	11	6	6	7	8	12	1	5	11	11	10	11	4	16	12	16	14	10	20	2	13									
		1.17%	1.41%	0.68%	1.71%	1.11%	1.08%	1.09%	0.88%	1.64%	0.67%	1.11%	1.19%	0.69%	1.03%	1.85%	1.22%	0.73%	1.01%	1.13%	1.49%	1.92%	0.34%	0.91%	0.67%	0.95%	1.48%	1.33%	0.45%	0.88%	1.78%	0.65%	0.39%	0.94%	1.83%	0.73%	1.17%	0.99%	1.32%	1.03%	1.41%	1.13%	1.02%	1.79%	0.13%	0.98%	1.07%	1.45%	1.20%	1.41%	0.67%	1.33%	1.64%	1.51%	1.28%	1.29%	1.85%	1.35%	1.74%									
24	"6. Политическая партия ""Гражданская Платформа"""	103	5	1	7	2	1	2	4	1	2	2	1	3	1	0	2	0	3	3	2	1	0	0	1	1	1	2	0	1	3	4	4	6	1	3	0	2	3	0	1	1	1	2	1	2	2	1	0	0	0	4	0	4	3	0	6	0	0									
		0.25%	0.54%	0.17%	1.20%	0.44%	0.14%	0.18%	0.50%	0.16%	0.34%	0.44%	0.17%	0.41%	0.17%	0.00%	0.24%	0.00%	0.43%	0.38%	0.23%	0.13%	0.00%	0.00%	0.17%	0.14%	0.15%	0.22%	0.00%	0.13%	0.38%	0.52%	0.52%	0.56%	0.20%	0.31%	0.00%	0.25%	0.36%	0.00%	0.23%	0.16%	0.13%	0.30%	0.13%	0.39%	0.19%	0.13%	0.00%	0.00%	0.00%	0.33%	0.00%	0.38%	0.27%	0.00%	0.56%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7426	196	125	90	88	139	201	123	119	102	63	104	135	98	109	145	169	109	143	164	150	111	104	109	143	120	129	2	139	143	114	123	180	87	178	131	148	138	97	74	106	157	117	136	74	186	131	149	164	107	223	129	182	178	168	208	27	142									
		17.79%	21.21%	21.26%	15.41%	19.56%	18.78%	18.29%	15.39%	19.51%	17.14%	13.94%	17.75%	18.67%	16.84%	18.29%	17.68%	20.51%	15.75%	17.99%	18.76%	19.16%	18.97%	18.87%	18.20%	19.32%	17.78%	14.32%	0.89%	17.53%	18.17%	14.71%	15.93%	16.93%	17.72%	18.52%	15.29%	18.29%	16.55%	16.61%	17.37%	17.04%	19.97%	17.44%	18.06%	14.48%	18.06%	17.26%	17.82%	21.03%	17.92%	18.51%	17.65%	17.22%	16.23%	21.62%	19.28%	18.24%	18.96%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	448	7	3	7	4	5	14	8	8	6	1	1	15	8	5	4	9	6	9	13	8	6	6	2	6	7	8	0	4	8	6	5	17	8	10	12	5	7	5	0	5	7	5	9	7	13	12	8	6	7	16	13	14	10	9	29	0	15									
		1.07%	0.76%	0.51%	1.20%	0.89%	0.68%	1.27%	1.00%	1.31%	1.01%	0.22%	0.17%	2.07%	1.37%	0.84%	0.49%	1.09%	0.87%	1.13%	1.49%	1.02%	1.03%	1.09%	0.33%	0.81%	1.04%	0.89%	0.00%	0.50%	1.02%	0.77%	0.65%	1.60%	1.63%	1.04%	1.40%	0.62%	0.84%	0.86%	0.00%	0.80%	0.89%	0.75%	1.20%	1.37%	1.26%	1.58%	0.96%	0.77%	1.17%	1.33%	1.78%	1.32%	0.91%	1.16%	2.69%	0.00%	2.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	663	23	3	7	5	6	22	15	7	6	8	7	11	4	11	5	11	10	13	16	9	11	7	3	6	20	11	0	11	17	7	9	13	3	18	16	11	18	11	6	11	12	5	10	6	19	11	9	23	5	26	9	11	20	13	58	1	17									
		1.59%	2.49%	0.51%	1.20%	1.11%	0.81%	2.00%	1.88%	1.15%	1.01%	1.77%	1.19%	1.52%	0.69%	1.85%	0.61%	1.33%	1.45%	1.64%	1.83%	1.15%	1.88%	1.27%	0.50%	0.81%	2.96%	1.22%	0.00%	1.39%	2.16%	0.90%	1.17%	1.22%	0.61%	1.87%	1.87%	1.36%	2.16%	1.88%	1.41%	1.77%	1.53%	0.75%	1.33%	1.17%	1.84%	1.45%	1.08%	2.95%	0.84%	2.16%	1.23%	1.04%	1.82%	1.67%	5.38%	0.68%	2.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	78	4	2	3	2	1	2	2	0	1	0	0	0	2	1	1	0	0	0	0	1	1	1	2	2	2	3	0	2	0	2	2	1	1	4	2	1	1	2	0	0	2	1	4	0	1	3	1	2	3	0	0	3	0	0	4	1	2									
		0.19%	0.43%	0.34%	0.51%	0.44%	0.14%	0.18%	0.25%	0.00%	0.17%	0.00%	0.00%	0.00%	0.34%	0.17%	0.12%	0.00%	0.00%	0.00%	0.00%	0.13%	0.17%	0.18%	0.33%	0.27%	0.30%	0.33%	0.00%	0.25%	0.00%	0.26%	0.26%	0.09%	0.20%	0.42%	0.23%	0.12%	0.12%	0.34%	0.00%	0.00%	0.25%	0.15%	0.53%	0.00%	0.10%	0.40%	0.12%	0.26%	0.50%	0.00%	0.00%	0.28%	0.00%	0.00%	0.37%	0.68%	0.27%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	811	16	9	17	4	5	24	12	9	22	16	10	11	10	4	22	14	20	15	17	14	14	13	10	17	26	13	0	15	5	11	4	16	5	10	23	17	11	9	5	13	12	11	17	7	19	23	7	12	12	34	13	22	20	32	38	0	24									
		1.94%	1.73%	1.53%	2.91%	0.89%	0.68%	2.18%	1.50%	1.48%	3.70%	3.54%	1.71%	1.52%	1.72%	0.67%	2.68%	1.70%	2.89%	1.89%	1.95%	1.79%	2.39%	2.36%	1.67%	2.30%	3.85%	1.44%	0.00%	1.89%	0.64%	1.42%	0.52%	1.51%	1.02%	1.04%	2.68%	2.10%	1.32%	1.54%	1.17%	2.09%	1.53%	1.64%	2.26%	1.37%	1.84%	3.03%	0.84%	1.54%	2.01%	2.82%	1.78%	2.08%	1.82%	4.12%	3.52%	0.00%	3.20%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4174	78	43	44	28	79	113	77	72	48	54	55	66	46	59	85	86	104	109	109	111	47	45	51	57	79	94	0	65	74	73	81	118	43	85	78	84	83	80	51	73	62	70	71	46	91	74	95	78	60	115	86	110	102	81	110	11	85									
		10.00%	8.44%	7.31%	7.53%	6.22%	10.68%	10.28%	9.64%	11.80%	8.07%	11.95%	9.39%	9.13%	7.90%	9.90%	10.37%	10.44%	15.03%	13.71%	12.47%	14.18%	8.03%	8.17%	8.51%	7.70%	11.70%	10.43%	0.00%	8.20%	9.40%	9.42%	10.49%	11.10%	8.76%	8.84%	9.10%	10.38%	9.95%	13.70%	11.97%	11.74%	7.89%	10.43%	9.43%	9.00%	8.83%	9.75%	11.36%	10.00%	10.05%	9.54%	11.76%	10.41%	9.30%	10.42%	10.19%	7.43%	11.35%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	356	11	4	1	2	6	7	7	2	2	1	9	3	4	2	11	4	8	5	7	7	12	15	19	16	13	17	0	9	5	8	3	11	3	7	6	4	4	3	1	12	3	6	2	1	8	12	4	5	6	11	4	1	6	3	6	1	6									
		0.85%	1.19%	0.68%	0.17%	0.44%	0.81%	0.64%	0.88%	0.33%	0.34%	0.22%	1.54%	0.41%	0.69%	0.34%	1.34%	0.49%	1.16%	0.63%	0.80%	0.89%	2.05%	2.72%	3.17%	2.16%	1.93%	1.89%	0.00%	1.13%	0.64%	1.03%	0.39%	1.03%	0.61%	0.73%	0.70%	0.49%	0.48%	0.51%	0.23%	1.93%	0.38%	0.89%	0.27%	0.20%	0.78%	1.58%	0.48%	0.64%	1.01%	0.91%	0.55%	0.09%	0.55%	0.39%	0.56%	0.68%	0.80%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7507	145	110	93	100	130	207	143	105	115	65	100	138	121	128	139	170	135	129	163	129	112	87	89	131	72	125	2	180	152	150	173	190	110	198	187	167	163	119	89	141	152	108	140	110	197	121	157	116	119	201	144	184	189	118	101	26	122									
		17.99%	15.69%	18.71%	15.92%	22.22%	17.57%	18.84%	17.90%	17.21%	19.33%	14.38%	17.06%	19.09%	20.79%	21.48%	16.95%	20.63%	19.51%	16.23%	18.65%	16.48%	19.15%	15.79%	14.86%	17.70%	10.67%	13.87%	0.89%	22.70%	19.31%	19.35%	22.41%	17.87%	22.40%	20.60%	21.82%	20.64%	19.54%	20.38%	20.89%	22.67%	19.34%	16.10%	18.59%	21.53%	19.13%	15.94%	18.78%	14.87%	19.93%	16.68%	19.70%	17.41%	17.23%	15.19%	9.36%	17.57%	16.29%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
