Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Красночикойская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193					
15	Число открепительных удостоверений выданных ТИК	6	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	177	2	6	9	4	18	2	5	4	0	4	3	3	5	20	23	3	3	1	13	6	0	9	3	3	6	1	2	3	2	0	2	6	6					
		1.75%	1.66%	0.99%	2.44%	3.07%	3.82%	1.62%	1.72%	3.70%	0.0%	1.52%	2.67%	1.08%	1.03%	1.53%	1.68%	0.61%	4.61%	0.49%	5.34%	2.09%	0.0%	3.16%	4.41%	0.81%	2.59%	0.86%	2.24%	2.65%	0.76%	0.0%	1.23%	0.86%	5.55%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	80	0	2	1	1	1	2	0	4	1	0	0	3	4	11	15	3	0	1	1	4	1	0	0	2	1	0	1	1	0	2	3	15	0					
		0.79%	0.0%	0.33%	0.27%	0.76%	0.21%	1.62%	0.0%	3.70%	1.13%	0.0%	0.0%	1.08%	0.82%	0.84%	1.10%	0.61%	0.0%	0.49%	0.41%	1.39%	0.66%	0.0%	0.0%	0.54%	0.43%	0.0%	1.12%	0.88%	0.0%	3.70%	1.85%	2.16%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	220	5	20	9	3	6	2	1	7	0	3	1	12	10	25	31	4	1	4	7	4	5	6	1	25	6	0	2	2	5	0	6	7	0					
		2.18%	4.16%	3.30%	2.44%	2.30%	1.27%	1.62%	0.34%	6.48%	0.0%	1.14%	0.89%	4.33%	2.06%	1.92%	2.27%	0.82%	1.53%	1.99%	2.88%	1.39%	3.31%	2.11%	1.47%	6.79%	2.59%	0.0%	2.24%	1.76%	1.91%	0.0%	3.70%	1.00%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	102	0	3	2	0	4	0	0	2	0	3	0	3	7	15	26	4	0	2	1	5	3	2	0	3	3	1	0	0	1	0	4	6	2					
		1.01%	0.0%	0.49%	0.54%	0.0%	0.84%	0.0%	0.0%	1.85%	0.0%	1.14%	0.0%	1.08%	1.44%	1.15%	1.91%	0.82%	0.0%	0.99%	0.41%	1.74%	1.98%	0.70%	0.0%	0.81%	1.29%	0.86%	0.0%	0.0%	0.38%	0.0%	2.46%	0.86%	1.85%					
22	"5. ""За Русь Святую"""	56	2	5	2	0	0	1	0	1	0	0	0	2	2	9	10	2	0	3	0	2	1	1	0	4	1	3	0	1	2	0	0	2	0					
		0.55%	1.66%	0.82%	0.54%	0.0%	0.0%	0.81%	0.0%	0.92%	0.0%	0.0%	0.0%	0.72%	0.41%	0.69%	0.73%	0.41%	0.0%	1.49%	0.0%	0.69%	0.66%	0.35%	0.0%	1.08%	0.43%	2.60%	0.0%	0.88%	0.76%	0.0%	0.0%	0.28%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	1	2	2	0	0	0	0	0	0	0	1	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1					
		0.14%	0.83%	0.33%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%	0.23%	0.14%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.14%	0.92%					
24	"7. ""Новый курс - Автомобильная Россия"""	35	0	2	2	0	0	2	0	0	0	0	1	1	3	6	5	0	0	0	0	1	2	2	0	1	1	1	0	1	2	0	1	1	0					
		0.34%	0.0%	0.33%	0.54%	0.0%	0.0%	1.62%	0.0%	0.0%	0.0%	0.0%	0.89%	0.36%	0.61%	0.46%	0.36%	0.0%	0.0%	0.0%	0.0%	0.34%	1.32%	0.70%	0.0%	0.27%	0.43%	0.86%	0.0%	0.88%	0.76%	0.0%	0.61%	0.14%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	0	1	0	1	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0					
		0.11%	0.0%	0.16%	0.0%	0.76%	0.0%	2.43%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.86%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	0	1	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	2	2	1	0	0	1	0	0	0	1	0	0	0	0					
		0.13%	0.0%	0.16%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.15%	0.14%	0.0%	0.0%	0.0%	0.0%	0.69%	1.32%	0.35%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	992	4	57	35	15	48	5	6	12	8	29	21	40	51	95	55	86	8	81	40	38	25	43	12	12	31	5	16	3	25	5	1	65	15					
		9.84%	3.33%	9.42%	9.51%	11.53%	10.19%	4.06%	2.06%	11.11%	9.09%	11.02%	18.74%	14.44%	10.51%	7.30%	4.04%	17.69%	12.30%	40.29%	16.46%	13.28%	16.55%	15.14%	17.64%	3.26%	13.41%	4.34%	17.97%	2.65%	9.57%	9.25%	0.61%	9.36%	13.88%					
28	"11. ""Истинные патриоты России"""	18	1	3	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	2	1	0	0	0	1	0	1	0	1	0	0	0	1					
		0.17%	0.83%	0.49%	0.27%	0.0%	0.0%	0.81%	0.0%	0.0%	1.13%	0.38%	0.0%	0.36%	0.20%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.69%	0.66%	0.0%	0.0%	0.0%	0.43%	0.0%	1.12%	0.0%	0.38%	0.0%	0.0%	0.0%	0.92%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	188	10	11	12	6	0	5	7	0	4	10	3	2	6	17	27	5	3	0	4	7	5	6	1	3	8	0	1	2	9	5	1	8	0					
		1.86%	8.33%	1.81%	3.26%	4.61%	0.0%	4.06%	2.41%	0.0%	4.54%	3.80%	2.67%	0.72%	1.23%	1.30%	1.98%	1.02%	4.61%	0.0%	1.64%	2.44%	3.31%	2.11%	1.47%	0.81%	3.46%	0.0%	1.12%	1.76%	3.44%	9.25%	0.61%	1.15%	0.0%					
30	"13. ""Демократическая партия России"""	35	0	3	3	1	3	0	0	0	0	0	1	1	4	4	6	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	3	1					
		0.34%	0.0%	0.49%	0.81%	0.76%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.36%	0.82%	0.30%	0.44%	0.0%	0.0%	0.49%	0.0%	0.34%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.43%	0.92%					
31	"14. ""Великая Россия - Евразийский Союз"""	9	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0					
		0.08%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.49%	0.41%	0.69%	0.0%	0.35%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.43%	0.0%	0.0%	0.88%	0.0%	0.0%	0.0%	0.14%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	307	3	36	5	2	24	4	3	3	3	4	0	12	10	38	46	6	0	15	7	3	0	7	1	9	8	5	0	4	11	5	9	22	2					
		3.04%	2.5%	5.95%	1.35%	1.53%	5.09%	3.25%	1.03%	2.77%	3.40%	1.52%	0.0%	4.33%	2.06%	2.92%	3.37%	1.23%	0.0%	7.46%	2.88%	1.04%	0.0%	2.46%	1.47%	2.44%	3.46%	4.34%	0.0%	3.53%	4.21%	9.25%	5.55%	3.17%	1.85%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	0	7	1	0	1	0	0	1	0	1	0	3	2	2	0	2	0	3	0	4	1	1	1	2	2	0	0	1	0	0	1	3	0					
		0.38%	0.0%	1.15%	0.27%	0.0%	0.21%	0.0%	0.0%	0.92%	0.0%	0.38%	0.0%	1.08%	0.41%	0.15%	0.0%	0.41%	0.0%	1.49%	0.0%	1.39%	0.66%	0.35%	1.47%	0.54%	0.86%	0.0%	0.0%	0.88%	0.0%	0.0%	0.61%	0.43%	0.0%					
35	"18. ""ЛДПР"""	1561	34	113	59	11	36	24	26	18	15	46	4	41	78	239	192	46	14	15	15	54	33	42	10	60	34	15	30	18	42	13	34	137	13					
		15.48%	28.33%	18.67%	16.03%	8.46%	7.64%	19.51%	8.96%	16.66%	17.04%	17.49%	3.57%	14.80%	16.08%	18.38%	14.10%	9.46%	21.53%	7.46%	6.17%	18.88%	21.85%	14.78%	14.70%	16.30%	14.71%	13.04%	33.70%	15.92%	16.09%	24.07%	20.98%	19.74%	12.03%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	201	3	14	9	2	8	4	1	5	1	5	2	8	17	30	33	9	0	1	5	1	1	3	0	7	2	1	1	1	13	1	2	10	1					
		1.99%	2.5%	2.31%	2.44%	1.53%	1.69%	3.25%	0.34%	4.62%	1.13%	1.90%	1.78%	2.88%	3.50%	2.30%	2.42%	1.85%	0.0%	0.49%	2.05%	0.34%	0.66%	1.05%	0.0%	1.90%	0.86%	0.86%	1.12%	0.88%	4.98%	1.85%	1.23%	1.44%	0.92%					
37	"20. ""Политическая партия ""Единая Россия"""	2726	39	173	122	31	157	32	40	23	24	64	20	59	139	437	460	78	18	34	82	91	37	90	29	83	48	13	14	36	68	9	19	140	17					
		27.04%	32.5%	28.59%	33.15%	23.84%	33.33%	26.01%	13.79%	21.29%	27.27%	24.33%	17.85%	21.29%	28.65%	33.61%	33.79%	16.04%	27.69%	16.91%	33.74%	31.81%	24.50%	31.69%	42.64%	22.55%	20.77%	11.30%	15.73%	31.85%	26.05%	16.66%	11.72%	20.17%	15.74%					
38	"21. ""Российская Конституционно-демократическая партия"""	22	0	0	0	0	4	5	0	0	0	0	0	1	1	2	0	0	0	0	3	2	1	1	0	1	0	0	0	0	0	0	0	1	0					
		0.21%	0.0%	0.0%	0.0%	0.0%	0.84%	4.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.20%	0.15%	0.0%	0.0%	0.0%	0.0%	1.23%	0.69%	0.66%	0.35%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%					
39	"22. ""Развитие предпринимательства"""	31	0	0	1	1	2	0	1	0	0	0	0	1	2	7	4	1	0	0	1	1	0	1	0	1	0	2	0	0	1	0	0	4	0					
		0.30%	0.0%	0.0%	0.27%	0.76%	0.42%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.36%	0.41%	0.53%	0.29%	0.20%	0.0%	0.0%	0.41%	0.34%	0.0%	0.35%	0.0%	0.27%	0.0%	1.73%	0.0%	0.0%	0.38%	0.0%	0.0%	0.57%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2758	6	125	68	43	135	28	192	14	23	70	52	66	119	299	380	213	18	13	51	47	24	49	9	119	68	65	15	29	59	13	68	238	40					
		27.36%	5.0%	20.66%	18.47%	33.07%	28.66%	22.76%	66.20%	12.96%	26.13%	26.61%	46.42%	23.82%	24.53%	23.0%	27.92%	43.82%	27.69%	6.46%	20.98%	16.43%	15.89%	17.25%	13.23%	32.33%	29.43%	56.52%	16.85%	25.66%	22.60%	24.07%	41.97%	34.29%	37.03%					
																																								
41	Против всех	347	8	14	19	9	20	3	6	5	5	10	1	9	15	35	30	21	0	23	9	8	9	13	1	25	4	2	1	3	5	0	9	19	6					
		3.44%	6.66%	2.31%	5.16%	6.92%	4.24%	2.43%	2.06%	4.62%	5.68%	3.80%	0.89%	3.24%	3.09%	2.69%	2.20%	4.32%	0.0%	11.44%	3.70%	2.79%	5.96%	4.57%	1.47%	6.79%	1.73%	1.73%	1.12%	2.65%	1.91%	0.0%	5.55%	2.73%	5.55%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
