Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Mихайловская																																																																			
																																																																			
Сводная таблица итогов голосования																																																																			
																																																																			
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276									
		14.78%	12.19%	18.04%	16.36%	18.48%	15.57%	16.16%	15.99%	21.40%	4.12%	26.26%	16.67%	16.92%	13.02%	12.70%	13.66%	14.81%	12.57%	16.05%	14.75%	15.62%	15.86%	9.02%	14.85%	21.33%	14.81%	14.76%	16.01%	3.85%	16.53%	19.35%	13.14%	14.75%	7.53%	17.14%	12.41%	12.94%	3.85%	23.41%	21.17%	13.68%	10.28%	13.23%	19.00%	7.86%	13.79%	9.45%	3.53%	19.91%	13.41%	14.62%	12.57%	11.72%	18.05%	23.27%	14.69%	12.45%									
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	199	11	8	16	6	6	5	6	10	3	0	2	6	10	3	1	2	5	3	2	8	3	5	9	0	1	2	8	0	2	2	3	0	2	0	1	2	0	2	2	2	6	1	1	2	0	2	0	1	3	2	1	3	12	3	2	1									
		1.29%	1.44%	1.14%	2.70%	1.82%	1.46%	1.09%	1.52%	1.89%	1.76%	0.00%	0.58%	2.31%	2.07%	1.19%	0.55%	1.23%	1.43%	0.74%	0.92%	2.19%	0.97%	0.67%	1.97%	0.00%	1.85%	0.95%	2.61%	0.00%	1.65%	1.61%	0.57%	0.00%	1.37%	0.00%	0.69%	1.18%	0.00%	0.98%	1.46%	2.11%	2.37%	0.53%	1.00%	0.87%	0.00%	0.99%	0.00%	0.46%	0.91%	1.17%	0.27%	1.10%	2.55%	1.49%	1.13%	0.37%									
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2776	176	159	122	73	96	139	85	134	4	10	92	57	91	64	42	23	93	100	51	60	79	112	40	7	5	17	22	5	20	19	104	10	26	37	16	12	8	16	16	15	48	30	9	28	24	22	6	54	48	18	27	31	76	34	40	24									
		17.94%	23.07%	22.59%	20.57%	22.12%	23.36%	30.35%	21.57%	25.38%	2.35%	10.10%	26.90%	21.92%	18.80%	25.40%	22.95%	14.20%	26.57%	24.69%	23.50%	16.44%	25.57%	15.07%	8.73%	9.33%	9.26%	8.10%	7.19%	9.62%	16.53%	15.32%	19.81%	8.20%	17.81%	17.62%	11.03%	7.06%	10.26%	7.80%	11.68%	15.79%	18.97%	15.87%	9.00%	12.23%	13.79%	10.95%	7.06%	25.00%	14.63%	10.53%	7.22%	11.36%	16.14%	16.83%	22.60%	8.79%									
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	265	32	14	18	8	11	16	7	12	3	0	3	9	15	3	0	1	8	4	0	7	3	7	1	1	1	1	3	0	0	8	11	2	5	1	3	0	1	0	1	3	0	3	2	2	0	0	1	3	5	0	1	1	14	6	1	3									
		1.71%	4.19%	1.99%	3.04%	2.42%	2.68%	3.49%	1.78%	2.27%	1.76%	0.00%	0.88%	3.46%	3.10%	1.19%	0.00%	0.62%	2.29%	0.99%	0.00%	1.92%	0.97%	0.94%	0.22%	1.33%	1.85%	0.48%	0.98%	0.00%	0.00%	6.45%	2.10%	1.64%	3.42%	0.48%	2.07%	0.00%	1.28%	0.00%	0.73%	3.16%	0.00%	1.59%	2.00%	0.87%	0.00%	0.00%	1.18%	1.39%	1.52%	0.00%	0.27%	0.37%	2.97%	2.97%	0.56%	1.10%									
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7488	299	266	210	132	153	129	163	179	144	56	137	77	204	109	77	90	122	160	92	141	113	455	292	44	34	126	184	42	64	59	250	74	84	100	77	123	56	102	64	48	143	99	60	147	116	143	62	93	171	119	271	185	204	84	79	181									
		48.40%	39.19%	37.78%	35.41%	40.00%	37.23%	28.17%	41.37%	33.90%	84.71%	56.57%	40.06%	29.62%	42.15%	43.25%	42.08%	55.56%	34.86%	39.51%	42.40%	38.63%	36.57%	61.24%	63.76%	58.67%	62.96%	60.00%	60.13%	80.77%	52.89%	47.58%	47.62%	60.66%	57.53%	47.62%	53.10%	72.35%	71.79%	49.76%	46.72%	50.53%	56.52%	52.38%	60.00%	64.19%	66.67%	71.14%	72.94%	43.06%	52.13%	69.59%	72.46%	67.77%	43.31%	41.58%	44.63%	66.30%									
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	67	2	4	2	2	4	3	1	1	1	0	1	1	2	2	0	1	3	0	0	2	2	5	2	0	0	0	1	0	1	1	3	1	0	2	1	0	1	2	0	0	1	1	0	1	0	3	2	1	0	0	2	0	2	0	0	0									
		0.43%	0.26%	0.57%	0.34%	0.61%	0.97%	0.66%	0.25%	0.19%	0.59%	0.00%	0.29%	0.38%	0.41%	0.79%	0.00%	0.62%	0.86%	0.00%	0.00%	0.55%	0.65%	0.67%	0.44%	0.00%	0.00%	0.00%	0.33%	0.00%	0.83%	0.81%	0.57%	0.82%	0.00%	0.95%	0.69%	0.00%	1.28%	0.98%	0.00%	0.00%	0.40%	0.53%	0.00%	0.44%	0.00%	1.49%	2.35%	0.46%	0.00%	0.00%	0.53%	0.00%	0.42%	0.00%	0.00%	0.00%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
