Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Mихайловская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
18	1.Политическая партия «Аграрная партия России»	355	15	17	10	7	6	9	6	14	4	1	4	13	0	4	9	7	11	6	1	3	3	18	4	3	1	5	10	2	1	0	14	1	19	12	8	4	8	12	4	1	14	1	2	6	4	9	5	3	2	3	6	6	6	1	5	5									
		2.06%	1.92%	2.21%	1.55%	1.73%	1.23%	1.61%	1.35%	2.41%	1.84%	0.27%	1.25%	2.66%	0.00%	1.28%	2.06%	1.47%	2.44%	2.70%	0.25%	1.21%	1.08%	2.15%	0.99%	4.17%	1.64%	2.39%	3.09%	3.03%	0.79%	0.00%	2.48%	0.74%	10.67%	4.72%	4.79%	2.31%	9.88%	5.48%	2.58%	1.14%	5.00%	0.43%	1.82%	2.51%	2.34%	3.85%	4.55%	1.21%	0.60%	0.79%	1.97%	3.45%	2.63%	0.52%	0.97%	1.93%									
19	2.Всероссийская политическая партия «Гражданская Сила»	70	2	3	3	0	5	6	4	4	0	1	1	5	3	2	2	1	0	1	0	1	1	3	1	0	0	0	2	0	0	0	5	0	0	1	0	0	1	0	2	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	2	1									
		0.41%	0.26%	0.39%	0.47%	0.00%	1.02%	1.08%	0.90%	0.69%	0.00%	0.27%	0.31%	1.02%	2.54%	0.64%	0.46%	0.21%	0.00%	0.45%	0.00%	0.40%	0.36%	0.36%	0.25%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.39%	0.00%	0.00%	1.23%	0.00%	1.29%	1.14%	0.36%	0.00%	0.91%	0.42%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.44%	0.00%	0.39%	0.39%									
20	3.Политическая партия «Демократическая партия России»	23	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	2	1	1	0	0	0	0	3	0									
		0.13%	0.13%	0.00%	0.31%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.40%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.36%	0.00%	0.00%	0.00%	0.58%	0.85%	0.00%	0.81%	0.30%	0.26%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%									
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1729	93	79	62	57	59	96	55	70	21	43	32	60	5	50	68	47	65	24	54	22	42	90	12	4	0	10	9	11	12	9	50	8	15	26	14	9	9	5	12	6	30	14	11	11	13	26	4	27	19	18	18	13	32	11	46	21									
		10.01%	11.89%	10.26%	9.63%	14.11%	12.07%	17.20%	12.33%	12.03%	9.68%	11.62%	10.03%	12.27%	4.24%	15.97%	15.60%	9.87%	14.44%	10.81%	13.64%	8.91%	15.11%	10.77%	2.97%	5.56%	0.00%	4.78%	2.78%	16.67%	9.52%	6.87%	8.85%	5.88%	8.43%	10.24%	8.38%	5.20%	11.11%	2.28%	7.74%	6.82%	10.71%	5.98%	10.00%	4.60%	7.60%	11.11%	3.64%	10.89%	5.72%	4.74%	5.90%	7.47%	14.04%	5.67%	8.91%	8.11%									
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	51	4	1	4	2	4	2	2	0	0	1	2	1	1	3	1	3	1	4	2	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0									
		0.30%	0.51%	0.13%	0.62%	0.50%	0.82%	0.36%	0.45%	0.00%	0.00%	0.27%	0.63%	0.20%	0.85%	0.96%	0.23%	0.63%	0.22%	1.80%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.74%	0.56%	0.00%	0.00%	0.00%	0.00%	1.83%	0.00%	0.00%	0.36%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.44%	0.00%	0.19%	0.00%									
23	6.Политическая партия «Партия социальной справедливости»	25	0	0	2	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	1	0	0	0	1	1									
		0.14%	0.00%	0.00%	0.31%	0.25%	0.20%	0.18%	0.00%	0.17%	0.46%	0.00%	0.31%	0.20%	0.00%	0.32%	0.00%	0.21%	0.00%	0.00%	0.00%	0.40%	0.00%	0.24%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.84%	0.00%	0.00%	0.91%	0.00%	0.30%	0.00%	0.33%	0.00%	0.00%	0.00%	0.19%	0.39%									
24	7.Политическая партия «Либерально-демократическая партия России»	1547	74	85	68	46	55	55	45	69	26	47	47	33	12	20	37	42	25	15	29	17	20	44	28	2	4	19	24	6	12	12	48	23	9	12	17	12	1	30	13	10	21	19	12	21	7	14	9	16	32	26	36	9	27	12	66	27									
		8.96%	9.46%	11.04%	10.56%	11.39%	11.25%	9.86%	10.09%	11.86%	11.98%	12.70%	14.73%	6.75%	10.17%	6.39%	8.49%	8.82%	5.56%	6.76%	7.32%	6.88%	7.19%	5.26%	6.93%	2.78%	6.56%	9.09%	7.41%	9.09%	9.52%	9.16%	8.50%	16.91%	5.06%	4.72%	10.18%	6.94%	1.23%	13.70%	8.39%	11.36%	7.50%	8.12%	10.91%	8.79%	4.09%	5.98%	8.18%	6.45%	9.64%	6.84%	11.80%	5.17%	11.84%	6.19%	12.79%	10.42%									
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1422	65	55	56	20	26	32	38	31	11	24	34	33	9	32	57	62	78	27	56	30	31	38	23	1	1	8	20	3	14	25	40	16	17	17	10	0	2	5	5	6	15	58	16	18	8	6	11	46	31	17	20	3	17	14	62	22									
		8.24%	8.31%	7.14%	8.70%	4.95%	5.32%	5.73%	8.52%	5.33%	5.07%	6.49%	10.66%	6.75%	7.63%	10.22%	13.07%	13.03%	17.33%	12.16%	14.14%	12.15%	11.15%	4.55%	5.69%	1.39%	1.64%	3.83%	6.17%	4.55%	11.11%	19.08%	7.08%	11.76%	9.55%	6.69%	5.99%	0.00%	2.47%	2.28%	3.23%	6.82%	5.36%	24.79%	14.55%	7.53%	4.68%	2.56%	10.00%	18.55%	9.34%	4.47%	6.56%	1.72%	7.46%	7.22%	12.02%	8.49%									
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	176	16	11	7	4	9	7	0	9	3	4	2	4	0	2	4	0	3	0	4	4	4	11	3	2	1	2	5	0	3	1	4	2	2	0	4	0	1	3	0	4	4	0	2	3	3	0	1	5	5	0	0	1	1	0	3	3									
		1.02%	2.05%	1.43%	1.09%	0.99%	1.84%	1.25%	0.00%	1.55%	1.38%	1.08%	0.63%	0.82%	0.00%	0.64%	0.92%	0.00%	0.67%	0.00%	1.01%	1.62%	1.44%	1.32%	0.74%	2.78%	1.64%	0.96%	1.54%	0.00%	2.38%	0.76%	0.71%	1.47%	1.12%	0.00%	2.40%	0.00%	1.23%	1.37%	0.00%	4.55%	1.43%	0.00%	1.82%	1.26%	1.75%	0.00%	0.91%	2.02%	1.51%	0.00%	0.00%	0.57%	0.44%	0.00%	0.58%	1.16%									
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	11570	484	513	416	259	307	336	287	372	144	245	190	327	86	194	247	300	259	141	238	165	175	615	327	56	52	163	253	44	83	83	394	84	105	182	110	148	57	154	116	58	191	139	64	174	135	175	78	147	237	312	224	141	142	151	317	174									
		67.01%	61.89%	66.62%	64.60%	64.11%	62.78%	60.22%	64.35%	63.92%	66.36%	66.22%	59.56%	66.87%	72.88%	61.98%	56.65%	63.03%	57.56%	63.51%	60.10%	66.80%	62.95%	73.56%	80.94%	77.78%	85.25%	77.99%	78.09%	66.67%	65.87%	63.36%	69.73%	61.76%	58.99%	71.65%	65.87%	85.55%	70.37%	70.32%	74.84%	65.91%	68.21%	59.40%	58.18%	72.80%	78.95%	74.79%	70.91%	59.27%	71.39%	82.11%	73.44%	81.03%	62.28%	77.84%	61.43%	67.18%									
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	130	14	2	9	3	5	5	5	5	3	1	6	8	1	2	6	6	4	2	4	0	0	2	0	2	0	2	0	0	0	0	2	0	9	1	3	0	1	4	2	0	1	0	0	1	0	0	1	1	0	0	0	0	1	3	3	0									
		0.75%	1.79%	0.26%	1.40%	0.74%	1.02%	0.90%	1.12%	0.86%	1.38%	0.27%	1.88%	1.64%	0.85%	0.64%	1.38%	1.26%	0.89%	0.90%	1.01%	0.00%	0.00%	0.24%	0.00%	2.78%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	5.06%	0.39%	1.80%	0.00%	1.23%	1.83%	1.29%	0.00%	0.36%	0.00%	0.00%	0.42%	0.00%	0.00%	0.91%	0.40%	0.00%	0.00%	0.00%	0.00%	0.44%	1.55%	0.58%	0.00%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
