Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Екатеринбург, Железнодорожная"																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №244	УИК №245	УИК №620	УИК №679	УИК №694	УИК №695	УИК №696	УИК №960	УИК №961	УИК №964	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №2620									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4490	80	70	0	50	90	70	60	50	0	70	50	50	50	50	40	50	80	80	50	70	60	40	70	60	30	10	60	70	70	80	60	80	70	90	90	80	100	80	80	90	70	70	90	80	70	70	70	60	90	60	70	50	90	90	90	90	90	70	90	90	100	10	30	40	70	90	0	10	40	70									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1618	17	20	0	20	40	22	20	21	0	19	17	26	16	15	12	20	24	35	21	14	16	14	29	13	9	3	23	34	23	27	28	28	29	33	31	41	40	19	32	38	17	26	36	25	33	38	34	21	41	12	29	21	47	38	38	24	43	35	22	32	24	0	10	4	21	21	0	0	9	28									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1353	17	10	107	12	14	17	10	25	23	22	12	23	9	16	23	40	46	29	45	58	50	53	11	8	20	11	10	6	12	11	10	10	4	11	17	18	14	22	16	20	9	8	18	11	9	21	11	13	24	8	34	19	7	6	17	25	16	15	19	9	22	16	12	8	18	11	45	0	14	16									
14	Число погашенных неиспользованных открепительных удостоверений	2872	63	50	0	30	50	48	40	29	0	51	33	24	34	35	28	30	56	45	29	56	44	26	41	47	21	7	37	36	47	53	32	52	41	57	59	39	60	61	48	52	53	44	54	55	37	32	36	39	49	48	41	29	43	52	52	66	47	35	68	58	76	10	20	36	49	69	0	10	31	42									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	194	2	4	0	1	4	3	0	0	0	1	0	2	2	3	2	3	5	5	3	1	4	3	2	2	1	1	4	4	3	1	4	2	2	5	2	5	3	6	2	1	6	1	0	7	3	1	3	1	5	5	3	4	3	2	3	10	8	4	2	2	4	0	0	0	3	12	0	0	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	958	9	14	2	8	19	9	12	17	3	11	13	11	18	7	19	17	28	31	21	11	16	10	24	15	16	2	7	7	10	19	16	11	17	10	20	11	10	9	13	29	11	14	24	19	12	16	16	8	14	9	13	12	12	10	19	10	26	18	22	13	28	1	8	9	10	13	1	8	19	11									
		2.14%	1.27%	1.98%	1.87%	1.64%	2.25%	1.44%	2.08%	2.82%	0.53%	1.73%	2.27%	2.13%	3.14%	1.08%	3.81%	2.63%	3.07%	3.60%	3.19%	1.94%	2.21%	1.83%	2.97%	2.28%	4.09%	2.27%	1.46%	1.28%	1.86%	2.63%	2.39%	1.51%	2.29%	1.42%	2.21%	1.47%	1.05%	1.20%	1.52%	3.40%	1.12%	2.24%	2.94%	2.50%	1.90%	2.23%	2.24%	1.47%	1.86%	1.65%	1.86%	2.21%	1.57%	1.43%	2.61%	1.31%	3.07%	2.94%	2.69%	1.64%	3.11%	0.75%	2.59%	2.75%	1.53%	1.67%	0.61%	2.76%	3.51%	1.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1015	19	17	4	14	14	17	13	27	7	16	8	12	11	9	12	15	8	12	9	6	23	12	21	13	8	2	8	13	13	19	10	30	11	21	23	14	25	12	13	15	20	15	26	17	14	17	13	7	20	15	25	10	13	21	11	20	22	14	16	24	17	2	9	8	25	14	7	4	21	12									
		2.27%	2.68%	2.40%	3.74%	2.86%	1.66%	2.72%	2.25%	4.48%	1.24%	2.52%	1.40%	2.32%	1.92%	1.39%	2.40%	2.32%	0.88%	1.39%	1.37%	1.06%	3.18%	2.19%	2.60%	1.98%	2.05%	2.27%	1.67%	2.39%	2.42%	2.63%	1.49%	4.12%	1.48%	2.99%	2.54%	1.88%	2.63%	1.60%	1.52%	1.76%	2.03%	2.40%	3.19%	2.24%	2.22%	2.36%	1.82%	1.28%	2.66%	2.76%	3.57%	1.85%	1.70%	3.00%	1.51%	2.61%	2.60%	2.29%	1.96%	3.02%	1.89%	1.50%	2.91%	2.45%	3.82%	1.80%	4.27%	1.38%	3.87%	1.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1519	15	15	3	25	18	16	22	21	5	25	12	27	22	21	22	28	31	21	13	27	16	24	28	26	11	2	16	22	21	21	25	22	24	30	25	35	33	32	32	25	17	35	28	33	18	33	31	14	29	15	13	20	19	26	26	24	22	15	34	30	33	3	5	8	27	36	12	15	22	17									
		3.39%	2.11%	2.12%	2.80%	5.11%	2.13%	2.56%	3.81%	3.48%	0.88%	3.94%	2.09%	5.22%	3.84%	3.24%	4.41%	4.33%	3.40%	2.44%	1.98%	4.76%	2.21%	4.39%	3.47%	3.95%	2.81%	2.27%	3.33%	4.04%	3.90%	2.91%	3.74%	3.02%	3.23%	4.27%	2.77%	4.69%	3.47%	4.28%	3.75%	2.93%	1.73%	5.59%	3.43%	4.35%	2.86%	4.59%	4.35%	2.56%	3.86%	2.76%	1.86%	3.69%	2.48%	3.72%	3.57%	3.13%	2.60%	2.45%	4.16%	3.77%	3.67%	2.26%	1.62%	2.45%	4.13%	4.62%	7.32%	5.17%	4.06%	2.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17334	280	281	44	185	342	226	215	198	391	233	204	165	182	225	149	215	308	299	231	232	254	198	331	216	139	24	192	212	234	273	256	283	308	258	324	273	373	286	319	310	548	212	309	304	231	260	277	214	287	206	277	213	310	276	255	302	364	233	288	315	400	69	126	150	280	311	65	157	179	248									
		38.71%	39.44%	39.69%	41.12%	37.83%	40.47%	36.10%	37.20%	32.84%	69.20%	36.69%	35.60%	31.91%	31.76%	34.72%	29.86%	33.28%	33.81%	34.73%	35.11%	40.92%	35.08%	36.20%	40.97%	32.83%	35.55%	27.27%	40.00%	38.90%	43.49%	37.81%	38.27%	38.87%	41.45%	36.70%	35.84%	36.60%	39.26%	38.24%	37.40%	36.30%	55.75%	33.87%	37.87%	40.05%	36.67%	36.16%	38.85%	39.19%	38.16%	37.87%	39.57%	39.30%	40.47%	39.48%	34.98%	39.43%	43.03%	38.07%	35.25%	39.62%	44.44%	51.88%	40.78%	45.87%	42.81%	39.92%	39.63%	54.14%	33.03%	40.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	778	7	8	0	8	15	12	7	12	8	8	7	9	8	17	5	15	27	28	16	7	12	16	13	10	5	3	5	8	9	8	10	10	13	9	25	12	16	5	24	17	11	5	14	10	15	19	14	8	13	14	10	12	16	10	12	10	12	9	16	12	11	0	6	8	12	11	1	4	19	10									
		1.74%	0.99%	1.13%	0.00%	1.64%	1.78%	1.92%	1.21%	1.99%	1.42%	1.26%	1.22%	1.74%	1.40%	2.62%	1.00%	2.32%	2.96%	3.25%	2.43%	1.23%	1.66%	2.93%	1.61%	1.52%	1.28%	3.41%	1.04%	1.47%	1.67%	1.11%	1.49%	1.37%	1.75%	1.28%	2.77%	1.61%	1.68%	0.67%	2.81%	1.99%	1.12%	0.80%	1.72%	1.32%	2.38%	2.64%	1.96%	1.47%	1.73%	2.57%	1.43%	2.21%	2.09%	1.43%	1.65%	1.31%	1.42%	1.47%	1.96%	1.51%	1.22%	0.00%	1.94%	2.45%	1.83%	1.41%	0.61%	1.38%	3.51%	1.65%									
24	"6. Политическая партия ""Гражданская Платформа"""	204	0	3	0	4	2	1	1	1	2	2	2	1	3	3	4	3	2	3	1	3	5	3	5	3	1	0	2	3	4	3	5	5	3	3	9	4	8	1	6	5	4	1	3	3	4	2	4	3	3	3	4	4	2	1	3	3	3	1	4	2	9	0	2	0	4	3	0	3	3	4									
		0.46%	0.00%	0.42%	0.00%	0.82%	0.24%	0.16%	0.17%	0.17%	0.35%	0.31%	0.35%	0.19%	0.52%	0.46%	0.80%	0.46%	0.22%	0.35%	0.15%	0.53%	0.69%	0.55%	0.62%	0.46%	0.26%	0.00%	0.42%	0.55%	0.74%	0.42%	0.75%	0.69%	0.40%	0.43%	0.99%	0.54%	0.84%	0.13%	0.70%	0.59%	0.41%	0.16%	0.37%	0.40%	0.63%	0.28%	0.56%	0.55%	0.40%	0.55%	0.57%	0.74%	0.26%	0.14%	0.41%	0.39%	0.35%	0.16%	0.49%	0.25%	1.00%	0.00%	0.65%	0.00%	0.61%	0.39%	0.00%	1.03%	0.55%	0.66%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5950	91	75	15	67	114	99	88	64	58	81	72	73	64	77	63	73	79	88	71	67	70	54	76	77	31	21	92	95	98	106	81	84	94	94	115	99	130	114	106	98	176	77	104	95	94	119	114	87	115	81	103	89	127	95	110	122	85	101	137	102	126	16	56	57	89	91	25	27	47	69									
		13.29%	12.82%	10.59%	14.02%	13.70%	13.49%	15.81%	15.22%	10.61%	10.27%	12.76%	12.57%	14.12%	11.17%	11.88%	12.63%	11.30%	8.67%	10.22%	10.79%	11.82%	9.67%	9.87%	9.41%	11.70%	7.93%	23.86%	19.17%	17.43%	18.22%	14.68%	12.11%	11.54%	12.65%	13.37%	12.72%	13.27%	13.68%	15.24%	12.43%	11.48%	17.90%	12.30%	12.75%	12.52%	14.92%	16.55%	15.99%	15.93%	15.29%	14.89%	14.71%	16.42%	16.58%	13.59%	15.09%	15.93%	10.05%	16.50%	16.77%	12.83%	14.00%	12.03%	18.12%	17.43%	13.61%	11.68%	15.24%	9.31%	8.67%	11.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	635	5	10	0	4	10	4	12	17	2	8	15	11	4	12	14	15	37	15	12	3	15	11	10	15	6	1	4	6	4	9	7	9	9	7	10	15	7	14	16	9	13	7	15	13	10	10	7	4	9	5	7	5	7	7	5	6	5	9	13	21	11	2	5	0	1	10	0	3	20	11									
		1.42%	0.70%	1.41%	0.00%	0.82%	1.18%	0.64%	2.08%	2.82%	0.35%	1.26%	2.62%	2.13%	0.70%	1.85%	2.81%	2.32%	4.06%	1.74%	1.82%	0.53%	2.07%	2.01%	1.24%	2.28%	1.53%	1.14%	0.83%	1.10%	0.74%	1.25%	1.05%	1.24%	1.21%	0.99%	1.11%	2.01%	0.74%	1.87%	1.88%	1.05%	1.32%	1.12%	1.84%	1.71%	1.59%	1.39%	0.98%	0.73%	1.20%	0.92%	1.00%	0.92%	0.91%	1.00%	0.69%	0.78%	0.59%	1.47%	1.59%	2.64%	1.22%	1.50%	1.62%	0.00%	0.15%	1.28%	0.00%	1.03%	3.69%	1.81%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	903	8	9	1	10	14	11	9	9	4	12	15	17	23	17	11	22	33	34	20	12	33	17	18	19	12	3	8	11	8	18	3	8	16	11	24	9	18	8	22	19	8	11	16	17	9	16	7	7	14	6	15	10	15	5	22	9	21	14	14	15	16	2	14	4	5	10	0	4	16	5									
		2.02%	1.13%	1.27%	0.93%	2.04%	1.66%	1.76%	1.56%	1.49%	0.71%	1.89%	2.62%	3.29%	4.01%	2.62%	2.20%	3.41%	3.62%	3.95%	3.04%	2.12%	4.56%	3.11%	2.23%	2.89%	3.07%	3.41%	1.67%	2.02%	1.49%	2.49%	0.45%	1.10%	2.15%	1.56%	2.65%	1.21%	1.89%	1.07%	2.58%	2.22%	0.81%	1.76%	1.96%	2.24%	1.43%	2.23%	0.98%	1.28%	1.86%	1.10%	2.14%	1.85%	1.96%	0.72%	3.02%	1.17%	2.48%	2.29%	1.71%	1.89%	1.78%	1.50%	4.53%	1.22%	0.76%	1.28%	0.00%	1.38%	2.95%	0.82%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	83	0	2	0	0	6	1	1	0	0	3	0	2	0	0	0	0	2	5	1	0	0	0	1	4	1	0	0	2	2	0	2	1	3	1	0	3	0	1	0	2	1	1	3	1	0	2	1	0	0	0	3	1	0	2	2	4	0	0	1	2	0	0	0	0	1	1	0	5	4	2									
		0.19%	0.00%	0.28%	0.00%	0.00%	0.71%	0.16%	0.17%	0.00%	0.00%	0.47%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.22%	0.58%	0.15%	0.00%	0.00%	0.00%	0.12%	0.61%	0.26%	0.00%	0.00%	0.37%	0.37%	0.00%	0.30%	0.14%	0.40%	0.14%	0.00%	0.40%	0.00%	0.13%	0.00%	0.23%	0.10%	0.16%	0.37%	0.13%	0.00%	0.28%	0.14%	0.00%	0.00%	0.00%	0.43%	0.18%	0.00%	0.29%	0.27%	0.52%	0.00%	0.00%	0.12%	0.25%	0.00%	0.00%	0.00%	0.00%	0.15%	0.13%	0.00%	1.72%	0.74%	0.33%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2112	36	32	2	14	47	22	24	63	9	26	62	40	62	58	47	43	125	94	66	33	53	51	48	46	31	3	12	20	12	26	28	22	17	28	45	33	36	34	49	46	15	26	21	23	29	23	20	19	26	23	9	17	26	22	20	11	11	14	19	26	33	4	20	4	14	29	4	4	37	18									
		4.72%	5.07%	4.52%	1.87%	2.86%	5.56%	3.51%	4.15%	10.45%	1.59%	4.09%	10.82%	7.74%	10.82%	8.95%	9.42%	6.66%	13.72%	10.92%	10.03%	5.82%	7.32%	9.32%	5.94%	6.99%	7.93%	3.41%	2.50%	3.67%	2.23%	3.60%	4.19%	3.02%	2.29%	3.98%	4.98%	4.42%	3.79%	4.55%	5.74%	5.39%	1.53%	4.15%	2.57%	3.03%	4.60%	3.20%	2.81%	3.48%	3.46%	4.23%	1.29%	3.14%	3.39%	3.15%	2.74%	1.44%	1.30%	2.29%	2.33%	3.27%	3.67%	3.01%	6.47%	1.22%	2.14%	3.72%	2.44%	1.38%	6.83%	2.97%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5182	106	97	21	46	100	84	52	77	28	69	77	60	78	90	63	83	87	105	100	67	85	66	103	88	47	12	60	65	45	102	88	103	85	77	104	95	105	75	96	105	68	65	95	94	64	65	87	61	81	68	82	72	88	81	70	69	123	77	94	88	73	20	22	36	86	81	19	17	70	70									
		11.57%	14.93%	13.70%	19.63%	9.41%	11.83%	13.42%	8.99%	12.77%	4.96%	10.87%	13.44%	11.61%	13.61%	13.89%	12.63%	12.85%	9.55%	12.20%	15.20%	11.82%	11.74%	12.07%	12.75%	13.37%	12.02%	13.64%	12.50%	11.93%	8.36%	14.13%	13.15%	14.15%	11.44%	10.95%	11.50%	12.73%	11.05%	10.03%	11.25%	12.30%	6.92%	10.38%	11.64%	12.38%	10.16%	9.04%	12.20%	11.17%	10.77%	12.50%	11.71%	13.28%	11.49%	11.59%	9.60%	9.01%	14.54%	12.58%	11.51%	11.07%	8.11%	15.04%	7.12%	11.01%	13.15%	10.40%	11.59%	5.86%	12.92%	11.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	320	6	5	1	4	6	11	3	3	3	3	0	0	2	4	2	3	6	4	5	0	4	2	4	3	3	3	3	4	4	1	1	5	7	2	7	5	7	8	11	13	7	14	6	7	6	5	5	6	6	3	8	5	5	2	4	3	3	7	11	5	8	0	1	2	4	6	1	2	0	10									
		0.71%	0.85%	0.71%	0.93%	0.82%	0.71%	1.76%	0.52%	0.50%	0.53%	0.47%	0.00%	0.00%	0.35%	0.62%	0.40%	0.46%	0.66%	0.46%	0.76%	0.00%	0.55%	0.37%	0.50%	0.46%	0.77%	3.41%	0.63%	0.73%	0.74%	0.14%	0.15%	0.69%	0.94%	0.28%	0.77%	0.67%	0.74%	1.07%	1.29%	1.52%	0.71%	2.24%	0.74%	0.92%	0.95%	0.70%	0.70%	1.10%	0.80%	0.55%	1.14%	0.92%	0.65%	0.29%	0.55%	0.39%	0.35%	1.14%	1.35%	0.63%	0.89%	0.00%	0.32%	0.61%	0.61%	0.77%	0.61%	0.69%	0.00%	1.65%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6381	105	120	12	83	116	103	104	74	35	113	68	77	84	89	75	91	114	101	72	85	119	64	105	100	73	8	58	61	54	102	118	108	112	131	137	121	151	123	125	134	56	113	125	98	101	104	101	91	110	68	105	58	108	109	142	141	127	81	124	110	103	14	26	29	67	131	23	21	74	96									
		14.25%	14.79%	16.95%	11.21%	16.97%	13.73%	16.45%	17.99%	12.27%	6.19%	17.80%	11.87%	14.89%	14.66%	13.73%	15.03%	14.09%	12.51%	11.73%	10.94%	14.99%	16.44%	11.70%	12.99%	15.20%	18.67%	9.09%	12.08%	11.19%	10.04%	14.13%	17.64%	14.84%	15.07%	18.63%	15.15%	16.22%	15.89%	16.44%	14.65%	15.69%	5.70%	18.05%	15.32%	12.91%	16.03%	14.46%	14.17%	16.67%	14.63%	12.50%	15.00%	10.70%	14.10%	15.59%	19.48%	18.41%	15.01%	13.24%	15.18%	13.84%	11.44%	10.53%	8.41%	8.87%	10.24%	16.82%	14.02%	7.24%	13.65%	15.82%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
