Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Татищевская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116					
		0.41%	0.20%	0.21%	0.75%	0.0%	0.43%	1.60%	0.49%	0.0%	0.16%	0.83%	0.36%	0.0%	0.0%	0.0%	0.22%	0.0%	0.14%	0.0%	0.52%	0.36%	0.17%	0.0%	0.0%	0.0%	0.51%	0.16%	1.09%	0.76%	0.78%	0.14%					
25	"8. ""Народно-республиканская партия России"""	22	0	2	1	0	0	1	0	2	8	0	2	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0					
		0.12%	0.0%	0.14%	0.05%	0.0%	0.0%	0.40%	0.0%	0.76%	1.35%	0.0%	0.36%	0.0%	0.0%	0.0%	0.22%	0.0%	0.14%	0.0%	0.10%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.26%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	29	4	4	1	1	1	2	1	0	2	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	3	2	1	1					
		0.16%	0.27%	0.29%	0.05%	0.26%	0.21%	0.80%	0.07%	0.0%	0.33%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.21%	0.26%	0.14%					
27	"10. ""Аграрная партия России"""	432	29	37	23	19	23	8	15	4	6	15	7	6	6	4	20	3	15	5	60	5	10	7	8	12	11	17	21	23	4	9					
		2.45%	2.0%	2.71%	1.24%	4.94%	4.98%	3.21%	1.05%	1.52%	1.01%	4.15%	1.26%	1.69%	3.63%	1.55%	4.45%	2.34%	2.10%	2.71%	6.28%	1.84%	1.74%	2.18%	3.66%	6.41%	5.64%	2.88%	1.91%	2.51%	1.04%	1.33%					
28	"11. ""Истинные патриоты России"""	25	1	1	2	1	2	4	0	0	0	1	1	0	0	2	2	0	2	0	1	1	2	1	1	0	0	0	0	0	0	0					
		0.14%	0.06%	0.07%	0.10%	0.26%	0.43%	1.60%	0.0%	0.0%	0.0%	0.27%	0.18%	0.0%	0.0%	0.77%	0.44%	0.0%	0.28%	0.0%	0.10%	0.36%	0.34%	0.31%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	167	17	11	5	4	2	11	13	6	3	5	8	4	1	0	0	1	5	2	20	5	6	2	2	6	1	8	4	12	2	1					
		0.94%	1.17%	0.80%	0.26%	1.04%	0.43%	4.41%	0.91%	2.29%	0.50%	1.38%	1.44%	1.13%	0.60%	0.0%	0.0%	0.78%	0.70%	1.08%	2.09%	1.84%	1.04%	0.62%	0.91%	3.20%	0.51%	1.35%	0.36%	1.31%	0.52%	0.14%					
30	"13. ""Демократическая партия России"""	24	0	3	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	4	1	2	1	0	1	0	2	0	3	1	0					
		0.13%	0.0%	0.21%	0.05%	0.0%	0.43%	0.40%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.36%	0.34%	0.31%	0.0%	0.53%	0.0%	0.33%	0.0%	0.32%	0.26%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	40	0	1	3	1	0	1	3	2	3	6	3	0	0	0	1	3	0	0	3	0	0	0	0	5	0	0	0	3	1	1					
		0.22%	0.0%	0.07%	0.16%	0.26%	0.0%	0.40%	0.21%	0.76%	0.50%	1.66%	0.54%	0.0%	0.0%	0.0%	0.22%	2.34%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	2.67%	0.0%	0.0%	0.0%	0.32%	0.26%	0.14%					
32	"15. ""Партия СЛОН"""	8	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.04%	0.0%	0.0%	0.10%	0.26%	0.0%	0.40%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	669	68	51	53	8	18	9	21	7	31	8	19	5	2	5	19	7	15	4	62	9	39	5	6	14	4	11	62	77	19	11					
		3.80%	4.68%	3.73%	2.85%	2.08%	3.90%	3.61%	1.47%	2.67%	5.24%	2.21%	3.42%	1.41%	1.21%	1.93%	4.23%	5.46%	2.10%	2.17%	6.49%	3.32%	6.81%	1.55%	2.75%	7.48%	2.05%	1.86%	5.65%	8.41%	4.96%	1.62%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	44	2	3	0	3	1	1	1	1	1	1	1	1	0	1	4	1	3	0	5	0	0	2	2	0	0	0	5	5	0	0					
		0.25%	0.13%	0.21%	0.0%	0.78%	0.21%	0.40%	0.07%	0.38%	0.16%	0.27%	0.18%	0.28%	0.0%	0.38%	0.89%	0.78%	0.42%	0.0%	0.52%	0.0%	0.0%	0.62%	0.91%	0.0%	0.0%	0.0%	0.45%	0.54%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1420	96	148	205	25	44	24	28	17	46	44	63	18	4	7	32	11	57	13	83	29	54	7	10	14	16	61	102	102	43	17					
		8.07%	6.62%	10.84%	11.05%	6.51%	9.54%	9.63%	1.96%	6.48%	7.78%	12.18%	11.37%	5.09%	2.42%	2.71%	7.12%	8.59%	7.99%	7.06%	8.70%	10.70%	9.44%	2.18%	4.58%	7.48%	8.20%	10.33%	9.30%	11.14%	11.22%	2.51%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	156	10	14	15	5	10	2	2	3	7	1	4	0	0	0	6	4	0	2	17	4	7	0	3	2	1	9	12	11	5	0					
		0.88%	0.68%	1.02%	0.80%	1.30%	2.16%	0.80%	0.14%	1.14%	1.18%	0.27%	0.72%	0.0%	0.0%	0.0%	1.33%	3.12%	0.0%	1.08%	1.78%	1.47%	1.22%	0.0%	1.37%	1.06%	0.51%	1.52%	1.09%	1.20%	1.30%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	10544	886	712	1103	232	229	115	1231	166	384	150	321	236	120	186	281	70	468	118	414	181	253	254	134	68	112	351	587	400	186	596					
		59.95%	61.10%	52.16%	59.49%	60.41%	49.67%	46.18%	86.20%	63.35%	64.97%	41.55%	57.94%	66.85%	72.72%	72.09%	62.58%	54.68%	65.63%	64.13%	43.39%	66.78%	44.23%	79.12%	61.46%	36.36%	57.43%	59.49%	53.55%	43.71%	48.56%	88.29%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	1	2	1	1	0	0	1	0	0	0	0	2	0	2	1	1	2	0	1	0	2	0	0	1	0	7	1	3	1	1					
		0.17%	0.06%	0.14%	0.05%	0.26%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.77%	0.22%	0.78%	0.28%	0.0%	0.10%	0.0%	0.34%	0.0%	0.0%	0.53%	0.0%	1.18%	0.09%	0.32%	0.26%	0.14%					
39	"22. ""Развитие предпринимательства"""	26	1	3	1	0	0	0	5	1	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	6	1	1					
		0.14%	0.06%	0.21%	0.05%	0.0%	0.0%	0.0%	0.35%	0.38%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.22%	0.0%	0.28%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.65%	0.26%	0.14%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1783	131	214	196	25	54	21	35	26	32	49	55	43	28	20	32	14	91	30	108	13	105	28	30	35	23	100	93	92	43	17					
		10.13%	9.03%	15.67%	10.57%	6.51%	11.71%	8.43%	2.45%	9.92%	5.41%	13.57%	9.92%	12.18%	16.96%	7.75%	7.12%	10.93%	12.76%	16.30%	11.32%	4.79%	18.35%	8.72%	13.76%	18.71%	11.79%	16.94%	8.48%	10.05%	11.22%	2.51%					
																																					
41	Против всех	677	56	58	90	22	30	7	5	4	26	20	6	9	2	3	14	3	15	2	62	8	24	7	10	14	13	5	79	58	25	0					
		3.84%	3.86%	4.24%	4.85%	5.72%	6.50%	2.81%	0.35%	1.52%	4.39%	5.54%	1.08%	2.54%	1.21%	1.16%	3.11%	2.34%	2.10%	1.08%	6.49%	2.95%	4.19%	2.18%	4.58%	7.48%	6.66%	0.84%	7.20%	6.33%	6.52%	0.0%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
