Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Cемилукская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555									
11	Число открепительных удостоверений, полученных участковыми комиссиями	382	17	16	7	20	11	18	22	24	15	0	10	2	2	6	3	3	7	9	12	12	12	2	2	7	3	3	3	5	2	2	2	5	2	10	5	2	2	2	9	3	2	2	2	7	2	2	2	2	7	15	17	4	4	5	10									
12	Число открепительных удостоверений, выданных участковыми комиссиями	232	16	12	2	6	11	9	21	12	15	0	6	0	2	3	3	1	7	9	7	3	4	0	0	4	0	1	0	5	0	0	0	4	0	5	1	0	1	0	9	0	0	0	0	5	2	0	0	0	7	12	14	0	1	5	7									
13	Число избирателей, проголосовавших по открепительным удостоверениям	255	1	3	0	4	2	3	5	3	4	132	3	3	2	1	2	3	1	3	0	2	0	3	3	5	3	3	2	6	3	2	0	3	2	1	2	1	3	4	0	0	1	2	0	4	1	1	1	1	2	5	2	1	2	5	4									
14	Число погашенных открепительных удостоверений	150	1	4	5	14	0	9	1	12	0	0	4	2	0	3	0	2	0	0	5	9	8	2	2	3	3	2	3	0	2	2	2	1	2	5	4	2	1	2	0	3	2	2	2	2	0	2	2	2	0	3	3	4	3	0	3									
15	Число открепительных удостоверений выданных ТИК	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
18	"1. ""ЕДИНЕНИЕ"""	261	18	11	4	5	10	11	0	5	1	2	3	2	4	7	9	1	4	10	5	2	1	0	8	2	0	6	7	3	6	6	1	8	3	6	2	5	3	4	12	4	0	6	3	4	5	0	3	0	6	8	8	1	1	7	8									
		1.00%	1.62%	1.67%	1.64%	0.78%	0.93%	0.76%	0.0%	0.54%	0.06%	1.51%	0.57%	0.77%	1.23%	2.16%	3.87%	0.81%	0.73%	1.18%	0.77%	0.39%	0.35%	0.0%	2.84%	0.36%	0.0%	1.35%	2.34%	0.76%	2.25%	3.22%	0.81%	2.25%	1.20%	2.30%	0.62%	1.10%	0.98%	1.40%	1.59%	0.74%	0.0%	2.23%	2.18%	1.27%	1.76%	0.0%	1.41%	0.0%	0.81%	0.88%	1.18%	0.56%	0.41%	0.83%	1.01%									
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	515	16	11	4	13	31	28	18	27	37	5	15	4	3	2	3	6	14	32	22	5	5	0	4	7	2	6	12	2	4	1	0	9	1	9	7	6	4	13	13	9	0	2	1	1	2	14	9	0	14	12	16	1	6	15	12									
		1.98%	1.44%	1.67%	1.64%	2.03%	2.89%	1.94%	1.68%	2.93%	2.52%	3.78%	2.89%	1.54%	0.92%	0.61%	1.29%	4.87%	2.58%	3.78%	3.41%	0.98%	1.76%	0.0%	1.42%	1.26%	1.40%	1.35%	4.01%	0.51%	1.50%	0.53%	0.0%	2.54%	0.40%	3.46%	2.18%	1.32%	1.30%	4.57%	1.72%	1.66%	0.0%	0.74%	0.72%	0.31%	0.70%	3.49%	4.24%	0.0%	1.90%	1.32%	2.37%	0.56%	2.48%	1.78%	1.52%									
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	735	36	16	8	23	30	44	23	27	40	3	11	2	2	8	8	0	12	18	17	11	8	4	1	14	7	11	9	14	6	0	2	29	11	8	4	13	0	8	28	22	3	15	0	4	8	7	3	5	23	46	25	7	5	24	22									
		2.83%	3.25%	2.43%	3.29%	3.60%	2.80%	3.05%	2.15%	2.93%	2.72%	2.27%	2.12%	0.77%	0.61%	2.47%	3.44%	0.0%	2.21%	2.12%	2.63%	2.17%	2.81%	4.0%	0.35%	2.52%	4.92%	2.48%	3.01%	3.57%	2.25%	0.0%	1.62%	8.19%	4.43%	3.07%	1.24%	2.87%	0.0%	2.81%	3.71%	4.07%	2.83%	5.59%	0.0%	1.27%	2.82%	1.74%	1.41%	2.27%	3.12%	5.06%	3.70%	3.95%	2.07%	2.85%	2.78%									
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	513	33	23	5	20	25	60	34	26	61	1	11	7	2	3	2	1	12	14	8	10	1	0	0	2	0	3	3	6	1	0	0	7	1	8	5	4	1	1	8	4	1	2	5	0	0	3	0	0	13	14	16	3	8	21	14									
		1.97%	2.98%	3.49%	2.05%	3.13%	2.33%	4.17%	3.18%	2.82%	4.16%	0.75%	2.12%	2.70%	0.61%	0.92%	0.86%	0.81%	2.21%	1.65%	1.24%	1.97%	0.35%	0.0%	0.0%	0.36%	0.0%	0.67%	1.00%	1.53%	0.37%	0.0%	0.0%	1.97%	0.40%	3.07%	1.55%	0.88%	0.32%	0.35%	1.06%	0.74%	0.94%	0.74%	3.64%	0.0%	0.0%	0.74%	0.0%	0.0%	1.76%	1.54%	2.37%	1.69%	3.31%	2.5%	1.77%									
22	"5. ""За Русь Святую"""	177	6	4	2	8	10	4	3	8	3	0	1	0	2	3	0	1	11	4	6	6	1	2	0	5	1	3	0	2	3	2	1	3	1	1	3	3	2	0	0	2	5	1	2	6	0	2	1	1	14	11	9	3	0	1	4									
		0.68%	0.54%	0.60%	0.82%	1.25%	0.93%	0.27%	0.28%	0.86%	0.20%	0.0%	0.19%	0.0%	0.61%	0.92%	0.0%	0.81%	2.02%	0.47%	0.93%	1.18%	0.35%	2.0%	0.0%	0.90%	0.70%	0.67%	0.0%	0.51%	1.12%	1.07%	0.81%	0.84%	0.40%	0.38%	0.93%	0.66%	0.65%	0.0%	0.0%	0.37%	4.71%	0.37%	1.45%	1.91%	0.0%	0.49%	0.47%	0.45%	1.90%	1.21%	1.33%	1.69%	0.0%	0.11%	0.50%									
23	"6. ""Объединенная Российская партия ""Русь"""	46	6	2	0	0	0	2	3	1	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	1	2	1	0	0	1	1	0	2	0	0	0	1	0	3	1	0	1	0	2	0	2	0	0	0	2	2	0	1	1	3									
		0.17%	0.54%	0.30%	0.0%	0.0%	0.0%	0.13%	0.28%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.18%	0.11%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.70%	0.45%	0.33%	0.0%	0.0%	0.53%	0.81%	0.0%	0.80%	0.0%	0.0%	0.0%	0.32%	0.0%	0.39%	0.18%	0.0%	0.37%	0.0%	0.63%	0.0%	0.49%	0.0%	0.0%	0.0%	0.22%	0.29%	0.0%	0.41%	0.11%	0.38%									
24	"7. ""Новый курс - Автомобильная Россия"""	191	7	4	1	8	6	6	7	16	28	1	6	1	1	0	1	0	4	3	6	4	1	0	5	1	0	1	0	1	1	0	0	5	2	4	4	5	0	2	5	3	0	1	1	1	1	0	1	0	3	3	5	3	1	9	12									
		0.73%	0.63%	0.60%	0.41%	1.25%	0.56%	0.41%	0.65%	1.73%	1.90%	0.75%	1.15%	0.38%	0.30%	0.0%	0.43%	0.0%	0.73%	0.35%	0.93%	0.79%	0.35%	0.0%	1.77%	0.18%	0.0%	0.22%	0.0%	0.25%	0.37%	0.0%	0.0%	1.41%	0.80%	1.53%	1.24%	1.10%	0.0%	0.70%	0.66%	0.55%	0.0%	0.37%	0.72%	0.31%	0.35%	0.0%	0.47%	0.0%	0.40%	0.33%	0.74%	1.69%	0.41%	1.07%	1.52%									
25	"8. ""Народно-республиканская партия России"""	35	0	0	0	0	2	6	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0	1	0	1	0	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	4	0									
		0.13%	0.0%	0.0%	0.0%	0.0%	0.18%	0.41%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.35%	1.0%	0.0%	0.54%	0.0%	0.0%	0.33%	0.0%	0.37%	0.0%	0.81%	1.12%	0.40%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.40%	0.0%	0.0%	0.0%	0.41%	0.47%	0.0%									
26	"9. ""Российская экологическая партия ""Зеленые"""	67	2	2	2	3	3	0	3	3	4	0	2	1	0	0	1	0	3	2	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	2	0	9	3	3	0	2	4	2									
		0.25%	0.18%	0.30%	0.82%	0.47%	0.28%	0.0%	0.28%	0.32%	0.27%	0.0%	0.38%	0.38%	0.0%	0.0%	0.43%	0.0%	0.55%	0.23%	0.31%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	1.24%	0.0%	0.0%	0.35%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	1.22%	0.33%	0.44%	0.0%	0.82%	0.47%	0.25%									
27	"10. ""Аграрная партия России"""	1246	42	22	13	12	37	64	45	39	77	6	19	24	32	14	12	6	23	39	23	37	16	2	20	20	8	20	16	27	14	14	3	21	17	11	17	25	13	12	27	23	4	18	4	27	28	63	18	9	23	44	19	9	6	30	32									
		4.80%	3.79%	3.34%	5.34%	1.88%	3.45%	4.45%	4.22%	4.23%	5.25%	4.54%	3.66%	9.26%	9.84%	4.33%	5.17%	4.87%	4.24%	4.60%	3.57%	7.31%	5.63%	2.0%	7.11%	3.61%	5.63%	4.52%	5.35%	6.88%	5.26%	7.52%	2.43%	5.93%	6.85%	4.23%	5.29%	5.53%	4.24%	4.22%	3.58%	4.25%	3.77%	6.71%	2.91%	8.59%	9.89%	15.71%	8.49%	4.09%	3.12%	4.84%	2.81%	5.08%	2.48%	3.57%	4.05%									
28	"11. ""Истинные патриоты России"""	18	0	2	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0									
		0.06%	0.0%	0.30%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.75%	0.19%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.11%	0.0%	0.19%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.56%	0.41%	0.0%	0.0%									
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	202	2	4	5	4	13	9	20	9	12	1	3	0	4	1	1	0	9	11	16	5	0	0	1	1	0	0	2	6	1	2	3	3	2	1	4	1	0	0	5	2	0	1	1	3	5	1	0	1	5	1	12	1	0	5	3									
		0.77%	0.18%	0.60%	2.05%	0.62%	1.21%	0.62%	1.87%	0.97%	0.81%	0.75%	0.57%	0.0%	1.23%	0.30%	0.43%	0.0%	1.66%	1.30%	2.48%	0.98%	0.0%	0.0%	0.35%	0.18%	0.0%	0.0%	0.66%	1.53%	0.37%	1.07%	2.43%	0.84%	0.80%	0.38%	1.24%	0.22%	0.0%	0.0%	0.66%	0.37%	0.0%	0.37%	0.72%	0.95%	1.76%	0.24%	0.0%	0.45%	0.68%	0.11%	1.78%	0.56%	0.0%	0.59%	0.38%									
30	"13. ""Демократическая партия России"""	69	7	3	1	1	1	2	2	1	2	1	0	2	2	1	1	0	0	4	3	0	1	0	2	1	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	3	0	1	0	3	0	8	0	2	2	1	3	0	0	2	1									
		0.26%	0.63%	0.45%	0.41%	0.15%	0.09%	0.13%	0.18%	0.10%	0.13%	0.75%	0.0%	0.77%	0.61%	0.30%	0.43%	0.0%	0.0%	0.47%	0.46%	0.0%	0.35%	0.0%	0.71%	0.18%	0.70%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.35%	0.0%	0.55%	0.0%	0.37%	0.0%	0.95%	0.0%	1.99%	0.0%	0.90%	0.27%	0.11%	0.44%	0.0%	0.0%	0.23%	0.12%									
31	"14. ""Великая Россия - Евразийский Союз"""	53	3	5	1	0	1	1	2	1	3	0	2	0	1	1	0	1	2	2	4	0	0	1	0	0	0	0	0	2	1	2	0	2	0	1	3	0	0	0	0	2	1	0	0	0	1	0	1	3	0	2	1	0	0	0	0									
		0.20%	0.27%	0.75%	0.41%	0.0%	0.09%	0.06%	0.18%	0.10%	0.20%	0.0%	0.38%	0.0%	0.30%	0.30%	0.0%	0.81%	0.36%	0.23%	0.62%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.37%	1.07%	0.0%	0.56%	0.0%	0.38%	0.93%	0.0%	0.0%	0.0%	0.0%	0.37%	0.94%	0.0%	0.0%	0.0%	0.35%	0.0%	0.47%	1.36%	0.0%	0.22%	0.14%	0.0%	0.0%	0.0%	0.0%									
32	"15. ""Партия СЛОН"""	30	1	1	3	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	4	1	2	0	2	2	0	1	0	0	1	0	1	0	0	1									
		0.11%	0.09%	0.15%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.30%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.74%	0.94%	0.74%	0.0%	0.63%	0.70%	0.0%	0.47%	0.0%	0.0%	0.11%	0.0%	0.56%	0.0%	0.0%	0.12%									
33	"16. ""Родина"" (народно-патриотический союз)"""	3497	164	103	33	89	180	238	193	167	277	16	106	46	18	27	26	11	73	88	99	74	11	10	17	81	20	85	20	27	10	10	4	28	10	21	34	42	18	19	161	54	8	23	11	32	15	26	19	11	88	125	108	24	35	134	128									
		13.47%	14.81%	15.65%	13.58%	13.94%	16.80%	16.55%	18.10%	18.15%	18.89%	12.12%	20.46%	17.76%	5.53%	8.35%	11.20%	8.94%	13.46%	10.40%	15.37%	14.62%	3.87%	10.0%	6.04%	14.62%	14.08%	19.23%	6.68%	6.88%	3.75%	5.37%	3.25%	7.90%	4.03%	8.07%	10.59%	9.29%	5.88%	6.69%	21.38%	10.0%	7.54%	8.58%	8.02%	10.19%	5.30%	6.48%	8.96%	5.0%	11.97%	13.76%	16.02%	13.55%	14.52%	15.95%	16.22%									
34	"17. ""Партия Мира и Единства (ПМЕ)"""	72	0	2	1	2	1	1	1	3	4	1	0	0	1	2	1	0	1	0	2	0	2	0	1	2	2	2	0	2	2	1	1	0	0	3	0	1	0	1	0	2	3	2	0	1	4	2	1	1	3	5	2	1	2	0	0									
		0.27%	0.0%	0.30%	0.41%	0.31%	0.09%	0.06%	0.09%	0.32%	0.27%	0.75%	0.0%	0.0%	0.30%	0.61%	0.43%	0.0%	0.18%	0.0%	0.31%	0.0%	0.70%	0.0%	0.35%	0.36%	1.40%	0.45%	0.0%	0.51%	0.75%	0.53%	0.81%	0.0%	0.0%	1.15%	0.0%	0.22%	0.0%	0.35%	0.0%	0.37%	2.83%	0.74%	0.0%	0.31%	1.41%	0.49%	0.47%	0.45%	0.40%	0.55%	0.29%	0.56%	0.82%	0.0%	0.0%									
35	"18. ""ЛДПР"""	3996	188	73	38	94	130	204	115	119	213	31	94	38	66	60	40	16	94	147	120	87	67	11	60	70	9	51	59	53	24	39	4	36	58	66	73	105	37	62	93	97	32	44	23	35	55	34	30	20	129	169	102	36	29	114	103									
		15.39%	16.98%	11.09%	15.63%	14.73%	12.13%	14.18%	10.78%	12.93%	14.52%	23.48%	18.14%	14.67%	20.30%	18.57%	17.24%	13.00%	17.34%	17.37%	18.63%	17.19%	23.59%	11.0%	21.35%	12.63%	6.33%	11.53%	19.73%	13.52%	9.02%	20.96%	3.25%	10.16%	23.38%	25.38%	22.74%	23.23%	12.09%	21.83%	12.35%	17.96%	30.18%	16.41%	16.78%	11.14%	19.43%	8.47%	14.15%	9.09%	17.55%	18.61%	15.13%	20.33%	12.03%	13.57%	13.05%									
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	769	30	28	1	32	22	31	30	40	33	1	14	4	6	19	11	4	20	28	21	8	10	4	17	11	3	11	8	11	15	4	4	25	8	8	5	13	14	10	13	6	2	14	8	6	22	19	6	4	21	12	20	13	1	21	17									
		2.96%	2.71%	4.25%	0.41%	5.01%	2.05%	2.15%	2.81%	4.34%	2.25%	0.75%	2.70%	1.54%	1.84%	5.88%	4.74%	3.25%	3.69%	3.30%	3.26%	1.58%	3.52%	4.0%	6.04%	1.98%	2.11%	2.48%	2.67%	2.80%	5.63%	2.15%	3.25%	7.06%	3.22%	3.07%	1.55%	2.87%	4.57%	3.52%	1.72%	1.11%	1.88%	5.22%	5.83%	1.91%	7.77%	4.73%	2.83%	1.81%	2.85%	1.32%	2.96%	7.34%	0.41%	2.5%	2.15%									
37	"20. ""Политическая партия ""Единая Россия"""	7377	309	177	61	174	297	310	259	198	380	20	124	97	135	114	78	41	162	295	131	134	85	27	103	241	71	127	109	140	101	71	79	124	79	57	85	122	157	95	186	205	16	53	59	62	56	170	62	123	162	204	115	39	75	230	191									
		28.42%	27.91%	26.89%	25.10%	27.27%	27.73%	21.55%	24.29%	21.52%	25.92%	15.15%	23.93%	37.45%	41.53%	35.29%	33.62%	33.33%	29.88%	34.86%	20.34%	26.48%	29.92%	27.0%	36.65%	43.50%	50.0%	28.73%	36.45%	35.71%	37.96%	38.17%	64.22%	35.02%	31.85%	21.92%	26.47%	26.99%	51.30%	33.45%	24.70%	37.96%	15.09%	19.77%	43.06%	19.74%	19.78%	42.39%	29.24%	55.90%	22.04%	22.46%	17.06%	22.03%	31.12%	27.38%	24.20%									
38	"21. ""Российская Конституционно-демократическая партия"""	56	2	1	0	2	1	4	3	3	0	0	0	2	1	0	0	0	0	0	0	1	2	0	1	0	2	1	0	2	0	0	3	3	0	0	1	1	1	2	0	3	1	2	0	1	0	1	1	1	1	2	4	0	0	0	0									
		0.21%	0.18%	0.15%	0.0%	0.31%	0.09%	0.27%	0.28%	0.32%	0.0%	0.0%	0.0%	0.77%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.70%	0.0%	0.35%	0.0%	1.40%	0.22%	0.0%	0.51%	0.0%	0.0%	2.43%	0.84%	0.0%	0.0%	0.31%	0.22%	0.32%	0.70%	0.0%	0.55%	0.94%	0.74%	0.0%	0.31%	0.0%	0.24%	0.47%	0.45%	0.13%	0.22%	0.59%	0.0%	0.0%	0.0%	0.0%									
39	"22. ""Развитие предпринимательства"""	49	3	2	3	1	2	1	0	1	3	0	3	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	1	2	0	0	0	2	0	0	0	3	0	2	0	1	1	0	0	0	0	1	0	0	0	3	2	1	0	2	4									
		0.18%	0.27%	0.30%	1.23%	0.15%	0.18%	0.06%	0.0%	0.10%	0.20%	0.0%	0.57%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.23%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.33%	0.51%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.66%	0.0%	0.70%	0.0%	0.18%	0.94%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.33%	0.29%	0.56%	0.0%	0.23%	0.50%									
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4399	166	119	38	108	207	256	205	161	206	27	66	25	37	37	21	27	73	103	116	98	59	30	24	64	8	87	30	64	64	24	12	23	46	37	51	69	38	37	162	76	21	68	16	118	59	36	42	32	167	179	145	21	48	166	180									
		16.95%	14.99%	18.08%	15.63%	16.92%	19.32%	17.80%	19.23%	17.49%	14.05%	20.45%	12.74%	9.65%	11.38%	11.45%	9.05%	21.95%	13.46%	12.17%	18.01%	19.36%	20.77%	30.0%	8.54%	11.55%	5.63%	19.68%	10.03%	16.32%	24.06%	12.90%	9.75%	6.49%	18.54%	14.23%	15.88%	15.26%	12.41%	13.02%	21.51%	14.07%	19.81%	25.37%	11.67%	37.57%	20.84%	8.97%	19.81%	14.54%	22.72%	19.71%	21.51%	11.86%	19.91%	19.76%	22.81%									
																																																																		
41	Против всех	1139	44	34	10	29	54	104	48	43	72	9	32	0	6	17	12	8	16	24	25	15	0	3	16	19	3	16	13	18	4	4	1	17	5	10	15	23	16	12	29	14	2	10	1	5	20	3	3	3	48	53	41	10	19	41	40									
		4.38%	3.97%	5.16%	4.11%	4.54%	5.04%	7.23%	4.50%	4.67%	4.91%	6.81%	6.17%	0.0%	1.84%	5.26%	5.17%	6.50%	2.95%	2.83%	3.88%	2.96%	0.0%	3.0%	5.69%	3.42%	2.11%	3.61%	4.34%	4.59%	1.50%	2.15%	0.81%	4.80%	2.01%	3.84%	4.67%	5.08%	5.22%	4.22%	3.85%	2.59%	1.88%	3.73%	0.72%	1.59%	7.06%	0.74%	1.41%	1.36%	6.53%	5.83%	6.08%	5.64%	7.88%	4.88%	5.06%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
