Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																																																																									
																																																																																																																																									
Наименование Избирательной комиссии:    Энгельсская																																																																																																																																									
																																																																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																									
																																																																																																																																									
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828					
		1.01%	1.45%	0.87%	0.45%	0.61%	3.49%	0.32%	0.12%	0.84%	0.69%	0.33%	0.60%	1.26%	1.18%	0.57%	1.65%	0.85%	0.91%	0.61%	0.59%	0.42%	1.04%	0.24%	0.62%	1.03%	1.74%	0.63%	1.16%	0.60%	0.43%	1.37%	0.35%	1.12%	1.26%	0.62%	0.73%	1.10%	0.83%	0.45%	0.80%	0.31%	1.09%	0.23%	0.55%	0.96%	0.64%	0.47%	0.55%	0.21%	0.86%	0.48%	0.81%	0.56%	1.31%	0.45%	0.42%	0.40%	1.10%	0.77%	0.46%	0.42%	2.02%	1.12%	0.43%	0.73%	0.95%	0.29%	0.41%	0.45%	1.15%	0.99%	0.67%	0.8%	1.00%	1.33%	0.56%	1.22%	0.53%	0.80%	0.92%	1.19%	0.96%	0.88%	0.99%	0.96%	1.45%	2.04%	0.60%	0.71%	0.52%	1.18%	3.58%	1.32%	1.85%	1.44%	1.36%	0.86%	0.79%	0.0%	0.71%	0.69%	2.82%	2.07%	2.60%	1.63%	2.74%	2.10%	2.93%	2.57%	7.23%	1.27%	1.41%	3.67%	2.70%	0.0%	4.37%	3.38%	1.79%	2.05%	1.04%	3.35%	2.07%	1.66%	6.18%	1.17%	1.14%	1.12%	0.42%	1.08%	1.85%	1.4%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3846	29	28	24	55	12	27	29	23	40	37	33	31	58	39	86	47	42	56	35	56	33	6	51	27	10	40	34	41	23	17	51	22	58	32	40	49	42	33	36	30	38	45	51	42	43	66	45	39	61	56	54	70	44	89	29	41	22	38	42	34	35	27	65	39	23	44	41	22	26	29	22	5	35	34	29	11	14	19	28	17	27	31	38	26	52	23	30	50	13	14	14	12	20	32	35	13	6	0	6	9	4	29	10	55	13	15	29	23	3	4	7	7	4	0	9	7	20	6	15	15	5	13	1	16	21	5	6	52	9	16					
		3.64%	2.81%	2.73%	2.73%	5.68%	1.67%	2.94%	3.51%	2.78%	3.46%	3.12%	4.00%	2.61%	4.04%	3.22%	5.92%	3.63%	4.25%	5.74%	3.45%	5.96%	3.14%	1.46%	5.31%	2.53%	3.49%	4.24%	4.40%	4.15%	2.52%	2.92%	4.56%	2.25%	6.13%	3.35%	4.21%	4.52%	4.39%	3.0%	2.62%	3.15%	3.21%	5.23%	4.73%	5.06%	4.61%	5.20%	4.16%	4.24%	5.29%	4.53%	6.27%	6.58%	5.24%	6.80%	4.14%	4.14%	3.47%	4.19%	3.93%	4.86%	5.05%	5.08%	5.67%	4.79%	2.00%	4.30%	4.25%	2.48%	3.33%	2.89%	2.95%	1.33%	5.04%	3.78%	4.10%	1.34%	1.88%	3.84%	2.86%	1.69%	2.88%	3.03%	3.15%	2.09%	5.04%	3.62%	3.64%	3.97%	2.28%	2.77%	2.64%	1.77%	3.37%	3.29%	2.65%	3.73%	1.18%	0.0%	2.15%	1.55%	1.41%	4.30%	1.53%	5.28%	1.87%	2.42%	4.73%	4.93%	1.97%	1.69%	2.48%	2.57%	3.60%	0.0%	5.62%	1.82%	4.48%	1.36%	3.91%	2.65%	2.07%	4.31%	1.03%	2.34%	4.02%	0.62%	0.84%	3.32%	1.51%	1.6%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3708	37	38	50	50	19	38	32	36	57	40	26	33	47	41	53	28	40	48	36	53	53	1	38	58	15	42	34	38	47	14	44	39	47	32	44	41	32	35	43	45	48	28	39	39	43	40	36	28	51	54	24	35	39	40	27	35	19	33	29	29	23	17	35	17	37	45	38	30	24	39	16	18	29	29	18	33	29	14	22	24	25	38	37	40	41	32	29	40	19	19	14	22	9	42	40	7	10	0	5	9	2	21	11	25	29	27	29	16	4	13	5	10	1	0	3	6	11	9	6	10	12	11	4	16	25	17	11	44	25	30					
		3.51%	3.59%	3.71%	5.69%	5.16%	2.65%	4.14%	3.88%	4.35%	4.93%	3.38%	3.15%	2.78%	3.27%	3.39%	3.65%	2.16%	4.05%	4.92%	3.55%	5.64%	5.05%	0.24%	3.96%	5.44%	5.24%	4.45%	4.40%	3.85%	5.15%	2.40%	3.93%	4.00%	4.96%	3.35%	4.64%	3.78%	3.34%	3.18%	3.14%	4.73%	4.06%	3.25%	3.62%	4.69%	4.61%	3.15%	3.33%	3.05%	4.43%	4.36%	2.79%	3.29%	4.64%	3.05%	3.86%	3.53%	2.99%	3.64%	2.72%	4.14%	3.32%	3.20%	3.05%	2.08%	3.22%	4.40%	3.94%	3.39%	3.07%	3.89%	2.15%	4.8%	4.17%	3.22%	2.54%	4.02%	3.89%	2.83%	2.24%	2.39%	2.66%	3.72%	3.06%	3.22%	3.97%	5.03%	3.52%	3.18%	3.33%	3.76%	2.64%	3.24%	1.52%	4.32%	3.03%	2.01%	1.98%	0.0%	1.79%	1.55%	0.70%	3.11%	1.68%	2.40%	4.18%	4.36%	4.73%	3.43%	2.63%	5.50%	1.77%	3.67%	0.90%	0.0%	1.87%	1.56%	2.46%	2.05%	1.56%	1.76%	4.97%	3.65%	4.12%	2.34%	4.78%	2.13%	1.55%	2.80%	4.20%	3.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3494	28	37	9	25	17	33	39	31	55	53	33	46	48	45	71	47	31	42	22	29	40	4	20	40	7	33	31	30	21	28	58	41	36	39	46	48	54	42	73	32	34	48	42	45	47	63	49	47	55	40	38	60	40	81	35	39	17	31	50	15	24	12	51	52	51	27	33	29	26	34	28	5	22	25	35	14	16	5	36	36	39	26	31	40	27	9	22	43	13	8	13	24	19	17	14	9	4	0	3	1	2	19	18	9	16	8	6	3	0	0	6	2	5	0	3	7	13	2	6	8	6	7	0	8	5	3	4	30	14	21					
		3.31%	2.72%	3.61%	1.02%	2.58%	2.37%	3.59%	4.73%	3.75%	4.75%	4.48%	4.00%	3.87%	3.34%	3.72%	4.89%	3.63%	3.14%	4.30%	2.17%	3.08%	3.81%	0.97%	2.08%	3.75%	2.44%	3.49%	4.01%	3.04%	2.30%	4.81%	5.19%	4.20%	3.80%	4.08%	4.85%	4.43%	5.64%	3.81%	5.33%	3.36%	2.87%	5.58%	3.89%	5.42%	5.04%	4.96%	4.53%	5.11%	4.77%	3.23%	4.41%	5.64%	4.76%	6.19%	5.00%	3.93%	2.68%	3.42%	4.69%	2.14%	3.46%	2.25%	4.45%	6.38%	4.45%	2.64%	3.42%	3.28%	3.33%	3.39%	3.76%	1.33%	3.17%	2.78%	4.95%	1.70%	2.15%	1.01%	3.68%	3.58%	4.16%	2.54%	2.57%	3.22%	2.61%	1.41%	2.67%	3.42%	2.28%	1.58%	2.45%	3.54%	3.20%	1.75%	1.06%	2.58%	0.79%	0.0%	1.07%	0.17%	0.70%	2.81%	2.75%	0.86%	2.30%	1.29%	0.97%	0.64%	0.0%	0.0%	2.12%	0.73%	4.50%	0.0%	1.87%	1.82%	2.91%	0.45%	1.56%	1.41%	2.48%	2.32%	0.0%	1.17%	0.95%	0.37%	0.56%	1.91%	2.35%	2.1%					
22	"5. ""За Русь Святую"""	462	4	5	2	2	1	3	2	9	4	5	3	6	6	5	11	6	3	3	8	8	1	0	3	6	3	5	1	3	3	1	3	0	3	1	3	4	6	7	5	5	2	7	6	10	4	5	6	4	3	3	2	2	4	5	0	6	7	1	3	4	10	5	4	1	7	3	5	2	5	2	1	1	4	10	2	3	3	4	6	4	5	2	5	6	8	4	1	3	5	1	1	6	2	5	10	2	4	0	0	1	2	3	2	5	3	4	7	3	0	0	0	1	0	0	0	0	2	2	2	0	2	6	2	1	1	4	1	3	7	3					
		0.43%	0.38%	0.48%	0.22%	0.20%	0.13%	0.32%	0.24%	1.08%	0.34%	0.42%	0.36%	0.50%	0.41%	0.41%	0.75%	0.46%	0.30%	0.30%	0.78%	0.85%	0.09%	0.0%	0.31%	0.56%	1.04%	0.53%	0.12%	0.30%	0.32%	0.17%	0.26%	0.0%	0.31%	0.10%	0.31%	0.36%	0.62%	0.63%	0.36%	0.52%	0.16%	0.81%	0.55%	1.20%	0.42%	0.39%	0.55%	0.43%	0.26%	0.24%	0.23%	0.18%	0.47%	0.38%	0.0%	0.60%	1.10%	0.11%	0.28%	0.57%	1.44%	0.94%	0.34%	0.12%	0.61%	0.29%	0.51%	0.22%	0.64%	0.19%	0.13%	0.26%	0.57%	1.11%	0.28%	0.36%	0.40%	0.80%	0.61%	0.39%	0.53%	0.19%	0.41%	0.48%	0.77%	0.62%	0.12%	0.23%	0.87%	0.19%	0.18%	0.88%	0.33%	0.51%	0.75%	0.57%	0.79%	0.0%	0.0%	0.17%	0.70%	0.44%	0.30%	0.48%	0.43%	0.64%	1.14%	0.64%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.44%	0.45%	0.52%	0.0%	0.82%	1.99%	2.06%	0.14%	0.19%	0.50%	0.14%	0.19%	1.17%	0.3%					
23	"6. ""Объединенная Российская партия ""Русь"""	380	3	4	4	2	5	2	3	4	6	3	5	5	5	6	2	8	4	2	4	2	1	1	3	10	1	0	7	2	4	1	0	1	5	5	2	1	3	3	9	1	0	0	3	3	0	7	3	1	6	5	4	3	5	6	4	4	6	7	1	4	3	3	2	1	6	4	4	4	6	9	3	1	5	2	1	2	3	4	5	3	1	3	0	0	2	6	1	3	2	5	2	2	0	3	7	2	1	0	2	3	3	3	1	3	1	4	1	3	1	0	0	0	0	0	1	2	3	4	2	1	2	0	0	1	1	1	3	4	2	6					
		0.36%	0.29%	0.39%	0.45%	0.20%	0.69%	0.21%	0.36%	0.48%	0.51%	0.25%	0.60%	0.42%	0.34%	0.49%	0.13%	0.61%	0.40%	0.20%	0.39%	0.21%	0.09%	0.24%	0.31%	0.93%	0.34%	0.0%	0.90%	0.20%	0.43%	0.17%	0.0%	0.10%	0.52%	0.52%	0.21%	0.09%	0.31%	0.27%	0.65%	0.10%	0.0%	0.0%	0.27%	0.36%	0.0%	0.55%	0.27%	0.10%	0.52%	0.40%	0.46%	0.28%	0.59%	0.45%	0.57%	0.40%	0.94%	0.77%	0.09%	0.57%	0.43%	0.56%	0.17%	0.12%	0.52%	0.39%	0.41%	0.45%	0.76%	0.89%	0.40%	0.26%	0.72%	0.22%	0.14%	0.24%	0.40%	0.80%	0.51%	0.29%	0.10%	0.29%	0.0%	0.0%	0.19%	0.94%	0.12%	0.23%	0.35%	0.99%	0.37%	0.29%	0.0%	0.30%	0.53%	0.57%	0.19%	0.0%	0.71%	0.51%	1.06%	0.44%	0.15%	0.28%	0.14%	0.64%	0.16%	0.64%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.52%	0.67%	0.91%	0.52%	0.17%	0.82%	0.0%	0.0%	0.14%	0.19%	0.12%	0.42%	0.25%	0.33%	0.6%					
24	"7. ""Новый курс - Автомобильная Россия"""	685	6	7	5	7	4	7	8	4	14	12	2	12	18	3	13	8	5	8	7	6	8	0	4	7	2	12	7	6	7	3	15	5	1	7	10	9	6	13	7	8	4	8	3	9	2	9	5	6	11	10	6	9	4	11	6	3	10	8	5	2	2	3	8	6	3	7	7	6	4	4	5	2	9	1	9	6	8	3	5	3	7	11	5	5	8	5	1	6	3	6	1	3	2	2	1	1	1	0	0	4	0	11	2	1	2	8	5	12	0	0	1	3	2	1	2	1	3	2	2	2	0	2	0	2	0	0	5	10	5	4					
