Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Усть-Лабинская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №5601	УИК №5602	УИК №5603	УИК №5604	УИК №5605	УИК №5606	УИК №5607	УИК №5608	УИК №5609	УИК №5610	УИК №5611	УИК №5612	УИК №5613	УИК №5614	УИК №5615	УИК №5616	УИК №5617	УИК №5618	УИК №5619	УИК №5620	УИК №5621	УИК №5622	УИК №5623	УИК №5624	УИК №5625	УИК №5626	УИК №5627	УИК №5628	УИК №5629	УИК №5630	УИК №5631	УИК №5632	УИК №5633	УИК №5634	УИК №5635	УИК №5636	УИК №5637	УИК №5638	УИК №5639	УИК №5640	УИК №5641	УИК №5642	УИК №5643	УИК №5644	УИК №5645	УИК №5646	УИК №5647	УИК №5648	УИК №5649	УИК №5650	УИК №5651	УИК №5652	УИК №5653	УИК №5654	УИК №5655	УИК №5657	УИК №5658	УИК №5659	УИК №5660	УИК №5661	УИК №5662									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1106	12	40	19	29	35	20	13	11	18	3	31	21	13	27	11	28	32	31	24	6	12	28	5	1	0	21	5	12	7	12	2	10	22	23	10	22	25	11	18	4	4	23	14	22	37	25	15	19	20	19	39	2	10	8	35	42	24	9	12	28	25									
		2.43%	2.71%	3.49%	1.99%	3.70%	5.13%	3.07%	1.50%	1.32%	4.29%	0.41%	2.81%	2.92%	1.92%	2.92%	1.96%	2.42%	4.22%	3.16%	2.78%	1.47%	1.56%	3.05%	1.98%	0.24%	0.00%	2.63%	1.66%	3.75%	2.31%	1.35%	0.45%	1.12%	1.82%	3.36%	2.50%	4.09%	4.61%	1.57%	1.87%	2.21%	1.30%	1.90%	1.42%	3.54%	2.73%	2.86%	1.61%	3.07%	2.96%	2.13%	3.32%	1.02%	2.17%	0.82%	3.65%	3.46%	1.43%	1.33%	2.18%	3.20%	2.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	749	8	28	5	26	26	20	19	20	12	2	17	13	13	22	12	28	13	25	20	11	6	24	5	2	0	28	1	0	3	11	1	5	14	19	4	7	0	10	10	0	2	8	4	5	23	10	12	7	5	9	22	8	5	7	10	32	39	14	6	24	7									
		1.64%	1.81%	2.44%	0.52%	3.32%	3.81%	3.07%	2.19%	2.41%	2.86%	0.28%	1.54%	1.81%	1.92%	2.38%	2.14%	2.42%	1.71%	2.55%	2.31%	2.69%	0.78%	2.61%	1.98%	0.48%	0.00%	3.51%	0.33%	0.00%	0.99%	1.24%	0.23%	0.56%	1.16%	2.77%	1.00%	1.30%	0.00%	1.42%	1.04%	0.00%	0.65%	0.66%	0.40%	0.80%	1.70%	1.14%	1.29%	1.13%	0.74%	1.01%	1.87%	4.06%	1.08%	0.72%	1.04%	2.64%	2.32%	2.06%	1.09%	2.74%	0.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27184	210	598	594	398	302	297	618	492	169	530	647	453	457	419	270	679	430	475	422	331	599	467	171	311	180	431	192	216	164	541	353	641	656	365	197	252	241	399	617	126	186	822	650	409	677	555	606	300	451	522	756	114	285	626	658	755	1175	333	361	451	582									
		59.64%	47.40%	52.18%	62.07%	50.77%	44.28%	45.55%	71.20%	59.21%	40.24%	73.10%	58.71%	63.00%	67.60%	45.30%	48.21%	58.74%	56.65%	48.47%	48.84%	80.93%	78.10%	50.82%	67.59%	73.87%	74.38%	54.01%	63.79%	67.50%	54.13%	60.85%	79.50%	71.70%	54.26%	53.28%	49.25%	46.84%	44.46%	56.84%	63.94%	69.61%	60.59%	68.05%	65.72%	65.76%	50.00%	63.43%	65.16%	48.54%	66.72%	58.39%	64.29%	57.87%	61.82%	63.94%	68.68%	62.24%	69.86%	49.12%	65.64%	51.54%	64.10%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	210	2	6	2	12	3	2	0	3	4	2	9	6	8	3	3	4	8	10	10	0	3	2	1	0	0	17	4	1	1	0	4	0	4	4	0	2	2	1	2	2	4	5	2	3	6	3	0	2	1	7	1	2	1	3	3	2	6	4	2	2	4									
		0.46%	0.45%	0.52%	0.21%	1.53%	0.44%	0.31%	0.00%	0.36%	0.95%	0.28%	0.82%	0.83%	1.18%	0.32%	0.54%	0.35%	1.05%	1.02%	1.16%	0.00%	0.39%	0.22%	0.40%	0.00%	0.00%	2.13%	1.33%	0.31%	0.33%	0.00%	0.90%	0.00%	0.33%	0.58%	0.00%	0.37%	0.37%	0.14%	0.21%	1.10%	1.30%	0.41%	0.20%	0.48%	0.44%	0.34%	0.00%	0.32%	0.15%	0.78%	0.09%	1.02%	0.22%	0.31%	0.31%	0.16%	0.36%	0.59%	0.36%	0.23%	0.44%									
24	"6. Политическая партия ""Гражданская Платформа"""	95	0	0	2	1	0	0	3	0	1	1	0	0	1	2	0	0	2	2	3	2	4	2	0	1	0	4	1	0	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	0	14	0	5	2	1	22	1	0	0	0	1	0	1	0	1	5	1									
		0.21%	0.00%	0.00%	0.21%	0.13%	0.00%	0.00%	0.35%	0.00%	0.24%	0.14%	0.00%	0.00%	0.15%	0.22%	0.00%	0.00%	0.26%	0.20%	0.35%	0.49%	0.52%	0.22%	0.00%	0.24%	0.00%	0.50%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.55%	0.28%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	1.03%	0.00%	0.54%	0.32%	0.15%	2.46%	0.09%	0.00%	0.00%	0.00%	0.10%	0.00%	0.06%	0.00%	0.18%	0.57%	0.11%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6264	80	197	89	137	136	142	85	60	79	63	154	88	72	167	125	195	117	205	160	44	10	185	37	45	35	141	45	19	49	88	40	136	65	121	70	86	101	71	115	14	57	136	143	78	175	111	128	131	48	92	154	42	64	98	81	161	178	136	74	169	140									
		13.74%	18.06%	17.19%	9.30%	17.47%	19.94%	21.78%	9.79%	7.22%	18.81%	8.69%	13.97%	12.24%	10.65%	18.05%	22.32%	16.87%	15.42%	20.92%	18.52%	10.76%	1.30%	20.13%	14.62%	10.69%	14.46%	17.67%	14.95%	5.94%	16.17%	9.90%	9.01%	15.21%	5.38%	17.66%	17.50%	15.99%	18.63%	10.11%	11.92%	7.73%	18.57%	11.26%	14.46%	12.54%	12.92%	12.69%	13.76%	21.20%	7.10%	10.29%	13.10%	21.32%	13.88%	10.01%	8.46%	13.27%	10.58%	20.06%	13.45%	19.31%	15.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	175	3	5	2	5	1	2	1	2	5	1	8	2	3	11	3	3	4	2	7	0	2	5	0	0	0	6	0	1	0	0	0	1	6	1	1	8	1	1	4	0	1	7	2	1	10	7	1	6	0	3	2	0	0	2	1	4	8	3	1	7	2									
		0.38%	0.68%	0.44%	0.21%	0.64%	0.15%	0.31%	0.12%	0.24%	1.19%	0.14%	0.73%	0.28%	0.44%	1.19%	0.54%	0.26%	0.53%	0.20%	0.81%	0.00%	0.26%	0.54%	0.00%	0.00%	0.00%	0.75%	0.00%	0.31%	0.00%	0.00%	0.00%	0.11%	0.50%	0.15%	0.25%	1.49%	0.18%	0.14%	0.41%	0.00%	0.33%	0.58%	0.20%	0.16%	0.74%	0.80%	0.11%	0.97%	0.00%	0.34%	0.17%	0.00%	0.00%	0.20%	0.10%	0.33%	0.48%	0.44%	0.18%	0.80%	0.22%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	326	9	11	1	6	8	10	11	6	2	0	17	9	3	14	2	19	4	6	17	0	3	3	0	0	0	7	0	0	0	0	1	2	1	6	2	2	5	7	6	0	1	5	3	2	12	4	7	7	2	9	4	0	3	3	1	34	9	6	2	10	2									
		0.72%	2.03%	0.96%	0.10%	0.77%	1.17%	1.53%	1.27%	0.72%	0.48%	0.00%	1.54%	1.25%	0.44%	1.51%	0.36%	1.64%	0.53%	0.61%	1.97%	0.00%	0.39%	0.33%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.23%	0.22%	0.08%	0.88%	0.50%	0.37%	0.92%	0.99%	0.62%	0.00%	0.33%	0.41%	0.30%	0.32%	0.89%	0.46%	0.75%	1.13%	0.30%	1.01%	0.34%	0.00%	0.65%	0.31%	0.10%	2.80%	0.54%	0.88%	0.36%	1.14%	0.22%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	58	2	0	1	3	1	0	0	0	0	0	4	1	0	3	0	1	1	2	0	0	2	1	0	0	0	3	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	2	0	0	11	0	1	2	0	0	1	1	0	0	0	3	1	1	2	1	1									
		0.13%	0.45%	0.00%	0.10%	0.38%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.14%	0.00%	0.32%	0.00%	0.09%	0.13%	0.20%	0.00%	0.00%	0.26%	0.11%	0.00%	0.00%	0.00%	0.38%	0.00%	0.31%	0.00%	0.00%	0.23%	0.11%	0.08%	0.00%	0.00%	0.00%	0.18%	0.00%	0.10%	0.00%	0.00%	0.17%	0.00%	0.00%	0.81%	0.00%	0.11%	0.32%	0.00%	0.00%	0.09%	0.51%	0.00%	0.00%	0.00%	0.25%	0.06%	0.15%	0.36%	0.11%	0.11%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	309	8	10	5	11	6	8	3	3	6	2	15	8	5	8	6	9	11	16	9	0	15	3	1	0	0	1	0	1	2	6	1	1	2	5	3	6	5	7	6	0	1	7	2	5	20	3	4	8	1	5	5	0	5	1	0	2	6	7	6	5	2									
		0.68%	1.81%	0.87%	0.52%	1.40%	0.88%	1.23%	0.35%	0.36%	1.43%	0.28%	1.36%	1.11%	0.74%	0.86%	1.07%	0.78%	1.45%	1.63%	1.04%	0.00%	1.96%	0.33%	0.40%	0.00%	0.00%	0.13%	0.00%	0.31%	0.66%	0.67%	0.23%	0.11%	0.17%	0.73%	0.75%	1.12%	0.92%	0.99%	0.62%	0.00%	0.33%	0.58%	0.20%	0.80%	1.48%	0.34%	0.43%	1.29%	0.15%	0.56%	0.43%	0.00%	1.08%	0.10%	0.00%	0.16%	0.36%	1.03%	1.09%	0.57%	0.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6027	74	170	105	107	128	106	78	113	86	25	154	89	62	171	83	132	83	147	134	8	7	130	26	47	27	105	51	63	61	115	29	71	386	90	91	120	113	149	106	13	29	149	131	71	150	114	105	96	131	129	147	24	58	102	51	133	163	110	69	137	73									
		13.22%	16.70%	14.83%	10.97%	13.65%	18.77%	16.26%	8.99%	13.60%	20.48%	3.45%	13.97%	12.38%	9.17%	18.49%	14.82%	11.42%	10.94%	15.00%	15.51%	1.96%	0.91%	14.15%	10.28%	11.16%	11.16%	13.16%	16.94%	19.69%	20.13%	12.94%	6.53%	7.94%	31.93%	13.14%	22.75%	22.30%	20.85%	21.23%	10.98%	7.18%	9.45%	12.33%	13.25%	11.41%	11.08%	13.03%	11.29%	15.53%	19.38%	14.43%	12.50%	12.18%	12.58%	10.42%	5.32%	10.96%	9.69%	16.22%	12.55%	15.66%	8.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	121	3	1	1	1	5	2	2	4	2	0	2	2	2	8	3	2	2	3	4	0	7	3	0	0	0	3	0	0	4	0	1	2	2	1	1	1	3	0	2	1	0	2	0	1	8	1	6	2	0	4	1	0	0	0	1	2	1	4	1	3	4									
		0.27%	0.68%	0.09%	0.10%	0.13%	0.73%	0.31%	0.23%	0.48%	0.48%	0.00%	0.18%	0.28%	0.30%	0.86%	0.54%	0.17%	0.26%	0.31%	0.46%	0.00%	0.91%	0.33%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	1.32%	0.00%	0.23%	0.22%	0.17%	0.15%	0.25%	0.19%	0.55%	0.00%	0.21%	0.55%	0.00%	0.17%	0.00%	0.16%	0.59%	0.11%	0.65%	0.32%	0.00%	0.45%	0.09%	0.00%	0.00%	0.00%	0.10%	0.16%	0.06%	0.59%	0.18%	0.34%	0.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1841	12	26	106	26	18	24	17	91	18	89	20	9	21	26	20	28	17	25	18	3	93	26	2	3	0	14	1	5	9	106	4	14	32	30	12	17	20	16	57	7	11	31	24	12	174	16	21	17	5	53	16	2	29	117	110	24	21	21	7	9	39									
		4.04%	2.71%	2.27%	11.08%	3.32%	2.64%	3.68%	1.96%	10.95%	4.29%	12.28%	1.81%	1.25%	3.11%	2.81%	3.57%	2.42%	2.24%	2.55%	2.08%	0.73%	12.13%	2.83%	0.79%	0.71%	0.00%	1.75%	0.33%	1.56%	2.97%	11.92%	0.90%	1.57%	2.65%	4.38%	3.00%	3.16%	3.69%	2.28%	5.91%	3.87%	3.58%	2.57%	2.43%	1.93%	12.85%	1.83%	2.26%	2.75%	0.74%	5.93%	1.36%	1.02%	6.29%	11.95%	11.48%	1.98%	1.25%	3.10%	1.27%	1.03%	4.30%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
