Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Коломенская городская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921					
11	Число полученных открепительных  удостоверений	2325	30	90	30	30	30	30	30	30	50	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	130	30	30	40	40	45	30	30	30	30	30	30	50	40	30	50	30	30	30	30	30	30	40	30	40	30	30	30	50	30	30	30	30	0	0	0	0	0	0	30	40	40	40					
12	Число выданных открепительных удостоверений	1465	8	71	25	12	13	14	26	12	34	21	18	18	9	26	4	20	13	34	18	11	2	6	27	12	13	11	26	13	17	94	27	25	32	30	31	10	17	20	13	16	21	40	30	22	37	21	19	8	23	29	25	33	21	30	20	5	19	45	9	9	20	8	0	0	0	0	0	0	22	34	34	32					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1145	415	9	12	9	15	13	18	54	13	1	13	9	13	46	6	15	14	16	7	18	10	4	15	3	8	5	14	8	9	13	13	10	7	7	9	14	7	7	10	14	5	18	8	15	21	10	15	5	13	7	10	11	4	8	2	11	6	10	4	6	11	5	9	1	1	0	0	0	3	5	10	8					
14	Число неиспользованных открепительных удостоверений	860	22	19	5	18	17	16	4	18	16	9	12	12	21	4	26	10	17	6	12	19	28	24	3	18	17	19	4	17	13	36	3	5	8	10	14	20	13	10	17	14	9	10	10	8	13	9	11	22	7	1	5	7	9	10	10	25	11	5	21	21	10	22	0	0	0	0	0	0	8	6	6	8					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	3653	39	32	49	45	51	43	85	40	91	35	62	47	61	54	15	81	27	91	84	9	33	27	80	47	56	33	85	44	33	60	70	78	55	62	102	31	59	42	61	53	51	83	98	47	108	46	40	30	64	77	50	75	46	61	50	60	47	68	29	26	40	37	9	3	4	1	1	0	41	68	86	55					
		5.18%	3.52%	4.96%	6.36%	6.28%	5.00%	2.49%	5.74%	4.85%	5.64%	4.69%	5.55%	4.97%	7.84%	5.23%	3.23%	6.46%	3.05%	5.90%	9.87%	1.60%	7.37%	5.33%	6.93%	4.83%	6.05%	5.81%	5.88%	5.36%	3.15%	5.61%	5.29%	7.21%	4.25%	5.61%	6.23%	4.60%	5.12%	5.04%	6.44%	5.52%	4.31%	6.30%	7.03%	4.59%	7.65%	5.32%	3.98%	5.57%	4.35%	5.50%	4.71%	6.07%	5.94%	4.62%	4.91%	4.41%	3.97%	3.59%	2.85%	2.59%	3.62%	7.36%	3.63%	2.97%	1.72%	2.22%	2.78%	0.00%	5.45%	5.16%	6.16%	4.55%					
19	. Малышкин Олег Александрович	1004	14	10	15	7	41	24	26	12	22	17	16	13	5	12	12	14	13	16	12	13	7	4	13	16	11	4	23	12	12	7	23	14	13	9	25	10	13	6	17	16	21	17	11	14	15	13	10	8	24	21	7	9	8	20	20	15	26	52	15	19	15	5	3	0	3	1	1	2	14	18	12	16					
		1.42%	1.26%	1.55%	1.95%	0.98%	4.02%	1.39%	1.75%	1.46%	1.36%	2.28%	1.43%	1.37%	0.64%	1.16%	2.58%	1.12%	1.47%	1.04%	1.41%	2.30%	1.56%	0.79%	1.13%	1.64%	1.19%	0.70%	1.59%	1.46%	1.15%	0.65%	1.74%	1.29%	1.01%	0.81%	1.53%	1.48%	1.13%	0.72%	1.80%	1.67%	1.78%	1.29%	0.79%	1.37%	1.06%	1.50%	1.00%	1.48%	1.63%	1.50%	0.66%	0.73%	1.03%	1.52%	1.96%	1.10%	2.20%	2.75%	1.47%	1.90%	1.36%	0.99%	1.21%	0.00%	1.29%	2.22%	2.78%	4.44%	1.86%	1.37%	0.86%	1.32%					
20	. Миронов Сергей Михайлович	420	6	5	7	3	9	9	10	4	4	3	7	1	3	2	1	7	8	16	4	3	1	1	4	11	4	5	6	7	15	11	8	5	6	2	7	2	11	1	7	4	6	7	9	7	12	5	9	7	5	7	5	2	2	7	11	13	7	12	2	4	12	4	2	1	0	1	0	3	5	8	9	6					
		0.60%	0.54%	0.78%	0.91%	0.42%	0.88%	0.52%	0.67%	0.49%	0.25%	0.40%	0.63%	0.11%	0.39%	0.19%	0.22%	0.56%	0.90%	1.04%	0.47%	0.53%	0.22%	0.20%	0.35%	1.13%	0.43%	0.88%	0.42%	0.85%	1.43%	1.03%	0.60%	0.46%	0.46%	0.18%	0.43%	0.30%	0.95%	0.12%	0.74%	0.42%	0.51%	0.53%	0.65%	0.68%	0.85%	0.58%	0.90%	1.30%	0.34%	0.50%	0.47%	0.16%	0.26%	0.53%	1.08%	0.96%	0.59%	0.63%	0.20%	0.40%	1.09%	0.80%	0.81%	0.99%	0.00%	2.22%	0.00%	6.67%	0.66%	0.61%	0.65%	0.50%					
21	. Путин Владимир Владимирович	51478	831	455	546	501	667	1394	1031	576	1178	536	777	707	552	768	339	857	676	1144	523	445	309	382	785	716	652	408	1037	582	759	771	945	769	933	826	1177	509	855	607	680	711	839	957	983	779	918	627	756	381	1097	1044	764	939	576	978	773	1071	911	1428	794	787	781	359	187	77	173	40	30	34	550	990	1042	897					
		72.99%	75.00%	70.54%	70.91%	69.97%	65.39%	80.72%	69.57%	69.90%	72.99%	71.75%	69.50%	74.74%	70.95%	74.35%	72.90%	68.40%	76.30%	74.14%	61.46%	78.90%	68.97%	75.35%	68.02%	73.59%	70.49%	71.83%	71.76%	70.89%	72.49%	72.06%	71.37%	71.07%	72.16%	74.68%	71.86%	75.52%	74.15%	72.87%	71.81%	74.06%	70.98%	72.61%	70.47%	76.00%	65.06%	72.49%	75.30%	70.69%	74.63%	74.62%	72.01%	75.97%	74.32%	74.15%	75.86%	78.75%	76.94%	75.40%	78.07%	78.54%	70.68%	71.37%	75.40%	76.24%	74.25%	88.89%	83.33%	75.56%	73.14%	75.17%	74.70%	74.13%					
22	. Хакамада Ирина Муцуовна	2491	25	21	26	28	26	30	46	45	84	17	56	28	25	39	14	60	50	71	50	21	27	12	60	33	34	28	62	19	46	43	37	42	37	49	57	23	39	34	27	25	32	50	55	38	52	24	39	17	61	44	35	28	23	51	35	37	25	51	28	23	46	11	4	4	5	1	0	1	14	42	70	49					
		3.53%	2.26%	3.26%	3.38%	3.91%	2.55%	1.74%	3.10%	5.46%	5.20%	2.28%	5.01%	2.96%	3.21%	3.78%	3.01%	4.79%	5.64%	4.60%	5.88%	3.72%	6.03%	2.37%	5.20%	3.39%	3.68%	4.93%	4.29%	2.31%	4.39%	4.02%	2.79%	3.88%	2.86%	4.43%	3.48%	3.41%	3.38%	4.08%	2.85%	2.60%	2.71%	3.79%	3.94%	3.71%	3.69%	2.77%	3.88%	3.15%	4.15%	3.15%	3.30%	2.27%	2.97%	3.87%	3.43%	2.72%	2.11%	2.69%	2.75%	2.30%	4.16%	2.19%	1.61%	3.96%	2.15%	2.22%	0.00%	2.22%	1.86%	3.19%	5.02%	4.05%					
23	. Харитонов Николай Михайлович	7590	124	81	101	102	56	96	186	95	152	99	150	110	101	107	55	156	66	127	120	48	54	60	139	101	107	59	164	108	123	118	167	118	181	88	177	70	130	99	111	111	169	138	163	89	217	120	86	67	143	130	151	142	81	141	85	112	101	157	97	96	142	69	23	2	28	1	1	2	78	135	96	111					
		10.76%	11.19%	12.56%	13.12%	14.25%	5.49%	5.56%	12.55%	11.53%	9.42%	13.25%	13.42%	11.63%	12.98%	10.36%	11.83%	12.45%	7.45%	8.23%	14.10%	8.51%	12.05%	11.83%	12.05%	10.38%	11.57%	10.39%	11.35%	13.15%	11.75%	11.03%	12.61%	10.91%	14.00%	7.96%	10.81%	10.39%	11.27%	11.88%	11.72%	11.56%	14.30%	10.47%	11.68%	8.68%	15.38%	13.87%	8.57%	12.43%	9.73%	9.29%	14.23%	11.49%	10.45%	10.69%	8.34%	8.24%	8.53%	8.29%	9.54%	9.58%	12.85%	13.72%	9.27%	1.98%	12.02%	2.22%	2.78%	4.44%	10.37%	10.25%	6.88%	9.17%					
																																																																															
24	Против всех	3383	69	30	19	26	159	118	91	45	80	25	46	38	24	39	15	72	41	74	54	20	15	17	62	46	57	26	60	41	47	51	67	52	63	65	84	25	43	37	35	34	57	61	69	46	80	25	53	22	66	60	45	36	37	44	40	41	58	117	44	37	57	16	16	14	14	0	2	2	45	43	64	60					
		4.80%	6.23%	4.65%	2.47%	3.63%	15.59%	6.83%	6.14%	5.46%	4.96%	3.35%	4.11%	4.02%	3.08%	3.78%	3.23%	5.75%	4.63%	4.80%	6.35%	3.55%	3.35%	3.35%	5.37%	4.73%	6.16%	4.58%	4.15%	4.99%	4.49%	4.77%	5.06%	4.81%	4.87%	5.88%	5.13%	3.71%	3.73%	4.44%	3.70%	3.54%	4.82%	4.63%	4.95%	4.49%	5.67%	2.89%	5.28%	4.08%	4.49%	4.29%	4.24%	2.91%	4.77%	3.34%	3.93%	3.01%	4.90%	6.18%	4.33%	3.69%	5.16%	3.18%	6.45%	13.86%	6.01%	0.00%	5.56%	4.44%	5.98%	3.26%	4.59%	4.96%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
