Выборы Президента Российской Федерации																																																																	
																																																																	
"Наименование Избирательной комиссии:    Челябинск, Тракторозаводская"																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №2198					
15	"Число открепительных удостоверений, выданных в ТИК"	85	2	2	1	3	3	1	0	0	1	4	1	0	1	1	2	2	1	1	2	0	0	2	0	3	3	4	1	5	0	0	1	1	1	0	0	2	2	2	0	0	3	1	2	2	0	3	0	0	3	0	1	1	1	6	4	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
18	. Глазьев Сергей Юрьевич	2795	106	45	41	58	38	55	22	33	35	44	47	77	44	27	42	33	35	43	17	48	60	32	28	65	71	82	52	74	91	57	21	39	48	49	43	35	45	45	59	51	40	52	65	35	39	65	54	53	62	54	57	54	48	95	32	27	14	12					
		3.99%	6.86%	4.47%	5.18%	3.75%	4.06%	5.47%	3.35%	3.36%	3.63%	4.51%	4.09%	5.40%	4.76%	2.92%	4.05%	2.42%	2.67%	2.93%	1.98%	4.42%	5.12%	3.39%	3.26%	4.54%	4.76%	5.61%	4.28%	4.14%	5.38%	3.97%	2.24%	4.00%	3.94%	3.57%	3.31%	2.75%	2.90%	2.97%	4.30%	4.42%	4.07%	4.01%	4.29%	3.73%	4.18%	4.49%	3.42%	3.57%	3.87%	3.92%	3.78%	3.87%	3.37%	5.80%	3.22%	3.56%	2.63%	2.38%					
19	. Малышкин Олег Александрович	1584	18	15	20	53	25	28	19	24	20	23	20	30	19	18	19	21	35	29	34	26	18	28	20	32	27	27	22	33	24	25	24	18	37	20	33	33	40	55	40	26	18	32	21	15	26	30	47	33	46	25	26	33	41	45	28	19	16	5					
		2.26%	1.17%	1.49%	2.53%	3.43%	2.67%	2.79%	2.90%	2.44%	2.07%	2.36%	1.74%	2.10%	2.05%	1.95%	1.83%	1.54%	2.67%	1.97%	3.95%	2.40%	1.54%	2.97%	2.33%	2.23%	1.81%	1.85%	1.81%	1.84%	1.42%	1.74%	2.56%	1.85%	3.04%	1.46%	2.54%	2.60%	2.58%	3.63%	2.92%	2.25%	1.83%	2.47%	1.39%	1.60%	2.78%	2.07%	2.98%	2.22%	2.87%	1.81%	1.72%	2.36%	2.88%	2.75%	2.82%	2.50%	3.01%	0.99%					
20	. Миронов Сергей Михайлович	779	31	7	6	7	8	6	7	7	6	5	8	15	9	6	17	16	15	14	16	12	14	12	6	14	17	13	19	28	16	12	10	20	33	24	27	17	14	12	9	11	8	17	15	9	12	17	28	12	13	13	16	13	16	22	10	4	5	3					
		1.11%	2.01%	0.70%	0.76%	0.45%	0.85%	0.60%	1.07%	0.71%	0.62%	0.51%	0.70%	1.05%	0.97%	0.65%	1.64%	1.17%	1.14%	0.95%	1.86%	1.11%	1.19%	1.27%	0.70%	0.98%	1.14%	0.89%	1.56%	1.57%	0.95%	0.84%	1.06%	2.05%	2.71%	1.75%	2.08%	1.34%	0.90%	0.79%	0.66%	0.95%	0.81%	1.31%	0.99%	0.96%	1.28%	1.17%	1.77%	0.81%	0.81%	0.94%	1.06%	0.93%	1.12%	1.34%	1.01%	0.53%	0.94%	0.60%					
21	. Путин Владимир Владимирович	48284	954	687	514	1086	623	691	465	693	665	651	768	973	666	647	707	1020	885	1063	610	751	766	642	600	957	1018	964	792	1179	1111	964	667	676	837	972	901	900	1082	1098	932	772	694	909	1049	668	631	1017	1025	988	1129	988	1071	986	999	1120	720	549	402	390					
		68.94%	61.75%	68.22%	64.98%	70.25%	66.49%	68.76%	70.88%	70.57%	68.91%	66.70%	66.78%	68.19%	72.00%	70.02%	68.24%	74.73%	67.45%	72.36%	70.93%	69.22%	65.36%	68.08%	69.93%	66.78%	68.18%	65.98%	65.13%	65.90%	65.70%	67.13%	71.03%	69.40%	68.78%	70.79%	69.41%	70.81%	69.76%	72.43%	67.93%	66.84%	70.60%	70.14%	69.20%	71.14%	67.56%	70.28%	64.96%	66.49%	70.47%	71.65%	71.02%	70.58%	70.06%	68.33%	72.43%	72.33%	75.56%	77.38%					
22	. Хакамада Ирина Муцуовна	3992	148	99	72	90	66	64	38	52	74	52	71	98	45	80	66	72	103	95	56	70	113	44	32	74	82	85	59	117	103	77	34	42	52	47	35	72	78	71	72	81	50	103	100	61	54	67	66	87	85	73	78	54	73	83	23	22	18	14					
		5.70%	9.58%	9.83%	9.10%	5.82%	7.04%	6.37%	5.79%	5.30%	7.67%	5.33%	6.17%	6.87%	4.86%	8.66%	6.37%	5.27%	7.85%	6.47%	6.51%	6.45%	9.64%	4.67%	3.73%	5.16%	5.49%	5.82%	4.85%	6.54%	6.09%	5.36%	3.62%	4.31%	4.27%	3.42%	2.70%	5.66%	5.03%	4.68%	5.25%	7.01%	5.09%	7.95%	6.60%	6.50%	5.78%	4.63%	4.18%	5.85%	5.31%	5.29%	5.17%	3.87%	5.12%	5.06%	2.31%	2.90%	3.38%	2.78%					
23	. Харитонов Николай Михайлович	8419	181	89	95	165	116	99	61	116	117	154	163	138	99	86	108	124	120	110	80	107	113	131	118	206	195	211	201	248	237	226	118	121	143	178	191	138	180	125	179	162	109	110	175	96	120	186	274	228	193	145	175	161	173	197	131	102	43	52					
		12.02%	11.72%	8.84%	12.01%	10.67%	12.38%	9.85%	9.30%	11.81%	12.12%	15.78%	14.17%	9.67%	10.70%	9.31%	10.42%	9.08%	9.15%	7.49%	9.30%	9.86%	9.64%	13.89%	13.75%	14.38%	13.06%	14.44%	16.53%	13.86%	14.02%	15.74%	12.57%	12.42%	11.75%	12.96%	14.71%	10.86%	11.61%	8.25%	13.05%	14.03%	11.09%	8.49%	11.54%	10.22%	12.85%	12.85%	17.36%	15.34%	12.05%	10.51%	11.60%	11.52%	12.13%	12.02%	13.18%	13.44%	8.08%	10.32%					
																																																																	
24	Против всех	3558	92	54	41	77	61	49	34	45	40	42	59	87	34	58	71	56	95	109	39	59	81	49	45	72	72	67	60	93	88	63	47	43	52	65	62	62	83	89	70	49	58	68	80	53	35	57	68	74	63	76	73	85	63	70	37	30	27	27					
		5.08%	5.95%	5.36%	5.18%	4.98%	6.51%	4.88%	5.18%	4.58%	4.15%	4.30%	5.13%	6.10%	3.68%	6.28%	6.85%	4.10%	7.24%	7.42%	4.53%	5.44%	6.91%	5.20%	5.24%	5.02%	4.82%	4.59%	4.93%	5.20%	5.20%	4.39%	5.01%	4.41%	4.27%	4.73%	4.78%	4.88%	5.35%	5.87%	5.10%	4.24%	5.90%	5.25%	5.28%	5.64%	3.75%	3.94%	4.31%	4.98%	3.93%	5.51%	4.84%	6.08%	4.42%	4.27%	3.72%	3.95%	5.08%	5.36%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
