Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Анапская																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270									
		69.42%	41.23%	66.79%	67.73%	42.16%	72.99%	54.93%	48.85%	84.04%	45.32%	73.81%	87.25%	74.98%	66.85%	41.34%	43.90%	66.69%	65.55%	52.35%	50.65%	53.67%	64.35%	74.13%	71.57%	50.66%	71.85%	79.97%	81.48%	63.24%	84.48%	59.29%	68.52%	74.10%	68.88%	64.28%	50.00%	82.82%	73.98%	69.54%	73.03%	76.10%	70.92%	71.79%	64.56%	55.47%	71.43%	80.80%	64.78%	67.25%	73.66%	72.60%	80.41%	53.37%	87.06%	79.93%	80.16%	64.72%	63.95%	68.79%	54.89%	78.02%	90.15%	90.96%	74.97%	83.73%	77.12%	56.15%	65.91%	67.52%	60.03%	64.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	317	13	12	13	9	3	3	4	2	5	3	6	3	5	9	6	9	5	8	3	14	5	4	4	5	2	3	0	4	6	2	7	8	4	4	0	3	2	1	6	0	0	2	1	3	5	0	1	3	8	1	0	4	1	0	3	2	1	20	7	1	1	1	4	5	15	6	7	4	0	6									
		0.51%	1.40%	0.89%	0.83%	0.93%	0.19%	0.40%	0.48%	0.09%	0.82%	0.23%	0.39%	0.30%	0.34%	1.23%	0.67%	0.76%	0.47%	0.90%	1.95%	1.27%	0.47%	0.56%	0.27%	1.64%	0.27%	0.19%	0.00%	1.25%	0.63%	0.18%	0.59%	1.03%	0.41%	0.55%	0.00%	0.29%	0.37%	0.33%	0.60%	0.00%	0.00%	0.18%	0.63%	0.47%	0.81%	0.00%	0.31%	1.06%	0.47%	0.16%	0.00%	0.56%	0.08%	0.00%	0.34%	0.47%	0.29%	1.48%	0.79%	0.11%	0.08%	0.20%	0.42%	0.26%	1.21%	0.85%	0.69%	0.35%	0.00%	0.79%									
24	"6. Политическая партия ""Гражданская Платформа"""	74	1	2	3	4	8	2	0	0	1	0	0	0	1	2	0	0	1	1	0	2	3	0	1	1	3	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	1	0	2	0	1	0	3	0	4	0	2	0	0	2	2	0	1	3	3	5	0									
		0.12%	0.11%	0.15%	0.19%	0.41%	0.49%	0.27%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.07%	0.27%	0.00%	0.00%	0.09%	0.11%	0.00%	0.18%	0.28%	0.00%	0.07%	0.33%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.28%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.24%	0.16%	0.00%	0.28%	0.00%	0.17%	0.00%	0.70%	0.00%	0.30%	0.00%	0.23%	0.00%	0.00%	0.21%	0.10%	0.00%	0.14%	0.29%	0.26%	0.70%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6099	154	155	193	153	131	105	117	135	116	139	68	109	170	138	156	106	160	90	38	151	124	26	108	45	88	83	6	53	58	146	112	60	93	87	36	55	30	36	95	46	74	69	22	117	61	14	43	30	124	76	30	112	27	25	77	47	48	114	118	65	54	18	32	113	91	109	103	131	100	84									
		9.78%	16.58%	11.54%	12.36%	15.77%	8.10%	14.17%	14.11%	6.36%	19.05%	10.83%	4.45%	10.78%	11.55%	18.83%	17.29%	8.94%	14.90%	10.09%	24.68%	13.67%	11.67%	3.64%	7.29%	14.80%	11.91%	5.38%	2.47%	16.51%	6.04%	13.30%	9.43%	7.73%	9.49%	12.00%	15.25%	5.25%	5.58%	11.92%	9.49%	6.11%	11.95%	6.24%	13.92%	18.28%	9.90%	6.25%	13.52%	10.56%	7.31%	11.97%	7.63%	15.73%	2.12%	4.29%	8.83%	10.98%	13.95%	8.43%	13.27%	7.33%	4.29%	3.61%	3.35%	5.78%	7.33%	15.42%	10.12%	11.53%	13.93%	11.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	332	18	4	10	10	5	4	8	0	16	1	4	2	12	13	8	12	6	9	2	14	1	4	12	4	0	15	0	2	0	19	10	6	1	6	1	3	1	2	2	0	0	0	0	1	0	0	0	1	7	0	1	3	0	0	2	3	2	16	4	4	0	0	3	5	7	6	4	6	5	5									
		0.53%	1.94%	0.30%	0.64%	1.03%	0.31%	0.54%	0.97%	0.00%	2.63%	0.08%	0.26%	0.20%	0.82%	1.77%	0.89%	1.01%	0.56%	1.01%	1.30%	1.27%	0.09%	0.56%	0.81%	1.32%	0.00%	0.97%	0.00%	0.62%	0.00%	1.73%	0.84%	0.77%	0.10%	0.83%	0.42%	0.29%	0.19%	0.66%	0.20%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.35%	0.41%	0.00%	0.25%	0.42%	0.00%	0.00%	0.23%	0.70%	0.58%	1.18%	0.45%	0.45%	0.00%	0.00%	0.31%	0.26%	0.56%	0.85%	0.39%	0.53%	0.70%	0.66%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	524	23	22	17	24	11	6	18	0	11	0	9	1	14	11	21	15	9	12	1	17	12	4	11	4	7	5	0	1	8	18	19	9	8	1	4	4	0	2	5	1	0	6	1	3	0	0	1	1	24	3	0	10	0	0	2	8	1	14	7	2	0	1	3	9	13	7	13	7	10	13									
		0.84%	2.48%	1.64%	1.09%	2.47%	0.68%	0.81%	2.17%	0.00%	1.81%	0.00%	0.59%	0.10%	0.95%	1.50%	2.33%	1.26%	0.84%	1.35%	0.65%	1.54%	1.13%	0.56%	0.74%	1.32%	0.95%	0.32%	0.00%	0.31%	0.83%	1.64%	1.60%	1.16%	0.82%	0.14%	1.69%	0.38%	0.00%	0.66%	0.50%	0.13%	0.00%	0.54%	0.63%	0.47%	0.00%	0.00%	0.31%	0.35%	1.41%	0.47%	0.00%	1.40%	0.00%	0.00%	0.23%	1.87%	0.29%	1.04%	0.79%	0.23%	0.00%	0.20%	0.31%	0.46%	1.05%	0.99%	1.28%	0.62%	1.39%	1.72%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	56	1	1	0	3	6	0	0	20	0	0	2	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	4	0	0	0	0	2	0	0	1	0	2	0	0									
		0.09%	0.11%	0.07%	0.00%	0.31%	0.37%	0.00%	0.00%	0.94%	0.00%	0.00%	0.13%	0.00%	0.07%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.09%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.70%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.14%	0.00%	0.18%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	660	28	20	12	33	14	12	15	10	12	4	3	3	22	11	27	24	14	23	1	27	13	5	10	4	8	14	0	4	7	10	19	17	13	9	3	2	1	3	4	1	0	7	2	8	3	0	1	0	23	0	2	12	4	1	6	5	1	7	14	3	7	0	4	14	16	13	17	17	2	9									
		1.06%	3.01%	1.49%	0.77%	3.40%	0.87%	1.62%	1.81%	0.47%	1.97%	0.31%	0.20%	0.30%	1.49%	1.50%	2.99%	2.02%	1.30%	2.58%	0.65%	2.44%	1.22%	0.70%	0.68%	1.32%	1.08%	0.91%	0.00%	1.25%	0.73%	0.91%	1.60%	2.19%	1.33%	1.24%	1.27%	0.19%	0.19%	0.99%	0.40%	0.13%	0.00%	0.63%	1.27%	1.25%	0.49%	0.00%	0.31%	0.00%	1.36%	0.00%	0.51%	1.69%	0.31%	0.17%	0.69%	1.17%	0.29%	0.52%	1.57%	0.34%	0.56%	0.00%	0.42%	0.72%	1.29%	1.84%	1.67%	1.50%	0.28%	1.19%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5737	167	130	114	187	104	108	161	142	74	149	65	99	136	118	168	106	109	138	13	150	127	87	92	52	55	108	11	29	33	123	96	52	105	48	33	43	32	27	107	83	87	82	9	82	49	26	35	30	112	52	16	81	95	69	3	28	41	140	123	70	46	15	55	98	64	100	114	59	100	75									
		9.20%	17.98%	9.68%	7.30%	19.28%	6.43%	14.57%	19.42%	6.69%	12.15%	11.61%	4.25%	9.79%	9.24%	16.10%	18.63%	8.94%	10.15%	15.47%	8.44%	13.57%	11.95%	12.17%	6.21%	17.11%	7.44%	6.99%	4.53%	9.03%	3.44%	11.20%	8.08%	6.70%	10.71%	6.62%	13.98%	4.10%	5.95%	8.94%	10.69%	11.02%	14.05%	7.41%	5.70%	12.81%	7.95%	11.61%	11.01%	10.56%	6.60%	8.19%	4.07%	11.38%	7.45%	11.84%	0.34%	6.54%	11.92%	10.36%	13.84%	7.89%	3.65%	3.01%	5.76%	5.02%	5.16%	14.14%	11.20%	5.19%	13.93%	9.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	213	5	2	4	8	16	1	1	0	1	0	1	0	10	4	6	13	3	2	1	3	4	1	2	1	3	9	0	2	4	6	3	0	4	1	2	0	31	0	3	0	1	0	2	1	8	0	0	4	2	1	0	2	0	0	0	0	0	2	3	4	0	0	4	2	3	2	10	3	0	2									
		0.34%	0.54%	0.15%	0.26%	0.82%	0.99%	0.13%	0.12%	0.00%	0.16%	0.00%	0.07%	0.00%	0.68%	0.55%	0.67%	1.10%	0.28%	0.22%	0.65%	0.27%	0.38%	0.14%	0.14%	0.33%	0.41%	0.58%	0.00%	0.62%	0.42%	0.55%	0.25%	0.00%	0.41%	0.14%	0.85%	0.00%	5.76%	0.00%	0.30%	0.00%	0.16%	0.00%	1.27%	0.16%	1.30%	0.00%	0.00%	1.41%	0.12%	0.16%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.34%	0.45%	0.00%	0.00%	0.42%	0.10%	0.24%	0.28%	0.98%	0.26%	0.00%	0.26%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1993	55	24	34	65	82	29	42	0	29	33	11	7	45	45	62	22	20	57	6	68	18	22	33	8	21	24	28	5	8	26	41	14	19	56	4	16	18	7	20	39	13	124	14	38	19	3	14	11	50	17	7	36	36	18	6	27	15	24	47	19	11	2	111	20	32	40	24	28	10	14									
		3.20%	5.92%	1.79%	2.18%	6.70%	5.07%	3.91%	5.07%	0.00%	4.76%	2.57%	0.72%	0.69%	3.06%	6.14%	6.87%	1.85%	1.86%	6.39%	3.90%	6.15%	1.69%	3.08%	2.23%	2.63%	2.84%	1.56%	11.52%	1.56%	0.83%	2.37%	3.45%	1.80%	1.94%	7.72%	1.69%	1.53%	3.35%	2.32%	1.99%	5.18%	2.10%	11.21%	8.86%	5.94%	3.08%	1.34%	4.40%	3.87%	2.95%	2.68%	1.78%	5.06%	2.82%	3.09%	0.69%	6.31%	4.36%	1.78%	5.29%	2.14%	0.87%	0.40%	11.62%	1.02%	2.58%	5.66%	2.36%	2.46%	1.39%	1.85%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
