Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Выксунская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	722	30	15	15	20	10	15	25	15	15	15	20	15	20	15	15	25	5	20	20	15	15	25	15	15	25	10	10	15	5	20	15	25	22	10	10	10	5	15	20	5	10	10	10	10	10	5	5	5	10	5	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	353	17	8	14	11	4	5	12	6	8	9	9	15	8	11	6	18	2	10	6	6	4	17	7	7	11	2	7	6	1	10	4	7	16	2	3	0	5	6	6	1	7	4	3	8	1	3	3	5	8	2	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	298	4	6	1	14	1	3	6	1	13	12	12	3	7	7	3	3	2	6	6	3	1	5	5	11	0	3	6	5	3	0	6	6	3	3	5	3	5	3	0	6	4	3	0	2	1	3	3	1	2	5	2	80									
14	Число погашенных неиспользованных открепительных удостоверений	369	13	7	1	9	6	10	13	9	7	6	11	0	12	4	9	7	3	10	14	9	11	8	8	8	14	8	3	9	4	10	11	18	6	8	7	10	0	9	14	4	3	6	7	2	9	2	2	0	2	3	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	1	2	1	1	1	3	1	5	4	1	1	2	2	3	0	3	0	3	1	2	0	2	1	1	3	0	0	3	0	1	0	2	4	2	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	446	14	14	6	12	4	6	19	17	11	14	20	8	8	8	5	21	2	12	7	4	3	15	9	13	14	9	7	5	5	3	3	16	7	18	18	6	4	14	10	0	4	9	10	10	5	5	1	0	6	0	4	1									
		1.26%	1.25%	1.66%	0.65%	1.09%	0.80%	1.03%	1.78%	1.97%	1.29%	1.63%	1.75%	0.99%	1.06%	1.08%	0.69%	1.48%	1.80%	1.04%	0.68%	0.60%	0.41%	1.57%	1.02%	1.59%	1.22%	1.52%	1.06%	0.63%	1.23%	0.37%	0.39%	1.39%	0.72%	3.56%	3.02%	1.04%	1.13%	1.86%	1.14%	0.00%	1.15%	1.62%	1.83%	2.61%	1.34%	4.00%	0.51%	0.00%	1.71%	0.00%	2.76%	0.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1076	39	29	22	24	16	8	25	15	18	16	51	30	28	32	20	23	3	44	34	16	18	32	26	30	33	19	14	18	13	34	24	38	25	10	20	22	24	32	26	13	14	11	19	8	7	4	14	5	13	0	6	11									
		3.04%	3.47%	3.44%	2.39%	2.19%	3.18%	1.37%	2.35%	1.74%	2.11%	1.87%	4.47%	3.70%	3.69%	4.31%	2.75%	1.62%	2.70%	3.81%	3.30%	2.41%	2.47%	3.35%	2.94%	3.66%	2.88%	3.20%	2.12%	2.27%	3.21%	4.24%	3.13%	3.30%	2.57%	1.98%	3.36%	3.81%	6.76%	4.25%	2.96%	5.26%	4.01%	1.98%	3.47%	2.09%	1.87%	3.20%	7.11%	6.10%	3.70%	0.00%	4.14%	3.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	714	20	12	15	36	9	19	19	22	15	24	12	17	22	17	22	34	4	25	15	19	6	14	14	22	25	12	12	15	7	20	17	34	18	2	13	13	6	5	10	5	0	9	11	6	3	4	4	3	13	1	2	10									
		2.02%	1.78%	1.42%	1.63%	3.28%	1.79%	3.25%	1.78%	2.56%	1.76%	2.80%	1.05%	2.10%	2.90%	2.29%	3.03%	2.39%	3.60%	2.16%	1.46%	2.86%	0.82%	1.47%	1.58%	2.69%	2.18%	2.02%	1.82%	1.89%	1.73%	2.50%	2.21%	2.95%	1.85%	0.40%	2.18%	2.25%	1.69%	0.66%	1.14%	2.02%	0.00%	1.62%	2.01%	1.57%	0.80%	3.20%	2.03%	3.66%	3.70%	1.05%	1.38%	3.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16217	493	385	422	487	231	252	482	398	394	401	526	380	322	323	336	665	47	552	474	278	328	432	390	352	551	274	299	409	183	387	386	513	434	274	298	241	147	322	365	127	166	239	262	185	195	62	85	43	178	61	67	114									
		45.84%	43.86%	45.67%	45.77%	44.43%	45.92%	43.08%	45.26%	46.23%	46.24%	46.79%	46.10%	46.91%	42.48%	43.53%	46.22%	46.77%	42.34%	47.75%	46.06%	41.80%	44.93%	45.24%	44.12%	42.98%	48.04%	46.13%	45.23%	51.51%	45.19%	48.31%	50.26%	44.53%	44.56%	54.15%	50.00%	41.77%	41.41%	42.76%	41.57%	51.42%	47.56%	42.99%	47.90%	48.30%	52.14%	49.60%	43.15%	52.44%	50.71%	64.21%	46.21%	37.38%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	230	8	9	5	11	3	2	5	2	5	4	32	5	4	10	6	6	0	4	3	7	5	3	12	6	8	3	8	7	2	4	1	2	3	0	3	2	1	3	3	2	3	2	0	3	2	0	1	1	7	1	1	0									
		0.65%	0.71%	1.07%	0.54%	1.00%	0.60%	0.34%	0.47%	0.23%	0.59%	0.47%	2.80%	0.62%	0.53%	1.35%	0.83%	0.42%	0.00%	0.35%	0.29%	1.05%	0.68%	0.31%	1.36%	0.73%	0.70%	0.51%	1.21%	0.88%	0.49%	0.50%	0.13%	0.17%	0.31%	0.00%	0.50%	0.35%	0.28%	0.40%	0.34%	0.81%	0.86%	0.36%	0.00%	0.78%	0.53%	0.00%	0.51%	1.22%	1.99%	1.05%	0.69%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	1	0	0	0	0	1	2	1	2	0	13	2	0	1	0	1	1	0	2	1	1	4	0	1	2	0	2	0	0	0	0	1	0	0	1	1	1	0	2	0	0	0	1	0	3	0	0	1	0	0	0	2									
		0.14%	0.09%	0.00%	0.00%	0.00%	0.00%	0.17%	0.19%	0.12%	0.23%	0.00%	1.14%	0.25%	0.00%	0.13%	0.00%	0.07%	0.90%	0.00%	0.19%	0.15%	0.14%	0.42%	0.00%	0.12%	0.17%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.17%	0.17%	0.28%	0.00%	0.23%	0.00%	0.00%	0.00%	0.18%	0.00%	0.80%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.66%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5551	190	131	140	178	68	101	164	106	128	113	168	96	104	95	130	253	23	176	155	95	105	126	108	104	148	103	110	131	79	138	118	202	204	86	104	115	65	107	172	41	62	124	88	86	56	6	17	12	50	9	18	43									
		15.69%	16.90%	15.54%	15.18%	16.24%	13.52%	17.26%	15.40%	12.31%	15.02%	13.19%	14.72%	11.85%	13.72%	12.80%	17.88%	17.79%	20.72%	15.22%	15.06%	14.29%	14.38%	13.19%	12.22%	12.70%	12.90%	17.34%	16.64%	16.50%	19.51%	17.23%	15.36%	17.53%	20.94%	16.99%	17.45%	19.93%	18.31%	14.21%	19.59%	16.60%	17.77%	22.30%	16.09%	22.45%	14.97%	4.80%	8.63%	14.63%	14.25%	9.47%	12.41%	14.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	306	12	12	8	9	2	6	19	8	5	9	20	9	6	5	6	12	2	7	11	15	2	6	6	10	9	12	4	5	2	1	4	10	10	1	4	2	2	0	12	0	6	1	5	1	4	1	0	0	0	0	0	3									
		0.87%	1.07%	1.42%	0.87%	0.82%	0.40%	1.03%	1.78%	0.93%	0.59%	1.05%	1.75%	1.11%	0.79%	0.67%	0.83%	0.84%	1.80%	0.61%	1.07%	2.26%	0.27%	0.63%	0.68%	1.22%	0.78%	2.02%	0.61%	0.63%	0.49%	0.12%	0.52%	0.87%	1.03%	0.20%	0.67%	0.35%	0.56%	0.00%	1.37%	0.00%	1.72%	0.18%	0.91%	0.26%	1.07%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	282	7	5	10	11	6	8	12	8	9	11	24	6	7	10	4	14	1	8	10	7	2	12	8	4	4	3	6	4	2	5	7	4	7	3	5	2	2	3	4	0	5	4	0	2	3	0	0	0	1	0	1	1									
		0.80%	0.62%	0.59%	1.08%	1.00%	1.19%	1.37%	1.13%	0.93%	1.06%	1.28%	2.10%	0.74%	0.92%	1.35%	0.55%	0.98%	0.90%	0.69%	0.97%	1.05%	0.27%	1.26%	0.90%	0.49%	0.35%	0.51%	0.91%	0.50%	0.49%	0.62%	0.91%	0.35%	0.72%	0.59%	0.84%	0.35%	0.56%	0.40%	0.46%	0.00%	1.43%	0.72%	0.00%	0.52%	0.80%	0.00%	0.00%	0.00%	0.28%	0.00%	0.69%	0.33%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	43	0	0	1	1	0	1	0	1	1	0	11	0	0	1	1	0	0	2	1	2	0	1	1	0	1	1	1	1	0	0	3	2	2	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0									
		0.12%	0.00%	0.00%	0.11%	0.09%	0.00%	0.17%	0.00%	0.12%	0.12%	0.00%	0.96%	0.00%	0.00%	0.13%	0.14%	0.00%	0.00%	0.17%	0.10%	0.30%	0.00%	0.10%	0.11%	0.00%	0.09%	0.17%	0.15%	0.13%	0.00%	0.00%	0.39%	0.17%	0.21%	0.00%	0.00%	0.35%	0.28%	0.27%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	295	11	15	8	8	2	4	9	13	9	7	13	4	4	12	6	12	2	8	9	8	6	10	6	6	16	4	8	5	3	5	5	7	9	3	4	4	2	3	11	0	0	1	1	3	1	0	1	0	3	0	1	3									
		0.83%	0.98%	1.78%	0.87%	0.73%	0.40%	0.68%	0.85%	1.51%	1.06%	0.82%	1.14%	0.49%	0.53%	1.62%	0.83%	0.84%	1.80%	0.69%	0.87%	1.20%	0.82%	1.05%	0.68%	0.73%	1.39%	0.67%	1.21%	0.63%	0.74%	0.62%	0.65%	0.61%	0.92%	0.59%	0.67%	0.69%	0.56%	0.40%	1.25%	0.00%	0.00%	0.18%	0.18%	0.78%	0.27%	0.00%	0.51%	0.00%	0.85%	0.00%	0.69%	0.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7260	245	170	203	213	113	135	249	195	181	186	196	183	186	165	150	285	18	227	210	168	197	215	200	183	256	126	134	139	72	140	128	224	188	70	84	125	50	166	201	50	65	109	110	52	62	29	56	14	52	16	36	33									
		20.52%	21.80%	20.17%	22.02%	19.43%	22.47%	23.08%	23.38%	22.65%	21.24%	21.70%	17.18%	22.59%	24.54%	22.24%	20.63%	20.04%	16.22%	19.64%	20.41%	25.26%	26.99%	22.51%	22.62%	22.34%	22.32%	21.21%	20.27%	17.51%	17.78%	17.48%	16.67%	19.44%	19.30%	13.83%	14.09%	21.66%	14.08%	22.05%	22.89%	20.24%	18.62%	19.60%	20.11%	13.58%	16.58%	23.20%	28.43%	17.07%	14.81%	16.84%	24.83%	10.82%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	129	5	3	3	4	5	3	4	1	1	5	6	0	2	5	3	1	1	3	4	2	3	2	1	4	8	1	3	1	0	2	3	3	5	1	1	1	1	2	4	1	0	13	2	0	1	0	0	0	4	0	1	0									
		0.36%	0.44%	0.36%	0.33%	0.36%	0.99%	0.51%	0.38%	0.12%	0.12%	0.58%	0.53%	0.00%	0.26%	0.67%	0.41%	0.07%	0.90%	0.26%	0.39%	0.30%	0.41%	0.21%	0.11%	0.49%	0.70%	0.17%	0.45%	0.13%	0.00%	0.25%	0.39%	0.26%	0.51%	0.20%	0.17%	0.17%	0.28%	0.27%	0.46%	0.40%	0.00%	2.34%	0.37%	0.00%	0.27%	0.00%	0.00%	0.00%	1.14%	0.00%	0.69%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1834	61	48	55	59	23	23	39	53	51	49	28	50	57	41	26	70	4	55	68	25	39	46	61	56	50	17	38	32	27	44	48	68	36	26	29	23	37	71	40	3	19	20	28	14	23	7	8	1	12	2	4	20									
		5.18%	5.43%	5.69%	5.97%	5.38%	4.57%	3.93%	3.66%	6.16%	5.99%	5.72%	2.45%	6.17%	7.52%	5.53%	3.58%	4.92%	3.60%	4.76%	6.61%	3.76%	5.34%	4.82%	6.90%	6.84%	4.36%	2.86%	5.75%	4.03%	6.67%	5.49%	6.25%	5.90%	3.70%	5.14%	4.87%	3.99%	10.42%	9.43%	4.56%	1.21%	5.44%	3.60%	5.12%	3.66%	6.15%	5.60%	4.06%	1.22%	3.42%	2.11%	2.76%	6.56%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
