Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Псковская городская																																																																																													
																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																													
																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	650	21	10	10	14	3	4	6	4	7	5	16	7	11	5	8	9	1	4	7	3	3	6	10	4	7	12	9	2	11	8	8	7	4	3	6	7	4	9	5	10	13	11	13	5	2	3	10	9	6	6	8	4	11	10	5	12	6	8	2	14	9	7	23	0	9	3	12	7	10	6	11	4	4	7	2	5	6	9	7	7	2	2	6	4	13	27					
14	Число погашенных открепительных удостоверений	1825	9	19	25	22	21	9	24	17	24	24	23	20	15	12	9	16	13	29	29	35	15	24	31	23	15	19	10	23	29	22	19	30	21	16	9	35	26	25	20	20	14	14	23	23	22	31	17	22	10	12	21	25	21	27	31	24	26	32	26	26	32	23	34	17	33	19	23	28	30	29	34	30	25	20	26	16	17	0	15	21	20	18	27	14	0	0					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																													
18	"1. ""ЕДИНЕНИЕ"""	909	7	7	17	13	8	4	15	9	15	4	16	5	3	4	13	10	5	15	20	11	14	7	12	26	4	16	5	25	18	6	5	15	5	12	8	8	9	8	7	13	9	24	6	12	7	6	12	17	11	7	12	12	9	4	8	13	8	4	15	13	11	8	17	7	10	15	3	4	18	18	13	9	9	13	11	12	9	5	19	15	9	14	15	3	5	4					
		1.00%	1.02%	0.68%	1.43%	1.28%	0.94%	0.74%	0.96%	1.03%	1.53%	0.58%	1.22%	0.62%	0.44%	0.93%	0.83%	1.20%	1.61%	2.53%	1.63%	1.10%	1.50%	1.02%	0.95%	1.89%	0.42%	1.55%	0.55%	2.39%	1.40%	0.74%	0.65%	1.38%	0.53%	0.88%	0.8%	0.70%	0.81%	0.68%	0.63%	1.34%	0.82%	1.47%	0.44%	0.87%	0.49%	0.44%	0.98%	1.26%	0.82%	0.64%	0.82%	0.88%	0.61%	0.33%	0.64%	1.06%	0.66%	0.31%	1.03%	0.86%	0.85%	0.66%	1.44%	0.87%	0.95%	1.73%	0.26%	0.77%	1.36%	1.47%	1.28%	0.84%	0.70%	1.51%	1.06%	1.19%	0.93%	0.51%	1.9%	1.06%	1.05%	1.40%	1.27%	0.40%	2.34%	1.68%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6110	48	90	69	71	76	45	120	40	56	45	68	34	29	18	89	33	16	18	77	54	52	64	102	78	66	67	46	38	67	56	46	75	83	102	57	83	74	89	104	43	95	110	99	104	127	154	90	88	95	96	130	108	85	90	80	104	122	86	104	97	110	105	94	64	63	31	43	19	53	62	48	41	82	46	70	63	56	91	56	77	60	71	87	47	9	10					
		6.72%	7.01%	8.82%	5.82%	7.00%	8.95%	8.33%	7.68%	4.58%	5.74%	6.59%	5.19%	4.25%	4.27%	4.19%	5.68%	3.97%	5.17%	3.04%	6.28%	5.43%	5.59%	9.38%	8.13%	5.68%	6.96%	6.53%	5.09%	3.64%	5.23%	6.98%	5.99%	6.93%	8.83%	7.52%	5.7%	7.27%	6.73%	7.63%	9.42%	4.43%	8.75%	6.74%	7.35%	7.61%	9.01%	11.50%	7.37%	6.54%	7.12%	8.79%	8.95%	7.93%	5.76%	7.63%	6.45%	8.54%	10.19%	6.87%	7.19%	6.46%	8.55%	8.72%	7.99%	8.0%	6.04%	3.57%	3.85%	3.66%	4.02%	5.09%	4.73%	3.86%	6.43%	5.35%	6.78%	6.28%	5.80%	9.32%	5.6%	5.45%	7.02%	7.12%	7.42%	6.34%	4.22%	4.20%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3037	20	27	48	37	34	10	73	29	50	16	48	29	29	16	35	38	15	20	41	19	58	30	30	42	47	35	37	18	34	21	22	30	37	57	19	38	20	39	33	23	52	17	57	50	48	27	41	35	34	21	54	32	69	41	73	53	45	27	51	64	29	60	47	28	34	30	30	15	45	34	27	34	33	34	22	23	38	36	35	63	22	22	63	20	12	6					
		3.34%	2.92%	2.64%	4.05%	3.65%	4.00%	1.85%	4.67%	3.32%	5.12%	2.34%	3.66%	3.62%	4.27%	3.72%	2.23%	4.57%	4.85%	3.37%	3.34%	1.91%	6.23%	4.39%	2.39%	3.05%	4.96%	3.41%	4.09%	1.72%	2.65%	2.61%	2.86%	2.77%	3.94%	4.20%	1.9%	3.33%	1.82%	3.34%	2.99%	2.37%	4.79%	1.04%	4.23%	3.66%	3.40%	2.01%	3.36%	2.60%	2.55%	1.92%	3.71%	2.35%	4.68%	3.47%	5.88%	4.35%	3.75%	2.15%	3.52%	4.26%	2.25%	4.98%	3.99%	3.5%	3.25%	3.46%	2.69%	2.89%	3.41%	2.79%	2.66%	3.20%	2.58%	3.95%	2.13%	2.29%	3.93%	3.68%	3.5%	4.46%	2.57%	2.20%	5.37%	2.69%	5.63%	2.52%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	5491	37	82	61	86	37	30	109	61	37	41	58	35	38	18	66	42	11	21	39	46	67	46	76	102	56	60	49	27	58	48	36	57	62	73	46	78	67	66	86	54	66	66	76	129	114	96	98	81	93	93	104	105	90	87	107	57	81	67	110	104	98	77	115	37	47	76	62	14	73	79	38	64	78	39	54	62	41	64	55	85	62	59	70	32	11	6					
		6.04%	5.40%	8.03%	5.14%	8.48%	4.35%	5.55%	6.97%	6.98%	3.79%	6.01%	4.43%	4.37%	5.60%	4.19%	4.21%	5.05%	3.55%	3.54%	3.18%	4.62%	7.20%	6.74%	6.06%	7.42%	5.91%	5.84%	5.42%	2.59%	4.53%	5.98%	4.69%	5.27%	6.60%	5.38%	4.6%	6.83%	6.10%	5.66%	7.79%	5.57%	6.08%	4.04%	5.64%	9.44%	8.09%	7.16%	8.03%	6.02%	6.97%	8.52%	7.16%	7.71%	6.10%	7.37%	8.62%	4.68%	6.76%	5.35%	7.60%	6.92%	7.62%	6.39%	9.77%	4.62%	4.50%	8.77%	5.56%	2.70%	5.54%	6.49%	3.75%	6.03%	6.11%	4.54%	5.23%	6.18%	4.24%	6.55%	5.5%	6.01%	7.25%	5.92%	5.97%	4.31%	5.16%	2.52%					
22	"5. ""За Русь Святую"""	375	4	5	5	4	4	0	9	1	8	4	4	4	7	2	2	8	1	1	3	5	0	1	7	2	5	8	5	10	3	1	4	6	3	6	3	2	9	2	5	4	5	6	8	8	3	5	3	4	7	10	7	3	3	8	1	4	4	5	6	8	4	5	3	3	4	3	7	4	3	4	3	2	6	2	4	3	4	5	3	5	2	6	6	8	0	1					
		0.41%	0.58%	0.49%	0.42%	0.39%	0.47%	0.0%	0.57%	0.11%	0.82%	0.58%	0.30%	0.5%	1.03%	0.46%	0.12%	0.96%	0.32%	0.16%	0.24%	0.50%	0.0%	0.14%	0.55%	0.14%	0.52%	0.77%	0.55%	0.95%	0.23%	0.12%	0.52%	0.55%	0.31%	0.44%	0.3%	0.17%	0.81%	0.17%	0.45%	0.41%	0.46%	0.36%	0.59%	0.58%	0.21%	0.37%	0.24%	0.29%	0.52%	0.91%	0.48%	0.22%	0.20%	0.67%	0.08%	0.32%	0.33%	0.39%	0.41%	0.53%	0.31%	0.41%	0.25%	0.37%	0.38%	0.34%	0.62%	0.77%	0.22%	0.32%	0.29%	0.18%	0.47%	0.23%	0.38%	0.29%	0.41%	0.51%	0.3%	0.35%	0.23%	0.60%	0.51%	1.07%	0.0%	0.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	160	3	2	1	1	2	0	0	1	2	2	6	0	2	1	1	1	1	4	2	2	2	1	2	3	3	0	0	4	1	2	0	0	2	2	3	3	3	0	2	4	1	5	3	3	3	4	7	2	2	3	1	2	3	0	0	1	1	1	5	0	1	0	1	1	5	0	2	2	3	2	3	3	1	1	1	1	4	1	2	1	2	1	3	1	0	0					
		0.17%	0.43%	0.19%	0.08%	0.09%	0.23%	0.0%	0.0%	0.11%	0.20%	0.29%	0.45%	0.0%	0.29%	0.23%	0.06%	0.12%	0.32%	0.67%	0.16%	0.20%	0.21%	0.14%	0.15%	0.21%	0.31%	0.0%	0.0%	0.38%	0.07%	0.24%	0.0%	0.0%	0.21%	0.14%	0.3%	0.26%	0.27%	0.0%	0.18%	0.41%	0.09%	0.30%	0.22%	0.21%	0.21%	0.29%	0.57%	0.14%	0.15%	0.27%	0.06%	0.14%	0.20%	0.0%	0.0%	0.08%	0.08%	0.07%	0.34%	0.0%	0.07%	0.0%	0.08%	0.12%	0.47%	0.0%	0.17%	0.38%	0.22%	0.16%	0.29%	0.28%	0.07%	0.11%	0.09%	0.09%	0.41%	0.10%	0.2%	0.07%	0.23%	0.10%	0.25%	0.13%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	711	2	6	14	6	7	3	14	7	17	7	7	8	6	6	15	7	1	4	20	13	9	5	1	10	5	2	6	9	7	4	3	14	3	12	17	6	12	11	13	7	3	24	8	11	4	8	6	18	10	7	14	9	17	6	11	7	4	4	4	7	2	7	9	5	12	8	20	3	14	8	5	8	11	1	3	3	9	8	5	17	7	12	15	9	1	1					
		0.78%	0.29%	0.58%	1.18%	0.59%	0.82%	0.55%	0.89%	0.80%	1.74%	1.02%	0.53%	1.0%	0.88%	1.39%	0.95%	0.84%	0.32%	0.67%	1.63%	1.30%	0.96%	0.73%	0.07%	0.72%	0.52%	0.19%	0.66%	0.86%	0.54%	0.49%	0.39%	1.29%	0.31%	0.88%	1.7%	0.52%	1.09%	0.94%	1.17%	0.72%	0.27%	1.47%	0.59%	0.80%	0.28%	0.59%	0.49%	1.33%	0.75%	0.64%	0.96%	0.66%	1.15%	0.50%	0.88%	0.57%	0.33%	0.31%	0.27%	0.46%	0.15%	0.58%	0.76%	0.62%	1.15%	0.92%	1.79%	0.57%	1.06%	0.65%	0.49%	0.75%	0.86%	0.11%	0.29%	0.29%	0.93%	0.81%	0.5%	1.20%	0.81%	1.20%	1.27%	1.21%	0.46%	0.42%					
25	"8. ""Народно-республиканская партия России"""	87	0	0	1	2	3	2	0	0	4	1	1	1	1	0	1	1	0	0	2	0	0	2	1	1	1	2	0	2	2	3	2	0	0	4	0	2	1	2	2	1	1	1	2	0	2	0	0	2	0	0	1	1	1	2	0	0	1	1	0	1	2	2	0	1	0	0	0	1	1	0	1	1	1	1	1	0	3	1	0	2	1	0	2	0	1	1					
		0.09%	0.0%	0.0%	0.08%	0.19%	0.35%	0.37%	0.0%	0.0%	0.41%	0.14%	0.07%	0.12%	0.14%	0.0%	0.06%	0.12%	0.0%	0.0%	0.16%	0.0%	0.0%	0.29%	0.07%	0.07%	0.10%	0.19%	0.0%	0.19%	0.15%	0.37%	0.26%	0.0%	0.0%	0.29%	0.0%	0.17%	0.09%	0.17%	0.18%	0.10%	0.09%	0.06%	0.14%	0.0%	0.14%	0.0%	0.0%	0.14%	0.0%	0.0%	0.06%	0.07%	0.06%	0.16%	0.0%	0.0%	0.08%	0.07%	0.0%	0.06%	0.15%	0.16%	0.0%	0.12%	0.0%	0.0%	0.0%	0.19%	0.07%	0.0%	0.09%	0.09%	0.07%	0.11%	0.09%	0.0%	0.31%	0.10%	0.0%	0.14%	0.11%	0.0%	0.17%	0.0%	0.46%	0.42%					
26	"9. ""Российская экологическая партия ""Зеленые"""	479	4	7	6	5	7	5	10	6	6	2	4	2	3	1	20	4	1	1	5	6	8	4	7	8	7	4	5	6	7	1	7	8	3	2	4	10	3	3	0	4	7	15	7	6	22	8	5	3	3	3	8	7	9	4	3	0	4	8	9	5	9	4	8	3	3	3	3	2	5	8	2	4	7	4	8	6	4	13	4	15	5	6	9	0	1	1					
		0.52%	0.58%	0.68%	0.50%	0.49%	0.82%	0.92%	0.64%	0.68%	0.61%	0.29%	0.30%	0.25%	0.44%	0.23%	1.27%	0.48%	0.32%	0.16%	0.40%	0.60%	0.86%	0.58%	0.55%	0.58%	0.73%	0.38%	0.55%	0.57%	0.54%	0.12%	0.91%	0.74%	0.31%	0.14%	0.4%	0.87%	0.27%	0.25%	0.0%	0.41%	0.64%	0.91%	0.52%	0.43%	1.56%	0.59%	0.40%	0.22%	0.22%	0.27%	0.55%	0.51%	0.61%	0.33%	0.24%	0.0%	0.33%	0.63%	0.62%	0.33%	0.69%	0.33%	0.68%	0.37%	0.28%	0.34%	0.26%	0.38%	0.37%	0.65%	0.19%	0.37%	0.54%	0.46%	0.77%	0.59%	0.41%	1.33%	0.4%	1.06%	0.58%	0.60%	0.76%	0.0%	0.46%	0.42%					
27	"10. ""Аграрная партия России"""	1396	9	13	18	18	15	6	20	14	9	11	28	12	11	3	21	31	9	10	22	10	18	11	28	26	15	25	11	8	16	9	8	23	5	24	23	15	9	9	18	15	19	15	29	19	1	12	11	13	21	18	31	27	27	17	21	32	10	16	27	33	15	23	15	10	13	19	20	7	17	17	8	11	18	17	14	10	16	27	16	35	9	17	18	12	2	5					
		1.53%	1.31%	1.27%	1.51%	1.77%	1.76%	1.11%	1.28%	1.60%	0.92%	1.61%	2.13%	1.5%	1.62%	0.69%	1.34%	3.73%	2.91%	1.68%	1.79%	1.00%	1.93%	1.61%	2.23%	1.89%	1.58%	2.43%	1.21%	0.76%	1.25%	1.12%	1.04%	2.12%	0.53%	1.77%	2.3%	1.31%	0.81%	0.77%	1.63%	1.54%	1.75%	0.91%	2.15%	1.39%	0.07%	0.89%	0.90%	0.96%	1.57%	1.64%	2.13%	1.98%	1.83%	1.44%	1.69%	2.62%	0.83%	1.27%	1.86%	2.19%	1.16%	1.91%	1.27%	1.25%	1.24%	2.19%	1.79%	1.35%	1.29%	1.39%	0.78%	1.03%	1.41%	1.97%	1.35%	0.99%	1.65%	2.76%	1.6%	2.47%	1.05%	1.70%	1.53%	1.61%	0.93%	2.10%					
28	"11. ""Истинные патриоты России"""	97	1	0	1	1	3	0	1	1	3	0	3	0	5	3	0	0	1	2	2	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	15	0	0	0	2	0	0	1	2	0	0	2	0	1	0	1	0	0	1	0	1	1	10	1	1	2	1	0	11	1	1	0	0	0	1	4	1	0	1	0	0	0					
		0.10%	0.14%	0.0%	0.08%	0.09%	0.35%	0.0%	0.06%	0.11%	0.30%	0.0%	0.22%	0.0%	0.73%	0.69%	0.0%	0.0%	0.32%	0.33%	0.16%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.07%	0.0%	0.0%	0.09%	0.0%	0.0%	0.1%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.07%	0.0%	1.06%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.07%	0.13%	0.0%	0.0%	0.16%	0.0%	0.07%	0.0%	0.06%	0.0%	0.0%	0.08%	0.0%	0.09%	0.11%	0.89%	0.19%	0.07%	0.16%	0.09%	0.0%	0.86%	0.11%	0.09%	0.0%	0.0%	0.0%	0.1%	0.28%	0.11%	0.0%	0.08%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	937	4	12	7	8	8	1	16	13	12	7	15	8	7	2	12	5	3	7	15	19	10	5	9	9	4	8	6	7	12	9	3	13	11	21	11	12	14	14	8	14	15	11	20	12	1	15	14	14	12	10	10	14	19	7	11	16	11	18	20	23	8	16	7	6	7	7	9	13	12	10	9	8	18	9	16	21	13	11	6	15	16	21	16	6	0	3					
		1.03%	0.58%	1.17%	0.59%	0.78%	0.94%	0.18%	1.02%	1.48%	1.23%	1.02%	1.14%	1.0%	1.03%	0.46%	0.76%	0.60%	0.97%	1.18%	1.22%	1.91%	1.07%	0.73%	0.71%	0.65%	0.42%	0.77%	0.66%	0.67%	0.93%	1.12%	0.39%	1.20%	1.17%	1.54%	1.1%	1.05%	1.27%	1.20%	0.72%	1.44%	1.38%	0.67%	1.48%	0.87%	0.07%	1.12%	1.14%	1.04%	0.90%	0.91%	0.68%	1.02%	1.28%	0.59%	0.88%	1.31%	0.91%	1.43%	1.38%	1.53%	0.62%	1.32%	0.59%	0.75%	0.67%	0.80%	0.80%	2.50%	0.91%	0.82%	0.88%	0.75%	1.41%	1.04%	1.55%	2.09%	1.34%	1.12%	0.6%	1.06%	1.87%	2.10%	1.36%	0.80%	0.0%	1.26%					
30	"13. ""Демократическая партия России"""	170	2	1	2	1	1	1	0	3	4	0	3	1	3	0	2	5	2	2	2	3	1	1	1	0	0	3	5	3	3	1	0	0	2	3	3	0	1	1	4	1	2	5	2	4	0	1	1	3	3	2	3	2	0	2	2	3	1	0	5	4	2	2	1	2	2	0	2	2	4	3	2	3	6	3	3	3	1	3	3	0	0	1	4	1	0	1					
		0.18%	0.29%	0.09%	0.16%	0.09%	0.11%	0.18%	0.0%	0.34%	0.41%	0.0%	0.22%	0.12%	0.44%	0.0%	0.12%	0.60%	0.64%	0.33%	0.16%	0.30%	0.10%	0.14%	0.07%	0.0%	0.0%	0.29%	0.55%	0.28%	0.23%	0.12%	0.0%	0.0%	0.21%	0.22%	0.3%	0.0%	0.09%	0.08%	0.36%	0.10%	0.18%	0.30%	0.14%	0.29%	0.0%	0.07%	0.08%	0.22%	0.22%	0.18%	0.20%	0.14%	0.0%	0.16%	0.16%	0.24%	0.08%	0.0%	0.34%	0.26%	0.15%	0.16%	0.08%	0.25%	0.19%	0.0%	0.17%	0.38%	0.30%	0.24%	0.19%	0.28%	0.47%	0.34%	0.29%	0.29%	0.10%	0.30%	0.3%	0.0%	0.0%	0.10%	0.34%	0.13%	0.0%	0.42%					
31	"14. ""Великая Россия - Евразийский Союз"""	125	2	1	4	3	1	0	2	2	0	3	1	1	0	2	1	1	1	0	2	1	1	0	0	3	1	1	2	4	3	0	0	0	0	4	0	1	3	0	0	3	0	5	5	4	1	0	1	1	3	1	0	0	1	0	0	1	5	2	1	2	2	1	0	5	1	1	1	1	0	2	4	1	2	1	1	1	1	1	2	2	0	3	4	1	0	0					
