Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Азнакаевская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567					
		0.17%	0.18%	0.21%	0.29%	0.32%	0.47%	0.0%	0.0%	0.0%	0.0%	0.31%	0.23%	0.0%	0.0%	0.0%	0.0%	1.19%	0.46%	0.36%	0.25%	0.24%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	1	4	3	6	0	0	0	0	0	2	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0					
		0.12%	0.18%	0.21%	0.17%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.27%	0.0%	0.0%	0.0%	0.29%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	17	0	1	3	2	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0					
		0.08%	0.0%	0.05%	0.17%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.54%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	396	14	70	43	94	24	8	9	5	1	7	10	0	0	0	12	9	3	12	3	4	1	1	7	0	1	3	1	0	0	2	4	16	6	3	2	1	4	15	0	1	0	0					
		1.92%	2.57%	3.79%	2.53%	4.41%	5.67%	3.2%	2.54%	1.50%	0.31%	1.11%	2.30%	0.0%	0.0%	0.0%	1.89%	2.68%	0.69%	4.37%	0.77%	0.96%	0.38%	0.99%	1.65%	0.0%	0.15%	1.26%	0.19%	0.0%	0.0%	0.54%	1.73%	1.39%	1.12%	2.09%	0.38%	0.23%	0.56%	3.93%	0.0%	0.43%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	76	0	9	6	16	1	0	2	1	0	0	2	0	0	0	8	2	4	2	2	1	1	0	1	0	0	5	0	0	0	1	2	6	1	0	0	0	2	1	0	0	0	0					
		0.36%	0.0%	0.48%	0.35%	0.75%	0.23%	0.0%	0.56%	0.30%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	1.26%	0.59%	0.93%	0.72%	0.51%	0.24%	0.38%	0.0%	0.23%	0.0%	0.0%	2.10%	0.0%	0.0%	0.0%	0.27%	0.86%	0.52%	0.18%	0.0%	0.0%	0.0%	0.28%	0.26%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	799	41	184	99	170	50	15	35	14	2	17	6	0	1	1	18	16	2	5	2	4	4	2	16	5	3	21	1	1	4	14	0	15	7	0	0	3	11	10	0	0	0	0					
		3.88%	7.55%	9.97%	5.83%	7.97%	11.82%	6.0%	9.88%	4.20%	0.63%	2.70%	1.38%	0.0%	0.44%	0.46%	2.83%	4.77%	0.46%	1.82%	0.51%	0.96%	1.52%	1.98%	3.79%	3.04%	0.45%	8.86%	0.19%	0.18%	2.10%	3.82%	0.0%	1.31%	1.31%	0.0%	0.0%	0.70%	1.56%	2.62%	0.0%	0.0%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	279	9	38	20	55	2	1	4	10	1	7	4	0	0	2	14	3	3	6	4	8	0	3	12	1	0	0	1	0	0	5	3	12	10	0	2	5	28	4	0	1	1	0					
		1.35%	1.65%	2.05%	1.17%	2.58%	0.47%	0.4%	1.12%	3.00%	0.31%	1.11%	0.92%	0.0%	0.0%	0.93%	2.20%	0.89%	0.69%	2.18%	1.03%	1.93%	0.0%	2.97%	2.84%	0.60%	0.0%	0.0%	0.19%	0.0%	0.0%	1.36%	1.29%	1.04%	1.87%	0.0%	0.38%	1.17%	3.98%	1.04%	0.0%	0.43%	0.59%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	15334	303	1033	1239	1214	251	157	186	140	281	494	345	364	217	191	375	246	355	175	307	338	232	78	248	138	609	160	516	519	154	285	197	888	483	132	486	373	552	289	311	216	159	98					
		74.48%	55.80%	55.98%	73.05%	56.96%	59.33%	62.8%	52.54%	42.04%	88.64%	78.66%	79.67%	98.37%	97.30%	89.67%	59.14%	73.43%	82.75%	63.86%	79.32%	81.84%	88.21%	77.22%	58.76%	84.14%	92.41%	67.51%	98.47%	98.10%	81.05%	77.86%	85.28%	77.62%	90.78%	92.30%	94.73%	87.55%	78.52%	75.85%	94.52%	93.91%	95.20%	97.02%					
38	"21. ""Российская Конституционно-демократическая партия"""	34	2	4	7	2	0	0	1	0	0	0	3	0	0	0	1	1	4	0	0	0	1	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0					
		0.16%	0.36%	0.21%	0.41%	0.09%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.15%	0.29%	0.93%	0.0%	0.0%	0.0%	0.38%	0.0%	0.47%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	49	2	10	8	10	1	0	1	2	1	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	2	2	0	0	0	0					
		0.23%	0.36%	0.54%	0.47%	0.46%	0.23%	0.0%	0.28%	0.60%	0.31%	0.0%	0.23%	0.0%	0.0%	0.0%	0.15%	0.29%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.43%	0.26%	0.0%	0.0%	0.0%	0.0%	0.28%	0.52%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1556	58	203	133	230	31	10	49	112	6	42	37	2	3	6	70	32	26	16	17	25	16	4	102	8	25	14	2	7	17	32	15	79	15	3	7	19	39	36	2	1	3	2					
		7.55%	10.68%	11.00%	7.84%	10.79%	7.32%	4.0%	13.84%	33.63%	1.89%	6.68%	8.54%	0.54%	1.34%	2.81%	11.04%	9.55%	6.06%	5.83%	4.39%	6.05%	6.08%	3.96%	24.17%	4.87%	3.79%	5.90%	0.38%	1.32%	8.94%	8.74%	6.49%	6.90%	2.81%	2.09%	1.36%	4.46%	5.54%	9.44%	0.60%	0.43%	1.79%	1.98%					
																																																	
41	Против всех	468	32	94	37	60	16	3	16	16	3	14	9	0	1	2	31	5	11	8	8	12	3	2	11	4	0	3	0	0	0	7	3	18	1	3	6	7	12	4	4	0	1	1					
		2.27%	5.89%	5.09%	2.18%	2.81%	3.78%	1.2%	4.51%	4.80%	0.94%	2.22%	2.07%	0.0%	0.44%	0.93%	4.88%	1.49%	2.56%	2.91%	2.06%	2.90%	1.14%	1.98%	2.60%	2.43%	0.0%	1.26%	0.0%	0.0%	0.0%	1.91%	1.29%	1.57%	0.18%	2.09%	1.16%	1.64%	1.70%	1.04%	1.21%	0.0%	0.59%	0.99%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
