Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Новосибирск, Октябрьская "																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №2033	УИК №2034					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	454	2	3	1	10	28	17	10	0	12	24	1	7	19	8	5	4	5	3	14	2	0	27	3	3	3	6	4	17	5	2	9	5	1	6	7	2	1	2	4	9	5	0	3	5	8	0	2	4	5	3	4	2	16	5	5	4	1	6	2	5	3	3	2	6	3	1	9	7	9	6	0	10	6	7	0	0	6	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11267	114	228	111	169	156	241	151	172	66	82	108	127	74	166	85	224	201	85	215	70	204	97	173	134	211	192	197	90	158	152	210	92	70	228	138	165	220	172	173	96	164	121	112	140	117	124	188	165	146	150	133	156	152	106	151	172	201	193	168	114	141	167	166	148	149	120	137	175	155	175	26	64	124	170	80	61	88	131					
		12.59%	11.48%	13.05%	5.90%	14.21%	12.44%	15.14%	12.32%	14.44%	10.71%	9.88%	12.22%	14.51%	7.48%	14.14%	12.54%	13.61%	12.46%	11.81%	14.77%	12.84%	16.44%	7.42%	12.68%	9.99%	15.41%	14.74%	16.50%	11.02%	13.42%	11.88%	15.51%	12.09%	10.56%	14.40%	9.73%	11.51%	14.62%	13.14%	15.77%	12.20%	13.31%	14.17%	13.76%	13.90%	11.11%	10.01%	15.38%	12.73%	13.35%	12.71%	12.78%	11.79%	12.75%	11.90%	12.96%	13.25%	16.86%	15.99%	14.30%	12.05%	13.80%	13.08%	12.75%	14.07%	13.17%	15.31%	11.22%	13.26%	13.67%	9.99%	6.58%	11.19%	11.46%	13.41%	3.70%	12.06%	11.47%	13.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	15047	171	306	454	186	184	245	189	211	117	102	116	153	210	182	94	308	285	133	188	68	195	258	271	296	175	193	187	153	143	198	194	150	129	246	281	228	240	205	163	150	198	123	104	130	137	247	166	235	165	158	141	282	221	138	183	191	128	149	164	154	163	242	220	196	173	140	235	218	213	388	132	124	220	261	287	78	193	193					
		16.81%	17.22%	17.52%	24.15%	15.64%	14.67%	15.39%	15.42%	17.72%	18.99%	12.29%	13.12%	17.49%	21.23%	15.50%	13.86%	18.71%	17.67%	18.47%	12.91%	12.48%	15.71%	19.72%	19.87%	22.07%	12.78%	14.81%	15.66%	18.73%	12.15%	15.48%	14.33%	19.71%	19.46%	15.54%	19.82%	15.90%	15.95%	15.66%	14.86%	19.06%	16.07%	14.40%	12.78%	12.91%	13.01%	19.94%	13.58%	18.13%	15.08%	13.39%	13.54%	21.32%	18.54%	15.49%	15.71%	14.71%	10.74%	12.34%	13.96%	16.28%	15.95%	18.95%	16.90%	18.63%	15.30%	17.86%	19.25%	16.52%	18.78%	22.16%	33.42%	21.68%	20.33%	20.58%	13.29%	15.42%	25.16%	20.47%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1408	9	28	33	11	13	21	10	13	8	13	6	8	13	8	9	30	25	3	17	9	17	13	25	16	22	25	9	11	15	14	29	11	17	22	16	16	15	10	14	14	18	4	16	9	21	17	18	24	16	20	11	20	14	19	33	17	18	14	15	16	15	46	20	48	49	58	37	36	30	18	7	4	12	10	22	6	12	20					
		1.57%	0.91%	1.60%	1.76%	0.93%	1.04%	1.32%	0.82%	1.09%	1.30%	1.57%	0.68%	0.91%	1.31%	0.68%	1.33%	1.82%	1.55%	0.42%	1.17%	1.65%	1.37%	0.99%	1.83%	1.19%	1.61%	1.92%	0.75%	1.35%	1.27%	1.09%	2.14%	1.45%	2.56%	1.39%	1.13%	1.12%	0.99%	0.76%	1.28%	1.78%	1.46%	0.47%	1.97%	0.89%	1.99%	1.37%	1.47%	1.85%	1.46%	1.69%	1.06%	1.51%	1.17%	2.13%	2.83%	1.31%	1.51%	1.16%	1.28%	1.69%	1.47%	3.60%	1.54%	4.56%	4.33%	7.40%	3.03%	2.73%	2.65%	1.03%	1.77%	0.70%	1.11%	0.79%	1.02%	1.19%	1.56%	2.12%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	28394	365	519	319	405	474	533	427	410	172	133	353	304	260	432	249	510	565	245	551	163	390	405	381	370	475	430	348	252	483	520	428	243	208	509	398	471	542	464	353	291	422	323	297	383	346	364	447	415	408	492	339	383	328	270	406	446	469	443	385	327	387	448	412	318	386	239	380	439	353	391	91	77	332	321	185	138	197	257					
		31.72%	36.76%	29.71%	16.97%	34.06%	37.80%	33.48%	34.83%	34.42%	27.92%	16.02%	39.93%	34.74%	26.29%	36.80%	36.73%	30.98%	35.03%	34.03%	37.84%	29.91%	31.43%	30.96%	27.93%	27.59%	34.70%	33.00%	29.15%	30.84%	41.04%	40.66%	31.61%	31.93%	31.37%	32.15%	28.07%	32.85%	36.01%	35.45%	32.18%	36.98%	34.25%	37.82%	36.49%	38.03%	32.86%	29.38%	36.58%	32.02%	37.29%	41.69%	32.56%	28.95%	27.52%	30.30%	34.85%	34.36%	39.35%	36.70%	32.77%	34.57%	37.87%	35.08%	31.64%	30.23%	34.13%	30.48%	31.12%	33.26%	31.13%	22.33%	23.04%	13.46%	30.68%	25.32%	8.56%	27.27%	25.68%	27.25%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5133	28	97	28	97	86	77	111	67	23	15	76	48	48	84	46	83	90	48	127	68	105	51	62	57	144	144	109	34	66	70	139	32	34	72	53	90	82	67	57	31	84	77	65	66	39	46	60	83	62	74	75	43	60	29	48	85	60	63	103	55	74	76	98	57	90	57	77	65	72	49	4	22	45	63	15	15	48	83					
		5.73%	2.82%	5.55%	1.49%	8.16%	6.86%	4.84%	9.05%	5.63%	3.73%	1.81%	8.60%	5.49%	4.85%	7.16%	6.78%	5.04%	5.58%	6.67%	8.72%	12.48%	8.46%	3.90%	4.55%	4.25%	10.52%	11.05%	9.13%	4.16%	5.61%	5.47%	10.27%	4.20%	5.13%	4.55%	3.74%	6.28%	5.45%	5.12%	5.20%	3.94%	6.82%	9.02%	7.99%	6.55%	3.70%	3.71%	4.91%	6.40%	5.67%	6.27%	7.20%	3.25%	5.03%	3.25%	4.12%	6.55%	5.03%	5.22%	8.77%	5.81%	7.24%	5.95%	7.53%	5.42%	7.96%	7.27%	6.31%	4.92%	6.35%	2.80%	1.01%	3.85%	4.16%	4.97%	0.69%	2.96%	6.26%	8.80%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26272	283	522	889	289	323	444	312	289	216	472	202	222	348	280	182	460	419	188	335	152	302	446	423	430	322	286	322	255	281	296	319	217	185	466	491	427	387	368	312	192	324	189	207	242	373	411	313	339	271	260	324	411	369	309	316	365	302	325	314	259	224	275	363	262	259	155	336	362	293	689	130	265	309	420	1523	194	203	233					
		29.35%	28.50%	29.88%	47.29%	24.31%	25.76%	27.89%	25.45%	24.27%	35.06%	56.87%	22.85%	25.37%	35.19%	23.85%	26.84%	27.95%	25.98%	26.11%	23.01%	27.89%	24.34%	34.10%	31.01%	32.07%	23.52%	21.95%	26.97%	31.21%	23.87%	23.14%	23.56%	28.52%	27.90%	29.44%	34.63%	29.78%	25.71%	28.11%	28.44%	24.40%	26.30%	22.13%	25.43%	24.03%	35.42%	33.17%	25.61%	26.16%	24.77%	22.03%	31.12%	31.07%	30.96%	34.68%	27.12%	28.12%	25.34%	26.93%	26.72%	27.38%	21.92%	21.53%	27.88%	24.90%	22.90%	19.77%	27.52%	27.42%	25.84%	39.35%	32.91%	46.33%	28.56%	33.12%	70.51%	38.34%	26.47%	24.71%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	705	8	11	11	10	4	6	9	15	4	6	7	8	12	7	3	9	10	8	7	7	18	13	10	10	10	17	9	2	15	13	10	7	9	11	14	8	10	9	10	8	7	10	6	14	7	8	13	17	5	11	5	11	19	6	9	8	6	7	9	12	8	6	4	5	7	6	12	10	8	15	0	5	8	7	9	4	14	12					
		0.79%	0.81%	0.63%	0.59%	0.84%	0.32%	0.38%	0.73%	1.26%	0.65%	0.72%	0.79%	0.91%	1.21%	0.60%	0.44%	0.55%	0.62%	1.11%	0.48%	1.28%	1.45%	0.99%	0.73%	0.75%	0.73%	1.30%	0.75%	0.24%	1.27%	1.02%	0.74%	0.92%	1.36%	0.69%	0.99%	0.56%	0.66%	0.69%	0.91%	1.02%	0.57%	1.17%	0.74%	1.39%	0.66%	0.65%	1.06%	1.31%	0.46%	0.93%	0.48%	0.83%	1.59%	0.67%	0.77%	0.62%	0.50%	0.58%	0.77%	1.27%	0.78%	0.47%	0.31%	0.48%	0.62%	0.77%	0.98%	0.76%	0.71%	0.86%	0.00%	0.87%	0.74%	0.55%	0.42%	0.79%	1.83%	1.27%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
