Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Троицкая																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	193	5	1	2	2	1	9	8	4	2	1	1	4	1	1	4	1	11	11	1	1	6	4	7	1	2	6	2	11	6	2	4	7	2	1	1	2	8	1	1	1	1	4	5	1	1	1	1	7	1	1	2	2	1	1	4	1	2	7	3	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	3	0	0	0	0	5	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	3	2	0	1	0	2	8	2	3	2	3	4	2	1	4	0	2	6	0	0	0	1	2	1	0	0	3	2	0	1	1	2	0	1	0	1	1	0	0	2	0	8	3	0	0	0	1	5	1	1	2	1	1	1	0	2	0	3	1	1					
14	Число погашенных открепительных удостоверений	169	2	1	2	2	1	4	8	4	2	1	1	2	1	1	3	1	10	11	1	1	6	4	6	1	2	6	2	11	4	2	2	6	2	1	1	2	6	1	1	1	1	4	5	1	0	1	1	6	1	1	2	2	1	1	4	1	2	5	3	1					
15	Число открепительных удостоверений выданных ТИК	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	"1. ""ЕДИНЕНИЕ"""	264	7	5	1	6	1	10	6	1	2	2	1	7	0	3	2	2	9	3	1	3	6	5	8	2	5	5	5	8	15	7	4	13	5	2	1	2	11	6	0	3	2	5	6	8	4	3	4	10	2	3	5	0	5	1	4	1	4	7	2	3					
		1.84%	1.76%	6.49%	0.55%	3.61%	0.80%	1.39%	1.13%	0.46%	1.40%	2.66%	0.80%	2.07%	0.0%	5.55%	0.94%	2.73%	1.27%	0.46%	0.78%	2.85%	2.12%	1.81%	1.76%	1.96%	2.17%	1.15%	2.53%	1.25%	3.15%	4.48%	1.43%	2.30%	3.81%	1.50%	1.29%	1.30%	2.06%	8.0%	0.0%	4.22%	1.52%	1.77%	1.37%	8.69%	3.47%	3.22%	5.19%	1.72%	3.44%	2.56%	3.33%	0.0%	3.67%	1.81%	1.35%	1.44%	2.68%	1.47%	1.33%	2.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	150	1	0	2	0	3	5	4	16	0	1	2	0	0	1	0	0	8	14	2	1	5	3	5	0	1	4	4	4	9	0	2	8	2	2	2	2	3	4	1	0	0	3	6	0	0	0	0	1	0	4	1	1	2	1	1	0	3	3	0	3					
		1.04%	0.25%	0.0%	1.11%	0.0%	2.41%	0.69%	0.75%	7.37%	0.0%	1.33%	1.61%	0.0%	0.0%	1.85%	0.0%	0.0%	1.13%	2.15%	1.57%	0.95%	1.76%	1.08%	1.10%	0.0%	0.43%	0.92%	2.03%	0.62%	1.89%	0.0%	0.71%	1.41%	1.52%	1.50%	2.59%	1.30%	0.56%	5.33%	0.80%	0.0%	0.0%	1.06%	1.37%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	3.41%	0.66%	0.53%	1.47%	1.81%	0.33%	0.0%	2.01%	0.63%	0.0%	2.05%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	524	12	3	8	3	4	36	34	8	4	6	4	13	2	5	8	0	21	18	2	2	4	9	39	1	9	29	9	23	8	13	16	16	10	1	3	3	17	4	3	2	2	6	21	0	1	0	1	15	1	4	4	5	3	1	14	7	6	13	7	1					
		3.66%	3.03%	3.89%	4.46%	1.80%	3.22%	5.00%	6.43%	3.68%	2.81%	8.0%	3.22%	3.85%	1.58%	9.25%	3.77%	0.0%	2.98%	2.76%	1.57%	1.90%	1.41%	3.26%	8.59%	0.98%	3.91%	6.68%	4.56%	3.62%	1.68%	8.33%	5.75%	2.83%	7.63%	0.75%	3.89%	1.96%	3.19%	5.33%	2.41%	2.81%	1.52%	2.12%	4.82%	0.0%	0.86%	0.0%	1.29%	2.58%	1.72%	3.41%	2.66%	2.68%	2.20%	1.81%	4.74%	10.14%	4.02%	2.73%	4.66%	0.68%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	270	4	1	2	1	1	10	2	3	0	0	0	4	0	0	2	5	26	14	0	1	8	8	11	2	2	22	3	10	28	2	2	15	0	0	0	1	11	0	0	3	0	5	6	1	0	5	3	7	1	6	1	1	0	1	6	1	2	4	1	15					
		1.88%	1.01%	1.29%	1.11%	0.60%	0.80%	1.39%	0.37%	1.38%	0.0%	0.0%	0.0%	1.18%	0.0%	0.0%	0.94%	6.84%	3.69%	2.15%	0.0%	0.95%	2.82%	2.89%	2.42%	1.96%	0.86%	5.06%	1.52%	1.57%	5.89%	1.28%	0.71%	2.65%	0.0%	0.0%	0.0%	0.65%	2.06%	0.0%	0.0%	4.22%	0.0%	1.77%	1.37%	1.08%	0.0%	5.37%	3.89%	1.20%	1.72%	5.12%	0.66%	0.53%	0.0%	1.81%	2.03%	1.44%	1.34%	0.84%	0.66%	10.27%					
22	"5. ""За Русь Святую"""	47	1	0	0	1	0	1	1	0	0	0	0	0	0	1	2	0	2	2	0	0	0	1	4	0	0	2	2	2	1	0	0	2	0	0	1	1	2	0	1	0	0	0	3	0	0	0	1	5	0	1	0	1	0	0	2	0	2	2	0	0					
		0.32%	0.25%	0.0%	0.0%	0.60%	0.0%	0.13%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.94%	0.0%	0.28%	0.30%	0.0%	0.0%	0.0%	0.36%	0.88%	0.0%	0.0%	0.46%	1.01%	0.31%	0.21%	0.0%	0.0%	0.35%	0.0%	0.0%	1.29%	0.65%	0.37%	0.0%	0.80%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	1.29%	0.86%	0.0%	0.85%	0.0%	0.53%	0.0%	0.0%	0.67%	0.0%	1.34%	0.42%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	31	2	0	1	0	0	2	3	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	2	0	0	2	2	0	1	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0					
		0.21%	0.50%	0.0%	0.55%	0.0%	0.0%	0.27%	0.56%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.10%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.71%	0.35%	0.0%	0.75%	0.0%	0.65%	0.0%	0.0%	0.0%	1.40%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.33%	0.0%	0.0%	0.42%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	67	1	0	1	0	0	5	4	0	0	0	1	0	1	0	1	0	5	7	2	0	3	0	0	1	1	0	1	2	2	0	0	5	1	0	0	2	2	0	0	1	0	5	3	1	0	0	0	1	0	0	1	0	0	1	2	0	1	2	1	0					
		0.46%	0.25%	0.0%	0.55%	0.0%	0.0%	0.69%	0.75%	0.0%	0.0%	0.0%	0.80%	0.0%	0.79%	0.0%	0.47%	0.0%	0.71%	1.07%	1.57%	0.0%	1.06%	0.0%	0.0%	0.98%	0.43%	0.0%	0.50%	0.31%	0.42%	0.0%	0.0%	0.88%	0.76%	0.0%	0.0%	1.30%	0.37%	0.0%	0.0%	1.40%	0.0%	1.77%	0.68%	1.08%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.66%	0.0%	0.0%	1.81%	0.67%	0.0%	0.67%	0.42%	0.66%	0.0%					
25	"8. ""Народно-республиканская партия России"""	28	0	0	1	0	2	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	2	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	2	0	0	0	1	0	1	1	0	0	0	2	0					
		0.19%	0.0%	0.0%	0.55%	0.0%	1.61%	0.13%	0.0%	0.46%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.42%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.76%	0.0%	0.22%	0.0%	0.86%	0.0%	1.29%	0.34%	0.0%	0.0%	0.0%	0.53%	0.0%	1.81%	0.33%	0.0%	0.0%	0.0%	1.33%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	28	1	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	1	2	0	1	1	3	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0					
		0.19%	0.25%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.70%	0.0%	1.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.30%	0.0%	0.95%	0.35%	1.08%	0.22%	0.0%	0.43%	0.0%	0.50%	0.15%	0.21%	0.64%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.61%	1.40%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.72%	0.0%	1.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1071	37	4	14	12	14	29	38	27	1	2	26	9	18	10	8	0	32	29	10	1	23	26	37	4	6	24	21	57	35	17	20	27	8	8	3	17	42	0	7	3	12	26	46	7	6	15	4	51	2	6	10	31	9	1	18	4	7	68	15	27					
		7.48%	9.34%	5.19%	7.82%	7.22%	11.29%	4.03%	7.19%	12.44%	0.70%	2.66%	20.96%	2.67%	14.28%	18.51%	3.77%	0.0%	4.54%	4.45%	7.87%	0.95%	8.12%	9.42%	8.14%	3.92%	2.60%	5.52%	10.65%	8.97%	7.36%	10.89%	7.19%	4.77%	6.10%	6.01%	3.89%	11.11%	7.89%	0.0%	5.64%	4.22%	9.16%	9.21%	10.57%	7.60%	5.21%	16.12%	5.19%	8.79%	3.44%	5.12%	6.66%	16.66%	6.61%	1.81%	6.10%	5.79%	4.69%	14.28%	10.0%	18.49%					
28	"11. ""Истинные патриоты России"""	19	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.22%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	1.29%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	103	3	1	1	3	1	5	8	2	1	0	0	0	1	0	2	1	4	6	1	2	1	1	4	1	1	3	1	8	0	1	2	5	0	1	1	0	5	0	0	0	0	2	1	0	1	0	0	6	1	0	5	1	3	1	2	0	1	1	1	0					
		0.71%	0.75%	1.29%	0.55%	1.80%	0.80%	0.69%	1.51%	0.92%	0.70%	0.0%	0.0%	0.0%	0.79%	0.0%	0.94%	1.36%	0.56%	0.92%	0.78%	1.90%	0.35%	0.36%	0.88%	0.98%	0.43%	0.69%	0.50%	1.25%	0.0%	0.64%	0.71%	0.88%	0.0%	0.75%	1.29%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%	0.70%	0.22%	0.0%	0.86%	0.0%	0.0%	1.03%	1.72%	0.0%	3.33%	0.53%	2.20%	1.81%	0.67%	0.0%	0.67%	0.21%	0.66%	0.0%					
30	"13. ""Демократическая партия России"""	35	1	0	1	2	0	4	5	3	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	2	1	0	0	1	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1					
		0.24%	0.25%	0.0%	0.55%	1.20%	0.0%	0.55%	0.94%	1.38%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.78%	0.0%	0.35%	0.36%	0.22%	0.0%	0.43%	0.0%	0.0%	0.31%	0.21%	0.0%	0.0%	0.17%	0.76%	0.0%	0.0%	0.0%	0.18%	4.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	2	0	1	2	0	1	1	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	2	0	3	1	0	0					
		0.18%	0.50%	0.0%	0.55%	1.20%	0.0%	0.13%	0.18%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.0%	4.10%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	0.0%	0.0%	0.35%	0.22%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.81%	0.67%	0.0%	2.01%	0.21%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.25%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.14%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	585	21	2	8	11	5	30	17	15	5	4	2	21	1	2	0	3	51	26	5	4	8	10	13	2	7	17	2	30	20	8	16	30	10	4	5	3	10	5	1	4	5	10	30	2	3	0	1	34	7	2	5	6	3	1	2	4	8	16	5	3					
		4.08%	5.30%	2.59%	4.46%	6.62%	4.03%	4.17%	3.21%	6.91%	3.52%	5.33%	1.61%	6.23%	0.79%	3.70%	0.0%	4.10%	7.24%	3.99%	3.93%	3.80%	2.82%	3.62%	2.86%	1.96%	3.04%	3.91%	1.01%	4.72%	4.21%	5.12%	5.75%	5.30%	7.63%	3.00%	6.49%	1.96%	1.87%	6.66%	0.80%	5.63%	3.81%	3.54%	6.89%	2.17%	2.60%	0.0%	1.29%	5.86%	12.06%	1.70%	3.33%	3.22%	2.20%	1.81%	0.67%	5.79%	5.36%	3.36%	3.33%	2.05%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	1	0	0	0	0	1	0	0	1	0	2	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	2	0	0	2	4	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	1	0	2	0	2	0	1	0	0	2	3	0					
		0.24%	0.25%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.70%	0.0%	1.61%	0.0%	0.79%	0.0%	0.0%	1.36%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.15%	0.42%	0.0%	0.0%	0.35%	3.05%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	0.0%	1.52%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	1.72%	0.0%	1.33%	0.0%	1.47%	0.0%	0.33%	0.0%	0.0%	0.42%	2.0%	0.0%					
35	"18. ""ЛДПР"""	2055	82	12	41	22	20	60	64	25	45	9	23	45	17	13	44	14	110	114	20	21	46	46	60	16	39	53	27	105	86	22	40	63	16	18	12	31	71	6	14	7	19	38	27	11	17	10	4	74	3	26	22	36	17	5	42	6	27	59	21	12					
		14.36%	20.70%	15.58%	22.90%	13.25%	16.12%	8.34%	12.12%	11.52%	31.69%	12.0%	18.54%	13.35%	13.49%	24.07%	20.75%	19.17%	15.62%	17.51%	15.74%	20.0%	16.25%	16.66%	13.21%	15.68%	16.95%	12.21%	13.70%	16.53%	18.10%	14.10%	14.38%	11.15%	12.21%	13.53%	15.58%	20.26%	13.34%	8.0%	11.29%	9.85%	14.50%	13.47%	6.20%	11.95%	14.78%	10.75%	5.19%	12.75%	5.17%	22.22%	14.66%	19.35%	12.49%	9.09%	14.23%	8.69%	18.12%	12.39%	14.0%	8.21%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	234	5	0	3	1	1	17	9	3	6	1	0	2	0	2	7	0	12	2	3	2	7	6	9	1	13	9	0	5	8	1	2	5	2	2	2	4	14	1	0	0	6	3	5	3	0	1	3	7	2	5	3	6	2	0	4	0	1	9	5	2					
		1.63%	1.26%	0.0%	1.67%	0.60%	0.80%	2.36%	1.70%	1.38%	4.22%	1.33%	0.0%	0.59%	0.0%	3.70%	3.30%	0.0%	1.70%	0.30%	2.36%	1.90%	2.47%	2.17%	1.98%	0.98%	5.65%	2.07%	0.0%	0.78%	1.68%	0.64%	0.71%	0.88%	1.52%	1.50%	2.59%	2.61%	2.63%	1.33%	0.0%	0.0%	4.58%	1.06%	1.14%	3.26%	0.0%	1.07%	3.89%	1.20%	3.44%	4.27%	2.0%	3.22%	1.47%	0.0%	1.35%	0.0%	0.67%	1.89%	3.33%	1.36%					
37	"20. ""Политическая партия ""Единая Россия"""	5271	136	28	49	76	25	277	187	48	43	38	31	162	41	8	87	25	224	236	39	46	99	85	178	60	89	184	81	240	176	72	110	179	50	53	27	46	178	32	72	18	54	121	216	36	62	44	34	204	29	25	42	43	68	22	126	15	65	154	50	26					
		36.83%	34.34%	36.36%	27.37%	45.78%	20.16%	38.52%	35.41%	22.11%	30.28%	50.66%	25.0%	48.07%	32.53%	14.81%	41.03%	34.24%	31.81%	36.25%	30.70%	43.80%	34.98%	30.79%	39.20%	58.82%	38.69%	42.39%	41.11%	37.79%	37.05%	46.15%	39.56%	31.68%	38.16%	39.84%	35.06%	30.06%	33.45%	42.66%	58.06%	25.35%	41.22%	42.90%	49.65%	39.13%	53.91%	47.31%	44.15%	35.17%	50.0%	21.36%	28.0%	23.11%	49.99%	40.0%	42.71%	21.73%	43.62%	32.35%	33.33%	17.80%					
38	"21. ""Российская Конституционно-демократическая партия"""	41	1	0	0	2	1	1	4	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	2	1	1	4	0	0	1	2	1	0	0	0	1	3	1	0	0	3	0	2	0	0	1	0	0	0	1	0	0	0	1	1					
		0.28%	0.25%	0.0%	0.0%	1.20%	0.80%	0.13%	0.75%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	1.36%	0.0%	0.15%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.42%	0.64%	0.35%	0.70%	0.0%	0.0%	1.29%	1.30%	0.18%	0.0%	0.0%	0.0%	0.76%	1.06%	0.22%	0.0%	0.0%	3.22%	0.0%	0.34%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.66%	0.68%					
39	"22. ""Развитие предпринимательства"""	27	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	2	1	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	1	2	0	0	0	0					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.28%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.46%	0.50%	0.47%	0.0%	0.0%	0.35%	0.17%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.85%	0.0%	1.61%	0.0%	0.0%	0.33%	2.89%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2594	57	19	39	13	36	195	94	44	27	9	17	56	42	7	35	8	159	135	31	11	51	43	56	6	37	59	28	98	66	8	30	150	16	34	15	19	120	9	14	26	25	32	42	16	19	8	16	126	4	24	37	47	8	8	47	14	19	109	28	46					
