Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2300	30	30	30	30	30	30	30	40	0	30	30	30	30	30	40	40	30	40	30	30	30	30	30	30	40	40	40	30	30	30	30	30	30	30	30	30	30	30	30	0	0	30	40	40	40	40	30	40	40	40	30	30	40	40	30	40	30	30	30	30	0	30	30	30	30	40	40	30	30	40	40	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1319	8	8	14	17	15	20	29	17	0	23	15	9	8	14	24	25	21	23	27	11	22	18	14	5	32	27	31	11	9	8	15	19	17	17	14	3	13	21	13	0	0	19	21	26	24	25	28	33	33	20	11	17	15	33	21	23	21	21	18	17	0	18	26	18	10	28	12	20	24	22	33	19	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1080	2	14	11	2	20	12	8	4	27	30	23	32	11	14	34	10	6	15	17	11	7	16	5	8	13	13	22	21	31	18	27	10	14	17	9	8	11	14	17	68	65	17	14	13	15	14	21	22	12	11	10	7	12	9	12	5	18	8	7	10	8	11	9	9	10	10	11	7	10	8	9	18	6					
14	Число погашенных неиспользованных открепительных удостоверений	981	22	22	16	13	15	10	1	23	0	7	15	21	22	16	16	15	9	17	3	19	8	12	16	25	8	13	9	19	21	22	15	11	13	13	16	27	17	9	17	0	0	11	19	14	16	15	2	7	7	20	19	13	25	7	9	17	9	9	12	13	0	12	4	12	20	12	28	10	6	18	7	21	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	1	1	3	1	0	0	2	1	0	1	2	2	0	0	2	4	2	0	1	1	3	2	0	1	1	0	0	2	0	0	3	1	1	2	0	1	0	4	1	0	0	3	2	2	1	0	1	1	0	4	1	0	0	0	0	1	0	0	0	1	0	0	3	0	3	0	1	0	0	1	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
18	1.Политическая партия «Аграрная партия России»	1359	7	13	17	16	21	12	18	21	5	10	9	18	8	17	27	29	13	22	18	10	23	17	14	11	23	34	26	20	14	6	29	11	19	16	7	3	6	20	12	2	4	24	27	16	28	27	10	22	30	29	10	18	29	26	29	24	28	51	18	18	3	23	25	16	11	22	17	26	21	28	31	23	21					
		2.06%	1.33%	1.50%	1.89%	2.01%	2.58%	1.61%	1.89%	2.22%	0.19%	1.29%	1.35%	2.62%	1.52%	2.50%	2.36%	2.49%	1.69%	1.91%	2.07%	1.66%	2.61%	1.94%	1.76%	2.27%	1.62%	2.44%	3.23%	2.85%	2.11%	2.29%	3.85%	1.71%	2.26%	1.57%	1.78%	0.67%	0.99%	1.95%	2.05%	0.93%	1.82%	2.28%	2.38%	1.44%	2.38%	2.36%	0.99%	1.76%	2.25%	2.01%	1.41%	2.14%	2.41%	2.52%	2.62%	2.11%	2.47%	4.96%	2.04%	2.25%	1.74%	2.43%	2.96%	1.81%	1.59%	2.10%	1.50%	2.60%	2.23%	2.51%	2.64%	2.30%	1.82%					
19	2.Всероссийская политическая партия «Гражданская Сила»	811	3	8	9	10	4	14	5	15	9	5	16	5	6	13	14	19	10	21	8	11	23	20	12	4	31	23	13	7	3	4	8	12	8	10	1	4	8	22	4	0	1	12	7	13	17	16	15	17	25	11	7	2	11	15	18	15	12	15	17	7	3	2	2	17	8	12	18	8	10	19	15	8	14					
		1.23%	0.57%	0.92%	1.00%	1.25%	0.49%	1.88%	0.52%	1.58%	0.35%	0.64%	2.39%	0.73%	1.14%	1.91%	1.22%	1.63%	1.30%	1.82%	0.92%	1.83%	2.61%	2.28%	1.51%	0.83%	2.18%	1.65%	1.61%	0.99%	0.45%	1.53%	1.06%	1.86%	0.95%	0.98%	0.25%	0.89%	1.32%	2.14%	0.68%	0.00%	0.45%	1.14%	0.62%	1.17%	1.45%	1.40%	1.50%	1.36%	1.88%	0.76%	0.99%	0.24%	0.91%	1.45%	1.63%	1.32%	1.06%	1.46%	1.93%	0.88%	1.74%	0.21%	0.24%	1.93%	1.15%	1.15%	1.59%	0.80%	1.06%	1.70%	1.28%	0.80%	1.21%					
20	3.Политическая партия «Демократическая партия России»	106	0	0	1	6	1	3	0	1	5	1	0	0	0	0	3	3	0	3	1	2	1	4	2	3	1	3	0	1	1	0	0	0	5	0	1	0	1	0	1	1	1	0	3	1	2	0	1	2	10	4	2	3	4	2	1	1	1	0	2	1	0	0	1	0	2	2	0	0	2	0	0	1	2					
		0.16%	0.00%	0.00%	0.11%	0.75%	0.12%	0.40%	0.00%	0.11%	0.19%	0.13%	0.00%	0.00%	0.00%	0.00%	0.26%	0.26%	0.00%	0.26%	0.11%	0.33%	0.11%	0.46%	0.25%	0.62%	0.07%	0.22%	0.00%	0.14%	0.15%	0.00%	0.00%	0.00%	0.59%	0.00%	0.25%	0.00%	0.17%	0.00%	0.17%	0.47%	0.45%	0.00%	0.26%	0.09%	0.17%	0.00%	0.10%	0.16%	0.75%	0.28%	0.28%	0.36%	0.33%	0.19%	0.09%	0.09%	0.09%	0.00%	0.23%	0.13%	0.00%	0.00%	0.12%	0.00%	0.29%	0.19%	0.00%	0.00%	0.21%	0.00%	0.00%	0.10%	0.17%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	13486	58	130	163	103	132	139	196	185	23	100	90	100	83	137	208	210	175	195	186	116	211	197	238	112	313	283	187	148	149	36	214	167	221	277	101	95	95	264	165	8	36	192	258	250	228	254	215	318	316	372	160	183	282	268	265	258	240	219	207	209	3	216	168	211	177	231	234	196	224	219	221	194	252					
		20.48%	11.01%	15.03%	18.11%	12.92%	16.24%	18.63%	20.57%	19.54%	0.88%	12.89%	13.45%	14.58%	15.72%	20.15%	18.20%	18.03%	22.82%	16.90%	21.35%	19.27%	23.98%	22.49%	29.90%	23.14%	22.01%	20.29%	23.23%	21.11%	22.44%	13.74%	28.42%	25.89%	26.28%	27.26%	25.70%	21.21%	15.68%	25.73%	28.16%	3.74%	16.36%	18.25%	22.75%	22.46%	19.40%	22.22%	21.46%	25.38%	23.72%	25.74%	22.60%	21.76%	23.42%	25.94%	23.94%	22.69%	21.18%	21.28%	23.44%	26.13%	1.74%	22.78%	19.91%	23.92%	25.50%	22.04%	20.63%	19.60%	23.83%	19.64%	18.81%	19.42%	21.86%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	873	1	4	13	6	9	7	8	17	16	10	11	6	9	8	23	14	8	15	14	16	9	16	7	6	39	20	17	13	6	2	11	10	9	10	1	1	0	17	7	1	1	21	18	37	20	17	18	18	15	11	12	10	11	12	18	19	15	21	11	11	0	11	15	4	14	10	10	14	11	9	14	20	8					
		1.33%	0.19%	0.46%	1.44%	0.75%	1.11%	0.94%	0.84%	1.80%	0.61%	1.29%	1.64%	0.87%	1.70%	1.18%	2.01%	1.20%	1.04%	1.30%	1.61%	2.66%	1.02%	1.83%	0.88%	1.24%	2.74%	1.43%	2.11%	1.85%	0.90%	0.76%	1.46%	1.55%	1.07%	0.98%	0.25%	0.22%	0.00%	1.66%	1.19%	0.47%	0.45%	1.99%	1.59%	3.32%	1.70%	1.49%	1.80%	1.44%	1.13%	0.76%	1.69%	1.19%	0.91%	1.16%	1.63%	1.67%	1.32%	2.04%	1.25%	1.38%	0.00%	1.16%	1.78%	0.45%	2.02%	0.95%	0.88%	1.40%	1.17%	0.81%	1.19%	2.00%	0.69%					
23	6.Политическая партия «Партия социальной справедливости»	162	0	0	1	4	1	1	1	1	3	2	0	0	1	6	7	3	3	5	6	2	1	4	1	1	5	2	2	2	5	0	5	0	2	2	0	0	0	4	3	1	1	2	1	4	2	2	1	2	1	4	1	4	3	3	0	3	3	2	3	1	0	0	2	3	1	0	3	5	2	3	1	6	6					
		0.25%	0.00%	0.00%	0.11%	0.50%	0.12%	0.13%	0.10%	0.11%	0.12%	0.26%	0.00%	0.00%	0.19%	0.88%	0.61%	0.26%	0.39%	0.43%	0.69%	0.33%	0.11%	0.46%	0.13%	0.21%	0.35%	0.14%	0.25%	0.29%	0.75%	0.00%	0.66%	0.00%	0.24%	0.20%	0.00%	0.00%	0.00%	0.39%	0.51%	0.47%	0.45%	0.19%	0.09%	0.36%	0.17%	0.17%	0.10%	0.16%	0.08%	0.28%	0.14%	0.48%	0.25%	0.29%	0.00%	0.26%	0.26%	0.19%	0.34%	0.13%	0.00%	0.00%	0.24%	0.34%	0.14%	0.00%	0.26%	0.50%	0.21%	0.27%	0.09%	0.60%	0.52%					
24	7.Политическая партия «Либерально-демократическая партия России»	5056	40	76	78	62	72	63	81	73	244	74	72	77	48	62	97	102	42	91	55	43	62	48	41	37	81	120	50	40	66	23	48	38	59	71	49	29	45	65	35	5	10	71	88	95	112	78	88	90	82	101	50	54	104	97	83	79	77	57	68	51	20	73	64	67	63	74	89	83	63	105	94	77	85					
		7.68%	7.59%	8.79%	8.67%	7.78%	8.86%	8.45%	8.50%	7.71%	9.37%	9.54%	10.76%	11.22%	9.09%	9.12%	8.49%	8.76%	5.48%	7.89%	6.31%	7.14%	7.05%	5.48%	5.15%	7.64%	5.70%	8.60%	6.21%	5.71%	9.94%	8.78%	6.37%	5.89%	7.02%	6.99%	12.47%	6.47%	7.43%	6.34%	5.97%	2.34%	4.55%	6.75%	7.76%	8.54%	9.53%	6.82%	8.78%	7.18%	6.16%	6.99%	7.06%	6.42%	8.64%	9.39%	7.50%	6.95%	6.80%	5.54%	7.70%	6.38%	11.63%	7.70%	7.58%	7.60%	9.08%	7.06%	7.85%	8.30%	6.70%	9.42%	8.00%	7.71%	7.37%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4587	24	47	42	50	40	45	77	67	28	42	33	50	39	56	76	85	53	83	69	56	58	78	61	35	110	102	68	41	36	17	61	36	57	65	18	28	46	66	27	3	10	66	88	72	82	90	92	79	73	91	51	56	113	84	96	98	103	77	99	62	4	68	78	52	45	60	90	85	75	100	92	93	88					
		6.97%	4.55%	5.43%	4.67%	6.27%	4.92%	6.03%	8.08%	7.07%	1.08%	5.41%	4.93%	7.29%	7.39%	8.24%	6.65%	7.30%	6.91%	7.19%	7.92%	9.30%	6.59%	8.90%	7.66%	7.23%	7.74%	7.31%	8.45%	5.85%	5.42%	6.49%	8.10%	5.58%	6.78%	6.40%	4.58%	6.25%	7.59%	6.43%	4.61%	1.40%	4.55%	6.27%	7.76%	6.47%	6.98%	7.87%	9.18%	6.30%	5.48%	6.30%	7.20%	6.66%	9.39%	8.13%	8.67%	8.62%	9.09%	7.48%	11.21%	7.75%	2.33%	7.17%	9.24%	5.90%	6.48%	5.73%	7.94%	8.50%	7.98%	8.97%	7.83%	9.31%	7.63%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	544	2	5	2	11	9	9	7	7	3	10	2	5	5	5	6	10	9	20	7	12	4	7	5	0	19	15	6	9	4	1	4	8	6	11	2	3	6	16	4	0	3	6	8	13	9	5	7	18	12	8	7	6	9	11	3	5	12	7	6	4	2	8	4	9	4	12	8	11	12	13	8	13	5					
		0.83%	0.38%	0.58%	0.22%	1.38%	1.11%	1.21%	0.73%	0.74%	0.12%	1.29%	0.30%	0.73%	0.95%	0.74%	0.52%	0.86%	1.17%	1.73%	0.80%	1.99%	0.45%	0.80%	0.63%	0.00%	1.34%	1.08%	0.75%	1.28%	0.60%	0.38%	0.53%	1.24%	0.71%	1.08%	0.51%	0.67%	0.99%	1.56%	0.68%	0.00%	1.36%	0.57%	0.71%	1.17%	0.77%	0.44%	0.70%	1.44%	0.90%	0.55%	0.99%	0.71%	0.75%	1.06%	0.27%	0.44%	1.06%	0.68%	0.68%	0.50%	1.16%	0.84%	0.47%	1.02%	0.58%	1.15%	0.71%	1.10%	1.28%	1.17%	0.68%	1.30%	0.43%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	36818	389	563	552	509	500	430	534	537	2230	508	414	417	310	360	634	630	411	651	471	311	460	457	366	251	737	737	400	388	346	171	345	349	434	527	208	277	389	518	303	193	148	619	601	584	644	631	526	644	727	779	393	470	587	474	548	601	620	558	418	409	133	527	469	479	349	579	625	540	505	582	658	540	634					
		55.91%	73.81%	65.09%	61.33%	63.86%	61.50%	57.64%	56.03%	56.71%	85.64%	65.46%	61.88%	60.79%	58.71%	52.94%	55.47%	54.08%	53.59%	56.41%	54.08%	51.66%	52.27%	52.17%	45.98%	51.86%	51.83%	52.83%	49.69%	55.35%	52.11%	65.27%	45.82%	54.11%	51.61%	51.87%	52.93%	61.83%	64.19%	50.49%	51.71%	90.19%	67.27%	58.84%	52.99%	52.47%	54.81%	55.21%	52.50%	51.40%	54.58%	53.91%	55.51%	55.89%	48.75%	45.89%	49.50%	52.86%	54.72%	54.23%	47.34%	51.13%	77.33%	55.59%	55.57%	54.31%	50.29%	55.25%	55.11%	54.00%	53.72%	52.20%	56.00%	54.05%	54.99%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1430	3	11	20	5	16	11	16	18	22	9	13	6	13	10	30	44	27	36	23	17	20	21	45	23	47	45	21	21	26	0	17	8	12	21	4	3	7	25	19	0	2	31	30	17	22	10	20	25	30	25	9	20	39	28	34	29	17	11	29	22	3	17	9	15	12	36	27	19	11	27	26	16	27					
		2.17%	0.57%	1.27%	2.22%	0.63%	1.97%	1.47%	1.68%	1.90%	0.84%	1.16%	1.94%	0.87%	2.46%	1.47%	2.62%	3.78%	3.52%	3.12%	2.64%	2.82%	2.27%	2.40%	5.65%	4.75%	3.31%	3.23%	2.61%	2.99%	3.92%	0.00%	2.26%	1.24%	1.43%	2.07%	1.02%	0.67%	1.16%	2.44%	3.24%	0.00%	0.91%	2.95%	2.65%	1.53%	1.87%	0.87%	1.99%	1.99%	2.25%	1.73%	1.27%	2.38%	3.24%	2.71%	3.07%	2.55%	1.50%	1.07%	3.28%	2.75%	1.74%	1.79%	1.07%	1.70%	1.73%	3.44%	2.38%	1.90%	1.17%	2.42%	2.21%	1.60%	2.34%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
