Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																						
																																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																						
																																																																																						
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1677	22	25	21	10	30	20	30	30	15	30	15	15	15	20	15	30	30	20	15	10	15	25	25	25	18	15	35	25	31	34	25	35	35	12	40	30	30	15	25	30	35	40	34	35	35	40	40	41	40	40	33	20	20	15	30	35	35	20	25	5	30	3	20	5	5	30	15	5	3	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	550	10	5	10	2	12	10	13	15	11	3	11	4	7	4	3	11	8	9	3	1	4	8	25	13	6	5	5	14	9	6	8	18	8	10	5	9	9	0	14	8	14	6	11	11	7	16	8	11	9	9	14	8	7	5	6	5	9	9	14	1	9	1	5	3	0	2	9	4	1	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	811	10	2	2	10	4	5	5	11	8	4	7	1	6	4	3	16	6	7	5	1	3	31	23	2	7	4	4	10	8	4	6	6	3	14	8	7	13	4	15	10	31	5	13	16	2	13	7	9	8	15	10	15	1	4	6	4	9	7	9	1	8	1	11	7	0	25	3	0	2	1	0	24	4	14	8	3	0	0	216					
14	Число погашенных открепительных удостоверений	1127	12	20	11	8	18	10	17	15	4	27	4	11	8	16	12	19	22	11	12	9	11	17	0	12	12	10	30	11	22	28	17	17	27	2	35	21	21	15	11	22	21	34	23	24	28	24	32	30	31	31	19	12	13	10	24	30	26	11	11	4	21	2	15	2	5	28	6	1	2	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
18	"1. ""ЕДИНЕНИЕ"""	713	12	10	14	8	22	13	18	10	8	3	5	9	10	13	9	10	17	13	7	4	5	19	8	9	7	8	7	21	15	8	2	14	7	6	7	6	8	10	15	9	21	6	7	11	10	12	8	13	7	10	18	7	10	6	8	18	13	15	4	2	28	0	15	4	1	2	14	6	4	1	2	2	0	10	2	2	0	1	7					
		0.96%	1.05%	0.98%	1.46%	1.66%	1.94%	1.24%	1.36%	0.77%	0.64%	0.36%	0.94%	1.2%	1.14%	1.11%	1.55%	0.77%	1.84%	1.43%	1.04%	1.24%	0.87%	1.59%	0.48%	0.71%	0.73%	1.08%	0.54%	1.57%	1.15%	0.65%	0.19%	0.95%	0.64%	0.63%	0.42%	0.50%	0.67%	1.54%	1.23%	0.66%	1.25%	0.37%	0.53%	0.73%	0.75%	0.71%	0.54%	0.80%	0.46%	0.61%	1.21%	0.66%	0.82%	0.85%	0.68%	1.14%	1.14%	1.66%	0.38%	1.61%	1.97%	0.0%	1.85%	1.72%	0.86%	0.64%	1.30%	1.14%	2.96%	0.42%	3.07%	1.11%	0.0%	9.00%	0.79%	4.08%	0.0%	0.40%	2.00%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4020	43	37	45	19	43	38	83	50	47	43	36	43	45	48	52	108	87	66	39	39	31	62	77	69	47	29	68	54	64	71	52	64	66	55	109	62	73	25	49	49	78	112	67	81	75	101	109	85	118	123	111	79	99	77	68	90	52	63	30	6	69	4	25	3	2	8	25	10	3	9	1	5	0	4	11	2	2	5	21					
		5.45%	3.79%	3.63%	4.70%	3.95%	3.79%	3.63%	6.28%	3.85%	3.79%	5.18%	6.80%	5.73%	5.13%	4.10%	8.99%	8.34%	9.42%	7.30%	5.83%	12.11%	5.40%	5.21%	4.62%	5.45%	4.94%	3.93%	5.26%	4.04%	4.93%	5.83%	5.04%	4.38%	6.09%	5.79%	6.69%	5.23%	6.18%	3.85%	4.02%	3.60%	4.65%	6.94%	5.14%	5.41%	5.63%	6.02%	7.44%	5.26%	7.91%	7.60%	7.48%	7.50%	8.19%	11.01%	5.78%	5.72%	4.56%	7.0%	2.92%	4.83%	4.87%	4.04%	3.09%	1.29%	1.72%	2.58%	2.32%	1.90%	2.22%	3.79%	1.53%	2.77%	0.0%	3.60%	4.38%	4.08%	4.65%	2.04%	6.01%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3146	36	49	40	25	49	50	47	48	51	34	29	29	26	52	25	60	31	42	32	14	25	52	63	38	31	22	59	69	53	62	62	62	53	58	84	54	46	28	46	82	86	74	51	69	44	65	48	78	47	62	60	36	33	28	43	45	46	45	44	1	41	3	30	8	2	7	82	38	8	3	5	19	6	19	18	3	4	21	6					
		4.26%	3.17%	4.81%	4.17%	5.20%	4.32%	4.78%	3.55%	3.70%	4.11%	4.10%	5.48%	3.86%	2.96%	4.44%	4.32%	4.63%	3.35%	4.64%	4.79%	4.34%	4.35%	4.36%	3.78%	3.00%	3.26%	2.98%	4.56%	5.17%	4.08%	5.09%	6.01%	4.24%	4.89%	6.11%	5.15%	4.55%	3.89%	4.32%	3.77%	6.02%	5.12%	4.58%	3.91%	4.61%	3.30%	3.88%	3.27%	4.83%	3.15%	3.83%	4.04%	3.41%	2.73%	4.00%	3.65%	2.86%	4.03%	5.0%	4.28%	0.80%	2.89%	3.03%	3.71%	3.44%	1.72%	2.25%	7.62%	7.25%	5.92%	1.26%	7.69%	10.55%	11.76%	17.11%	7.17%	6.12%	9.30%	8.60%	1.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	5481	59	55	59	25	63	57	77	73	72	59	34	58	66	75	48	120	75	87	46	15	38	88	108	126	74	85	103	112	106	124	88	127	98	79	154	103	105	42	73	72	90	131	97	102	75	138	162	107	159	193	144	105	115	83	99	101	81	55	49	3	77	6	32	18	3	12	45	10	9	4	3	10	1	3	10	2	1	3	15					
		7.43%	5.20%	5.40%	6.16%	5.20%	5.56%	5.44%	5.82%	5.62%	5.81%	7.11%	6.42%	7.73%	7.52%	6.41%	8.30%	9.27%	8.12%	9.62%	6.88%	4.65%	6.62%	7.39%	6.48%	9.96%	7.78%	11.53%	7.97%	8.39%	8.17%	10.18%	8.53%	8.69%	9.04%	8.32%	9.45%	8.69%	8.89%	6.48%	5.99%	5.29%	5.36%	8.12%	7.44%	6.81%	5.63%	8.23%	11.06%	6.62%	10.67%	11.92%	9.71%	9.97%	9.51%	11.87%	8.41%	6.42%	7.11%	6.11%	4.77%	2.41%	5.43%	6.06%	3.96%	7.75%	2.58%	3.87%	4.18%	1.90%	6.66%	1.68%	4.61%	5.55%	1.96%	2.70%	3.98%	4.08%	2.32%	1.22%	4.29%					
22	"5. ""За Русь Святую"""	254	8	3	6	2	4	3	6	6	2	2	1	2	2	5	1	2	1	1	4	0	7	4	6	3	4	2	9	3	3	4	0	6	4	3	6	4	4	3	3	8	2	2	4	4	4	6	4	3	5	2	4	6	5	3	4	3	4	4	5	1	4	1	0	0	0	0	6	3	3	1	0	2	0	3	1	0	0	7	1					
		0.34%	0.70%	0.29%	0.62%	0.41%	0.35%	0.28%	0.45%	0.46%	0.16%	0.24%	0.18%	0.26%	0.22%	0.42%	0.17%	0.15%	0.10%	0.11%	0.59%	0.0%	1.21%	0.33%	0.36%	0.23%	0.42%	0.27%	0.69%	0.22%	0.23%	0.32%	0.0%	0.41%	0.36%	0.31%	0.36%	0.33%	0.33%	0.46%	0.24%	0.58%	0.11%	0.12%	0.30%	0.26%	0.30%	0.35%	0.27%	0.18%	0.33%	0.12%	0.26%	0.56%	0.41%	0.42%	0.34%	0.19%	0.35%	0.44%	0.48%	0.80%	0.28%	1.01%	0.0%	0.0%	0.0%	0.0%	0.55%	0.57%	2.22%	0.42%	0.0%	1.11%	0.0%	2.70%	0.39%	0.0%	0.0%	2.86%	0.28%					
23	"6. ""Объединенная Российская партия ""Русь"""	228	3	3	2	2	4	6	2	9	2	1	0	0	3	9	0	5	3	4	1	3	5	2	4	5	1	7	3	4	2	2	2	5	2	2	3	3	2	5	1	4	8	6	2	6	5	3	4	2	6	8	3	2	0	1	2	9	4	5	3	0	3	2	0	2	0	4	4	1	0	1	1	0	0	0	0	1	0	1	3					
		0.30%	0.26%	0.29%	0.20%	0.41%	0.35%	0.57%	0.15%	0.69%	0.16%	0.12%	0.0%	0.0%	0.34%	0.76%	0.0%	0.38%	0.32%	0.44%	0.14%	0.93%	0.87%	0.16%	0.24%	0.39%	0.10%	0.94%	0.23%	0.29%	0.15%	0.16%	0.19%	0.34%	0.18%	0.21%	0.18%	0.25%	0.16%	0.77%	0.08%	0.29%	0.47%	0.37%	0.15%	0.40%	0.37%	0.17%	0.27%	0.12%	0.40%	0.49%	0.20%	0.18%	0.0%	0.14%	0.17%	0.57%	0.35%	0.55%	0.29%	0.0%	0.21%	2.02%	0.0%	0.86%	0.0%	1.29%	0.37%	0.19%	0.0%	0.42%	1.53%	0.0%	0.0%	0.0%	0.0%	2.04%	0.0%	0.40%	0.85%					
24	"7. ""Новый курс - Автомобильная Россия"""	523	10	8	4	4	18	6	13	9	2	5	4	4	8	6	4	8	11	5	6	3	5	4	10	10	7	7	4	17	10	1	2	14	12	7	8	7	5	1	5	6	6	7	11	20	16	12	5	8	8	18	7	13	6	6	7	13	12	11	6	2	22	1	10	1	2	0	5	3	1	0	0	1	0	1	1	0	0	0	1					
		0.70%	0.88%	0.78%	0.41%	0.83%	1.58%	0.57%	0.98%	0.69%	0.16%	0.60%	0.75%	0.53%	0.91%	0.51%	0.69%	0.61%	1.19%	0.55%	0.89%	0.93%	0.87%	0.33%	0.60%	0.79%	0.73%	0.94%	0.30%	1.27%	0.77%	0.08%	0.19%	0.95%	1.10%	0.73%	0.49%	0.59%	0.42%	0.15%	0.41%	0.44%	0.35%	0.43%	0.84%	1.33%	1.20%	0.71%	0.34%	0.49%	0.53%	1.11%	0.47%	1.23%	0.49%	0.85%	0.59%	0.82%	1.05%	1.22%	0.58%	1.61%	1.55%	1.01%	1.23%	0.43%	1.72%	0.0%	0.46%	0.57%	0.74%	0.0%	0.0%	0.55%	0.0%	0.90%	0.39%	0.0%	0.0%	0.0%	0.28%					
25	"8. ""Народно-республиканская партия России"""	70	2	2	2	0	1	3	4	0	1	0	0	2	0	1	1	1	2	0	0	0	0	6	0	0	0	2	2	0	1	1	0	1	0	2	0	2	0	1	2	1	8	0	0	0	1	0	0	0	0	2	1	1	0	0	2	2	0	0	1	2	0	0	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0					
		0.09%	0.17%	0.19%	0.20%	0.0%	0.08%	0.28%	0.30%	0.0%	0.08%	0.0%	0.0%	0.26%	0.0%	0.08%	0.17%	0.07%	0.21%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.27%	0.15%	0.0%	0.07%	0.08%	0.0%	0.06%	0.0%	0.21%	0.0%	0.16%	0.0%	0.15%	0.16%	0.07%	0.47%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.12%	0.06%	0.09%	0.0%	0.0%	0.17%	0.12%	0.0%	0.0%	0.09%	1.61%	0.0%	0.0%	0.0%	0.86%	0.0%	0.32%	0.0%	0.19%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.40%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	535	14	7	3	4	8	0	12	7	6	4	0	9	9	7	3	11	5	3	5	4	5	4	16	15	9	5	3	7	5	7	12	13	4	6	12	9	6	3	17	9	14	6	6	7	13	16	11	13	11	21	8	6	8	10	12	21	9	11	7	1	12	1	4	0	0	1	6	1	2	0	2	1	1	2	1	2	0	0	0					
		0.72%	1.23%	0.68%	0.31%	0.83%	0.70%	0.0%	0.90%	0.53%	0.48%	0.48%	0.0%	1.2%	1.02%	0.59%	0.51%	0.85%	0.54%	0.33%	0.74%	1.24%	0.87%	0.33%	0.96%	1.18%	0.94%	0.67%	0.23%	0.52%	0.38%	0.57%	1.16%	0.89%	0.36%	0.63%	0.73%	0.75%	0.50%	0.46%	1.39%	0.66%	0.83%	0.37%	0.46%	0.46%	0.97%	0.95%	0.75%	0.80%	0.73%	1.29%	0.53%	0.56%	0.66%	1.43%	1.02%	1.33%	0.79%	1.22%	0.68%	0.80%	0.84%	1.01%	0.49%	0.0%	0.0%	0.32%	0.55%	0.19%	1.48%	0.0%	3.07%	0.55%	1.96%	1.80%	0.39%	4.08%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1240	29	25	23	5	20	24	21	25	10	19	5	12	17	41	23	20	13	13	16	4	8	22	45	24	9	9	23	31	30	21	19	29	24	16	29	13	14	7	13	32	15	25	25	13	16	22	21	28	17	18	29	14	18	9	15	20	14	10	10	0	25	2	21	5	3	4	19	18	1	1	1	4	1	0	2	2	0	9	0					
		1.68%	2.55%	2.45%	2.40%	1.04%	1.76%	2.29%	1.58%	1.92%	0.80%	2.29%	0.94%	1.6%	1.93%	3.50%	3.97%	1.54%	1.40%	1.43%	2.39%	1.24%	1.39%	1.84%	2.70%	1.89%	0.94%	1.22%	1.78%	2.32%	2.31%	1.72%	1.84%	1.98%	2.21%	1.68%	1.78%	1.09%	1.18%	1.08%	1.06%	2.35%	0.89%	1.54%	1.91%	0.86%	1.20%	1.31%	1.43%	1.73%	1.14%	1.11%	1.95%	1.32%	1.49%	1.28%	1.27%	1.27%	1.22%	1.11%	0.97%	0.0%	1.76%	2.02%	2.59%	2.15%	2.58%	1.29%	1.76%	3.43%	0.74%	0.42%	1.53%	2.22%	1.96%	0.0%	0.79%	4.08%	0.0%	3.68%	0.0%					
28	"11. ""Истинные патриоты России"""	79	3	0	0	1	2	2	1	2	3	0	3	0	0	1	0	0	1	0	2	0	0	2	2	1	0	3	0	1	1	1	0	2	0	0	0	1	0	2	1	2	11	3	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	3	1	0	3	0	1	0	0	2	1	0	0	0	1	0	1	3	0	0	0	0	4					
		0.10%	0.26%	0.0%	0.0%	0.20%	0.17%	0.19%	0.07%	0.15%	0.24%	0.0%	0.56%	0.0%	0.0%	0.08%	0.0%	0.0%	0.10%	0.0%	0.29%	0.0%	0.0%	0.16%	0.12%	0.07%	0.0%	0.40%	0.0%	0.07%	0.07%	0.08%	0.0%	0.13%	0.0%	0.0%	0.0%	0.08%	0.0%	0.30%	0.08%	0.14%	0.65%	0.18%	0.0%	0.0%	0.07%	0.0%	0.06%	0.06%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.08%	0.33%	0.09%	0.0%	0.21%	0.0%	0.12%	0.0%	0.0%	0.64%	0.09%	0.0%	0.0%	0.0%	1.53%	0.0%	1.96%	2.70%	0.0%	0.0%	0.0%	0.0%	1.14%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	465	7	11	9	5	9	10	5	8	6	5	2	3	5	7	1	3	7	7	5	3	2	9	5	8	9	3	6	6	9	11	6	7	8	6	12	7	6	6	10	7	12	7	4	10	4	8	2	9	6	6	5	7	2	4	3	13	8	4	9	1	23	3	13	2	1	4	11	7	3	3	2	2	0	0	2	0	0	0	4					
		0.63%	0.61%	1.08%	0.94%	1.04%	0.79%	0.95%	0.37%	0.61%	0.48%	0.60%	0.37%	0.4%	0.57%	0.59%	0.17%	0.23%	0.75%	0.77%	0.74%	0.93%	0.34%	0.75%	0.30%	0.63%	0.94%	0.40%	0.46%	0.44%	0.69%	0.90%	0.58%	0.47%	0.73%	0.63%	0.73%	0.59%	0.50%	0.92%	0.82%	0.51%	0.71%	0.43%	0.30%	0.66%	0.30%	0.47%	0.13%	0.55%	0.40%	0.37%	0.33%	0.66%	0.16%	0.57%	0.25%	0.82%	0.70%	0.44%	0.87%	0.80%	1.62%	3.03%	1.60%	0.86%	0.86%	1.29%	1.02%	1.33%	2.22%	1.26%	3.07%	1.11%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	1.14%					
30	"13. ""Демократическая партия России"""	221	4	4	5	1	7	8	4	3	4	2	2	0	7	3	2	7	3	0	4	1	3	7	4	7	3	1	4	3	6	3	1	8	3	6	3	3	1	4	3	0	2	3	0	3	2	5	2	5	2	3	1	4	2	1	5	2	2	5	2	1	7	1	4	0	0	0	4	1	2	0	0	0	0	3	0	0	1	0	2					
		0.29%	0.35%	0.39%	0.52%	0.20%	0.61%	0.76%	0.30%	0.23%	0.32%	0.24%	0.37%	0.0%	0.79%	0.25%	0.34%	0.54%	0.32%	0.0%	0.59%	0.31%	0.52%	0.58%	0.24%	0.55%	0.31%	0.13%	0.30%	0.22%	0.46%	0.24%	0.09%	0.54%	0.27%	0.63%	0.18%	0.25%	0.08%	0.61%	0.24%	0.0%	0.11%	0.18%	0.0%	0.20%	0.15%	0.29%	0.13%	0.30%	0.13%	0.18%	0.06%	0.37%	0.16%	0.14%	0.42%	0.12%	0.17%	0.55%	0.19%	0.80%	0.49%	1.01%	0.49%	0.0%	0.0%	0.0%	0.37%	0.19%	1.48%	0.0%	0.0%	0.0%	0.0%	2.70%	0.0%	0.0%	2.32%	0.0%	0.57%					
31	"14. ""Великая Россия - Евразийский Союз"""	159	0	0	0	3	2	6	3	2	3	1	0	3	0	4	2	0	0	0	1	1	0	3	6	2	0	3	3	4	3	3	2	2	0	5	1	2	0	1	3	3	7	1	1	4	2	3	2	3	3	4	1	1	4	1	1	6	3	6	3	1	7	0	1	4	0	0	2	0	1	0	0	0	0	3	1	0	1	0	5					
		0.21%	0.0%	0.0%	0.0%	0.62%	0.17%	0.57%	0.22%	0.15%	0.24%	0.12%	0.0%	0.4%	0.0%	0.34%	0.34%	0.0%	0.0%	0.0%	0.14%	0.31%	0.0%	0.25%	0.36%	0.15%	0.0%	0.40%	0.23%	0.29%	0.23%	0.24%	0.19%	0.13%	0.0%	0.52%	0.06%	0.16%	0.0%	0.15%	0.24%	0.22%	0.41%	0.06%	0.07%	0.26%	0.15%	0.17%	0.13%	0.18%	0.20%	0.24%	0.06%	0.09%	0.33%	0.14%	0.08%	0.38%	0.26%	0.66%	0.29%	0.80%	0.49%	0.0%	0.12%	1.72%	0.0%	0.0%	0.18%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	2.70%	0.39%	0.0%	2.32%	0.0%	1.43%					
32	"15. ""Партия СЛОН"""	163	4	4	2	0	8	3	5	4	3	3	0	1	3	3	0	1	1	3	0	0	0	0	7	0	4	0	0	2	3	2	1	1	1	3	2	1	0	4	4	1	5	3	3	4	2	5	4	1	2	1	3	3	1	2	7	4	1	5	0	1	5	0	3	1	0	1	4	1	1	0	0	0	0	1	2	0	0	1	2					
		0.22%	0.35%	0.39%	0.20%	0.0%	0.70%	0.28%	0.37%	0.30%	0.24%	0.36%	0.0%	0.13%	0.34%	0.25%	0.0%	0.07%	0.10%	0.33%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.42%	0.0%	0.0%	0.14%	0.23%	0.16%	0.09%	0.06%	0.09%	0.31%	0.12%	0.08%	0.0%	0.61%	0.32%	0.07%	0.29%	0.18%	0.23%	0.26%	0.15%	0.29%	0.27%	0.06%	0.13%	0.06%	0.20%	0.28%	0.08%	0.28%	0.59%	0.25%	0.08%	0.55%	0.0%	0.80%	0.35%	0.0%	0.37%	0.43%	0.0%	0.32%	0.37%	0.19%	0.74%	0.0%	0.0%	0.0%	0.0%	0.90%	0.79%	0.0%	0.0%	0.40%	0.57%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7595	95	87	98	36	101	80	126	105	111	61	31	75	84	114	67	151	67	107	64	23	55	126	241	137	131	80	159	142	142	116	109	190	98	117	199	145	139	74	105	125	130	171	153	137	150	235	183	173	191	208	156	117	128	100	133	157	136	89	82	8	126	6	67	18	7	24	103	34	8	2	5	12	3	1	23	3	1	0	2					
