Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Томаринская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №187	УИК №188									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	24	0	1	0	0	6	2	0	0	1	7	7									
		0.50%	0.00%	0.26%	0.00%	0.00%	0.81%	1.72%	0.00%	0.00%	0.47%	0.89%	0.79%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	4	4	0	1	3	0	0	1	1	4	8									
		0.55%	0.69%	1.03%	0.00%	0.64%	0.40%	0.00%	0.00%	0.61%	0.47%	0.51%	0.90%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	1	0	0	0	0	0	2									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	43	1	3	2	0	4	0	0	0	7	9	17									
		0.90%	0.17%	0.78%	0.46%	0.00%	0.54%	0.00%	0.00%	0.00%	3.30%	1.15%	1.91%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	581	88	50	27	7	86	16	17	13	37	90	150									
		12.19%	15.12%	12.92%	6.19%	4.49%	11.59%	13.79%	5.63%	7.98%	17.45%	11.49%	16.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	2	1	1	0	3	0	1	0	2	5	6									
		0.44%	0.34%	0.26%	0.23%	0.00%	0.40%	0.00%	0.33%	0.00%	0.94%	0.64%	0.68%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	114	13	6	5	2	17	1	2	1	7	27	33									
		2.39%	2.23%	1.55%	1.15%	1.28%	2.29%	0.86%	0.66%	0.61%	3.30%	3.45%	3.72%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
