Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Йошкар-Олинская городская № 2																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	669	10	10	15	13	14	9	6	7	7	9	14	4	11	11	8	9	16	10	16	19	15	23	14	23	14	10	13	10	16	14	19	28	17	13	11	14	9	17	11	11	5	5	12	17	20	10	11	9	13	16	14	0	5	4	1	0	4	3	0	0									
		1.38%	1.08%	1.07%	1.97%	1.56%	1.49%	1.40%	0.78%	1.28%	1.81%	0.87%	1.16%	0.66%	1.50%	1.33%	1.20%	1.30%	1.77%	0.85%	2.04%	1.88%	1.25%	2.60%	1.75%	2.46%	1.38%	0.90%	1.52%	0.99%	2.18%	1.98%	1.51%	2.26%	1.65%	1.04%	1.03%	1.18%	0.99%	2.10%	1.28%	1.16%	0.71%	0.60%	1.50%	1.87%	1.71%	1.25%	1.14%	1.21%	1.16%	1.57%	1.43%	0.00%	0.70%	1.56%	0.46%	0.00%	1.79%	1.95%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	3081	119	113	68	96	40	15	83	78	45	105	41	27	79	33	104	89	29	36	94	113	139	117	114	22	48	51	101	34	24	29	33	37	25	51	37	31	30	24	27	46	19	29	31	36	134	29	36	25	155	38	27	13	33	13	7	2	3	2	10	12									
		6.34%	12.86%	12.12%	8.94%	11.51%	4.26%	2.34%	10.75%	14.21%	11.63%	10.16%	3.39%	4.46%	10.78%	4.00%	15.66%	12.86%	3.20%	3.07%	12.01%	11.19%	11.55%	13.21%	14.25%	2.35%	4.72%	4.58%	11.80%	3.38%	3.27%	4.10%	2.62%	2.98%	2.42%	4.10%	3.46%	2.60%	3.31%	2.96%	3.15%	4.83%	2.71%	3.46%	3.88%	3.96%	11.47%	3.62%	3.73%	3.36%	13.78%	3.72%	2.77%	4.68%	4.63%	5.08%	3.21%	1.65%	1.34%	1.30%	4.24%	7.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	810	20	16	10	16	19	14	19	8	9	17	16	12	23	14	20	12	16	15	16	12	15	12	17	13	17	22	16	16	1	9	24	22	22	19	19	13	12	16	18	12	16	14	9	15	28	12	7	5	16	11	21	5	11	4	5	1	0	1	4	6									
		1.67%	2.16%	1.72%	1.31%	1.92%	2.03%	2.18%	2.46%	1.46%	2.33%	1.65%	1.32%	1.98%	3.14%	1.70%	3.01%	1.73%	1.77%	1.28%	2.04%	1.19%	1.25%	1.35%	2.13%	1.39%	1.67%	1.97%	1.87%	1.59%	0.14%	1.27%	1.90%	1.77%	2.13%	1.53%	1.78%	1.09%	1.32%	1.98%	2.10%	1.26%	2.29%	1.67%	1.13%	1.65%	2.40%	1.50%	0.73%	0.67%	1.42%	1.08%	2.15%	1.80%	1.54%	1.56%	2.29%	0.83%	0.00%	0.65%	1.69%	3.51%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17890	360	349	314	307	375	246	310	189	153	417	446	241	291	289	229	254	336	429	307	372	466	321	264	334	346	411	308	365	292	300	496	474	351	447	359	442	307	296	272	293	247	288	302	292	401	277	326	253	438	343	336	97	268	98	79	58	151	86	123	69									
		36.80%	38.92%	37.45%	41.26%	36.81%	39.98%	38.38%	40.16%	34.43%	39.53%	40.37%	36.86%	39.77%	39.70%	35.03%	34.49%	36.71%	37.13%	36.57%	39.21%	36.83%	38.74%	36.23%	33.00%	35.68%	33.99%	36.89%	35.98%	36.32%	39.73%	42.37%	39.33%	38.23%	34.04%	35.90%	33.55%	37.11%	33.89%	36.54%	31.74%	30.78%	35.29%	34.33%	37.75%	32.16%	34.33%	34.54%	33.82%	33.96%	38.93%	33.56%	34.43%	34.89%	37.59%	38.28%	36.24%	47.93%	67.41%	55.84%	52.12%	40.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	515	15	11	14	9	13	10	10	3	5	15	16	2	5	5	7	12	13	7	6	10	19	9	12	8	13	11	14	14	6	11	11	9	6	17	13	4	7	10	5	10	14	6	9	7	11	4	7	4	10	8	13	1	11	2	4	3	1	0	1	2									
		1.06%	1.62%	1.18%	1.84%	1.08%	1.39%	1.56%	1.30%	0.55%	1.29%	1.45%	1.32%	0.33%	0.68%	0.61%	1.05%	1.73%	1.44%	0.60%	0.77%	0.99%	1.58%	1.02%	1.50%	0.85%	1.28%	0.99%	1.64%	1.39%	0.82%	1.55%	0.87%	0.73%	0.58%	1.37%	1.21%	0.34%	0.77%	1.23%	0.58%	1.05%	2.00%	0.72%	1.13%	0.77%	0.94%	0.50%	0.73%	0.54%	0.89%	0.78%	1.33%	0.36%	1.54%	0.78%	1.83%	2.48%	0.45%	0.00%	0.42%	1.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	119	2	3	2	2	1	1	0	1	0	2	5	2	1	1	1	1	4	4	5	4	2	2	2	4	1	0	3	1	3	3	2	6	2	4	5	3	1	1	2	4	3	2	1	3	3	0	1	1	1	3	3	0	3	1	0	0	1	0	0	0									
		0.24%	0.22%	0.32%	0.26%	0.24%	0.11%	0.16%	0.00%	0.18%	0.00%	0.19%	0.41%	0.33%	0.14%	0.12%	0.15%	0.14%	0.44%	0.34%	0.64%	0.40%	0.17%	0.23%	0.25%	0.43%	0.10%	0.00%	0.35%	0.10%	0.41%	0.42%	0.16%	0.48%	0.19%	0.32%	0.47%	0.25%	0.11%	0.12%	0.23%	0.42%	0.43%	0.24%	0.13%	0.33%	0.26%	0.00%	0.10%	0.13%	0.09%	0.29%	0.31%	0.00%	0.42%	0.39%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6441	128	127	93	110	121	82	87	70	47	123	162	86	87	118	88	89	107	130	84	126	109	116	103	107	125	144	113	145	138	97	184	175	125	155	174	144	128	89	115	124	101	134	131	137	156	108	145	113	142	134	146	44	117	41	27	18	10	19	21	22									
		13.25%	13.84%	13.63%	12.22%	13.19%	12.90%	12.79%	11.27%	12.75%	12.14%	11.91%	13.39%	14.19%	11.87%	14.30%	13.25%	12.86%	11.82%	11.08%	10.73%	12.48%	9.06%	13.09%	12.88%	11.43%	12.28%	12.93%	13.20%	14.43%	18.78%	13.70%	14.59%	14.11%	12.12%	12.45%	16.26%	12.09%	14.13%	10.99%	13.42%	13.03%	14.43%	15.97%	16.38%	15.09%	13.36%	13.47%	15.04%	15.17%	12.62%	13.11%	14.96%	15.83%	16.41%	16.02%	12.39%	14.88%	4.46%	12.34%	8.90%	12.87%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	353	10	10	13	7	8	6	5	9	2	8	7	7	4	7	3	5	8	13	8	9	12	2	10	5	12	11	6	7	5	0	6	5	6	15	2	5	6	8	2	6	3	1	4	3	9	5	10	7	6	6	10	0	3	2	2	1	1	0	0	0									
		0.73%	1.08%	1.07%	1.71%	0.84%	0.85%	0.94%	0.65%	1.64%	0.52%	0.77%	0.58%	1.16%	0.55%	0.85%	0.45%	0.72%	0.88%	1.11%	1.02%	0.89%	0.99%	0.23%	1.25%	0.53%	1.18%	0.99%	0.70%	0.70%	0.68%	0.00%	0.48%	0.40%	0.58%	1.20%	0.19%	0.42%	0.66%	0.99%	0.23%	0.63%	0.43%	0.12%	0.50%	0.33%	0.77%	0.62%	1.04%	0.94%	0.53%	0.59%	1.02%	0.00%	0.42%	0.78%	0.92%	0.83%	0.45%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	447	7	14	13	16	7	4	9	8	3	11	10	6	3	6	2	7	8	15	7	10	12	10	7	8	11	8	11	11	10	4	11	17	11	14	9	9	8	3	4	4	2	6	6	7	9	5	12	10	8	13	10	1	4	0	5	0	1	0	0	0									
		0.92%	0.76%	1.50%	1.71%	1.92%	0.75%	0.62%	1.17%	1.46%	0.78%	1.06%	0.83%	0.99%	0.41%	0.73%	0.30%	1.01%	0.88%	1.28%	0.89%	0.99%	0.99%	1.13%	0.88%	0.85%	1.08%	0.72%	1.29%	1.09%	1.36%	0.56%	0.87%	1.37%	1.07%	1.12%	0.84%	0.76%	0.88%	0.37%	0.47%	0.42%	0.29%	0.72%	0.75%	0.77%	0.77%	0.62%	1.24%	1.34%	0.71%	1.27%	1.02%	0.36%	0.56%	0.00%	2.29%	0.00%	0.45%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	47	2	1	2	1	1	0	1	1	0	1	0	2	0	0	2	1	1	1	1	0	2	2	1	0	1	0	3	0	0	1	1	1	1	3	1	0	0	1	1	0	0	0	0	0	1	0	2	2	0	0	0	0	2	0	0	0	0	2	1	0									
		0.10%	0.22%	0.11%	0.26%	0.12%	0.11%	0.00%	0.13%	0.18%	0.00%	0.10%	0.00%	0.33%	0.00%	0.00%	0.30%	0.14%	0.11%	0.09%	0.13%	0.00%	0.17%	0.23%	0.13%	0.00%	0.10%	0.00%	0.35%	0.00%	0.00%	0.14%	0.08%	0.08%	0.10%	0.24%	0.09%	0.00%	0.00%	0.12%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.21%	0.27%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	1.30%	0.42%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	672	16	12	14	15	12	22	11	6	6	16	23	6	16	12	11	17	20	13	6	10	13	6	7	18	19	20	9	18	13	9	10	18	23	27	14	20	14	8	10	14	7	8	7	14	12	7	6	5	12	7	16	3	8	0	1	0	1	1	2	1									
		1.38%	1.73%	1.29%	1.84%	1.80%	1.28%	3.43%	1.42%	1.09%	1.55%	1.55%	1.90%	0.99%	2.18%	1.45%	1.66%	2.46%	2.21%	1.11%	0.77%	0.99%	1.08%	0.68%	0.88%	1.92%	1.87%	1.80%	1.05%	1.79%	1.77%	1.27%	0.79%	1.45%	2.23%	2.17%	1.31%	1.68%	1.55%	0.99%	1.17%	1.47%	1.00%	0.95%	0.88%	1.54%	1.03%	0.87%	0.62%	0.67%	1.07%	0.68%	1.64%	1.08%	1.12%	0.00%	0.46%	0.00%	0.45%	0.65%	0.85%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	12912	149	202	144	170	254	175	170	110	82	225	355	167	129	264	122	154	275	385	179	259	304	178	161	293	290	288	167	270	185	175	362	334	331	367	304	351	276	228	282	310	202	259	204	278	256	245	291	238	220	353	303	93	199	76	75	31	34	29	59	41									
		26.56%	16.11%	21.67%	18.92%	20.38%	27.08%	27.30%	22.02%	20.04%	21.19%	21.78%	29.34%	27.56%	17.60%	32.00%	18.37%	22.25%	30.39%	32.82%	22.86%	25.64%	25.27%	20.09%	20.13%	31.30%	28.49%	25.85%	19.51%	26.87%	25.17%	24.72%	28.71%	26.94%	32.10%	29.48%	28.41%	29.47%	30.46%	28.15%	32.91%	32.56%	28.86%	30.87%	25.50%	30.62%	21.92%	30.55%	30.19%	31.95%	19.56%	34.54%	31.05%	33.45%	27.91%	29.69%	34.40%	25.62%	15.18%	18.83%	25.00%	23.98%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	130	4	0	0	3	2	1	2	3	0	2	3	0	2	2	1	3	1	5	6	1	3	4	2	3	2	2	3	6	1	1	5	3	2	4	3	4	3	6	1	1	2	3	2	0	4	2	1	5	0	1	3	1	4	0	0	0	0	1	0	1									
		0.27%	0.43%	0.00%	0.00%	0.36%	0.21%	0.16%	0.26%	0.55%	0.00%	0.19%	0.25%	0.00%	0.27%	0.24%	0.15%	0.43%	0.11%	0.43%	0.77%	0.10%	0.25%	0.45%	0.25%	0.32%	0.20%	0.18%	0.35%	0.60%	0.14%	0.14%	0.40%	0.24%	0.19%	0.32%	0.28%	0.34%	0.33%	0.74%	0.12%	0.11%	0.29%	0.36%	0.25%	0.00%	0.34%	0.25%	0.10%	0.67%	0.00%	0.10%	0.31%	0.36%	0.56%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.58%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3829	58	61	54	61	55	50	51	46	18	79	97	32	64	51	58	34	56	96	40	53	79	75	72	85	103	123	88	101	27	41	85	98	98	96	98	130	87	87	95	99	67	66	65	85	102	93	95	53	81	77	58	17	32	10	9	5	12	7	4	10									
		7.88%	6.27%	6.55%	7.10%	7.31%	5.86%	7.80%	6.61%	8.38%	4.65%	7.65%	8.02%	5.28%	8.73%	6.18%	8.73%	4.91%	6.19%	8.18%	5.11%	5.25%	6.57%	8.47%	9.00%	9.08%	10.12%	11.04%	10.28%	10.05%	3.67%	5.79%	6.74%	7.90%	9.51%	7.71%	9.16%	10.92%	9.60%	10.74%	11.09%	10.40%	9.57%	7.87%	8.13%	9.36%	8.73%	11.60%	9.85%	7.11%	7.20%	7.53%	5.94%	6.12%	4.49%	3.91%	4.13%	4.13%	5.36%	4.55%	1.69%	5.85%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
