Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Томск, Кировская"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №736									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	845	10	15	15	15	15	15	15	15	15	10	15	10	10	10	10	15	15	15	15	10	15	10	10	10	15	10	15	10	20	20	20	20	10	15	15	20	20	15	15	10	15	15	20	15	15	20	20	10	15	20	20	15	20	15	20	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	275	0	3	9	1	9	8	5	4	6	6	3	4	0	2	10	6	9	0	4	4	2	9	2	0	6	2	4	0	9	5	7	9	1	7	11	1	13	3	7	8	2	7	3	0	4	6	5	2	7	6	3	3	10	2	5	2	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	388	8	0	17	38	7	4	5	10	5	4	9	7	13	7	7	4	15	6	16	2	3	13	6	4	7	2	1	5	8	3	1	4	1	5	3	0	7	6	7	4	2	4	6	11	3	7	3	5	7	4	3	2	0	31	13	7	6									
14	Число погашенных неиспользованных открепительных удостоверений	570	10	12	6	14	6	7	10	11	9	4	12	6	10	8	0	9	6	15	11	6	13	1	8	10	9	8	11	10	11	15	13	11	9	8	4	19	7	12	8	2	13	8	17	15	11	14	15	8	8	14	17	12	10	13	15	8	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	0	0	2	0	1	2	1	1	1	0	0	0	0	0	2	1	0	0	1	0	0	4	0	0	0	0	0	0	3	3	0	1	0	1	5	0	1	0	0	0	0	2	0	0	2	0	4	2	4	1	0	0	1	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	565	5	8	18	3	20	11	16	9	7	8	9	8	4	7	3	24	14	12	11	2	9	18	1	0	4	7	4	2	15	15	8	11	2	8	24	6	26	13	10	11	6	10	11	13	19	9	5	6	8	10	6	8	19	6	6	19	11									
		2.18%	2.30%	1.76%	3.15%	1.09%	3.11%	1.40%	3.05%	2.34%	1.81%	1.90%	1.58%	1.53%	1.40%	3.00%	0.69%	4.38%	2.79%	3.60%	2.73%	1.32%	2.45%	2.99%	0.74%	0.00%	0.80%	2.15%	0.75%	3.51%	1.90%	2.65%	1.40%	2.14%	1.01%	1.53%	3.05%	1.84%	3.07%	2.02%	1.81%	2.05%	2.64%	2.16%	1.82%	3.67%	3.33%	1.87%	1.19%	2.13%	1.71%	1.34%	1.50%	1.79%	2.73%	1.86%	1.37%	3.84%	2.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	967	8	14	19	13	16	32	12	9	2	31	12	14	6	9	16	50	31	20	13	5	16	13	4	4	14	12	15	3	24	14	10	12	8	12	19	17	29	21	21	14	18	29	21	25	29	40	29	6	13	26	15	19	20	15	11	25	12									
		3.73%	3.69%	3.08%	3.33%	4.71%	2.48%	4.06%	2.29%	2.34%	0.52%	7.38%	2.11%	2.68%	2.10%	3.86%	3.68%	9.12%	6.19%	6.01%	3.23%	3.31%	4.35%	2.16%	2.96%	3.92%	2.81%	3.69%	2.81%	5.26%	3.04%	2.47%	1.75%	2.33%	4.02%	2.29%	2.42%	5.21%	3.43%	3.27%	3.79%	2.61%	7.93%	6.25%	3.47%	7.06%	5.08%	8.32%	6.89%	2.13%	2.78%	3.47%	3.74%	4.24%	2.87%	4.66%	2.52%	5.05%	2.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	546	0	7	9	4	20	13	7	6	6	10	12	12	5	2	12	22	11	7	8	5	16	9	4	2	13	5	7	1	12	13	15	7	5	8	11	7	17	13	14	13	7	18	6	10	12	17	19	5	9	15	9	6	19	5	4	8	7									
		2.10%	0.00%	1.54%	1.58%	1.45%	3.11%	1.65%	1.33%	1.56%	1.55%	2.38%	2.11%	2.30%	1.75%	0.86%	2.76%	4.01%	2.20%	2.10%	1.99%	3.31%	4.35%	1.50%	2.96%	1.96%	2.61%	1.54%	1.31%	1.75%	1.52%	2.30%	2.62%	1.36%	2.51%	1.53%	1.40%	2.15%	2.01%	2.02%	2.53%	2.42%	3.08%	3.88%	0.99%	2.82%	2.10%	3.53%	4.51%	1.77%	1.93%	2.00%	2.24%	1.34%	2.73%	1.55%	0.92%	1.62%	1.72%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10004	117	174	235	151	208	283	177	146	150	151	230	224	103	94	191	178	198	153	150	55	138	189	60	28	190	132	177	24	280	255	215	223	65	185	257	123	292	258	195	190	78	185	209	152	193	183	182	110	185	283	174	226	271	182	226	172	149									
		38.54%	53.92%	38.24%	41.16%	54.71%	32.30%	35.91%	33.71%	38.02%	38.76%	35.95%	40.35%	42.91%	36.01%	40.34%	43.91%	32.48%	39.52%	45.95%	37.22%	36.42%	37.50%	31.40%	44.44%	27.45%	38.08%	40.62%	33.21%	42.11%	35.49%	45.05%	37.52%	43.30%	32.66%	35.31%	32.70%	37.73%	34.52%	40.12%	35.20%	35.38%	34.36%	39.87%	34.49%	42.94%	33.80%	38.05%	43.23%	39.01%	39.61%	37.78%	43.39%	50.45%	38.94%	56.52%	51.72%	34.75%	36.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	651	11	9	16	6	11	26	17	5	19	13	11	8	8	3	11	17	19	12	8	4	17	16	1	1	10	6	9	2	26	9	16	8	2	10	21	13	26	15	13	16	3	16	8	4	17	12	12	8	10	22	4	8	14	4	4	11	23									
		2.51%	5.07%	1.98%	2.80%	2.17%	1.71%	3.30%	3.24%	1.30%	4.91%	3.10%	1.93%	1.53%	2.80%	1.29%	2.53%	3.10%	3.79%	3.60%	1.99%	2.65%	4.62%	2.66%	0.74%	0.98%	2.00%	1.85%	1.69%	3.51%	3.30%	1.59%	2.79%	1.55%	1.01%	1.91%	2.67%	3.99%	3.07%	2.33%	2.35%	2.98%	1.32%	3.45%	1.32%	1.13%	2.98%	2.49%	2.85%	2.84%	2.14%	2.94%	0.99%	1.79%	2.01%	1.24%	0.92%	2.22%	5.67%									
24	"6. Политическая партия ""Гражданская Платформа"""	78	0	1	2	3	3	6	1	1	0	0	0	1	1	2	1	1	0	2	0	1	1	2	0	0	3	1	0	0	0	2	0	1	0	4	2	2	3	3	0	3	0	1	2	0	4	0	5	0	1	4	1	1	2	1	0	2	1									
		0.30%	0.00%	0.22%	0.35%	1.09%	0.47%	0.76%	0.19%	0.26%	0.00%	0.00%	0.00%	0.19%	0.35%	0.86%	0.23%	0.18%	0.00%	0.60%	0.00%	0.66%	0.27%	0.33%	0.00%	0.00%	0.60%	0.31%	0.00%	0.00%	0.00%	0.35%	0.00%	0.19%	0.00%	0.76%	0.25%	0.61%	0.35%	0.47%	0.00%	0.56%	0.00%	0.22%	0.33%	0.00%	0.70%	0.00%	1.19%	0.00%	0.21%	0.53%	0.25%	0.22%	0.29%	0.31%	0.00%	0.40%	0.25%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4218	26	59	68	24	102	101	87	52	68	88	96	98	48	26	93	68	59	30	52	35	75	72	28	24	107	55	128	18	139	103	115	101	39	95	110	67	130	99	100	77	32	64	94	40	74	95	64	58	48	120	73	71	141	39	85	83	75									
		16.25%	11.98%	12.97%	11.91%	8.70%	15.84%	12.82%	16.57%	13.54%	17.57%	20.95%	16.84%	18.77%	16.78%	11.16%	21.38%	12.41%	11.78%	9.01%	12.90%	23.18%	20.38%	11.96%	20.74%	23.53%	21.44%	16.92%	24.02%	31.58%	17.62%	18.20%	20.07%	19.61%	19.60%	18.13%	13.99%	20.55%	15.37%	15.40%	18.05%	14.34%	14.10%	13.79%	15.51%	11.30%	12.96%	19.75%	15.20%	20.57%	10.28%	16.02%	18.20%	15.85%	20.26%	12.11%	19.45%	16.77%	18.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	456	6	4	13	6	10	16	8	4	15	6	6	9	8	1	4	12	13	13	7	5	6	15	0	1	4	7	7	0	12	4	7	7	0	5	26	10	13	8	10	11	2	8	15	5	16	11	7	7	5	14	5	2	7	5	3	14	11									
		1.76%	2.76%	0.88%	2.28%	2.17%	1.55%	2.03%	1.52%	1.04%	3.88%	1.43%	1.05%	1.72%	2.80%	0.43%	0.92%	2.19%	2.59%	3.90%	1.74%	3.31%	1.63%	2.49%	0.00%	0.98%	0.80%	2.15%	1.31%	0.00%	1.52%	0.71%	1.22%	1.36%	0.00%	0.95%	3.31%	3.07%	1.54%	1.24%	1.81%	2.05%	0.88%	1.72%	2.48%	1.41%	2.80%	2.29%	1.66%	2.48%	1.07%	1.87%	1.25%	0.45%	1.01%	1.55%	0.69%	2.83%	2.71%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	712	5	11	26	5	14	37	13	18	13	12	14	9	8	4	9	12	11	11	13	2	9	28	1	0	12	3	9	0	19	16	8	7	4	24	25	11	26	16	13	15	1	13	28	9	21	13	14	6	21	27	7	2	16	3	4	23	11									
		2.74%	2.30%	2.42%	4.55%	1.81%	2.17%	4.70%	2.48%	4.69%	3.36%	2.86%	2.46%	1.72%	2.80%	1.72%	2.07%	2.19%	2.20%	3.30%	3.23%	1.32%	2.45%	4.65%	0.74%	0.00%	2.40%	0.92%	1.69%	0.00%	2.41%	2.83%	1.40%	1.36%	2.01%	4.58%	3.18%	3.37%	3.07%	2.49%	2.35%	2.79%	0.44%	2.80%	4.62%	2.54%	3.68%	2.70%	3.33%	2.13%	4.50%	3.60%	1.75%	0.45%	2.30%	0.93%	0.92%	4.65%	2.71%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	2	2	0	1	1	1	1	2	0	2	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	1	0	1	0	0	0	1	0	2	3	2	1	1	2	0	0	2	0	1	0	0	0	2	0									
		0.16%	0.92%	0.44%	0.00%	0.36%	0.16%	0.13%	0.19%	0.52%	0.00%	0.48%	0.35%	0.19%	0.35%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.38%	0.00%	0.17%	0.00%	0.00%	0.19%	0.00%	0.31%	0.00%	0.00%	0.00%	0.19%	0.00%	0.43%	0.50%	0.56%	0.18%	0.21%	0.48%	0.00%	0.00%	0.27%	0.00%	0.22%	0.00%	0.00%	0.00%	0.40%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1738	10	41	54	24	62	66	48	32	22	24	50	31	31	15	15	45	48	25	39	4	20	60	5	3	31	18	18	1	45	22	23	29	6	54	74	18	57	37	43	41	18	26	47	13	41	24	12	15	41	57	20	9	32	14	14	44	20									
		6.70%	4.61%	9.01%	9.46%	8.70%	9.63%	8.38%	9.14%	8.33%	5.68%	5.71%	8.77%	5.94%	10.84%	6.44%	3.45%	8.21%	9.58%	7.51%	9.68%	2.65%	5.43%	9.97%	3.70%	2.94%	6.21%	5.54%	3.38%	1.75%	5.70%	3.89%	4.01%	5.63%	3.02%	10.31%	9.41%	5.52%	6.74%	5.75%	7.76%	7.64%	7.93%	5.60%	7.76%	3.67%	7.18%	4.99%	2.85%	5.32%	8.78%	7.61%	4.99%	2.01%	4.60%	4.35%	3.20%	8.89%	4.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3134	13	69	61	15	102	102	68	60	42	37	61	46	29	40	48	59	46	26	53	21	28	93	14	26	60	44	107	6	120	57	75	56	34	60	114	26	114	84	76	68	42	43	86	34	73	32	29	35	71	103	43	52	80	17	39	48	47									
		12.07%	5.99%	15.16%	10.68%	5.43%	15.84%	12.94%	12.95%	15.63%	10.85%	8.81%	10.70%	8.81%	10.14%	17.17%	11.03%	10.77%	9.18%	7.81%	13.15%	13.91%	7.61%	15.45%	10.37%	25.49%	12.02%	13.54%	20.08%	10.53%	15.21%	10.07%	13.09%	10.87%	17.09%	11.45%	14.50%	7.98%	13.48%	13.06%	13.72%	12.66%	18.50%	9.27%	14.19%	9.60%	12.78%	6.65%	6.89%	12.41%	15.20%	13.75%	10.72%	11.61%	11.49%	5.28%	8.92%	9.70%	11.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	144	1	2	2	0	3	6	6	2	3	1	2	4	3	1	0	2	1	0	3	1	1	5	0	1	3	4	5	0	6	2	4	3	2	1	3	0	6	2	6	4	2	0	4	3	1	5	3	3	1	3	5	1	4	1	2	4	1									
		0.55%	0.46%	0.44%	0.35%	0.00%	0.47%	0.76%	1.14%	0.52%	0.78%	0.24%	0.35%	0.77%	1.05%	0.43%	0.00%	0.36%	0.20%	0.00%	0.74%	0.66%	0.27%	0.83%	0.00%	0.98%	0.60%	1.23%	0.94%	0.00%	0.76%	0.35%	0.70%	0.58%	1.01%	0.19%	0.38%	0.00%	0.71%	0.31%	1.08%	0.74%	0.88%	0.00%	0.66%	0.85%	0.18%	1.04%	0.71%	1.06%	0.21%	0.40%	1.25%	0.22%	0.57%	0.31%	0.46%	0.81%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1963	7	41	33	16	56	67	53	33	30	32	46	48	19	19	21	47	43	15	35	6	29	64	8	8	34	11	32	0	60	38	48	34	27	40	76	20	71	46	40	51	15	43	56	42	60	23	33	12	38	45	19	27	53	12	22	28	31									
		7.56%	3.23%	9.01%	5.78%	5.80%	8.70%	8.50%	10.10%	8.59%	7.75%	7.62%	8.07%	9.20%	6.64%	8.15%	4.83%	8.58%	8.58%	4.50%	8.68%	3.97%	7.88%	10.63%	5.93%	7.84%	6.81%	3.38%	6.00%	0.00%	7.60%	6.71%	8.38%	6.60%	13.57%	7.63%	9.67%	6.13%	8.39%	7.15%	7.22%	9.50%	6.61%	9.27%	9.24%	11.86%	10.51%	4.78%	7.84%	4.26%	8.14%	6.01%	4.74%	6.03%	7.61%	3.73%	5.03%	5.66%	7.64%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
