Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
"Наименование Избирательной комиссии:    Рыбинск, Пролетарская"																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353									
		4.19%	4.83%	2.94%	3.66%	2.58%	2.96%	3.64%	3.33%	3.92%	3.53%	3.80%	3.33%	3.26%	3.36%	2.65%	3.76%	5.00%	5.44%	4.02%	4.33%	4.27%	2.95%	4.09%	4.87%	3.61%	7.22%	2.27%	1.99%	2.56%	4.61%	4.83%	5.68%	6.34%	7.59%	8.39%	6.89%	3.36%	5.91%	5.95%	4.29%	3.24%	6.15%	4.41%	3.73%	3.49%	2.00%	6.92%	7.54%	6.33%	5.23%	2.48%	2.36%	2.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	621	20	18	23	9	17	18	15	9	13	14	12	19	14	18	9	11	5	7	3	2	15	10	14	7	3	19	3	18	19	18	13	16	11	10	8	15	10	8	17	16	3	11	16	18	13	7	10	15	1	1	11	9									
		2.13%	2.48%	2.20%	2.34%	1.01%	2.01%	2.11%	1.79%	1.26%	2.08%	2.31%	1.90%	2.21%	1.88%	2.51%	1.30%	2.20%	1.13%	1.88%	1.30%	0.47%	3.41%	2.15%	3.10%	2.30%	1.67%	2.39%	1.49%	3.08%	2.83%	2.23%	1.80%	2.90%	2.46%	1.58%	1.25%	3.88%	1.56%	1.64%	3.65%	2.36%	2.31%	2.31%	3.31%	3.14%	2.89%	2.02%	1.84%	2.88%	0.58%	0.83%	1.62%	1.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	664	20	16	15	16	15	19	13	9	10	12	13	16	14	18	15	13	11	12	2	7	5	15	14	6	4	23	0	5	13	18	13	17	9	9	20	29	17	11	11	23	0	16	8	13	14	7	27	14	6	5	15	11									
		2.28%	2.48%	1.96%	1.53%	1.80%	1.77%	2.23%	1.55%	1.26%	1.60%	1.98%	2.06%	1.86%	1.88%	2.51%	2.17%	2.60%	2.49%	3.22%	0.87%	1.66%	1.14%	3.23%	3.10%	1.97%	2.22%	2.90%	0.00%	0.85%	1.93%	2.23%	1.80%	3.08%	2.01%	1.42%	3.13%	7.49%	2.64%	2.26%	2.36%	3.39%	0.00%	3.36%	1.66%	2.27%	3.11%	2.02%	4.96%	2.69%	3.49%	4.13%	2.21%	2.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10716	331	298	388	348	294	322	318	275	256	240	260	310	318	223	228	164	165	130	87	156	173	190	149	109	74	271	78	216	234	258	247	191	158	217	202	181	210	193	165	218	51	177	170	215	170	117	219	189	52	54	257	200									
		36.76%	41.02%	36.47%	39.47%	39.06%	34.75%	37.79%	37.86%	38.52%	41.03%	39.67%	41.27%	36.05%	42.80%	31.10%	32.95%	32.80%	37.41%	34.85%	37.66%	36.97%	39.32%	40.86%	32.96%	35.74%	41.11%	34.13%	38.81%	36.92%	34.82%	31.93%	34.21%	34.60%	35.27%	34.34%	31.61%	46.77%	32.66%	39.63%	35.41%	32.15%	39.23%	37.18%	35.20%	37.52%	37.78%	33.72%	40.26%	36.28%	30.23%	44.63%	37.85%	39.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	489	11	16	13	14	15	8	14	17	11	11	10	10	19	13	15	8	12	6	7	9	9	9	5	5	0	17	6	15	10	10	10	10	4	4	10	3	10	5	12	13	6	8	6	6	7	4	13	9	2	1	7	14									
		1.68%	1.36%	1.96%	1.32%	1.57%	1.77%	0.94%	1.67%	2.38%	1.76%	1.82%	1.59%	1.16%	2.56%	1.81%	2.17%	1.60%	2.72%	1.61%	3.03%	2.13%	2.05%	1.94%	1.11%	1.64%	0.00%	2.14%	2.99%	2.56%	1.49%	1.24%	1.39%	1.81%	0.89%	0.63%	1.56%	0.78%	1.56%	1.03%	2.58%	1.92%	4.62%	1.68%	1.24%	1.05%	1.56%	1.15%	2.39%	1.73%	1.16%	0.83%	1.03%	2.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	3	1	1	0	3	1	3	0	0	2	1	3	3	0	2	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	2	1	0	0	1	0	0	0	1	0	2	0	0	0	1	3	0	0	2	2	0									
		0.15%	0.37%	0.12%	0.10%	0.00%	0.35%	0.12%	0.36%	0.00%	0.00%	0.33%	0.16%	0.35%	0.40%	0.00%	0.29%	0.00%	0.23%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.17%	0.00%	0.12%	0.00%	0.36%	0.22%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.15%	0.00%	0.42%	0.00%	0.00%	0.00%	0.29%	0.55%	0.00%	0.00%	1.65%	0.29%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4825	114	167	171	153	146	141	155	124	96	85	90	136	105	109	125	69	72	77	38	84	52	76	81	63	31	108	40	81	107	139	145	84	64	99	110	56	96	69	85	125	23	63	75	85	87	63	90	97	77	18	99	80									
		16.55%	14.13%	20.44%	17.40%	17.17%	17.26%	16.55%	18.45%	17.37%	15.38%	14.05%	14.29%	15.81%	14.13%	15.20%	18.06%	13.80%	16.33%	20.64%	16.45%	19.91%	11.82%	16.34%	17.92%	20.66%	17.22%	13.60%	19.90%	13.85%	15.92%	17.20%	20.08%	15.22%	14.29%	15.66%	17.21%	14.47%	14.93%	14.17%	18.24%	18.44%	17.69%	13.24%	15.53%	14.83%	19.33%	18.16%	16.54%	18.62%	44.77%	14.88%	14.58%	15.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	408	16	6	5	10	9	9	6	14	11	7	13	13	9	14	10	9	10	2	5	5	5	2	10	3	4	20	4	7	12	11	10	7	7	2	13	3	11	6	2	11	1	8	13	6	6	3	8	2	2	1	12	13									
		1.40%	1.98%	0.73%	0.51%	1.12%	1.06%	1.06%	0.71%	1.96%	1.76%	1.16%	2.06%	1.51%	1.21%	1.95%	1.45%	1.80%	2.27%	0.54%	2.16%	1.18%	1.14%	0.43%	2.21%	0.98%	2.22%	2.52%	1.99%	1.20%	1.79%	1.36%	1.39%	1.27%	1.56%	0.32%	2.03%	0.78%	1.71%	1.23%	0.43%	1.62%	0.77%	1.68%	2.69%	1.05%	1.33%	0.86%	1.47%	0.38%	1.16%	0.83%	1.77%	2.55%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	433	10	12	12	14	14	8	7	13	8	4	14	6	16	17	17	5	5	9	4	4	5	9	6	6	1	26	3	11	7	11	8	8	10	10	9	0	6	5	8	15	2	4	6	13	13	6	5	1	2	1	12	5									
		1.49%	1.24%	1.47%	1.22%	1.57%	1.65%	0.94%	0.83%	1.82%	1.28%	0.66%	2.22%	0.70%	2.15%	2.37%	2.46%	1.00%	1.13%	2.41%	1.73%	0.95%	1.14%	1.94%	1.33%	1.97%	0.56%	3.27%	1.49%	1.88%	1.04%	1.36%	1.11%	1.45%	2.23%	1.58%	1.41%	0.00%	0.93%	1.03%	1.72%	2.21%	1.54%	0.84%	1.24%	2.27%	2.89%	1.73%	0.92%	0.19%	1.16%	0.83%	1.77%	0.98%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	1	1	0	1	1	1	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	2	2	1	0	0	2	0	0	0	2	1	0	1	0	0	0	0	0									
		0.09%	0.12%	0.12%	0.00%	0.11%	0.12%	0.12%	0.00%	0.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.14%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.56%	0.13%	0.00%	0.17%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.31%	0.52%	0.16%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.35%	0.22%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1210	30	26	31	40	32	42	37	26	34	21	35	49	42	50	34	21	26	17	10	10	22	12	18	18	5	53	10	26	24	25	37	14	13	29	28	10	20	13	15	34	6	22	13	20	17	12	21	9	4	5	24	18									
		4.15%	3.72%	3.18%	3.15%	4.49%	3.78%	4.93%	4.40%	3.64%	5.45%	3.47%	5.56%	5.70%	5.65%	6.97%	4.91%	4.20%	5.90%	4.56%	4.33%	2.37%	5.00%	2.58%	3.98%	5.90%	2.78%	6.68%	4.98%	4.44%	3.57%	3.09%	5.12%	2.54%	2.90%	4.59%	4.38%	2.58%	3.11%	2.67%	3.22%	5.01%	4.62%	4.62%	2.69%	3.49%	3.78%	3.46%	3.86%	1.73%	2.33%	4.13%	3.53%	3.54%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4714	113	115	147	129	152	126	101	134	108	83	90	155	92	128	131	102	61	58	36	63	71	54	61	36	30	155	29	113	125	171	103	93	65	83	112	34	127	91	82	124	20	97	113	108	73	50	66	87	6	17	119	75									
		16.17%	14.00%	14.08%	14.95%	14.48%	17.97%	14.79%	12.02%	18.77%	17.31%	13.72%	14.29%	18.02%	12.38%	17.85%	18.93%	20.40%	13.83%	15.55%	15.58%	14.93%	16.14%	11.61%	13.50%	11.80%	16.67%	19.52%	14.43%	19.32%	18.60%	21.16%	14.27%	16.85%	14.51%	13.13%	17.53%	8.79%	19.75%	18.69%	17.60%	18.29%	15.38%	20.38%	23.40%	18.85%	16.22%	14.41%	12.13%	16.70%	3.49%	14.05%	17.53%	14.73%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	106	2	2	4	4	2	4	1	0	0	2	2	6	2	3	1	0	2	3	1	2	1	2	2	0	2	3	0	3	2	2	4	1	2	5	3	3	3	1	0	3	1	2	4	3	1	1	2	2	1	1	3	0									
		0.36%	0.25%	0.24%	0.41%	0.45%	0.24%	0.47%	0.12%	0.00%	0.00%	0.33%	0.32%	0.70%	0.27%	0.42%	0.14%	0.00%	0.45%	0.80%	0.43%	0.47%	0.23%	0.43%	0.44%	0.00%	1.11%	0.38%	0.00%	0.51%	0.30%	0.25%	0.55%	0.18%	0.45%	0.79%	0.47%	0.78%	0.47%	0.21%	0.00%	0.44%	0.77%	0.42%	0.83%	0.52%	0.22%	0.29%	0.37%	0.38%	0.58%	0.83%	0.44%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3224	83	102	121	116	104	106	132	57	50	93	63	100	81	92	67	68	38	29	24	55	61	60	64	35	12	71	16	65	75	93	72	61	62	99	68	16	83	50	46	64	8	41	36	53	32	44	32	54	5	12	94	59									
		11.06%	10.29%	12.48%	12.31%	13.02%	12.29%	12.44%	15.71%	7.98%	8.01%	15.37%	10.00%	11.63%	10.90%	12.83%	9.68%	13.60%	8.62%	7.77%	10.39%	13.03%	13.86%	12.90%	14.16%	11.48%	6.67%	8.94%	7.96%	11.11%	11.16%	11.51%	9.97%	11.05%	13.84%	15.66%	10.64%	4.13%	12.91%	10.27%	9.87%	9.44%	6.15%	8.61%	7.45%	9.25%	7.11%	12.68%	5.88%	10.36%	2.91%	9.92%	13.84%	11.59%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
