Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №7																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1905	30	30	30	30	30	45	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	60	30	30	30	30	30	30	45	30	45	30	45	30	30	45	30	30	30	30	45	30	30	30	30	30	30	30	30	45	45	30	30	45	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1139	20	21	9	21	20	29	15	4	24	26	10	26	25	10	4	16	22	21	21	19	23	15	11	12	31	18	29	11	17	12	22	36	18	27	15	23	19	22	26	17	17	21	20	28	5	26	28	20	14	26	24	19	26	26	22	12	22	16	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	511	0	3	5	40	9	7	7	4	12	6	1	8	7	8	1	4	14	4	8	10	8	4	3	5	3	6	9	7	3	1	14	5	10	35	8	7	7	5	8	9	6	11	5	8	3	18	12	19	20	3	27	9	3	8	9	17	12	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	766	10	9	21	9	10	16	15	26	6	4	20	4	5	20	26	14	8	9	9	11	7	15	19	18	29	12	1	19	13	18	8	9	12	18	15	22	11	8	19	13	13	9	10	17	25	4	2	10	16	4	6	11	19	19	8	18	23	14	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	133	2	5	2	1	2	5	0	0	2	0	2	1	4	0	1	0	1	2	3	4	1	1	1	1	4	4	6	1	2	0	4	1	6	2	5	2	4	2	1	3	3	5	4	1	2	3	1	4	4	1	4	1	3	6	1	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1002	9	17	14	17	18	20	21	6	25	26	19	22	26	14	14	13	14	14	26	20	6	4	9	15	14	8	19	13	8	3	18	28	15	18	27	29	38	20	16	23	14	16	11	24	11	4	7	22	14	23	8	22	29	40	23	13	10	16	9									
		2.50%	1.29%	2.63%	3.10%	2.68%	2.51%	2.48%	2.83%	1.70%	2.80%	2.99%	2.46%	2.61%	2.91%	3.33%	4.12%	2.14%	1.93%	2.46%	3.27%	2.44%	1.04%	0.73%	1.94%	3.13%	1.72%	2.38%	2.80%	2.17%	1.17%	0.72%	2.28%	3.05%	2.43%	2.47%	3.94%	4.13%	4.85%	3.08%	2.47%	3.10%	2.18%	2.23%	1.78%	3.08%	2.08%	0.50%	0.95%	2.78%	2.57%	2.88%	1.04%	3.26%	3.76%	3.95%	2.67%	1.65%	1.57%	2.10%	2.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	440	13	5	5	7	4	8	8	5	9	14	9	4	11	4	1	8	9	6	9	9	8	11	1	5	7	1	2	3	15	4	13	10	10	6	5	9	4	7	5	5	12	8	6	8	4	7	9	11	5	3	3	9	11	9	21	11	8	10	6									
		1.10%	1.86%	0.77%	1.11%	1.10%	0.56%	0.99%	1.08%	1.42%	1.01%	1.61%	1.17%	0.48%	1.23%	0.95%	0.29%	1.32%	1.24%	1.05%	1.13%	1.10%	1.39%	2.02%	0.22%	1.04%	0.86%	0.30%	0.29%	0.50%	2.19%	0.96%	1.64%	1.09%	1.62%	0.82%	0.73%	1.28%	0.51%	1.08%	0.77%	0.67%	1.87%	1.12%	0.97%	1.03%	0.76%	0.88%	1.22%	1.39%	0.92%	0.38%	0.39%	1.34%	1.42%	0.89%	2.43%	1.39%	1.26%	1.31%	1.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	936	14	23	14	17	23	24	12	5	21	19	14	21	20	12	9	10	15	18	18	26	19	14	17	10	16	5	20	9	17	12	20	23	14	14	19	18	25	13	13	25	9	13	12	20	11	11	11	25	9	18	5	13	17	18	26	17	8	12	23									
		2.34%	2.01%	3.55%	3.10%	2.68%	3.21%	2.98%	1.62%	1.42%	2.35%	2.19%	1.82%	2.49%	2.24%	2.85%	2.65%	1.64%	2.07%	3.16%	2.27%	3.18%	3.29%	2.57%	3.66%	2.08%	1.96%	1.49%	2.95%	1.51%	2.49%	2.88%	2.53%	2.50%	2.27%	1.92%	2.77%	2.56%	3.19%	2.00%	2.00%	3.37%	1.40%	1.81%	1.94%	2.57%	2.08%	1.38%	1.49%	3.16%	1.65%	2.26%	0.65%	1.93%	2.20%	1.78%	3.01%	2.15%	1.26%	1.58%	6.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15789	286	236	158	238	258	297	292	140	331	350	295	318	359	166	112	233	278	200	294	297	244	172	181	189	316	140	288	252	258	151	299	301	196	264	228	270	303	269	238	268	266	304	244	246	253	393	362	296	265	362	456	258	307	415	281	319	300	357	140									
		39.46%	40.97%	36.48%	34.96%	37.54%	35.98%	36.89%	39.41%	39.66%	37.07%	40.37%	38.26%	37.77%	40.25%	39.43%	32.94%	38.32%	38.40%	35.15%	37.03%	36.31%	42.29%	31.56%	39.01%	39.38%	38.77%	41.67%	42.48%	42.14%	37.72%	36.30%	37.80%	32.75%	31.77%	36.16%	33.24%	38.46%	38.65%	41.38%	36.67%	36.12%	41.43%	42.40%	39.55%	31.58%	47.83%	49.31%	48.99%	37.37%	48.71%	45.36%	59.22%	38.28%	39.77%	41.01%	32.56%	40.38%	47.10%	46.91%	42.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	607	9	11	8	6	12	12	14	7	13	15	13	21	13	5	5	9	7	7	19	23	8	6	10	4	11	14	7	7	7	6	4	19	12	0	11	17	16	9	9	16	15	10	15	9	8	0	13	15	5	8	5	7	13	14	15	11	9	10	3									
		1.52%	1.29%	1.70%	1.77%	0.95%	1.67%	1.49%	1.89%	1.98%	1.46%	1.73%	1.69%	2.49%	1.46%	1.19%	1.47%	1.48%	0.97%	1.23%	2.39%	2.81%	1.39%	1.10%	2.16%	0.83%	1.35%	4.17%	1.03%	1.17%	1.02%	1.44%	0.51%	2.07%	1.94%	0.00%	1.60%	2.42%	2.04%	1.38%	1.39%	2.16%	2.34%	1.39%	2.43%	1.16%	1.51%	0.00%	1.76%	1.89%	0.92%	1.00%	0.65%	1.04%	1.68%	1.38%	1.74%	1.39%	1.41%	1.31%	0.91%									
24	"6. Политическая партия ""Гражданская Платформа"""	93	1	0	2	2	2	1	1	0	0	3	2	4	4	0	0	3	4	0	2	3	2	0	0	0	1	0	1	0	1	1	1	3	3	0	2	4	1	1	2	0	2	2	3	2	1	2	0	4	2	2	1	5	3	2	1	2	2	0	0									
		0.23%	0.14%	0.00%	0.44%	0.32%	0.28%	0.12%	0.13%	0.00%	0.00%	0.35%	0.26%	0.48%	0.45%	0.00%	0.00%	0.49%	0.55%	0.00%	0.25%	0.37%	0.35%	0.00%	0.00%	0.00%	0.12%	0.00%	0.15%	0.00%	0.15%	0.24%	0.13%	0.33%	0.49%	0.00%	0.29%	0.57%	0.13%	0.15%	0.31%	0.00%	0.31%	0.28%	0.49%	0.26%	0.19%	0.25%	0.00%	0.51%	0.37%	0.25%	0.13%	0.74%	0.39%	0.20%	0.12%	0.25%	0.31%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4545	65	65	39	68	89	114	92	42	91	79	103	96	97	62	27	86	76	78	91	82	56	67	60	59	104	60	69	78	87	52	55	72	72	84	92	89	56	52	74	85	81	72	66	88	40	93	60	75	63	104	191	61	83	89	93	108	73	102	38									
		11.36%	9.31%	10.05%	8.63%	10.73%	12.41%	14.16%	12.42%	11.90%	10.19%	9.11%	13.36%	11.40%	10.87%	14.73%	7.94%	14.14%	10.50%	13.71%	11.46%	10.02%	9.71%	12.29%	12.93%	12.29%	12.76%	17.86%	10.18%	13.04%	12.72%	12.50%	6.95%	7.83%	11.67%	11.51%	13.41%	12.68%	7.14%	8.00%	11.40%	11.46%	12.62%	10.04%	10.70%	11.30%	7.56%	11.67%	8.12%	9.47%	11.58%	13.03%	24.81%	9.05%	10.75%	8.79%	10.78%	13.67%	11.46%	13.40%	11.52%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	711	12	15	12	13	10	21	13	8	18	16	15	20	11	7	16	7	13	7	16	13	13	9	9	8	11	9	8	10	9	10	17	21	18	13	0	11	11	14	11	16	8	9	10	17	6	21	15	14	11	15	3	8	10	16	20	12	5	16	4									
		1.78%	1.72%	2.32%	2.65%	2.05%	1.39%	2.61%	1.75%	2.27%	2.02%	1.85%	1.95%	2.38%	1.23%	1.66%	4.71%	1.15%	1.80%	1.23%	2.02%	1.59%	2.25%	1.65%	1.94%	1.67%	1.35%	2.68%	1.18%	1.67%	1.32%	2.40%	2.15%	2.29%	2.92%	1.78%	0.00%	1.57%	1.40%	2.15%	1.69%	2.16%	1.25%	1.26%	1.62%	2.18%	1.13%	2.63%	2.03%	1.77%	2.02%	1.88%	0.39%	1.19%	1.30%	1.58%	2.32%	1.52%	0.78%	2.10%	1.21%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3195	61	51	37	47	62	51	61	31	87	65	76	57	89	22	42	54	69	38	57	67	45	58	42	27	67	18	47	42	58	32	78	115	68	62	70	46	86	38	55	63	54	58	45	81	48	22	45	56	38	60	5	67	63	88	64	54	46	42	18									
		7.99%	8.74%	7.88%	8.19%	7.41%	8.65%	6.34%	8.23%	8.78%	9.74%	7.50%	9.86%	6.77%	9.98%	5.23%	12.35%	8.88%	9.53%	6.68%	7.18%	8.19%	7.80%	10.64%	9.05%	5.63%	8.22%	5.36%	6.93%	7.02%	8.48%	7.69%	9.86%	12.51%	11.02%	8.49%	10.20%	6.55%	10.97%	5.85%	8.47%	8.49%	8.41%	8.09%	7.29%	10.40%	9.07%	2.76%	6.09%	7.07%	6.99%	7.52%	0.65%	9.94%	8.16%	8.70%	7.42%	6.84%	7.22%	5.52%	5.45%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	116	1	1	0	3	0	4	2	0	4	0	0	2	2	1	2	1	1	2	2	6	3	5	0	0	5	1	3	4	4	4	1	4	2	3	0	3	2	1	0	2	1	2	0	2	2	1	1	5	0	3	1	5	0	4	2	2	1	3	0									
		0.29%	0.14%	0.15%	0.00%	0.47%	0.00%	0.50%	0.27%	0.00%	0.45%	0.00%	0.00%	0.24%	0.22%	0.24%	0.59%	0.16%	0.14%	0.35%	0.25%	0.73%	0.52%	0.92%	0.00%	0.00%	0.61%	0.30%	0.44%	0.67%	0.58%	0.96%	0.13%	0.44%	0.32%	0.41%	0.00%	0.43%	0.26%	0.15%	0.00%	0.27%	0.16%	0.28%	0.00%	0.26%	0.38%	0.13%	0.14%	0.63%	0.00%	0.38%	0.13%	0.74%	0.00%	0.40%	0.23%	0.25%	0.16%	0.39%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3556	42	67	36	51	57	75	49	18	65	83	45	69	71	25	28	37	54	45	60	77	52	48	36	31	62	21	41	49	50	34	91	138	60	84	54	54	118	72	72	78	43	77	66	103	32	79	58	90	35	63	20	79	87	110	82	82	58	78	15									
		8.89%	6.02%	10.36%	7.96%	8.04%	7.95%	9.32%	6.61%	5.10%	7.28%	9.57%	5.84%	8.19%	7.96%	5.94%	8.24%	6.09%	7.46%	7.91%	7.56%	9.41%	9.01%	8.81%	7.76%	6.46%	7.61%	6.25%	6.05%	8.19%	7.31%	8.17%	11.50%	15.02%	9.72%	11.51%	7.87%	7.69%	15.05%	11.08%	11.09%	10.51%	6.70%	10.74%	10.70%	13.22%	6.05%	9.91%	7.85%	11.36%	6.43%	7.89%	2.60%	11.72%	11.27%	10.87%	9.50%	10.38%	9.11%	10.25%	4.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4560	85	77	62	84	73	82	82	48	124	84	78	106	95	46	44	59	92	59	103	104	74	78	40	53	113	32	83	68	79	42	120	115	74	100	97	79	66	75	80	63	85	63	71	79	72	105	68	115	52	79	37	83	71	125	96	89	50	68	34									
		11.40%	12.18%	11.90%	13.72%	13.25%	10.18%	10.19%	11.07%	13.60%	13.89%	9.69%	10.12%	12.59%	10.65%	10.93%	12.94%	9.70%	12.71%	10.37%	12.97%	12.71%	12.82%	14.31%	8.62%	11.04%	13.87%	9.52%	12.24%	11.37%	11.55%	10.10%	15.17%	12.51%	11.99%	13.70%	14.14%	11.25%	8.42%	11.54%	12.33%	8.49%	13.24%	8.79%	11.51%	10.14%	13.61%	13.17%	9.20%	14.52%	9.56%	9.90%	4.81%	12.31%	9.20%	12.35%	11.12%	11.27%	7.85%	8.94%	10.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	153	2	1	3	3	3	4	1	1	2	2	2	2	3	0	1	8	3	4	3	6	4	3	3	3	6	1	2	1	2	2	2	2	1	3	3	2	2	3	2	6	2	3	4	2	0	2	1	2	2	1	2	3	4	3	2	3	2	5	3									
		0.38%	0.29%	0.15%	0.66%	0.47%	0.42%	0.50%	0.13%	0.28%	0.22%	0.23%	0.26%	0.24%	0.34%	0.00%	0.29%	1.32%	0.41%	0.70%	0.38%	0.73%	0.69%	0.55%	0.65%	0.63%	0.74%	0.30%	0.29%	0.17%	0.29%	0.48%	0.25%	0.22%	0.16%	0.41%	0.44%	0.28%	0.26%	0.46%	0.31%	0.81%	0.31%	0.42%	0.65%	0.26%	0.00%	0.25%	0.14%	0.25%	0.37%	0.13%	0.26%	0.45%	0.52%	0.30%	0.23%	0.38%	0.31%	0.66%	0.91%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3488	85	48	50	58	84	82	80	34	83	82	82	68	79	52	32	69	71	69	73	72	29	56	45	60	66	18	74	57	75	53	56	58	62	69	69	50	46	59	59	68	37	68	54	85	35	44	41	52	37	49	32	42	69	60	121	59	60	36	25									
		8.72%	12.18%	7.42%	11.06%	9.15%	11.72%	10.19%	10.80%	9.63%	9.29%	9.46%	10.64%	8.08%	8.86%	12.35%	9.41%	11.35%	9.81%	12.13%	9.19%	8.80%	5.03%	10.28%	9.70%	12.50%	8.10%	5.36%	10.91%	9.53%	10.96%	12.74%	7.08%	6.31%	10.05%	9.45%	10.06%	7.12%	5.87%	9.08%	9.09%	9.16%	5.76%	9.48%	8.75%	10.91%	6.62%	5.52%	5.55%	6.57%	6.80%	6.14%	4.16%	6.23%	8.94%	5.93%	14.02%	7.47%	9.42%	4.73%	7.58%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
