Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																	
Дата голосования: 04.12.2011																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Балашовская																																																																																																	
																																																																																																	
Сводная таблица результатов выборов																																																																																																	
																																																																																																	
		Сумма	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1847	25	25	8	34	5	26	25	17	25	25	25	25	29	25	25	30	28	25	25	25	25	25	24	31	41	25	15	25	30	32	25	25	25	30	25	45	25	36	15	25	44	25	30	30	40	25	50	28	28	10	8	5	30	7	10	10	10	10	0	18	10	0	15	1	20	2	10	30	15	10	20	10	20	5	8	37	22	10	10	10	15	10	10	15	12	15	21	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1661	21	24	8	33	5	26	25	17	25	25	21	16	29	22	25	30	27	25	24	23	21	21	24	29	41	21	14	19	30	31	24	21	20	30	18	42	25	36	9	22	43	23	30	30	40	25	49	27	28	6	8	4	27	7	3	2	9	4	0	16	5	0	15	1	20	2	10	20	14	4	20	8	19	5	5	35	19	1	3	1	15	2	10	15	12	15	19	7	20	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2468	17	11	7	98	44	16	23	136	33	31	18	23	287	13	17	97	16	31	46	45	75	9	21	51	20	13	19	11	17	17	93	9	12	43	13	30	19	121	39	64	14	29	42	76	17	51	65	63	76	9	9	11	10	16	10	6	7	5	5	15	7	13	8	6	14	8	7	16	7	6	13	12	12	4	4	7	8	8	4	6	6	8	11	7	7	3	6	8	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	186	4	1	0	1	0	0	0	0	0	0	4	9	0	3	0	0	1	0	1	2	4	4	0	2	0	4	1	6	0	1	1	4	5	0	7	3	0	0	6	3	1	2	0	0	0	0	1	1	0	4	0	1	3	0	7	8	1	6	0	2	5	0	0	0	0	0	0	10	1	6	0	2	1	0	3	2	3	9	7	9	0	8	0	0	0	0	2	3	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	153	1	0	1	5	0	3	1	0	0	5	2	1	4	1	1	2	4	4	0	2	2	3	0	6	1	1	2	3	3	1	6	3	1	3	3	8	2	5	1	7	3	0	3	5	0	1	8	8	6	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	1	2	1	5	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	277	0	0	1	0	0	0	1	0	0	0	0	0	0	0	64	0	0	0	0	15	0	0	0	0	55	0	0	53	0	0	0	0	0	0	0	0	0	0	32	0	51	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6398	75	80	31	74	53	91	52	30	52	155	52	60	147	43	82	135	87	60	29	85	89	111	74	115	151	91	42	44	120	124	96	52	70	153	93	171	122	90	79	68	90	133	176	151	70	75	245	114	151	92	41	16	83	45	49	36	39	12	15	35	12	5	61	11	63	15	27	34	81	48	51	21	67	5	13	147	44	19	10	7	79	18	158	85	26	33	47	34	48	33					
		10.95%	14.73%	12.82%	6.90%	11.13%	11.73%	15.66%	7.14%	4.78%	6.49%	18.52%	13.13%	10.81%	11.89%	6.58%	10.51%	11.36%	10.57%	7.63%	6.30%	13.39%	12.43%	12.44%	9.85%	12.21%	12.26%	14.70%	7.39%	6.30%	12.21%	14.01%	10.31%	5.09%	18.52%	17.67%	15.12%	15.67%	11.14%	6.62%	7.95%	7.62%	7.13%	18.73%	14.57%	10.28%	7.59%	8.35%	13.24%	9.92%	11.40%	26.21%	21.47%	12.90%	11.56%	6.59%	14.08%	12.33%	13.18%	8.22%	15.46%	8.33%	8.63%	7.69%	11.15%	7.64%	15.87%	12.82%	12.86%	7.51%	14.65%	23.08%	7.73%	9.95%	9.42%	1.25%	4.48%	11.46%	5.72%	11.52%	5.38%	5.47%	15.83%	10.78%	26.83%	13.67%	5.84%	7.99%	5.90%	14.47%	4.97%	11.46%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6121	63	94	49	99	37	91	78	116	80	95	38	33	121	46	61	93	74	109	39	57	107	98	73	137	129	81	61	53	86	114	93	81	53	86	75	145	295	122	87	91	100	61	122	150	85	64	170	142	124	42	18	8	99	62	47	25	35	12	2	37	18	4	68	10	30	10	18	33	75	21	54	23	58	8	7	127	87	16	17	21	22	9	34	54	20	44	76	26	148	38					
		10.48%	12.38%	15.06%	10.91%	14.89%	8.19%	15.66%	10.71%	18.47%	9.99%	11.35%	9.60%	5.95%	9.79%	7.04%	7.82%	7.83%	8.99%	13.87%	8.48%	8.98%	14.94%	10.99%	9.72%	14.54%	10.47%	13.09%	10.74%	7.59%	8.75%	12.88%	9.99%	7.93%	14.02%	9.93%	12.20%	13.29%	26.94%	8.97%	8.75%	10.20%	7.92%	8.59%	10.10%	10.21%	9.22%	7.13%	9.18%	12.36%	9.36%	11.97%	9.42%	6.45%	13.79%	9.08%	13.51%	8.56%	11.82%	8.22%	2.06%	8.81%	12.95%	6.15%	12.43%	6.94%	7.56%	8.55%	8.57%	7.28%	13.56%	10.10%	8.18%	10.90%	8.16%	1.99%	2.41%	9.90%	11.31%	9.70%	9.14%	16.41%	4.41%	5.39%	5.77%	8.68%	4.49%	10.65%	9.55%	11.06%	15.34%	13.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	532	3	2	2	3	10	9	8	9	2	12	3	1	6	2	3	8	13	16	4	6	5	8	7	5	12	7	4	5	5	9	7	6	3	5	7	29	21	15	3	4	4	7	24	12	8	6	9	8	12	3	1	0	10	4	2	3	7	1	0	2	0	0	3	0	2	2	1	6	4	2	3	1	7	5	0	2	2	1	2	0	1	1	2	4	0	4	8	1	54	2					
		0.91%	0.59%	0.32%	0.45%	0.45%	2.21%	1.55%	1.10%	1.43%	0.25%	1.43%	0.76%	0.18%	0.49%	0.31%	0.38%	0.67%	1.58%	2.04%	0.87%	0.94%	0.70%	0.90%	0.93%	0.53%	0.97%	1.13%	0.70%	0.72%	0.51%	1.02%	0.75%	0.59%	0.79%	0.58%	1.14%	2.66%	1.92%	1.10%	0.30%	0.45%	0.32%	0.99%	1.99%	0.82%	0.87%	0.67%	0.49%	0.70%	0.91%	0.85%	0.52%	0.00%	1.39%	0.59%	0.57%	1.03%	2.36%	0.68%	0.00%	0.48%	0.00%	0.00%	0.55%	0.00%	0.50%	1.71%	0.48%	1.32%	0.72%	0.96%	0.45%	0.47%	0.98%	1.25%	0.00%	0.16%	0.26%	0.61%	1.08%	0.00%	0.20%	0.60%	0.34%	0.64%	0.00%	0.97%	1.01%	0.43%	5.60%	0.69%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9907	89	95	84	108	36	100	108	105	120	172	68	106	208	113	136	158	136	174	96	102	134	150	100	167	217	130	127	85	176	201	125	113	78	236	142	308	217	210	203	151	221	198	393	339	233	163	307	198	322	26	32	24	116	77	26	35	24	9	4	72	22	5	78	10	39	13	12	98	73	35	136	24	73	7	7	157	59	5	9	12	34	23	19	85	46	56	126	31	164	46					
		16.95%	17.49%	15.22%	18.71%	16.24%	7.96%	17.21%	14.84%	16.72%	14.98%	20.55%	17.17%	19.10%	16.83%	17.30%	17.44%	13.30%	16.52%	22.14%	20.87%	16.06%	18.72%	16.82%	13.32%	17.73%	17.61%	21.00%	22.36%	12.18%	17.90%	22.71%	13.43%	11.07%	20.63%	27.25%	23.09%	28.23%	19.82%	15.44%	20.42%	16.93%	17.50%	27.89%	32.53%	23.08%	25.27%	18.15%	16.59%	17.23%	24.30%	7.41%	16.75%	19.35%	16.16%	11.27%	7.47%	11.99%	8.11%	6.16%	4.12%	17.14%	15.83%	7.69%	14.26%	6.94%	9.82%	11.11%	5.71%	21.63%	13.20%	16.83%	20.61%	11.37%	10.27%	1.75%	2.41%	12.24%	7.67%	3.03%	4.84%	9.38%	6.81%	13.77%	3.23%	13.67%	10.34%	13.56%	15.83%	13.19%	16.99%	15.97%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1061	7	10	9	8	11	13	16	11	12	19	12	13	37	11	24	12	18	30	12	14	9	19	11	25	20	9	14	13	24	21	11	13	8	17	13	27	30	32	14	7	24	12	24	23	22	14	48	19	24	5	2	3	10	26	0	1	2	0	2	1	0	1	7	1	4	1	1	9	2	2	2	2	6	4	0	18	1	1	3	0	2	2	10	1	3	1	10	4	60	5					
		1.82%	1.38%	1.60%	2.00%	1.20%	2.43%	2.24%	2.20%	1.75%	1.50%	2.27%	3.03%	2.34%	2.99%	1.68%	3.08%	1.01%	2.19%	3.82%	2.61%	2.20%	1.26%	2.13%	1.46%	2.65%	1.62%	1.45%	2.46%	1.86%	2.44%	2.37%	1.18%	1.27%	2.12%	1.96%	2.11%	2.47%	2.74%	2.35%	1.41%	0.78%	1.90%	1.69%	1.99%	1.57%	2.39%	1.56%	2.59%	1.65%	1.81%	1.42%	1.05%	2.42%	1.39%	3.81%	0.00%	0.34%	0.68%	0.00%	2.06%	0.24%	0.00%	1.54%	1.28%	0.69%	1.01%	0.85%	0.48%	1.99%	0.36%	0.96%	0.30%	0.95%	0.84%	0.99%	0.00%	1.40%	0.13%	0.61%	1.61%	0.00%	0.40%	1.20%	1.70%	0.16%	0.67%	0.24%	1.26%	1.70%	6.22%	1.74%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32413	262	336	256	357	267	268	284	303	498	362	220	338	696	398	460	762	482	368	276	361	361	490	415	489	677	291	278	489	543	393	587	725	155	353	271	391	368	813	586	554	704	285	451	775	432	549	1036	644	680	176	97	72	386	424	217	189	182	102	74	258	86	49	313	112	244	72	148	269	302	98	405	137	485	259	192	808	562	121	143	85	359	114	357	388	332	274	421	138	467	157					
		55.47%	51.47%	53.85%	57.02%	53.68%	59.07%	46.13%	39.01%	48.25%	62.17%	43.25%	55.56%	60.90%	56.31%	60.95%	58.97%	64.14%	58.57%	46.82%	60.00%	56.85%	50.42%	54.93%	55.26%	51.91%	54.95%	47.01%	48.94%	70.06%	55.24%	44.41%	63.05%	71.01%	41.01%	40.76%	44.07%	35.84%	33.61%	59.78%	58.95%	62.11%	55.74%	40.14%	37.33%	52.76%	46.85%	61.14%	55.97%	56.05%	51.32%	50.14%	50.79%	58.06%	53.76%	62.08%	62.36%	64.73%	61.49%	69.86%	76.29%	61.43%	61.87%	75.38%	57.22%	77.78%	61.46%	61.54%	70.48%	59.38%	54.61%	47.12%	61.36%	64.93%	68.21%	64.59%	66.21%	62.98%	73.08%	73.33%	76.88%	66.41%	71.94%	68.26%	60.61%	62.38%	74.61%	66.34%	52.89%	58.72%	48.39%	54.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	282	2	2	2	2	8	1	5	3	6	4	2	1	6	5	6	3	6	1	1	4	2	6	3	0	5	2	1	5	5	8	3	2	1	4	1	2	13	10	8	2	3	3	8	4	1	4	16	7	3	0	0	1	3	25	2	1	0	0	0	2	1	0	3	0	0	0	0	1	2	0	1	0	2	5	0	4	0	2	2	0	2	0	2	0	1	0	4	0	10	4					
		0.48%	0.39%	0.32%	0.45%	0.30%	1.77%	0.17%	0.69%	0.48%	0.75%	0.48%	0.51%	0.18%	0.49%	0.77%	0.77%	0.25%	0.73%	0.13%	0.22%	0.63%	0.28%	0.67%	0.40%	0.00%	0.41%	0.32%	0.18%	0.72%	0.51%	0.90%	0.32%	0.20%	0.26%	0.46%	0.16%	0.18%	1.19%	0.74%	0.80%	0.22%	0.24%	0.42%	0.66%	0.27%	0.11%	0.45%	0.86%	0.61%	0.23%	0.00%	0.00%	0.81%	0.42%	3.66%	0.57%	0.34%	0.00%	0.00%	0.00%	0.48%	0.72%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.22%	0.36%	0.00%	0.15%	0.00%	0.28%	1.25%	0.00%	0.31%	0.00%	1.21%	1.08%	0.00%	0.40%	0.00%	0.34%	0.00%	0.22%	0.00%	0.50%	0.00%	1.04%	1.39%					
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
