Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Новозыбковская городская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779					
		0.94%	1.06%	1.95%	0.41%	1.38%	1.24%	0.46%	1.03%	0.76%	1.16%	1.06%	0.35%	0.85%	1.02%	0.66%	0.89%	1.03%	0.72%	1.17%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	226	7	9	7	15	11	14	3	1	16	22	17	9	19	24	7	8	28	9					
		1.17%	0.82%	1.09%	0.97%	1.38%	0.76%	1.30%	0.38%	0.15%	1.42%	1.45%	1.22%	0.63%	2.44%	1.60%	0.89%	1.03%	2.03%	0.75%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	545	28	35	29	21	29	34	14	17	49	36	31	38	18	42	22	30	32	40					
		2.83%	3.30%	4.26%	4.03%	1.94%	2.01%	3.17%	1.80%	2.61%	4.37%	2.38%	2.23%	2.70%	2.31%	2.80%	2.82%	3.88%	2.33%	3.35%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	383	19	22	26	15	11	21	13	9	44	36	30	21	11	40	7	21	20	17					
		1.99%	2.24%	2.68%	3.61%	1.38%	0.76%	1.96%	1.67%	1.38%	3.93%	2.38%	2.15%	1.49%	1.41%	2.66%	0.89%	2.72%	1.45%	1.42%					
22	"5. ""За Русь Святую"""	69	3	17	1	6	2	2	0	0	4	7	8	3	3	3	0	1	2	7					
		0.35%	0.35%	2.07%	0.13%	0.55%	0.13%	0.18%	0.0%	0.0%	0.35%	0.46%	0.57%	0.21%	0.38%	0.20%	0.0%	0.12%	0.14%	0.58%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	1	3	0	1	2	0	0	1	5	3	3	4	0	6	0	2	0	1					
		0.16%	0.11%	0.36%	0.0%	0.09%	0.13%	0.0%	0.0%	0.15%	0.44%	0.19%	0.21%	0.28%	0.0%	0.40%	0.0%	0.25%	0.0%	0.08%					
24	"7. ""Новый курс - Автомобильная Россия"""	129	3	9	6	3	6	8	4	6	9	8	5	10	4	11	3	7	17	10					
		0.67%	0.35%	1.09%	0.83%	0.27%	0.41%	0.74%	0.51%	0.92%	0.80%	0.53%	0.35%	0.71%	0.51%	0.73%	0.38%	0.90%	1.23%	0.83%					
25	"8. ""Народно-республиканская партия России"""	27	2	4	1	1	3	0	0	1	4	0	2	1	3	1	0	2	2	0					
		0.14%	0.23%	0.48%	0.13%	0.09%	0.20%	0.0%	0.0%	0.15%	0.35%	0.0%	0.14%	0.07%	0.38%	0.06%	0.0%	0.25%	0.14%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	3	4	0	3	2	0	1	0	0	3	1	2	2	4	1	3	3	2					
		0.17%	0.35%	0.48%	0.0%	0.27%	0.13%	0.0%	0.12%	0.0%	0.0%	0.19%	0.07%	0.14%	0.25%	0.26%	0.12%	0.38%	0.21%	0.16%					
27	"10. ""Аграрная партия России"""	614	26	26	14	26	45	39	23	32	22	46	50	41	22	60	55	22	43	22					
		3.19%	3.06%	3.17%	1.94%	2.40%	3.12%	3.64%	2.97%	4.92%	1.96%	3.05%	3.59%	2.91%	2.82%	4.00%	7.06%	2.84%	3.13%	1.84%					
28	"11. ""Истинные патриоты России"""	14	2	3	1	0	0	0	0	1	1	0	0	2	0	0	1	1	0	2					
		0.07%	0.23%	0.36%	0.13%	0.0%	0.0%	0.0%	0.0%	0.15%	0.08%	0.0%	0.0%	0.14%	0.0%	0.0%	0.12%	0.12%	0.0%	0.16%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	391	25	19	10	17	13	29	12	15	21	26	27	55	14	23	8	19	29	29					
		2.03%	2.94%	2.31%	1.39%	1.57%	0.90%	2.70%	1.55%	2.30%	1.87%	1.72%	1.94%	3.90%	1.79%	1.53%	1.02%	2.46%	2.11%	2.42%					
30	"13. ""Демократическая партия России"""	39	2	0	2	1	6	2	2	2	1	10	3	2	0	1	3	2	0	0					
		0.20%	0.23%	0.0%	0.27%	0.09%	0.41%	0.18%	0.25%	0.30%	0.08%	0.66%	0.21%	0.14%	0.0%	0.06%	0.38%	0.25%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	30	1	2	0	1	1	2	2	2	2	2	2	2	1	3	2	1	3	1					
		0.15%	0.11%	0.24%	0.0%	0.09%	0.06%	0.18%	0.25%	0.30%	0.17%	0.13%	0.14%	0.14%	0.12%	0.20%	0.25%	0.12%	0.21%	0.08%					
32	"15. ""Партия СЛОН"""	29	0	2	0	1	3	3	0	2	2	5	3	4	1	1	1	0	1	0					
		0.15%	0.0%	0.24%	0.0%	0.09%	0.20%	0.28%	0.0%	0.30%	0.17%	0.33%	0.21%	0.28%	0.12%	0.06%	0.12%	0.0%	0.07%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1401	86	37	63	84	90	77	45	45	86	114	113	119	60	135	43	36	97	71					
		7.28%	10.14%	4.51%	8.76%	7.76%	6.24%	7.18%	5.81%	6.92%	7.68%	7.56%	8.12%	8.45%	7.71%	9.00%	5.52%	4.66%	7.06%	5.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	0	1	3	2	1	2	1	0	0	4	1	3	1	1	2	1	1	2					
		0.13%	0.0%	0.12%	0.41%	0.18%	0.06%	0.18%	0.12%	0.0%	0.0%	0.26%	0.07%	0.21%	0.12%	0.06%	0.25%	0.12%	0.07%	0.16%					
35	"18. ""ЛДПР"""	2032	72	158	54	118	160	91	82	73	99	148	150	146	87	150	72	78	149	145					
		10.57%	8.49%	19.26%	7.51%	10.90%	11.09%	8.49%	10.59%	11.23%	8.84%	9.82%	10.79%	10.37%	11.18%	10.00%	9.25%	10.10%	10.85%	12.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	769	33	28	21	48	61	49	27	36	58	76	50	77	24	46	27	26	37	45					
		4.00%	3.89%	3.41%	2.92%	4.43%	4.23%	4.57%	3.48%	5.53%	5.18%	5.04%	3.59%	5.47%	3.08%	3.06%	3.47%	3.36%	2.69%	3.76%					
37	"20. ""Политическая партия ""Единая Россия"""	8283	305	242	342	515	713	466	355	257	460	630	592	580	330	657	385	330	619	505					
		43.08%	35.96%	29.51%	47.56%	47.59%	49.44%	43.51%	45.86%	39.53%	41.10%	41.80%	42.58%	41.22%	42.41%	43.82%	49.48%	42.74%	45.08%	42.29%					
38	"21. ""Российская Конституционно-демократическая партия"""	43	0	3	1	3	5	3	2	3	0	4	2	4	0	4	1	3	1	4					
		0.22%	0.0%	0.36%	0.13%	0.27%	0.34%	0.28%	0.25%	0.46%	0.0%	0.26%	0.14%	0.28%	0.0%	0.26%	0.12%	0.38%	0.07%	0.33%					
39	"22. ""Развитие предпринимательства"""	60	3	2	5	1	2	6	1	1	7	1	6	3	1	6	2	0	5	8					
		0.31%	0.35%	0.24%	0.69%	0.09%	0.13%	0.56%	0.12%	0.15%	0.62%	0.06%	0.43%	0.21%	0.12%	0.40%	0.25%	0.0%	0.36%	0.67%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2682	160	92	101	123	164	145	154	98	150	191	212	203	102	185	97	124	210	171					
		13.95%	18.86%	11.21%	14.04%	11.36%	11.37%	13.53%	19.89%	15.07%	13.40%	12.67%	15.25%	14.42%	13.11%	12.34%	12.46%	16.06%	15.29%	14.32%					
																									
41	Против всех	911	50	64	21	48	72	56	22	35	59	88	60	49	52	62	20	38	50	65					
		4.73%	5.89%	7.80%	2.92%	4.43%	4.99%	5.22%	2.84%	5.38%	5.27%	5.83%	4.31%	3.48%	6.68%	4.13%	2.57%	4.92%	3.64%	5.44%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
