Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
"Наименование Избирательной комиссии:    г. Чита, Ингодинская "																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61					
23	"6. ""Объединенная Российская партия ""Русь"""	53	6	10	5	0	4	5	2	0	0	1	3	0	1	2	2	1	1	2	2	0	0	0	0	2	0	4					
		0.20%	0.38%	0.52%	0.37%	0.0%	0.44%	0.35%	0.16%	0.0%	0.0%	0.10%	0.25%	0.0%	0.16%	0.32%	0.15%	0.07%	0.12%	0.28%	0.23%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.39%					
24	"7. ""Новый курс - Автомобильная Россия"""	232	23	27	15	8	13	8	15	2	7	10	7	2	2	3	8	8	7	6	4	9	13	2	6	6	6	15					
		0.87%	1.48%	1.42%	1.11%	0.80%	1.45%	0.56%	1.23%	0.17%	0.78%	1.04%	0.58%	0.18%	0.33%	0.48%	0.63%	0.59%	0.89%	0.86%	0.46%	0.72%	0.97%	0.27%	2.71%	0.65%	2.63%	1.46%					
25	"8. ""Народно-республиканская партия России"""	30	0	13	0	1	1	2	3	0	0	0	0	0	0	0	2	0	0	1	1	1	1	0	1	1	0	2					
		0.11%	0.0%	0.68%	0.0%	0.10%	0.11%	0.14%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.14%	0.11%	0.08%	0.07%	0.0%	0.45%	0.10%	0.0%	0.19%					
26	"9. ""Российская экологическая партия ""Зеленые"""	151	8	21	19	5	7	6	4	7	7	11	4	4	2	0	8	8	3	7	0	5	6	1	2	3	1	2					
		0.57%	0.51%	1.10%	1.40%	0.50%	0.78%	0.42%	0.32%	0.60%	0.78%	1.14%	0.33%	0.36%	0.33%	0.0%	0.63%	0.59%	0.38%	1.01%	0.0%	0.40%	0.45%	0.13%	0.90%	0.32%	0.43%	0.19%					
27	"10. ""Аграрная партия России"""	627	25	35	27	21	5	43	25	28	16	18	34	35	14	18	44	35	20	21	28	34	39	14	10	29	5	4					
		2.37%	1.61%	1.84%	2.00%	2.11%	0.55%	3.04%	2.05%	2.42%	1.80%	1.87%	2.86%	3.20%	2.36%	2.93%	3.50%	2.60%	2.57%	3.03%	3.27%	2.74%	2.92%	1.93%	4.52%	3.17%	2.19%	0.39%					
28	"11. ""Истинные патриоты России"""	36	3	4	4	12	0	1	0	0	0	0	0	0	0	0	1	2	2	0	2	3	0	1	0	0	1	0					
		0.13%	0.19%	0.21%	0.29%	1.20%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.14%	0.25%	0.0%	0.23%	0.24%	0.0%	0.13%	0.0%	0.0%	0.43%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	390	31	18	16	12	15	30	6	23	12	12	32	19	7	3	8	14	15	9	13	15	11	12	4	15	9	29					
		1.47%	1.99%	0.94%	1.18%	1.20%	1.67%	2.12%	0.49%	1.98%	1.35%	1.25%	2.69%	1.73%	1.18%	0.48%	0.63%	1.04%	1.92%	1.29%	1.52%	1.21%	0.82%	1.65%	1.80%	1.64%	3.94%	2.83%					
30	"13. ""Демократическая партия России"""	69	2	8	2	3	2	5	3	0	1	3	1	2	1	1	3	1	5	1	3	2	4	2	3	3	0	8					
		0.26%	0.12%	0.42%	0.14%	0.30%	0.22%	0.35%	0.24%	0.0%	0.11%	0.31%	0.08%	0.18%	0.16%	0.16%	0.23%	0.07%	0.64%	0.14%	0.35%	0.16%	0.30%	0.27%	1.35%	0.32%	0.0%	0.78%					
31	"14. ""Великая Россия - Евразийский Союз"""	69	2	7	6	1	2	3	5	1	0	2	6	8	2	1	2	2	2	2	2	4	2	0	1	1	0	5					
		0.26%	0.12%	0.36%	0.44%	0.10%	0.22%	0.21%	0.41%	0.08%	0.0%	0.20%	0.50%	0.73%	0.33%	0.16%	0.15%	0.14%	0.25%	0.28%	0.23%	0.32%	0.15%	0.0%	0.45%	0.10%	0.0%	0.48%					
32	"15. ""Партия СЛОН"""	69	8	10	9	1	10	2	1	0	1	3	4	0	1	2	1	1	1	2	0	1	0	1	0	1	0	9					
		0.26%	0.51%	0.52%	0.66%	0.10%	1.11%	0.14%	0.08%	0.0%	0.11%	0.31%	0.33%	0.0%	0.16%	0.32%	0.07%	0.07%	0.12%	0.28%	0.0%	0.08%	0.0%	0.13%	0.0%	0.10%	0.0%	0.88%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2020	79	55	50	56	20	125	121	95	96	69	114	120	64	74	140	158	64	51	97	142	102	40	18	44	9	17					
		7.65%	5.09%	2.89%	3.70%	5.63%	2.23%	8.86%	9.95%	8.21%	10.81%	7.19%	9.59%	10.97%	10.82%	12.07%	11.15%	11.75%	8.22%	7.35%	11.35%	11.47%	7.65%	5.53%	8.14%	4.81%	3.94%	1.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	86	9	6	11	3	7	1	3	5	0	4	2	0	3	0	4	1	3	0	1	2	4	0	0	2	0	15					
		0.32%	0.58%	0.31%	0.81%	0.30%	0.78%	0.07%	0.24%	0.43%	0.0%	0.41%	0.16%	0.0%	0.50%	0.0%	0.31%	0.07%	0.38%	0.0%	0.11%	0.16%	0.30%	0.0%	0.0%	0.21%	0.0%	1.46%					
35	"18. ""ЛДПР"""	5324	339	348	329	251	247	267	251	204	115	238	176	144	106	119	179	187	143	156	180	229	233	171	49	215	28	420					
		20.16%	21.85%	18.30%	24.40%	25.25%	27.56%	18.93%	20.65%	17.63%	12.95%	24.81%	14.81%	13.17%	17.93%	19.41%	14.26%	13.91%	18.38%	22.51%	21.07%	18.49%	17.49%	23.65%	22.17%	23.54%	12.28%	41.09%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	409	11	17	18	21	8	30	27	23	13	4	25	22	8	10	17	29	12	13	16	26	26	5	4	13	4	7					
		1.54%	0.70%	0.89%	1.33%	2.11%	0.89%	2.12%	2.22%	1.98%	1.46%	0.41%	2.10%	2.01%	1.35%	1.63%	1.35%	2.15%	1.54%	1.87%	1.87%	2.10%	1.95%	0.69%	1.80%	1.42%	1.75%	0.68%					
37	"20. ""Политическая партия ""Единая Россия"""	9352	650	756	536	360	371	498	425	352	309	371	392	366	212	173	451	414	278	248	301	426	501	304	73	320	130	135					
		35.41%	41.90%	39.76%	39.76%	36.21%	41.40%	35.31%	34.97%	30.42%	34.79%	38.68%	32.99%	33.48%	35.87%	28.22%	35.93%	30.80%	35.73%	35.78%	35.24%	34.41%	37.61%	42.04%	33.03%	35.04%	57.01%	13.20%					
38	"21. ""Российская Конституционно-демократическая партия"""	52	3	7	6	4	1	4	3	0	0	1	0	1	0	1	2	2	2	0	0	1	3	2	1	1	0	7					
		0.19%	0.19%	0.36%	0.44%	0.40%	0.11%	0.28%	0.24%	0.0%	0.0%	0.10%	0.0%	0.09%	0.0%	0.16%	0.15%	0.14%	0.25%	0.0%	0.0%	0.08%	0.22%	0.27%	0.45%	0.10%	0.0%	0.68%					
39	"22. ""Развитие предпринимательства"""	97	6	9	8	2	6	1	3	4	1	2	3	0	2	1	1	3	3	2	2	8	22	1	2	3	0	2					
		0.36%	0.38%	0.47%	0.59%	0.20%	0.66%	0.07%	0.24%	0.34%	0.11%	0.20%	0.25%	0.0%	0.33%	0.16%	0.07%	0.22%	0.38%	0.28%	0.23%	0.64%	1.65%	0.13%	0.90%	0.32%	0.0%	0.19%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2524	86	53	60	80	36	165	121	173	108	47	157	173	56	86	173	184	76	69	90	127	156	80	21	115	4	28					
		9.55%	5.54%	2.78%	4.45%	8.04%	4.01%	11.70%	9.95%	14.95%	12.16%	4.90%	13.21%	15.82%	9.47%	14.02%	13.78%	13.69%	9.76%	9.95%	10.53%	10.25%	11.71%	11.06%	9.50%	12.59%	1.75%	2.73%					
																																	
41	Против всех	1324	139	125	71	42	43	49	38	53	42	49	56	42	45	26	65	51	33	27	31	41	66	12	10	30	7	131					
		5.01%	8.96%	6.57%	5.26%	4.22%	4.79%	3.47%	3.12%	4.58%	4.72%	5.10%	4.71%	3.84%	7.61%	4.24%	5.17%	3.79%	4.24%	3.89%	3.62%	3.31%	4.95%	1.65%	4.52%	3.28%	3.07%	12.81%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
