Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Арзгирская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	257	33	51	68	48	4	8	4	7	23	6	5	0									
		3.55%	3.64%	4.84%	6.56%	5.39%	2.11%	2.39%	0.92%	1.25%	6.50%	1.39%	0.73%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	0	0	0	1	0	0	1	3	2	1	2	1									
		0.15%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.23%	0.54%	0.56%	0.23%	0.29%	0.27%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	5	8	8	7	0	2	0	4	2	2	1	1									
		0.55%	0.55%	0.76%	0.77%	0.79%	0.00%	0.60%	0.00%	0.72%	0.56%	0.46%	0.15%	0.27%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1043	160	161	174	130	12	38	41	58	40	95	104	30									
		14.40%	17.64%	15.28%	16.78%	14.61%	6.32%	11.34%	9.40%	10.39%	11.30%	21.94%	15.25%	8.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	3	4	8	1	1	2	2	1	3	1	3	2									
		0.43%	0.33%	0.38%	0.77%	0.11%	0.53%	0.60%	0.46%	0.18%	0.85%	0.23%	0.44%	0.54%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	216	20	37	35	27	5	6	8	20	13	19	17	9									
		2.98%	2.21%	3.51%	3.38%	3.03%	2.63%	1.79%	1.83%	3.58%	3.67%	4.39%	2.49%	2.45%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
