Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Константиновская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  2445	УИК  2495	УИК  2496	УИК  2497					
		4.42%	3.08%	2.50%	3.37%	1.71%	2.92%	2.61%	3.63%	3.58%	3.92%	1.87%	5.26%	2.94%	6.85%	6.40%	13.80%	3.98%	8.29%	8.96%	4.53%	2.92%	8.94%	8.50%	5.22%	6.43%	2.40%	8.07%	5.80%	11.86%	3.70%	7.82%	3.60%	3.86%					
28	"11. ""Истинные патриоты России"""	27	2	0	2	3	0	3	2	2	0	0	2	1	0	0	0	1	1	0	3	2	1	0	0	0	0	1	1	0	0	0	0	0					
		0.17%	0.18%	0.0%	0.21%	0.32%	0.0%	0.28%	0.18%	0.29%	0.0%	0.0%	0.75%	0.58%	0.0%	0.0%	0.0%	0.18%	0.46%	0.0%	0.34%	0.27%	0.23%	0.0%	0.0%	0.0%	0.0%	0.27%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	420	33	28	39	39	37	21	38	4	3	3	4	12	2	2	3	7	12	5	26	15	25	5	8	10	9	10	3	4	2	3	2	6					
		2.66%	3.08%	2.60%	4.24%	4.17%	3.60%	1.96%	3.45%	0.59%	1.17%	1.87%	1.50%	7.05%	0.50%	0.55%	1.01%	1.32%	5.52%	2.35%	3.02%	2.08%	5.88%	1.03%	5.22%	2.68%	3.61%	2.78%	1.24%	2.25%	0.92%	1.30%	0.65%	2.57%					
30	"13. ""Демократическая партия России"""	41	4	0	4	2	2	0	1	2	2	0	4	1	1	0	0	0	2	0	4	4	0	1	0	2	1	1	0	0	0	1	1	1					
		0.26%	0.37%	0.0%	0.43%	0.21%	0.19%	0.0%	0.09%	0.29%	0.78%	0.0%	1.50%	0.58%	0.25%	0.0%	0.0%	0.0%	0.92%	0.0%	0.46%	0.55%	0.0%	0.20%	0.0%	0.53%	0.40%	0.27%	0.0%	0.0%	0.0%	0.43%	0.32%	0.42%					
31	"14. ""Великая Россия - Евразийский Союз"""	37	3	3	1	1	3	4	1	3	0	1	0	0	0	0	1	0	1	0	3	0	3	1	0	2	1	4	0	0	1	0	0	0					
		0.23%	0.28%	0.27%	0.10%	0.10%	0.29%	0.37%	0.09%	0.44%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.46%	0.0%	0.34%	0.0%	0.70%	0.20%	0.0%	0.53%	0.40%	1.11%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	11	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0					
		0.06%	0.09%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.37%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.23%	0.13%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1079	85	92	77	100	134	116	107	47	8	12	5	7	17	10	6	16	10	9	39	31	32	13	0	18	12	22	1	11	11	2	22	7					
		6.85%	7.95%	8.55%	8.37%	10.69%	13.06%	10.85%	9.73%	7.02%	3.13%	7.5%	1.87%	4.11%	4.31%	2.78%	2.02%	3.03%	4.60%	4.24%	4.53%	4.31%	7.52%	2.69%	0.0%	4.82%	4.81%	6.12%	0.41%	6.21%	5.09%	0.86%	7.21%	3.00%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	56	5	3	4	6	0	4	2	3	1	0	1	0	2	2	0	2	0	2	2	2	1	1	0	2	2	3	0	1	3	0	1	1					
		0.35%	0.46%	0.27%	0.43%	0.64%	0.0%	0.37%	0.18%	0.44%	0.39%	0.0%	0.37%	0.0%	0.50%	0.55%	0.0%	0.37%	0.0%	0.94%	0.23%	0.27%	0.23%	0.20%	0.0%	0.53%	0.80%	0.83%	0.0%	0.56%	1.38%	0.0%	0.32%	0.42%					
35	"18. ""ЛДПР"""	2444	174	178	123	138	139	156	194	91	44	13	47	16	68	75	54	92	38	23	119	85	82	83	41	62	71	42	27	31	31	23	53	31					
		15.52%	16.27%	16.54%	13.38%	14.75%	13.54%	14.59%	17.65%	13.60%	17.25%	8.12%	17.66%	9.41%	17.25%	20.89%	18.18%	17.45%	17.51%	10.84%	13.83%	11.82%	19.29%	17.21%	26.79%	16.62%	28.51%	11.69%	11.20%	17.51%	14.35%	9.99%	17.37%	13.30%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	239	17	9	11	9	23	22	11	12	8	6	2	3	3	10	5	8	5	2	11	8	9	8	2	9	0	5	6	0	1	7	5	2					
		1.51%	1.59%	0.83%	1.19%	0.96%	2.24%	2.05%	1.00%	1.79%	3.13%	3.75%	0.75%	1.76%	0.76%	2.78%	1.68%	1.51%	2.30%	0.94%	1.27%	1.11%	2.11%	1.65%	1.30%	2.41%	0.0%	1.39%	2.48%	0.0%	0.46%	3.04%	1.63%	0.85%					
37	"20. ""Политическая партия ""Единая Россия"""	6465	403	426	313	325	395	422	377	335	119	71	112	90	185	142	135	251	90	115	358	322	140	213	62	164	85	116	129	55	114	121	146	134					
		41.07%	37.69%	39.59%	34.05%	34.75%	38.49%	39.47%	34.30%	50.07%	46.66%	44.37%	42.10%	52.94%	46.95%	39.55%	45.45%	47.62%	41.47%	54.24%	41.62%	44.78%	32.94%	44.19%	40.52%	43.96%	34.13%	32.31%	53.52%	31.07%	52.77%	52.60%	47.86%	57.51%					
38	"21. ""Российская Конституционно-демократическая партия"""	44	2	1	5	3	1	3	1	0	0	0	0	0	1	3	0	2	0	1	2	2	2	2	0	2	1	1	6	0	1	0	1	1					
		0.27%	0.18%	0.09%	0.54%	0.32%	0.09%	0.28%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.83%	0.0%	0.37%	0.0%	0.47%	0.23%	0.27%	0.47%	0.41%	0.0%	0.53%	0.40%	0.27%	2.48%	0.0%	0.46%	0.0%	0.32%	0.42%					
39	"22. ""Развитие предпринимательства"""	37	4	3	5	2	2	1	7	2	0	2	0	0	0	1	0	0	1	1	1	0	1	2	0	0	0	1	0	0	0	0	1	0					
		0.23%	0.37%	0.27%	0.54%	0.21%	0.19%	0.09%	0.63%	0.29%	0.0%	1.25%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.46%	0.47%	0.11%	0.0%	0.23%	0.41%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2006	120	170	154	141	141	145	116	52	35	23	36	17	59	56	23	68	9	21	137	112	34	52	12	23	25	61	33	20	20	27	38	26					
		12.74%	11.22%	15.79%	16.75%	15.08%	13.74%	13.56%	10.55%	7.77%	13.72%	14.37%	13.53%	10.0%	14.97%	15.59%	7.74%	12.90%	4.14%	9.90%	15.93%	15.57%	8.0%	10.78%	7.84%	6.16%	10.04%	16.99%	13.69%	11.29%	9.25%	11.73%	12.45%	11.15%					
																																							
41	Против всех	510	57	35	35	23	28	32	49	27	3	6	14	1	4	8	8	9	7	6	31	25	19	5	5	12	8	29	3	8	2	5	4	2					
		3.23%	5.33%	3.25%	3.80%	2.45%	2.72%	2.99%	4.45%	4.03%	1.17%	3.75%	5.26%	0.58%	1.01%	2.22%	2.69%	1.70%	3.22%	2.83%	3.60%	3.47%	4.47%	1.03%	3.26%	3.21%	3.21%	8.07%	1.24%	4.51%	0.92%	2.17%	1.31%	0.85%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
