Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Знаменская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	2	1	0	3	0	2	0	0	0	1	3									
		0.45%	0.84%	0.53%	0.00%	0.32%	0.00%	1.03%	0.00%	0.00%	0.00%	0.74%	2.52%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	72	5	4	3	35	2	3	0	4	11	1	4									
		2.70%	2.09%	2.12%	1.94%	3.70%	1.16%	1.54%	0.00%	2.06%	4.82%	0.74%	3.36%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
