Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Порховская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635					
18	. Глазьев Сергей Юрьевич	237	12	20	25	30	24	28	7	9	3	5	4	10	0	2	3	0	6	11	7	11	3	1	4	1	1	3	0	2	3	0	2					
		1.73%	1.57%	2.03%	2.92%	3.09%	2.59%	3.43%	1.28%	1.72%	0.79%	1.25%	1.98%	1.34%	0.00%	0.59%	0.88%	0.00%	1.52%	2.17%	1.22%	1.76%	0.79%	0.57%	1.88%	0.44%	0.53%	2.13%	0.00%	1.18%	0.81%	0.00%	0.68%					
19	. Малышкин Олег Александрович	213	15	10	15	11	22	8	11	5	2	7	3	8	4	6	2	1	10	5	18	20	8	4	1	5	1	3	1	1	2	2	2					
		1.56%	1.97%	1.01%	1.75%	1.13%	2.37%	0.98%	2.00%	0.95%	0.53%	1.75%	1.49%	1.08%	1.54%	1.76%	0.59%	0.98%	2.53%	0.99%	3.12%	3.20%	2.11%	2.27%	0.47%	2.21%	0.53%	2.13%	0.68%	0.59%	0.54%	1.90%	0.68%					
20	. Миронов Сергей Михайлович	138	10	5	9	8	11	10	4	3	2	5	1	14	1	4	2	1	5	6	8	4	1	2	2	4	5	2	2	0	1	2	4					
		1.01%	1.31%	0.51%	1.05%	0.82%	1.19%	1.23%	0.73%	0.57%	0.53%	1.25%	0.50%	1.88%	0.38%	1.18%	0.59%	0.98%	1.27%	1.19%	1.39%	0.64%	0.26%	1.14%	0.94%	1.77%	2.65%	1.42%	1.35%	0.00%	0.27%	1.90%	1.37%					
21	. Путин Владимир Владимирович	10857	586	751	675	715	707	627	463	414	339	352	176	568	222	287	269	87	327	387	456	488	315	151	174	196	135	88	130	148	324	72	228					
		79.41%	76.80%	76.09%	78.76%	73.71%	76.27%	76.84%	84.34%	79.01%	89.68%	88.00%	87.13%	76.34%	85.38%	84.41%	79.12%	85.29%	82.78%	76.48%	79.17%	78.08%	82.89%	85.80%	81.69%	86.73%	71.43%	62.41%	87.84%	87.06%	87.57%	68.57%	77.82%					
22	. Хакамада Ирина Муцуовна	225	20	27	17	23	20	10	3	10	2	6	1	20	3	3	7	1	6	7	10	10	4	1	3	2	0	1	2	0	1	2	3					
		1.65%	2.62%	2.74%	1.98%	2.37%	2.16%	1.23%	0.55%	1.91%	0.53%	1.50%	0.50%	2.69%	1.15%	0.88%	2.06%	0.98%	1.52%	1.38%	1.74%	1.60%	1.05%	0.57%	1.41%	0.88%	0.00%	0.71%	1.35%	0.00%	0.27%	1.90%	1.02%					
23	. Харитонов Николай Михайлович	1732	108	154	86	159	112	113	54	73	25	22	16	101	25	34	50	10	35	84	58	86	39	14	27	18	46	44	9	18	37	23	52					
		12.67%	14.15%	15.60%	10.04%	16.39%	12.08%	13.85%	9.84%	13.93%	6.61%	5.50%	7.92%	13.58%	9.62%	10.00%	14.71%	9.80%	8.86%	16.60%	10.07%	13.76%	10.26%	7.95%	12.68%	7.96%	24.34%	31.21%	6.08%	10.59%	10.00%	21.90%	17.75%					
																																						
24	Против всех	186	9	12	25	18	26	11	2	3	4	1	0	18	3	4	4	2	6	4	13	5	6	3	1	0	1	0	3	0	0	1	1					
		1.36%	1.18%	1.22%	2.92%	1.86%	2.80%	1.35%	0.36%	0.57%	1.06%	0.25%	0.00%	2.42%	1.15%	1.18%	1.18%	1.96%	1.52%	0.79%	2.26%	0.80%	1.58%	1.70%	0.47%	0.00%	0.53%	0.00%	2.03%	0.00%	0.00%	0.95%	0.34%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
