Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Ухтинская городская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1730	50	30	40	20	45	40	30	35	30	35	50	50	20	50	20	25	25	40	40	30	15	20	15	40	45	15	20	35	50	45	25	25	25	30	40	25	40	40	25	35	30	25	30	45	15	15	15	35	30	30	25	15	45	30	30	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1002	31	16	12	17	22	18	18	21	14	16	33	47	14	28	7	11	9	25	13	15	0	15	7	28	18	10	8	21	30	22	19	15	15	17	33	17	30	22	11	30	11	13	22	39	5	8	4	12	7	16	25	7	25	30	23	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	730	23	13	45	10	11	19	11	5	12	16	35	39	17	4	18	16	18	12	8	11	9	1	4	3	10	10	15	7	43	8	6	8	10	17	14	11	7	14	19	13	15	9	15	18	7	6	2	0	9	4	0	14	13	9	15	12	6	4									
14	Число погашенных неиспользованных открепительных удостоверений	728	19	14	28	3	23	22	12	14	16	19	17	3	6	22	13	14	16	15	27	15	15	5	8	12	27	5	12	14	20	23	6	10	10	13	7	8	10	18	14	5	19	12	8	6	10	7	11	23	23	14	0	8	20	0	7	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	242	5	2	3	1	6	1	4	4	4	9	8	23	4	5	0	4	4	1	2	2	0	0	0	3	2	6	2	3	12	9	6	4	6	9	10	2	6	3	6	8	7	13	7	3	1	0	0	3	3	1	0	0	2	4	9	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	770	20	16	40	16	21	20	16	14	15	12	20	28	10	18	11	21	6	7	14	14	6	7	2	9	24	6	11	6	20	23	15	13	11	15	14	16	25	21	17	12	10	11	23	13	2	1	1	16	13	10	22	1	7	10	15	2	1	0									
		2.07%	1.90%	3.02%	3.77%	3.18%	2.38%	2.42%	2.28%	1.90%	2.06%	1.61%	1.88%	2.33%	2.19%	1.82%	2.60%	3.60%	1.13%	1.03%	1.83%	2.41%	2.47%	1.79%	1.02%	1.00%	2.97%	1.83%	2.50%	0.89%	1.84%	2.39%	2.41%	2.31%	1.67%	2.18%	1.55%	2.16%	2.81%	2.67%	3.28%	1.75%	1.70%	1.95%	2.88%	1.41%	0.71%	0.34%	0.70%	2.47%	1.95%	1.82%	2.75%	0.37%	0.84%	1.38%	2.19%	1.38%	3.33%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1341	47	17	23	13	47	26	19	21	23	24	31	32	17	29	15	20	30	27	35	18	8	21	4	42	33	15	23	22	46	38	19	17	11	22	17	25	27	23	16	23	16	21	26	48	15	16	5	34	31	18	35	7	33	35	21	10	2	2									
		3.61%	4.46%	3.21%	2.17%	2.58%	5.33%	3.15%	2.71%	2.85%	3.16%	3.21%	2.91%	2.67%	3.73%	2.93%	3.55%	3.42%	5.64%	3.96%	4.57%	3.10%	3.29%	5.37%	2.03%	4.67%	4.08%	4.57%	5.23%	3.26%	4.23%	3.95%	3.05%	3.02%	1.67%	3.20%	1.88%	3.37%	3.04%	2.93%	3.09%	3.36%	2.73%	3.73%	3.25%	5.19%	5.36%	5.48%	3.52%	5.24%	4.66%	3.28%	4.38%	2.58%	3.96%	4.82%	3.06%	6.90%	6.67%	5.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1293	39	18	22	28	38	47	26	21	26	33	52	42	15	41	16	18	14	24	25	21	9	7	4	28	24	12	13	22	43	43	29	17	32	20	9	29	22	40	19	28	21	10	29	29	6	7	12	15	21	20	33	7	32	16	9	6	0	4									
		3.48%	3.70%	3.40%	2.07%	5.57%	4.31%	5.69%	3.71%	2.85%	3.57%	4.42%	4.88%	3.50%	3.29%	4.14%	3.78%	3.08%	2.63%	3.52%	3.26%	3.61%	3.70%	1.79%	2.03%	3.11%	2.97%	3.66%	2.95%	3.26%	3.95%	4.47%	4.66%	3.02%	4.86%	2.91%	0.99%	3.91%	2.47%	5.09%	3.67%	4.09%	3.58%	1.78%	3.63%	3.14%	2.14%	2.40%	8.45%	2.31%	3.16%	3.65%	4.13%	2.58%	3.84%	2.20%	1.31%	4.14%	0.00%	10.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12729	321	156	472	181	242	242	222	229	226	265	324	397	149	360	125	158	178	241	256	224	87	193	91	316	258	89	139	237	306	296	185	176	203	226	458	207	295	251	164	203	179	185	253	374	103	90	58	201	180	174	440	108	340	318	293	50	14	21									
		34.30%	30.48%	29.43%	44.49%	35.98%	27.44%	29.30%	31.67%	31.03%	31.00%	35.48%	30.42%	33.08%	32.68%	36.33%	29.55%	27.05%	33.46%	35.34%	33.42%	38.55%	35.80%	49.36%	46.19%	35.11%	31.93%	27.13%	31.59%	35.11%	28.13%	30.77%	29.74%	31.26%	30.80%	32.90%	50.78%	27.90%	33.18%	31.93%	31.66%	29.68%	30.49%	32.86%	31.66%	40.48%	36.79%	30.82%	40.85%	30.97%	27.07%	31.75%	55.07%	39.85%	40.82%	43.80%	42.71%	34.48%	46.67%	52.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	459	17	8	14	5	7	10	12	8	14	4	14	19	4	17	19	10	5	7	10	2	1	3	3	10	9	3	6	6	15	9	12	3	5	4	13	14	13	11	9	13	5	6	16	9	2	0	0	8	7	1	11	1	8	9	7	0	1	0									
		1.24%	1.61%	1.51%	1.32%	0.99%	0.79%	1.21%	1.71%	1.08%	1.92%	0.54%	1.31%	1.58%	0.88%	1.72%	4.49%	1.71%	0.94%	1.03%	1.31%	0.34%	0.41%	0.77%	1.52%	1.11%	1.11%	0.91%	1.36%	0.89%	1.38%	0.94%	1.93%	0.53%	0.76%	0.58%	1.44%	1.89%	1.46%	1.40%	1.74%	1.90%	0.85%	1.07%	2.00%	0.97%	0.71%	0.00%	0.00%	1.23%	1.05%	0.18%	1.38%	0.37%	0.96%	1.24%	1.02%	0.00%	3.33%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	84	3	4	2	0	6	4	2	0	2	3	1	4	0	3	1	2	0	2	0	1	0	0	0	1	0	0	1	1	3	2	4	0	0	1	3	1	2	3	3	1	2	0	2	2	0	0	0	3	2	1	2	0	3	0	1	0	0	0									
		0.23%	0.28%	0.75%	0.19%	0.00%	0.68%	0.48%	0.29%	0.00%	0.27%	0.40%	0.09%	0.33%	0.00%	0.30%	0.24%	0.34%	0.00%	0.29%	0.00%	0.17%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.23%	0.15%	0.28%	0.21%	0.64%	0.00%	0.00%	0.15%	0.33%	0.13%	0.22%	0.38%	0.58%	0.15%	0.34%	0.00%	0.25%	0.22%	0.00%	0.00%	0.00%	0.46%	0.30%	0.18%	0.25%	0.00%	0.36%	0.00%	0.15%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8403	240	129	176	103	191	187	156	166	173	142	271	264	105	204	93	135	163	176	199	145	73	90	46	198	203	68	117	161	239	193	139	136	163	141	135	153	206	188	124	158	124	104	153	190	66	67	49	165	167	121	154	105	202	190	160	31	2	4									
		22.64%	22.79%	24.34%	16.59%	20.48%	21.66%	22.64%	22.25%	22.49%	23.73%	19.01%	25.45%	22.00%	23.03%	20.59%	21.99%	23.12%	30.64%	25.81%	25.98%	24.96%	30.04%	23.02%	23.35%	22.00%	25.12%	20.73%	26.59%	23.85%	21.97%	20.06%	22.35%	24.16%	24.73%	20.52%	14.97%	20.62%	23.17%	23.92%	23.94%	23.10%	21.12%	18.47%	19.15%	20.56%	23.57%	22.95%	34.51%	25.42%	25.11%	22.08%	19.27%	38.75%	24.25%	26.17%	23.32%	21.38%	6.67%	10.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	421	18	4	11	5	8	9	11	9	4	8	17	26	4	14	9	10	5	4	10	5	4	2	0	4	8	6	7	15	13	18	11	8	8	10	11	9	9	7	6	2	8	8	4	6	1	1	0	11	3	3	2	3	8	5	9	0	0	0									
		1.13%	1.71%	0.75%	1.04%	0.99%	0.91%	1.09%	1.57%	1.22%	0.55%	1.07%	1.60%	2.17%	0.88%	1.41%	2.13%	1.71%	0.94%	0.59%	1.31%	0.86%	1.65%	0.51%	0.00%	0.44%	0.99%	1.83%	1.59%	2.22%	1.19%	1.87%	1.77%	1.42%	1.21%	1.46%	1.22%	1.21%	1.01%	0.89%	1.16%	0.29%	1.36%	1.42%	0.50%	0.65%	0.36%	0.34%	0.00%	1.69%	0.45%	0.55%	0.25%	1.11%	0.96%	0.69%	1.31%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	534	16	9	11	8	10	17	15	19	14	7	23	35	7	17	7	12	3	6	9	4	2	4	0	6	12	3	4	5	18	18	14	10	12	10	16	11	17	12	5	14	8	8	6	9	2	0	0	9	15	6	6	1	8	8	6	0	0	0									
		1.44%	1.52%	1.70%	1.04%	1.59%	1.13%	2.06%	2.14%	2.57%	1.92%	0.94%	2.16%	2.92%	1.54%	1.72%	1.65%	2.05%	0.56%	0.88%	1.17%	0.69%	0.82%	1.02%	0.00%	0.67%	1.49%	0.91%	0.91%	0.74%	1.65%	1.87%	2.25%	1.78%	1.82%	1.46%	1.77%	1.48%	1.91%	1.53%	0.97%	2.05%	1.36%	1.42%	0.75%	0.97%	0.71%	0.00%	0.00%	1.39%	2.26%	1.09%	0.75%	0.37%	0.96%	1.10%	0.87%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	100	1	2	0	2	20	1	1	1	2	3	1	4	1	0	1	3	0	0	3	1	1	1	0	2	3	1	0	3	3	2	1	2	2	2	3	2	4	0	2	2	0	1	1	0	0	0	0	2	2	2	1	1	3	2	2	0	0	0									
		0.27%	0.09%	0.38%	0.00%	0.40%	2.27%	0.12%	0.14%	0.14%	0.27%	0.40%	0.09%	0.33%	0.22%	0.00%	0.24%	0.51%	0.00%	0.00%	0.39%	0.17%	0.41%	0.26%	0.00%	0.22%	0.37%	0.30%	0.00%	0.44%	0.28%	0.21%	0.16%	0.36%	0.30%	0.29%	0.33%	0.27%	0.45%	0.00%	0.39%	0.29%	0.00%	0.18%	0.13%	0.00%	0.00%	0.00%	0.00%	0.31%	0.30%	0.36%	0.13%	0.37%	0.36%	0.28%	0.29%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	864	28	12	42	18	9	25	19	15	22	27	40	39	12	23	11	19	9	6	10	5	1	3	0	12	23	9	13	17	37	30	12	23	10	12	14	16	24	28	13	23	13	21	25	10	8	1	2	3	5	5	1	0	23	22	12	1	0	1									
		2.33%	2.66%	2.26%	3.96%	3.58%	1.02%	3.03%	2.71%	2.03%	3.02%	3.61%	3.76%	3.25%	2.63%	2.32%	2.60%	3.25%	1.69%	0.88%	1.31%	0.86%	0.41%	0.77%	0.00%	1.33%	2.85%	2.74%	2.95%	2.52%	3.40%	3.12%	1.93%	4.09%	1.52%	1.75%	1.55%	2.16%	2.70%	3.56%	2.51%	3.36%	2.21%	3.73%	3.13%	1.08%	2.86%	0.34%	1.41%	0.46%	0.75%	0.91%	0.13%	0.00%	2.76%	3.03%	1.75%	0.69%	0.00%	2.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5071	159	68	109	61	130	124	110	109	102	90	150	132	66	139	68	112	69	91	104	64	15	39	35	153	122	54	51	87	186	145	82	82	80	129	100	80	130	101	59	97	93	94	124	129	37	59	13	85	105	105	67	15	93	51	83	26	5	3									
		13.66%	15.10%	12.83%	10.27%	12.13%	14.74%	15.01%	15.69%	14.77%	13.99%	12.05%	14.08%	11.00%	14.47%	14.03%	16.08%	19.18%	12.97%	13.34%	13.58%	11.02%	6.17%	9.97%	17.77%	17.00%	15.10%	16.46%	11.59%	12.89%	17.10%	15.07%	13.18%	14.56%	12.14%	18.78%	11.09%	10.78%	14.62%	12.85%	11.39%	14.18%	15.84%	16.70%	15.52%	13.96%	13.21%	20.21%	9.15%	13.10%	15.79%	19.16%	8.39%	5.54%	11.16%	7.02%	12.10%	17.93%	16.67%	7.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	244	10	3	5	6	6	5	3	6	2	5	3	10	6	6	0	1	7	6	4	2	0	1	1	10	2	2	3	2	6	4	9	5	2	3	13	5	4	7	5	4	4	4	3	10	2	1	0	7	5	4	3	1	7	4	4	0	1	0									
		0.66%	0.95%	0.57%	0.47%	1.19%	0.68%	0.61%	0.43%	0.81%	0.27%	0.67%	0.28%	0.83%	1.32%	0.61%	0.00%	0.17%	1.32%	0.88%	0.52%	0.34%	0.00%	0.26%	0.51%	1.11%	0.25%	0.61%	0.68%	0.30%	0.55%	0.42%	1.45%	0.89%	0.30%	0.44%	1.44%	0.67%	0.45%	0.89%	0.97%	0.58%	0.68%	0.71%	0.38%	1.08%	0.71%	0.34%	0.00%	1.08%	0.75%	0.73%	0.38%	0.37%	0.84%	0.55%	0.58%	0.00%	3.33%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3660	108	65	62	42	123	88	67	96	82	101	96	126	46	89	39	44	29	63	68	56	16	10	6	84	55	44	37	88	126	109	80	49	101	78	79	54	111	78	65	104	86	78	114	60	27	35	1	70	92	65	17	12	45	38	39	9	4	4									
		9.86%	10.26%	12.26%	5.84%	8.35%	13.95%	10.65%	9.56%	13.01%	11.25%	13.52%	9.01%	10.50%	10.09%	8.98%	9.22%	7.53%	5.45%	9.24%	8.88%	9.64%	6.58%	2.56%	3.05%	9.33%	6.81%	13.41%	8.41%	13.04%	11.58%	11.33%	12.86%	8.70%	15.33%	11.35%	8.76%	7.28%	12.49%	9.92%	12.55%	15.20%	14.65%	13.85%	14.27%	6.49%	9.64%	11.99%	0.70%	10.79%	13.83%	11.86%	2.13%	4.43%	5.40%	5.23%	5.69%	6.21%	13.33%	10.00%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
