Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Петровск-Забайкальская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	3	3	3	6	6	4	3	3	3	3	3	3	7	6	3	2	5	5	7	7	3	3	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	0	0	0	3	0	4	0	3	0	0	0	0	1	3	0	0	0	3	0	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	1	0	1	0	0	1					
14	Число погашенных открепительных удостоверений	77	3	3	3	3	6	0	3	0	3	3	3	3	6	3	3	2	5	2	7	7	3	3	3					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	118	0	2	3	10	9	6	2	5	5	1	2	7	10	10	0	2	12	6	7	2	3	5	9					
		1.54%	0.0%	2.73%	2.70%	1.56%	1.73%	1.59%	1.80%	1.55%	4.27%	1.58%	1.37%	2.49%	1.55%	1.64%	0.0%	2.94%	2.94%	1.08%	1.03%	0.39%	2.36%	1.79%	1.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	71	8	1	2	1	2	8	1	4	0	0	1	0	3	3	0	2	6	9	2	2	4	4	8					
		0.93%	3.26%	1.36%	1.80%	0.15%	0.38%	2.12%	0.90%	1.24%	0.0%	0.0%	0.68%	0.0%	0.46%	0.49%	0.0%	2.94%	1.47%	1.62%	0.29%	0.39%	3.14%	1.43%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	315	5	4	4	27	21	2	4	8	1	1	9	12	26	21	3	1	17	31	46	22	3	10	37					
		4.13%	2.04%	5.47%	3.60%	4.23%	4.05%	0.53%	3.60%	2.48%	0.85%	1.58%	6.20%	4.28%	4.04%	3.45%	2.12%	1.47%	4.17%	5.59%	6.82%	4.38%	2.36%	3.58%	6.00%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	93	1	1	0	2	4	4	1	2	3	0	1	7	9	10	4	0	4	15	7	4	2	2	10					
		1.22%	0.40%	1.36%	0.0%	0.31%	0.77%	1.06%	0.90%	0.62%	2.56%	0.0%	0.68%	2.49%	1.40%	1.64%	2.83%	0.0%	0.98%	2.70%	1.03%	0.79%	1.57%	0.71%	1.62%					
22	"5. ""За Русь Святую"""	28	0	0	1	2	2	0	0	0	0	1	0	1	5	1	1	0	4	2	2	3	0	1	2					
		0.36%	0.0%	0.0%	0.90%	0.31%	0.38%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.35%	0.77%	0.16%	0.70%	0.0%	0.98%	0.36%	0.29%	0.59%	0.0%	0.35%	0.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	0	0	0	0	1	0	2	1	0	0	0	0	2	4	0	0	0	5	0	0	0	0	2					
		0.22%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	1.80%	0.31%	0.0%	0.0%	0.0%	0.0%	0.31%	0.65%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.32%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	4	0	0	3	2	2	0	0	0	1	1	0	0	5	0	0	2	0	1	0	1	0	0					
		0.28%	1.63%	0.0%	0.0%	0.47%	0.38%	0.53%	0.0%	0.0%	0.0%	1.58%	0.68%	0.0%	0.0%	0.82%	0.0%	0.0%	0.49%	0.0%	0.14%	0.0%	0.78%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	1	0	0	2	0	1	0	0	0	0	1	1	0	0	0	3	1	0	0	0	0					
		0.13%	0.0%	0.0%	0.90%	0.0%	0.0%	0.53%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.15%	0.16%	0.0%	0.0%	0.0%	0.54%	0.14%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	0	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0					
		0.10%	0.40%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.46%	0.16%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	583	66	0	15	61	32	69	22	10	8	2	10	54	26	23	0	6	33	35	30	18	12	10	41					
		7.65%	26.93%	0.0%	13.51%	9.56%	6.17%	18.30%	19.81%	3.10%	6.83%	3.17%	6.89%	19.28%	4.04%	3.78%	0.0%	8.82%	8.10%	6.31%	4.45%	3.58%	9.44%	3.58%	6.65%					
28	"11. ""Истинные патриоты России"""	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0					
		0.10%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.39%	0.78%	0.71%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	92	3	2	5	8	5	12	3	4	0	0	0	3	9	3	0	0	3	3	7	13	0	5	4					
		1.20%	1.22%	2.73%	4.50%	1.25%	0.96%	3.18%	2.70%	1.24%	0.0%	0.0%	0.0%	1.07%	1.40%	0.49%	0.0%	0.0%	0.73%	0.54%	1.03%	2.58%	0.0%	1.79%	0.64%					
30	"13. ""Демократическая партия России"""	28	0	1	0	3	1	2	1	1	0	1	1	0	5	3	0	0	2	1	1	0	0	4	1					
		0.36%	0.0%	1.36%	0.0%	0.47%	0.19%	0.53%	0.90%	0.31%	0.0%	1.58%	0.68%	0.0%	0.77%	0.49%	0.0%	0.0%	0.49%	0.18%	0.14%	0.0%	0.0%	1.43%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	0	1	0	1	2	0	0	2	0	0	1	0	0	2	0	0	0	1	0	1	0	0	3					
		0.18%	0.0%	1.36%	0.0%	0.15%	0.38%	0.0%	0.0%	0.62%	0.0%	0.0%	0.68%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.18%	0.0%	0.19%	0.0%	0.0%	0.48%					
32	"15. ""Партия СЛОН"""	18	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	1	3	3	0	2	2					
		0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.24%	0.18%	0.44%	0.59%	0.0%	0.71%	0.32%					
33	"16. ""Родина"" (народно-патриотический союз)"""	300	3	2	6	23	20	7	12	14	1	4	4	14	22	15	10	0	9	29	40	26	2	10	27					
		3.93%	1.22%	2.73%	5.40%	3.60%	3.86%	1.85%	10.81%	4.34%	0.85%	6.34%	2.75%	4.99%	3.42%	2.46%	7.09%	0.0%	2.21%	5.23%	5.93%	5.17%	1.57%	3.58%	4.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	24	0	1	0	2	0	0	1	4	2	0	0	0	1	3	0	1	4	1	0	0	1	0	3					
		0.31%	0.0%	1.36%	0.0%	0.31%	0.0%	0.0%	0.90%	1.24%	1.70%	0.0%	0.0%	0.0%	0.15%	0.49%	0.0%	1.47%	0.98%	0.18%	0.0%	0.0%	0.78%	0.0%	0.48%					
35	"18. ""ЛДПР"""	1310	43	11	15	74	67	10	20	66	25	18	17	50	130	116	31	0	77	76	124	108	7	73	152					
		17.19%	17.55%	15.06%	13.51%	11.59%	12.93%	2.65%	18.01%	20.49%	21.36%	28.57%	11.72%	17.85%	20.24%	19.07%	21.98%	0.0%	18.91%	13.71%	18.39%	21.51%	5.51%	26.16%	24.67%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	181	5	4	3	24	21	4	1	8	2	1	1	11	16	16	2	0	6	7	15	13	1	9	11					
		2.37%	2.04%	5.47%	2.70%	3.76%	4.05%	1.06%	0.90%	2.48%	1.70%	1.58%	0.68%	3.92%	2.49%	2.63%	1.41%	0.0%	1.47%	1.26%	2.22%	2.58%	0.78%	3.22%	1.78%					
37	"20. ""Политическая партия ""Единая Россия"""	2709	86	17	40	235	201	184	27	137	51	16	61	69	202	246	74	34	147	202	179	130	67	109	195					
		35.56%	35.10%	23.28%	36.03%	36.83%	38.80%	48.80%	24.32%	42.54%	43.58%	25.39%	42.06%	24.64%	31.46%	40.46%	52.48%	49.99%	36.11%	36.46%	26.55%	25.89%	52.75%	39.06%	31.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	0	1	1	2	1	0	0	0	0	0	0	0	1	2	0	0	0	2	0	1	0	1	0					
		0.15%	0.0%	1.36%	0.90%	0.31%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.32%	0.0%	0.0%	0.0%	0.36%	0.0%	0.19%	0.0%	0.35%	0.0%					
39	"22. ""Развитие предпринимательства"""	24	3	0	0	3	2	0	0	0	0	0	0	0	1	3	0	0	2	0	0	4	2	0	4					
		0.31%	1.22%	0.0%	0.0%	0.47%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.49%	0.0%	0.0%	0.49%	0.0%	0.0%	0.79%	1.57%	0.0%	0.64%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1328	13	24	13	113	104	55	14	48	18	12	29	38	136	95	11	21	65	98	182	125	19	23	72					
		17.43%	5.30%	32.87%	11.71%	17.71%	20.07%	14.58%	12.61%	14.90%	15.38%	19.04%	20.0%	13.57%	21.18%	15.62%	7.80%	30.88%	15.97%	17.68%	27.00%	24.90%	14.96%	8.24%	11.68%					
																														
41	Против всех	191	0	0	2	23	12	4	0	4	1	2	6	3	20	16	5	1	11	22	17	14	1	4	23					
		2.50%	0.0%	0.0%	1.80%	3.60%	2.31%	1.06%	0.0%	1.24%	0.85%	3.17%	4.13%	1.07%	3.11%	2.63%	3.54%	1.47%	2.70%	3.97%	2.52%	2.78%	0.78%	1.43%	3.73%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
