Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Щелковская																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1895	25	25	40	15	25	25	20	25	30	20	25	25	25	10	25	20	20	20	20	20	20	25	25	20	30	25	20	15	25	30	10	10	5	35	40	45	45	30	30	45	30	25	30	70	40	55	55	55	35	20	20	15	25	25	15	25	20	25	20	10	20	20	15	10	10	10	20	10	10	20	25	10	15	5	10	10	10	5	5	10	25	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1028	22	12	31	5	6	14	3	6	7	9	13	8	11	3	7	5	7	5	16	16	19	10	6	9	10	7	1	8	18	7	1	3	1	25	35	44	36	30	27	27	24	22	25	55	39	36	35	38	22	17	12	10	6	7	4	12	13	21	10	0	8	10	2	1	5	0	4	1	2	8	22	1	7	0	2	0	1	1	0	2	8	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	659	4	12	4	5	4	5	8	9	7	4	5	10	6	6	6	7	5	2	6	9	7	4	9	6	11	7	6	5	10	7	9	3	3	9	13	11	9	9	12	10	1	13	13	21	7	10	8	21	11	0	5	13	7	10	7	2	3	0	5	6	6	5	81	5	3	7	8	4	9	4	8	7	10	7	5	3	20	7	2	4	3	3	1					
14	Число погашенных открепительных удостоверений	867	3	13	9	10	19	11	17	19	23	11	12	17	14	7	18	15	13	15	4	4	1	15	19	11	20	18	19	7	7	23	9	7	4	10	5	1	9	0	3	18	6	3	5	15	1	19	20	17	13	3	8	5	19	18	11	13	7	4	10	10	12	10	13	9	5	10	16	9	8	12	3	9	8	5	8	10	9	4	5	8	17	5	5					
15	Число открепительных удостоверений выданных ТИК	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	30	0	0	0	22	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0					
16	Число утраченных бюллетеней	35	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																										
18	"1. ""ЕДИНЕНИЕ"""	644	11	5	29	7	14	6	11	4	3	23	4	11	16	3	7	4	8	2	3	9	6	7	7	4	6	8	14	9	13	10	4	3	0	8	13	1	14	5	9	10	10	8	5	6	13	7	11	9	15	12	15	4	4	11	13	22	8	8	10	4	2	4	8	6	3	4	9	1	2	11	14	9	5	4	1	4	3	3	5	4	10	4	2					
		0.85%	0.95%	0.37%	1.85%	1.15%	1.34%	0.50%	1.39%	0.35%	0.22%	2.43%	0.36%	1.16%	1.41%	0.93%	0.64%	0.45%	0.95%	0.27%	0.38%	0.99%	0.67%	0.74%	0.54%	0.42%	0.42%	0.78%	1.99%	1.16%	1.08%	0.80%	1.45%	1.14%	0.0%	0.73%	0.97%	0.07%	0.71%	0.31%	0.64%	0.75%	0.73%	0.56%	0.37%	0.44%	0.80%	0.45%	0.76%	0.63%	0.99%	1.08%	1.49%	0.51%	0.40%	0.92%	2.06%	2.33%	0.89%	0.90%	1.57%	1.0%	0.21%	0.44%	1.12%	1.2%	1.40%	1.82%	1.12%	0.33%	0.44%	1.39%	0.92%	4.24%	0.72%	2.16%	0.36%	1.43%	1.06%	1.19%	2.38%	0.96%	1.05%	1.86%	0.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3225	55	64	84	34	52	44	31	74	85	39	47	31	39	11	63	47	51	30	47	63	36	51	60	32	88	44	35	29	63	35	12	8	9	49	88	73	97	79	83	68	42	76	63	76	81	69	82	64	35	42	42	28	34	31	21	17	20	23	14	18	29	33	22	11	2	5	24	4	19	23	52	8	22	1	1	2	10	2	2	7	18	10	10					
		4.30%	4.78%	4.80%	5.37%	5.61%	4.98%	3.73%	3.93%	6.56%	6.39%	4.13%	4.24%	3.27%	3.44%	3.43%	5.77%	5.37%	6.11%	4.11%	6.04%	6.93%	4.05%	5.39%	4.67%	3.41%	6.19%	4.32%	4.98%	3.75%	5.24%	2.81%	4.37%	3.05%	7.75%	4.52%	6.62%	5.12%	4.93%	5.04%	5.90%	5.12%	3.07%	5.36%	4.74%	5.65%	5.00%	4.47%	5.69%	4.50%	2.31%	3.81%	4.17%	3.60%	3.46%	2.60%	3.32%	1.80%	2.22%	2.60%	2.21%	4.5%	3.09%	3.66%	3.08%	2.2%	0.93%	2.28%	2.99%	1.34%	4.22%	2.91%	3.43%	3.77%	3.17%	0.54%	0.36%	0.71%	3.53%	0.79%	0.95%	1.68%	1.90%	4.67%	3.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2043	39	28	19	12	34	33	19	49	48	44	50	33	36	8	18	22	35	19	26	15	25	34	34	27	37	25	30	25	33	45	19	11	3	32	13	22	53	34	35	37	32	25	32	45	27	34	29	33	22	40	27	23	18	36	33	29	33	24	29	7	21	36	19	21	5	7	14	15	19	20	32	4	11	7	6	6	8	7	6	16	19	5	0					
		2.72%	3.39%	2.10%	1.21%	1.98%	3.25%	2.80%	2.41%	4.34%	3.61%	4.66%	4.51%	3.48%	3.17%	2.5%	1.65%	2.51%	4.19%	2.60%	3.34%	1.65%	2.81%	3.59%	2.64%	2.87%	2.60%	2.45%	4.27%	3.23%	2.74%	3.61%	6.93%	4.19%	2.58%	2.95%	0.97%	1.54%	2.69%	2.17%	2.48%	2.78%	2.34%	1.76%	2.41%	3.35%	1.66%	2.20%	2.01%	2.32%	1.45%	3.63%	2.68%	2.96%	1.83%	3.02%	5.22%	3.07%	3.67%	2.71%	4.58%	1.75%	2.24%	4.0%	2.66%	4.2%	2.33%	3.19%	1.74%	5.03%	4.22%	2.53%	2.11%	1.88%	1.58%	3.78%	2.17%	2.15%	2.82%	2.77%	2.85%	3.84%	2.00%	2.33%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4657	64	83	73	34	55	88	52	64	92	51	55	52	68	13	53	63	72	44	70	84	81	60	81	77	128	74	27	48	92	51	23	10	1	108	113	116	118	108	123	109	92	87	83	110	136	78	100	112	90	68	42	44	61	53	18	24	30	19	19	19	75	72	49	24	7	12	44	5	31	46	67	5	21	3	8	17	26	4	9	15	33	13	8					
		6.21%	5.56%	6.23%	4.66%	5.61%	5.26%	7.47%	6.59%	5.67%	6.92%	5.40%	4.96%	5.48%	6.00%	4.06%	4.86%	7.20%	8.63%	6.03%	9.00%	9.25%	9.12%	6.34%	6.30%	8.20%	9.01%	7.26%	3.84%	6.20%	7.66%	4.09%	8.39%	3.81%	0.86%	9.98%	8.50%	8.14%	5.99%	6.89%	8.74%	8.21%	6.74%	6.13%	6.25%	8.19%	8.41%	5.05%	6.94%	7.87%	5.96%	6.17%	4.17%	5.67%	6.21%	4.44%	2.85%	2.54%	3.34%	2.15%	3.00%	4.75%	8.00%	8.0%	6.88%	4.8%	3.27%	5.47%	5.49%	1.67%	6.88%	5.83%	4.43%	2.35%	3.03%	1.62%	2.89%	6.09%	9.18%	1.58%	4.28%	3.60%	3.48%	6.07%	2.96%					
22	"5. ""За Русь Святую"""	385	1	10	2	2	7	5	2	3	5	4	10	4	2	4	5	3	4	5	5	6	2	5	7	4	2	6	5	8	3	3	0	0	1	4	3	5	13	1	8	6	12	7	6	4	6	5	3	5	2	8	9	9	12	7	4	17	11	7	6	1	6	3	4	2	0	2	2	3	4	4	14	4	6	3	2	2	0	1	2	1	3	0	1					
		0.51%	0.08%	0.75%	0.12%	0.33%	0.67%	0.42%	0.25%	0.26%	0.37%	0.42%	0.90%	0.42%	0.17%	1.25%	0.45%	0.34%	0.47%	0.68%	0.64%	0.66%	0.22%	0.52%	0.54%	0.42%	0.14%	0.58%	0.71%	1.03%	0.24%	0.24%	0.0%	0.0%	0.86%	0.36%	0.22%	0.35%	0.66%	0.06%	0.56%	0.45%	0.87%	0.49%	0.45%	0.29%	0.37%	0.32%	0.20%	0.35%	0.13%	0.72%	0.89%	1.15%	1.22%	0.58%	0.63%	1.80%	1.22%	0.79%	0.94%	0.25%	0.64%	0.33%	0.56%	0.4%	0.0%	0.91%	0.24%	1.00%	0.88%	0.50%	0.92%	1.88%	0.86%	1.62%	0.72%	0.71%	0.0%	0.39%	0.95%	0.24%	0.31%	0.0%	0.37%					
23	"6. ""Объединенная Российская партия ""Русь"""	189	2	3	5	0	3	3	1	1	1	2	3	3	2	1	0	0	4	2	4	3	0	4	4	0	4	1	2	2	5	3	0	0	0	4	2	2	6	3	3	3	3	2	3	2	3	8	6	8	1	6	3	0	0	7	2	3	2	5	0	2	2	8	0	2	0	2	1	0	4	1	3	0	3	0	0	1	1	0	2	1	0	0	1					
		0.25%	0.17%	0.22%	0.31%	0.0%	0.28%	0.25%	0.12%	0.08%	0.07%	0.21%	0.27%	0.31%	0.17%	0.31%	0.0%	0.0%	0.47%	0.27%	0.51%	0.33%	0.0%	0.42%	0.31%	0.0%	0.28%	0.09%	0.28%	0.25%	0.41%	0.24%	0.0%	0.0%	0.0%	0.36%	0.15%	0.14%	0.30%	0.19%	0.21%	0.22%	0.21%	0.14%	0.22%	0.14%	0.18%	0.51%	0.41%	0.56%	0.06%	0.54%	0.29%	0.0%	0.0%	0.58%	0.31%	0.31%	0.22%	0.56%	0.0%	0.5%	0.21%	0.88%	0.0%	0.4%	0.0%	0.91%	0.12%	0.0%	0.88%	0.12%	0.19%	0.0%	0.43%	0.0%	0.0%	0.35%	0.35%	0.0%	0.95%	0.24%	0.0%	0.0%	0.37%					
24	"7. ""Новый курс - Автомобильная Россия"""	1071	20	18	43	10	6	22	7	18	15	14	9	12	16	7	20	6	15	9	4	6	10	10	12	12	16	17	13	12	19	13	2	2	1	16	23	23	35	39	17	19	14	17	13	27	43	21	30	21	15	16	19	13	17	20	8	8	11	9	9	7	13	12	15	5	2	2	12	6	5	8	16	3	11	0	2	1	3	0	2	5	13	4	5					
		1.42%	1.73%	1.35%	2.74%	1.65%	0.57%	1.86%	0.88%	1.59%	1.12%	1.48%	0.81%	1.26%	1.41%	2.18%	1.83%	0.68%	1.79%	1.23%	0.51%	0.66%	1.12%	1.05%	0.93%	1.27%	1.12%	1.66%	1.85%	1.55%	1.58%	1.04%	0.72%	0.76%	0.86%	1.47%	1.73%	1.61%	1.77%	2.49%	1.20%	1.43%	1.02%	1.19%	0.97%	2.01%	2.65%	1.36%	2.08%	1.47%	0.99%	1.45%	1.88%	1.67%	1.73%	1.67%	1.26%	0.84%	1.22%	1.01%	1.42%	1.75%	1.38%	1.33%	2.10%	1.0%	0.93%	0.91%	1.49%	2.01%	1.11%	1.01%	1.05%	1.41%	1.58%	0.0%	0.72%	0.35%	1.06%	0.0%	0.95%	1.20%	1.37%	1.86%	1.85%					
25	"8. ""Народно-республиканская партия России"""	95	0	1	2	0	1	0	0	2	1	4	0	0	0	0	2	3	3	0	0	2	2	0	0	2	0	0	3	0	1	0	1	0	0	0	2	0	3	1	1	2	3	2	1	0	1	2	0	0	1	1	3	1	3	0	1	1	1	5	1	0	6	1	1	1	3	1	4	1	0	2	1	0	3	0	0	0	3	0	0	1	1	0	0					
		0.12%	0.0%	0.07%	0.12%	0.0%	0.09%	0.0%	0.0%	0.17%	0.07%	0.42%	0.0%	0.0%	0.0%	0.0%	0.18%	0.34%	0.35%	0.0%	0.0%	0.22%	0.22%	0.0%	0.0%	0.21%	0.0%	0.0%	0.42%	0.0%	0.08%	0.0%	0.36%	0.0%	0.0%	0.0%	0.15%	0.0%	0.15%	0.06%	0.07%	0.15%	0.21%	0.14%	0.07%	0.0%	0.06%	0.12%	0.0%	0.0%	0.06%	0.09%	0.29%	0.12%	0.30%	0.0%	0.15%	0.10%	0.11%	0.56%	0.15%	0.0%	0.64%	0.11%	0.14%	0.2%	1.40%	0.45%	0.49%	0.33%	0.0%	0.25%	0.06%	0.0%	0.43%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	0.24%	0.10%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	406	6	13	23	3	5	6	5	3	4	3	1	5	6	1	4	5	1	6	4	3	2	3	7	3	6	7	1	3	2	7	1	0	0	6	3	8	18	8	12	8	8	7	16	9	15	13	10	14	7	10	6	2	3	5	5	4	5	1	6	2	7	5	7	3	0	0	2	0	0	2	6	1	0	0	0	2	1	1	1	2	4	2	0					
		0.54%	0.52%	0.97%	1.47%	0.49%	0.47%	0.50%	0.63%	0.26%	0.30%	0.31%	0.09%	0.52%	0.52%	0.31%	0.36%	0.57%	0.11%	0.82%	0.51%	0.33%	0.22%	0.31%	0.54%	0.31%	0.42%	0.68%	0.14%	0.38%	0.16%	0.56%	0.36%	0.0%	0.0%	0.55%	0.22%	0.56%	0.91%	0.51%	0.85%	0.60%	0.58%	0.49%	1.20%	0.67%	0.92%	0.84%	0.69%	0.98%	0.46%	0.90%	0.59%	0.25%	0.30%	0.41%	0.79%	0.42%	0.55%	0.11%	0.94%	0.5%	0.74%	0.55%	0.98%	0.6%	0.0%	0.0%	0.24%	0.0%	0.0%	0.25%	0.39%	0.47%	0.0%	0.0%	0.0%	0.71%	0.35%	0.39%	0.47%	0.48%	0.42%	0.93%	0.0%					
27	"10. ""Аграрная партия России"""	1750	18	26	14	22	17	39	27	26	27	25	19	22	18	13	34	12	20	9	19	28	23	12	30	25	27	26	19	15	25	40	9	9	6	14	20	35	36	32	33	28	26	32	12	27	21	32	23	20	30	29	10	23	21	25	23	32	19	29	35	8	26	26	25	15	4	8	30	15	15	27	15	11	28	7	11	11	13	9	15	13	35	12	3					
		2.33%	1.56%	1.95%	0.89%	3.63%	1.62%	3.31%	3.42%	2.30%	2.03%	2.65%	1.71%	2.32%	1.58%	4.06%	3.11%	1.37%	2.39%	1.23%	2.44%	3.08%	2.59%	1.26%	2.33%	2.66%	1.90%	2.55%	2.70%	1.94%	2.08%	3.21%	3.28%	3.43%	5.17%	1.29%	1.50%	2.45%	1.83%	2.04%	2.34%	2.11%	1.90%	2.25%	0.90%	2.01%	1.29%	2.07%	1.59%	1.40%	1.98%	2.63%	0.99%	2.96%	2.14%	2.09%	3.64%	3.39%	2.11%	3.28%	5.52%	2.0%	2.77%	2.88%	3.51%	3.0%	1.86%	3.65%	3.74%	5.03%	3.33%	3.42%	0.99%	5.18%	4.04%	3.78%	3.98%	3.94%	4.59%	3.57%	7.14%	3.12%	3.69%	5.60%	1.11%					
28	"11. ""Истинные патриоты России"""	49	1	0	2	1	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	1	1	1	2	0	2	1	1	1	0	0	0	1	0	1	2	0	1	1	1	1	0	0	0	1	0	0	2	1	0	2	0	1	2	0	3	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1					
		0.06%	0.08%	0.0%	0.12%	0.16%	0.0%	0.0%	0.12%	0.0%	0.07%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.11%	0.11%	0.10%	0.15%	0.0%	0.14%	0.09%	0.14%	0.12%	0.0%	0.0%	0.0%	0.38%	0.0%	0.09%	0.15%	0.0%	0.05%	0.06%	0.07%	0.07%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.13%	0.07%	0.0%	0.18%	0.0%	0.12%	0.20%	0.0%	0.47%	0.10%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.33%	0.0%	0.0%	0.06%	0.47%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.37%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1064	18	17	14	5	6	16	6	19	24	17	9	10	20	5	20	11	12	8	13	15	13	8	23	9	21	7	15	11	15	16	3	3	2	20	16	22	15	22	15	27	22	19	21	20	24	26	16	20	29	16	21	13	16	16	16	11	14	13	2	1	20	13	7	7	4	4	10	7	6	7	22	2	9	5	5	1	12	6	4	7	12	1	9					
		1.41%	1.56%	1.27%	0.89%	0.82%	0.57%	1.35%	0.76%	1.68%	1.80%	1.80%	0.81%	1.05%	1.76%	1.56%	1.83%	1.25%	1.43%	1.09%	1.67%	1.65%	1.46%	0.84%	1.79%	0.95%	1.47%	0.68%	2.13%	1.42%	1.24%	1.28%	1.09%	1.14%	1.72%	1.84%	1.20%	1.54%	0.76%	1.40%	1.06%	2.03%	1.61%	1.34%	1.58%	1.48%	1.48%	1.68%	1.11%	1.40%	1.92%	1.45%	2.08%	1.67%	1.63%	1.34%	2.53%	1.16%	1.55%	1.47%	0.31%	0.25%	2.13%	1.44%	0.98%	1.4%	1.86%	1.82%	1.24%	2.34%	1.33%	0.88%	1.45%	0.94%	1.30%	2.70%	1.81%	0.35%	4.24%	2.38%	1.90%	1.68%	1.26%	0.46%	3.33%					
30	"13. ""Демократическая партия России"""	148	1	2	4	2	2	1	2	3	3	0	1	2	2	1	3	1	2	1	2	2	2	0	2	2	2	2	0	2	2	2	0	2	0	1	3	4	1	2	3	0	5	1	3	1	2	0	0	0	2	5	3	3	1	3	2	4	2	1	1	2	3	2	0	3	2	1	2	1	2	2	4	0	3	0	3	3	0	0	4	0	2	1	0					
		0.19%	0.08%	0.15%	0.25%	0.33%	0.19%	0.08%	0.25%	0.26%	0.22%	0.0%	0.09%	0.21%	0.17%	0.31%	0.27%	0.11%	0.23%	0.13%	0.25%	0.22%	0.22%	0.0%	0.15%	0.21%	0.14%	0.19%	0.0%	0.25%	0.16%	0.16%	0.0%	0.76%	0.0%	0.09%	0.22%	0.28%	0.05%	0.12%	0.21%	0.0%	0.36%	0.07%	0.22%	0.07%	0.12%	0.0%	0.0%	0.0%	0.13%	0.45%	0.29%	0.38%	0.10%	0.25%	0.31%	0.42%	0.22%	0.11%	0.15%	0.5%	0.32%	0.22%	0.0%	0.6%	0.93%	0.45%	0.24%	0.33%	0.44%	0.25%	0.26%	0.0%	0.43%	0.0%	1.08%	1.07%	0.0%	0.0%	1.90%	0.0%	0.21%	0.46%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	143	4	3	2	0	1	2	2	3	3	3	2	0	5	0	0	0	0	4	2	3	0	0	1	0	5	2	1	0	2	0	0	0	0	0	2	1	5	2	0	2	1	0	0	0	1	3	3	2	1	16	5	6	3	2	2	1	3	2	0	0	2	3	1	2	0	0	5	1	0	0	4	0	0	1	2	0	1	3	0	1	3	1	0					
		0.19%	0.34%	0.22%	0.12%	0.0%	0.09%	0.16%	0.25%	0.26%	0.22%	0.31%	0.18%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.54%	0.25%	0.33%	0.0%	0.0%	0.07%	0.0%	0.35%	0.19%	0.14%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.07%	0.25%	0.12%	0.0%	0.15%	0.07%	0.0%	0.0%	0.0%	0.06%	0.19%	0.20%	0.14%	0.06%	1.45%	0.49%	0.77%	0.30%	0.16%	0.31%	0.10%	0.33%	0.22%	0.0%	0.0%	0.21%	0.33%	0.14%	0.4%	0.0%	0.0%	0.62%	0.33%	0.0%	0.0%	0.26%	0.0%	0.0%	0.54%	0.72%	0.0%	0.35%	1.19%	0.0%	0.24%	0.31%	0.46%	0.0%					
32	"15. ""Партия СЛОН"""	240	7	5	11	0	5	4	2	4	6	2	2	4	5	1	4	3	7	0	4	1	2	2	5	3	3	2	3	2	3	5	0	1	0	1	7	4	0	9	4	2	2	2	6	2	6	6	4	6	3	2	4	1	2	2	0	4	4	4	1	0	5	1	4	0	1	1	2	0	0	2	6	0	4	1	4	0	3	0	1	3	3	0	3					
