Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    район Хорошево-Мневники																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3424	УИК №3777	УИК №3778	УИК №3779									
		3.03%	3.77%	3.97%	3.35%	3.74%	2.48%	1.61%	3.56%	2.38%	2.95%	4.57%	2.97%	1.97%	4.23%	2.62%	4.08%	2.65%	3.15%	3.27%	3.11%	3.29%	4.52%	2.51%	3.04%	1.23%	4.05%	3.31%	1.62%	1.77%	2.77%	2.66%	2.79%	3.02%	4.50%	3.61%	2.69%	2.77%	2.95%	1.36%	3.80%	3.07%	3.34%	3.29%	2.92%	2.01%	4.38%	1.16%	2.73%	1.66%	6.56%	4.48%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10783	254	203	347	240	231	294	156	224	244	257	232	216	212	273	200	253	249	238	221	221	189	213	231	278	222	193	250	254	224	256	183	259	229	264	143	218	216	145	232	230	229	247	236	240	154	54	33	226	19	151									
		31.91%	28.19%	25.99%	34.19%	34.48%	31.77%	33.87%	34.67%	29.63%	31.32%	36.71%	38.28%	32.78%	33.23%	37.66%	30.26%	37.26%	35.62%	31.15%	29.86%	29.04%	29.44%	29.67%	33.48%	31.03%	26.46%	26.58%	33.74%	34.60%	26.96%	30.92%	31.88%	35.53%	33.24%	34.02%	27.45%	33.54%	31.86%	32.88%	31.52%	30.67%	31.89%	35.29%	32.87%	32.13%	26.97%	31.40%	30.00%	26.78%	31.15%	42.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	592	18	11	20	13	18	17	9	17	17	7	8	7	15	5	13	8	11	14	14	12	11	15	12	18	19	14	9	15	17	8	13	13	14	20	7	12	10	6	10	19	16	4	13	9	9	4	2	15	1	3									
		1.75%	1.99%	1.41%	1.97%	1.87%	2.48%	1.96%	2.00%	2.25%	2.18%	1.00%	1.32%	1.06%	2.35%	0.69%	1.97%	1.18%	1.57%	1.83%	1.89%	1.58%	1.71%	2.09%	1.74%	2.01%	2.26%	1.93%	1.21%	2.04%	2.05%	0.97%	2.26%	1.78%	2.03%	2.58%	1.34%	1.85%	1.47%	1.36%	1.36%	2.53%	2.23%	0.57%	1.81%	1.20%	1.58%	2.33%	1.82%	1.78%	1.64%	0.84%									
24	"6. Политическая партия ""Гражданская Платформа"""	120	1	3	6	1	1	2	1	3	3	0	2	2	1	4	4	4	8	1	1	1	5	3	3	2	1	2	0	2	1	7	1	3	5	3	2	2	4	4	0	5	0	2	3	5	3	0	1	1	0	1									
		0.36%	0.11%	0.38%	0.59%	0.14%	0.14%	0.23%	0.22%	0.40%	0.39%	0.00%	0.33%	0.30%	0.16%	0.55%	0.61%	0.59%	1.14%	0.13%	0.14%	0.13%	0.78%	0.42%	0.43%	0.22%	0.12%	0.28%	0.00%	0.27%	0.12%	0.85%	0.17%	0.41%	0.73%	0.39%	0.38%	0.31%	0.59%	0.91%	0.00%	0.67%	0.00%	0.29%	0.42%	0.67%	0.53%	0.00%	0.91%	0.12%	0.00%	0.28%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4316	96	108	125	102	111	112	65	78	87	107	71	92	68	109	93	73	64	65	83	104	79	79	104	90	92	84	83	110	95	80	66	90	83	95	52	74	87	51	70	86	113	75	79	95	58	14	13	338	10	58									
		12.77%	10.65%	13.83%	12.32%	14.66%	15.27%	12.90%	14.44%	10.32%	11.17%	15.29%	11.72%	13.96%	10.66%	15.03%	14.07%	10.75%	9.16%	8.51%	11.22%	13.67%	12.31%	11.00%	15.07%	10.04%	10.97%	11.57%	11.20%	14.99%	11.43%	9.66%	11.50%	12.35%	12.05%	12.24%	9.98%	11.38%	12.83%	11.56%	9.51%	11.47%	15.74%	10.71%	11.00%	12.72%	10.16%	8.14%	11.82%	40.05%	16.39%	16.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	787	30	16	21	18	11	26	2	18	30	13	10	14	14	12	10	21	20	15	24	24	12	25	23	19	22	21	19	6	18	17	15	15	15	10	14	17	15	9	12	21	18	12	18	24	17	5	4	14	1	0									
		2.33%	3.33%	2.05%	2.07%	2.59%	1.51%	2.99%	0.44%	2.38%	3.85%	1.86%	1.65%	2.12%	2.19%	1.66%	1.51%	3.09%	2.86%	1.96%	3.24%	3.15%	1.87%	3.48%	3.33%	2.12%	2.62%	2.89%	2.56%	0.82%	2.17%	2.05%	2.61%	2.06%	2.18%	1.29%	2.69%	2.62%	2.21%	2.04%	1.63%	2.80%	2.51%	1.71%	2.51%	3.21%	2.98%	2.91%	3.64%	1.66%	1.64%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1375	40	39	33	26	22	38	15	49	47	18	16	23	28	27	21	28	25	23	30	26	20	18	27	48	31	32	24	41	35	37	30	28	31	46	36	15	37	19	31	32	22	27	43	25	29	15	2	9	4	7									
		4.07%	4.44%	4.99%	3.25%	3.74%	3.03%	4.38%	3.33%	6.48%	6.03%	2.57%	2.64%	3.49%	4.39%	3.72%	3.18%	4.12%	3.58%	3.01%	4.05%	3.42%	3.12%	2.51%	3.91%	5.36%	3.69%	4.41%	3.24%	5.59%	4.21%	4.47%	5.23%	3.84%	4.50%	5.93%	6.91%	2.31%	5.46%	4.31%	4.21%	4.27%	3.06%	3.86%	5.99%	3.35%	5.08%	8.72%	1.82%	1.07%	6.56%	1.96%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	108	6	3	8	0	2	6	0	1	3	1	3	2	1	2	0	2	2	4	3	2	4	3	0	0	2	0	2	1	2	1	1	2	5	3	2	2	2	1	0	2	1	3	2	4	0	0	1	11	0	0									
		0.32%	0.67%	0.38%	0.79%	0.00%	0.28%	0.69%	0.00%	0.13%	0.39%	0.14%	0.50%	0.30%	0.16%	0.28%	0.00%	0.29%	0.29%	0.52%	0.41%	0.26%	0.62%	0.42%	0.00%	0.00%	0.24%	0.00%	0.27%	0.14%	0.24%	0.12%	0.17%	0.27%	0.73%	0.39%	0.38%	0.31%	0.29%	0.23%	0.00%	0.27%	0.14%	0.43%	0.28%	0.54%	0.00%	0.00%	0.91%	1.30%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4535	134	127	119	88	98	117	58	142	133	60	58	74	98	74	101	74	74	131	116	102	98	114	76	173	146	110	124	80	127	119	97	96	67	80	102	81	118	35	106	90	86	84	93	89	69	23	14	32	3	25									
		13.42%	14.87%	16.26%	11.72%	12.64%	13.48%	13.48%	12.89%	18.78%	17.07%	8.57%	9.57%	11.23%	15.36%	10.21%	15.28%	10.90%	10.59%	17.15%	15.68%	13.40%	15.26%	15.88%	11.01%	19.31%	17.40%	15.15%	16.73%	10.90%	15.28%	14.37%	16.90%	13.17%	9.72%	10.31%	19.58%	12.46%	17.40%	7.94%	14.40%	12.00%	11.98%	12.00%	12.95%	11.91%	12.08%	13.37%	12.73%	3.79%	4.92%	7.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4545	134	125	140	81	96	102	46	71	78	88	97	103	70	79	84	93	109	106	96	94	79	111	78	107	119	124	103	95	138	119	73	98	98	104	76	93	67	89	108	131	97	98	101	130	111	24	13	25	8	36									
		13.45%	14.87%	16.01%	13.79%	11.64%	13.20%	11.75%	10.22%	9.39%	10.01%	12.57%	16.01%	15.63%	10.97%	10.90%	12.71%	13.70%	15.59%	13.87%	12.97%	12.35%	12.31%	15.46%	11.30%	11.94%	14.18%	17.08%	13.90%	12.94%	16.61%	14.37%	12.72%	13.44%	14.22%	13.40%	14.59%	14.31%	9.88%	20.18%	14.67%	17.47%	13.51%	14.00%	14.07%	17.40%	19.44%	13.95%	11.82%	2.96%	13.11%	10.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	162	5	2	6	3	3	3	2	7	2	5	1	1	7	2	4	4	4	2	3	2	5	1	4	4	2	1	1	7	2	6	1	3	5	1	3	4	7	3	3	1	4	3	3	2	3	2	1	9	0	3									
		0.48%	0.55%	0.26%	0.59%	0.43%	0.41%	0.35%	0.44%	0.93%	0.26%	0.71%	0.17%	0.15%	1.10%	0.28%	0.61%	0.59%	0.57%	0.26%	0.41%	0.26%	0.78%	0.14%	0.58%	0.45%	0.24%	0.14%	0.13%	0.95%	0.24%	0.72%	0.17%	0.41%	0.73%	0.13%	0.58%	0.62%	1.03%	0.68%	0.41%	0.13%	0.56%	0.43%	0.42%	0.27%	0.53%	1.16%	0.91%	1.07%	0.00%	0.84%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2294	74	45	68	48	56	65	32	67	45	53	33	52	40	43	39	44	43	76	59	67	53	62	44	73	67	57	51	56	67	65	25	41	37	51	16	49	40	25	53	47	43	38	36	33	40	8	10	22	6	30									
		6.79%	8.21%	5.76%	6.70%	6.90%	7.70%	7.49%	7.11%	8.86%	5.78%	7.57%	5.45%	7.89%	6.27%	5.93%	5.90%	6.48%	6.15%	9.95%	7.97%	8.80%	8.26%	8.64%	6.38%	8.15%	7.99%	7.85%	6.88%	7.63%	8.06%	7.85%	4.36%	5.62%	5.37%	6.57%	3.07%	7.54%	5.90%	5.67%	7.20%	6.27%	5.99%	5.43%	5.01%	4.42%	7.01%	4.65%	9.09%	2.61%	9.84%	8.40%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
