Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Чекмагушевская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	735	30	10	10	10	10	10	20	20	10	10	10	10	20	5	5	5	5	15	5	10	30	15	10	15	10	30	20	10	15	30	5	10	5	40	40	5	5	20	5	5	5	30	5	5	20	20	5	15	20	5	10	10	5	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	735	30	10	10	10	10	10	20	20	10	10	10	10	20	5	5	5	5	15	5	10	30	15	10	15	10	30	20	10	15	30	5	10	5	40	40	5	5	20	5	5	5	30	5	5	20	20	5	15	20	5	10	10	5	15	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	3	1	1	1	0	6	0	0	0	1	0	0	1	0	2	0	1	1	1	3	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	2	3	1	0	0	0	0	0	1	0	3	4	0	3	2	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	4	7	2	1	5	2	5	2	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	206	10	3	7	3	25	6	0	1	7	7	11	6	2	0	1	3	7	19	4	2	3	2	0	6	5	4	0	2	0	2	0	0	4	2	8	0	0	0	1	0	0	10	2	5	9	2	0	0	7	0	1	4	1	2	0									
		0.95%	1.26%	0.36%	0.88%	0.44%	2.43%	1.52%	0.00%	0.20%	1.30%	1.13%	1.51%	2.42%	0.39%	0.00%	1.05%	1.28%	5.15%	5.52%	1.35%	0.99%	0.63%	1.11%	0.00%	1.40%	2.24%	0.65%	0.00%	1.08%	0.00%	0.34%	0.00%	0.00%	2.06%	0.31%	1.19%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	1.95%	0.79%	2.01%	2.02%	0.53%	0.00%	0.00%	1.38%	0.00%	0.22%	0.57%	0.30%	0.42%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	658	38	15	36	46	40	15	5	24	38	33	40	3	15	3	4	12	7	20	12	13	20	7	0	24	12	5	4	11	8	14	1	5	0	3	22	0	0	2	4	0	0	11	0	2	26	0	0	0	28	1	4	3	13	6	3									
		3.03%	4.80%	1.79%	4.51%	6.71%	3.89%	3.81%	0.47%	4.79%	7.05%	5.31%	5.49%	1.21%	2.91%	3.57%	4.21%	5.11%	5.15%	5.81%	4.05%	6.44%	4.21%	3.89%	0.00%	5.59%	5.38%	0.81%	2.34%	5.91%	5.26%	2.35%	0.72%	0.73%	0.00%	0.47%	3.28%	0.00%	0.00%	0.57%	3.33%	0.00%	0.00%	2.14%	0.00%	0.80%	5.84%	0.00%	0.00%	0.00%	5.52%	0.95%	0.89%	0.43%	3.87%	1.27%	1.81%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	347	25	14	26	14	23	13	0	20	15	11	31	6	15	1	2	2	3	1	4	11	4	0	2	3	0	5	3	3	0	8	0	0	0	5	19	0	0	0	1	0	0	8	2	5	7	4	0	5	9	1	3	4	6	3	0									
		1.60%	3.16%	1.67%	3.26%	2.04%	2.24%	3.30%	0.00%	3.99%	2.78%	1.77%	4.26%	2.42%	2.91%	1.19%	2.11%	0.85%	2.21%	0.29%	1.35%	5.45%	0.84%	0.00%	0.86%	0.70%	0.00%	0.81%	1.75%	1.61%	0.00%	1.34%	0.00%	0.00%	0.00%	0.78%	2.84%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	1.56%	0.79%	2.01%	1.57%	1.07%	0.00%	1.32%	1.78%	0.95%	0.67%	0.57%	1.79%	0.63%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13541	542	392	498	427	585	270	605	267	334	350	411	151	351	53	61	182	85	200	234	133	322	102	136	335	163	371	148	152	126	419	128	388	111	360	382	116	75	202	111	98	80	289	147	156	294	220	43	218	410	60	266	396	195	287	104									
		62.35%	68.52%	46.72%	62.41%	62.24%	56.96%	68.53%	57.02%	53.29%	61.97%	56.27%	56.46%	60.89%	68.02%	63.10%	64.21%	77.45%	62.50%	58.14%	79.05%	65.84%	67.79%	56.67%	58.62%	78.09%	73.09%	60.42%	86.55%	81.72%	82.89%	70.42%	92.75%	56.98%	57.22%	56.07%	57.01%	93.55%	56.82%	57.55%	92.50%	59.39%	97.56%	56.34%	58.33%	62.65%	66.07%	58.82%	60.56%	57.67%	80.87%	57.14%	58.98%	56.65%	58.04%	60.68%	62.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	175	29	14	12	8	27	2	0	7	13	2	4	6	6	0	0	1	0	2	5	0	0	1	2	7	0	1	1	2	1	2	0	0	0	1	5	0	0	0	0	0	0	0	0	2	4	2	0	0	3	0	1	1	1	0	0									
		0.81%	3.67%	1.67%	1.50%	1.17%	2.63%	0.51%	0.00%	1.40%	2.41%	0.32%	0.55%	2.42%	1.16%	0.00%	0.00%	0.43%	0.00%	0.58%	1.69%	0.00%	0.00%	0.56%	0.86%	1.63%	0.00%	0.16%	0.58%	1.08%	0.66%	0.34%	0.00%	0.00%	0.00%	0.16%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.90%	0.53%	0.00%	0.00%	0.59%	0.00%	0.22%	0.14%	0.30%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	109	5	15	1	5	6	0	0	9	9	8	9	1	1	0	1	0	7	2	1	0	0	0	0	5	0	1	0	0	0	7	0	0	0	1	3	0	0	0	0	0	0	3	0	1	1	0	0	1	0	0	2	0	3	1	0									
		0.50%	0.63%	1.79%	0.13%	0.73%	0.58%	0.00%	0.00%	1.80%	1.67%	1.29%	1.24%	0.40%	0.19%	0.00%	1.05%	0.00%	5.15%	0.58%	0.34%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%	0.16%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.16%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.40%	0.22%	0.00%	0.00%	0.26%	0.00%	0.00%	0.44%	0.00%	0.89%	0.21%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2619	56	126	87	36	62	31	212	39	40	103	66	30	52	15	12	19	14	39	8	18	61	30	44	26	18	13	9	2	7	41	6	142	39	125	134	4	26	70	1	32	0	95	49	16	14	69	12	34	25	21	88	139	52	80	30									
		12.06%	7.08%	15.02%	10.90%	5.25%	6.04%	7.87%	19.98%	7.78%	7.42%	16.56%	9.07%	12.10%	10.08%	17.86%	12.63%	8.09%	10.29%	11.34%	2.70%	8.91%	12.84%	16.67%	18.97%	6.06%	8.07%	2.12%	5.26%	1.08%	4.61%	6.89%	4.35%	20.85%	20.10%	19.47%	20.00%	3.23%	19.70%	19.94%	0.83%	19.39%	0.00%	18.52%	19.44%	6.43%	3.15%	18.45%	16.90%	8.99%	4.93%	20.00%	19.51%	19.89%	15.48%	16.91%	18.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	46	2	10	2	2	4	0	0	3	1	1	3	0	4	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0									
		0.21%	0.25%	1.19%	0.25%	0.29%	0.39%	0.00%	0.00%	0.60%	0.19%	0.16%	0.41%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.31%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	71	4	14	1	0	25	2	0	5	0	3	2	0	3	0	0	0	0	1	2	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0									
		0.33%	0.51%	1.67%	0.13%	0.00%	2.43%	0.51%	0.00%	0.99%	0.00%	0.48%	0.27%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.29%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.58%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.16%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.21%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	44	0	15	0	1	0	0	0	5	5	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0									
		0.20%	0.00%	1.79%	0.00%	0.15%	0.00%	0.00%	0.00%	0.99%	0.93%	0.16%	0.14%	0.40%	0.19%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	123	2	14	5	4	37	5	0	5	2	1	9	1	1	0	0	1	0	1	0	0	3	0	0	0	0	6	1	0	1	3	0	0	0	2	5	0	0	0	0	0	0	3	0	2	2	0	0	0	2	0	0	5	0	0	0									
		0.57%	0.25%	1.67%	0.63%	0.58%	3.60%	1.27%	0.00%	0.99%	0.37%	0.16%	1.24%	0.40%	0.19%	0.00%	0.00%	0.43%	0.00%	0.29%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.98%	0.58%	0.00%	0.66%	0.50%	0.00%	0.00%	0.00%	0.31%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.80%	0.45%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2152	56	86	82	100	160	40	105	77	45	82	119	36	36	5	7	9	13	43	20	12	27	16	21	14	10	118	3	13	7	70	3	64	17	57	60	4	12	31	2	14	2	45	25	27	21	32	8	75	18	9	37	63	34	36	24									
		9.91%	7.08%	10.25%	10.28%	14.58%	15.58%	10.15%	9.90%	15.37%	8.35%	13.18%	16.35%	14.52%	6.98%	5.95%	7.37%	3.83%	9.56%	12.50%	6.76%	5.94%	5.68%	8.89%	9.05%	3.26%	4.48%	19.22%	1.75%	6.99%	4.61%	11.76%	2.17%	9.40%	8.76%	8.88%	8.96%	3.23%	9.09%	8.83%	1.67%	8.48%	2.44%	8.77%	9.92%	10.84%	4.72%	8.56%	11.27%	19.84%	3.55%	8.57%	8.20%	9.01%	10.12%	7.61%	14.46%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	216	2	15	8	4	25	0	7	24	21	3	9	2	5	0	6	2	0	0	2	5	5	1	0	9	0	12	0	0	0	2	0	0	0	2	12	0	3	3	0	0	0	3	1	3	3	0	2	0	0	1	1	2	4	6	1									
		0.99%	0.25%	1.79%	1.00%	0.58%	2.43%	0.00%	0.66%	4.79%	3.90%	0.48%	1.24%	0.81%	0.97%	0.00%	6.32%	0.85%	0.00%	0.00%	0.68%	2.48%	1.05%	0.56%	0.00%	2.10%	0.00%	1.95%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.31%	1.79%	0.00%	2.27%	0.85%	0.00%	0.00%	0.00%	0.58%	0.40%	1.20%	0.67%	0.00%	2.82%	0.00%	0.00%	0.95%	0.22%	0.29%	1.19%	1.27%	0.60%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1263	8	101	15	14	8	6	127	7	6	12	11	3	7	7	1	4	0	5	4	4	29	15	27	0	15	71	1	1	1	15	0	82	23	76	12	0	16	43	0	21	0	46	26	30	47	41	6	45	5	12	46	82	26	49	4									
		5.82%	1.01%	12.04%	1.88%	2.04%	0.78%	1.52%	11.97%	1.40%	1.11%	1.93%	1.51%	1.21%	1.36%	8.33%	1.05%	1.70%	0.00%	1.45%	1.35%	1.98%	6.11%	8.33%	11.64%	0.00%	6.73%	11.56%	0.58%	0.54%	0.66%	2.52%	0.00%	12.04%	11.86%	11.84%	1.79%	0.00%	12.12%	12.25%	0.00%	12.73%	0.00%	8.97%	10.32%	12.05%	10.56%	10.96%	8.45%	11.90%	0.99%	11.43%	10.20%	11.73%	7.74%	10.36%	2.41%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
