Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																				
Дата голосования: 04.12.2011																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Кабанская																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1292	5	8	3	3	8	20	10	3	12	20	10	10	10	5	5	5	10	8	8	5	5	30	20	10	40	2	40	40	40	40	40	40	10	5	10	5	5	20	30	30	30	10	3	15	5	15	15	17	10	10	5	40	40	35	40	20	8	5	15	15	8	3	17	8	5	3	35	40	40	30	5	5	10	15	25	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	313	5	6	3	0	4	2	1	0	0	8	0	4	1	3	1	0	2	5	1	2	2	9	3	0	12	0	5	8	8	6	3	7	0	0	1	0	2	7	7	5	10	5	0	8	0	14	13	17	6	1	0	4	4	5	5	3	0	3	12	3	1	0	16	3	1	0	5	5	3	10	5	0	2	1	5	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	309	5	5	11	5	3	8	4	0	5	0	5	1	1	2	1	1	3	2	6	1	6	4	3	2	5	3	6	5	3	6	4	3	1	0	2	4	4	0	8	10	4	1	1	2	4	5	3	2	3	6	5	2	2	5	2	0	4	2	7	8	1	8	7	6	4	3	2	9	8	6	2	3	1	5	9	6	13					
14	Число погашенных неиспользованных открепительных удостоверений	979	0	2	0	3	4	18	9	3	12	12	10	6	9	2	4	5	8	3	7	3	3	21	17	10	28	2	35	32	32	34	37	33	10	5	9	5	3	13	23	25	20	5	3	7	5	1	2	0	4	9	5	36	36	30	35	17	8	2	3	12	7	3	1	5	4	3	30	35	37	20	0	5	8	14	20	26	24					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5335	22	37	11	10	30	53	27	5	58	83	64	39	32	16	13	28	39	23	23	9	8	134	59	31	223	42	213	202	273	288	172	161	15	15	23	30	99	61	145	124	109	79	4	83	30	64	60	29	17	27	18	239	227	178	186	123	26	8	53	47	30	4	56	31	5	3	82	81	89	83	6	5	38	30	58	89	98					
		21.79%	13.58%	19.89%	20.37%	13.70%	14.49%	16.26%	18.37%	6.76%	19.73%	21.96%	23.70%	10.68%	15.09%	13.91%	16.05%	20.44%	14.03%	18.70%	16.91%	9.47%	12.90%	26.91%	17.99%	23.48%	31.95%	31.34%	30.04%	24.63%	32.69%	32.29%	29.86%	24.73%	11.90%	12.20%	14.65%	16.67%	25.65%	17.23%	24.58%	22.71%	23.80%	29.81%	11.11%	25.78%	26.09%	19.69%	22.64%	20.57%	6.94%	17.31%	13.33%	34.74%	34.29%	28.62%	23.79%	26.57%	16.99%	11.43%	23.77%	17.47%	17.86%	8.00%	14.36%	24.03%	7.69%	11.11%	15.30%	12.37%	13.61%	15.43%	10.00%	6.10%	15.02%	11.63%	16.57%	12.86%	14.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3294	24	24	3	2	19	36	17	11	42	69	36	13	19	12	21	20	20	0	11	10	9	81	64	20	85	18	88	94	90	122	78	84	26	17	27	19	44	51	75	58	52	38	7	43	19	39	33	26	3	14	20	81	100	83	148	64	13	9	38	23	14	12	56	15	17	6	72	90	97	102	9	13	48	46	54	103	128					
		13.45%	14.81%	12.90%	5.56%	2.74%	9.18%	11.04%	11.56%	14.86%	14.29%	18.25%	13.33%	3.56%	8.96%	10.43%	25.93%	14.60%	7.19%	0.00%	8.09%	10.53%	14.52%	16.27%	19.51%	15.15%	12.18%	13.43%	12.41%	11.46%	10.78%	13.68%	13.54%	12.90%	20.63%	13.82%	17.20%	10.56%	11.40%	14.41%	12.71%	10.62%	11.35%	14.34%	19.44%	13.35%	16.52%	12.00%	12.45%	18.44%	1.22%	8.97%	14.81%	11.77%	15.11%	13.34%	18.93%	13.82%	8.50%	12.86%	17.04%	8.55%	8.33%	24.00%	14.36%	11.63%	26.15%	22.22%	13.43%	13.74%	14.83%	18.96%	15.00%	15.85%	18.97%	17.83%	15.43%	14.88%	18.99%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	191	3	2	0	2	1	3	4	3	0	9	1	2	3	0	2	0	2	1	1	0	0	3	1	1	11	2	3	8	8	2	2	4	1	2	0	4	3	1	5	7	3	1	0	0	1	2	3	5	3	0	6	5	2	6	7	2	1	0	2	3	2	0	0	0	1	1	4	1	5	3	0	0	2	2	1	6	4					
		0.78%	1.85%	1.08%	0.00%	2.74%	0.48%	0.92%	2.72%	4.05%	0.00%	2.38%	0.37%	0.55%	1.42%	0.00%	2.47%	0.00%	0.72%	0.81%	0.74%	0.00%	0.00%	0.60%	0.30%	0.76%	1.58%	1.49%	0.42%	0.98%	0.96%	0.22%	0.35%	0.61%	0.79%	1.63%	0.00%	2.22%	0.78%	0.28%	0.85%	1.28%	0.66%	0.38%	0.00%	0.00%	0.87%	0.62%	1.13%	3.55%	1.22%	0.00%	4.44%	0.73%	0.30%	0.96%	0.90%	0.43%	0.65%	0.00%	0.90%	1.12%	1.19%	0.00%	0.00%	0.00%	1.54%	3.70%	0.75%	0.15%	0.76%	0.56%	0.00%	0.00%	0.79%	0.78%	0.29%	0.87%	0.59%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4992	29	52	24	17	42	78	48	9	65	77	48	54	55	16	1	20	89	30	25	8	18	104	64	23	141	8	138	158	167	154	112	150	35	25	36	35	91	110	138	135	78	52	4	66	13	55	41	11	65	25	15	96	86	95	112	68	16	12	42	51	28	8	94	28	16	7	152	211	175	92	19	11	51	55	72	194	147					
		20.39%	17.90%	27.96%	44.44%	23.29%	20.29%	23.93%	32.65%	12.16%	22.11%	20.37%	17.78%	14.79%	25.94%	13.91%	1.23%	14.60%	32.01%	24.39%	18.38%	8.42%	29.03%	20.88%	19.51%	17.42%	20.20%	5.97%	19.46%	19.27%	20.00%	17.26%	19.44%	23.04%	27.78%	20.33%	22.93%	19.44%	23.58%	31.07%	23.39%	24.73%	17.03%	19.62%	11.11%	20.50%	11.30%	16.92%	15.47%	7.80%	26.53%	16.03%	11.11%	13.95%	12.99%	15.27%	14.32%	14.69%	10.46%	17.14%	18.83%	18.96%	16.67%	16.00%	24.10%	21.71%	24.62%	25.93%	28.36%	32.21%	26.76%	17.10%	31.67%	13.41%	20.16%	21.32%	20.57%	28.03%	21.81%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	294	0	3	2	2	5	9	2	1	8	4	1	3	0	0	0	1	1	0	1	0	0	8	6	0	15	1	9	9	10	12	5	5	0	0	0	2	7	4	4	14	3	3	0	1	0	4	2	1	1	2	1	9	10	9	7	5	3	0	1	6	5	0	3	2	0	1	8	14	7	6	0	0	5	4	4	8	5					
		1.20%	0.00%	1.61%	3.70%	2.74%	2.42%	2.76%	1.36%	1.35%	2.72%	1.06%	0.37%	0.82%	0.00%	0.00%	0.00%	0.73%	0.36%	0.00%	0.74%	0.00%	0.00%	1.61%	1.83%	0.00%	2.15%	0.75%	1.27%	1.10%	1.20%	1.35%	0.87%	0.77%	0.00%	0.00%	0.00%	1.11%	1.81%	1.13%	0.68%	2.56%	0.66%	1.13%	0.00%	0.31%	0.00%	1.23%	0.75%	0.71%	0.41%	1.28%	0.74%	1.31%	1.51%	1.45%	0.90%	1.08%	1.96%	0.00%	0.45%	2.23%	2.98%	0.00%	0.77%	1.55%	0.00%	3.70%	1.49%	2.14%	1.07%	1.12%	0.00%	0.00%	1.98%	1.55%	1.14%	1.16%	0.74%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9848	82	62	13	40	103	141	44	43	113	132	112	248	97	70	42	58	124	66	72	63	27	160	126	56	207	56	240	328	258	291	196	236	47	61	71	84	138	120	217	195	195	91	21	125	50	157	122	67	152	86	74	242	220	240	306	189	87	40	84	135	67	26	174	49	25	7	209	245	272	237	26	52	106	115	155	281	280					
		40.22%	50.62%	33.33%	24.07%	54.79%	49.76%	43.25%	29.93%	58.11%	38.44%	34.92%	41.48%	67.95%	45.75%	60.87%	51.85%	42.34%	44.60%	53.66%	52.94%	66.32%	43.55%	32.13%	38.41%	42.42%	29.66%	41.79%	33.85%	40.00%	30.90%	32.62%	34.03%	36.25%	37.30%	49.59%	45.22%	46.67%	35.75%	33.90%	36.78%	35.71%	42.58%	34.34%	58.33%	38.82%	43.48%	48.31%	46.04%	47.52%	62.04%	55.13%	54.81%	35.17%	33.23%	38.59%	39.13%	40.82%	56.86%	57.14%	37.67%	50.19%	39.88%	52.00%	44.62%	37.98%	38.46%	25.93%	38.99%	37.40%	41.59%	44.05%	43.33%	63.41%	41.90%	44.57%	44.29%	40.61%	41.54%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	113	0	1	1	0	3	2	1	0	1	2	3	0	1	0	0	1	2	1	1	2	0	1	2	1	5	1	5	4	4	5	4	3	0	0	0	2	0	1	1	4	1	0	0	1	1	0	0	0	3	0	1	2	4	2	3	3	2	0	0	2	4	0	1	1	0	0	2	4	1	2	0	1	1	2	1	0	3					
		0.46%	0.00%	0.54%	1.85%	0.00%	1.45%	0.61%	0.68%	0.00%	0.34%	0.53%	1.11%	0.00%	0.47%	0.00%	0.00%	0.73%	0.72%	0.81%	0.74%	2.11%	0.00%	0.20%	0.61%	0.76%	0.72%	0.75%	0.71%	0.49%	0.48%	0.56%	0.69%	0.46%	0.00%	0.00%	0.00%	1.11%	0.00%	0.28%	0.17%	0.73%	0.22%	0.00%	0.00%	0.31%	0.87%	0.00%	0.00%	0.00%	1.22%	0.00%	0.74%	0.29%	0.60%	0.32%	0.38%	0.65%	1.31%	0.00%	0.00%	0.74%	2.38%	0.00%	0.26%	0.78%	0.00%	0.00%	0.37%	0.61%	0.15%	0.37%	0.00%	1.22%	0.40%	0.78%	0.29%	0.00%	0.45%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
