Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																			
Дата голосования: 02.12.2007																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Кабанская																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1305	10	7	10	10	25	10	5	20	20	20	20	10	10	10	10	15	20	5	5	5	25	20	10	5	35	35	40	40	35	45	25	5	5	10	10	15	15	25	25	21	15	5	15	10	15	15	5	15	10	10	30	30	30	40	20	5	5	20	15	15	15	10	7	5	5	25	25	25	25	5	5	20	5	20	50	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	265	0	3	0	1	6	1	1	0	1	4	0	1	1	1	0	1	12	1	4	5	8	6	0	0	18	14	11	11	18	10	11	0	0	0	0	1	2	2	4	3	1	1	0	0	11	14	0	2	8	0	3	4	0	6	4	0	2	4	2	3	0	1	3	0	0	4	4	1	1	0	0	6	1	0	12	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	215	2	6	12	2	5	5	2	3	2	2	2	4	3	3	5	2	2	5	0	4	4	4	0	1	1	10	1	1	3	1	3	3	1	1	1	1	2	0	11	1	2	3	3	2	5	4	2	2	1	5	3	0	1	2	1	1	0	3	2	2	0	1	2	12	0	3	3	6	4	0	2	1	1	5	8	2					
14	Число погашенных неиспользованных открепительных удостоверений	1040	10	4	10	9	19	9	4	20	19	16	20	9	9	9	10	14	8	4	1	0	17	14	10	5	17	21	29	29	17	35	14	5	5	10	10	14	13	23	21	18	14	4	15	10	4	1	5	13	2	10	27	26	30	34	16	5	3	16	13	12	15	9	4	5	5	21	21	24	24	5	5	14	4	20	38	35					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																			
18	1.Политическая партия «Аграрная партия России»	391	0	1	3	3	23	2	1	2	7	10	6	12	1	4	3	4	1	1	0	2	4	5	0	1	7	5	11	10	8	15	11	2	0	2	0	10	7	9	14	6	6	0	6	3	4	9	1	6	3	3	9	3	7	9	7	2	0	2	6	11	2	8	1	0	2	6	16	7	4	0	2	8	0	5	10	10					
		1.39%	0.00%	0.49%	4.92%	3.41%	3.62%	1.02%	1.43%	0.59%	2.25%	2.38%	2.06%	4.65%	0.74%	4.60%	2.29%	1.18%	0.78%	0.68%	0.00%	2.56%	0.71%	1.20%	0.00%	1.59%	0.82%	0.53%	1.07%	0.96%	0.94%	1.25%	1.47%	1.14%	0.00%	0.93%	0.00%	2.49%	1.79%	1.38%	2.36%	1.20%	2.11%	0.00%	1.89%	2.11%	1.18%	3.14%	0.78%	2.40%	1.69%	2.14%	1.28%	0.45%	0.91%	0.98%	1.58%	1.05%	0.00%	0.43%	2.13%	3.05%	1.12%	5.84%	1.89%	0.00%	7.69%	1.06%	2.04%	0.99%	0.69%	0.00%	2.63%	1.62%	0.00%	1.14%	1.29%	1.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	93	0	0	1	0	3	1	0	5	1	2	1	1	1	0	0	4	0	1	0	2	1	1	0	0	1	3	0	3	1	5	4	0	0	0	1	0	2	3	1	0	1	0	0	1	2	0	0	1	0	1	2	2	4	5	1	0	0	2	2	1	0	1	0	0	0	3	5	6	1	0	0	0	0	2	0	1					
		0.33%	0.00%	0.00%	1.64%	0.00%	0.47%	0.51%	0.00%	1.47%	0.32%	0.48%	0.34%	0.39%	0.74%	0.00%	0.00%	1.18%	0.00%	0.68%	0.00%	2.56%	0.18%	0.24%	0.00%	0.00%	0.12%	0.32%	0.00%	0.29%	0.12%	0.42%	0.54%	0.00%	0.00%	0.00%	0.44%	0.00%	0.51%	0.46%	0.17%	0.00%	0.35%	0.00%	0.00%	0.70%	0.59%	0.00%	0.00%	0.40%	0.00%	0.71%	0.28%	0.30%	0.52%	0.55%	0.23%	0.00%	0.00%	0.43%	0.71%	0.28%	0.00%	0.73%	0.00%	0.00%	0.00%	0.53%	0.64%	0.85%	0.17%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.13%					
20	3.Политическая партия «Демократическая партия России»	43	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	2	0	1	0	0	0	0	3	0	1	0	12	1	0	0	4	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0					
		0.15%	0.68%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.29%	0.00%	0.24%	0.00%	0.39%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.11%	0.10%	0.00%	0.00%	0.08%	0.00%	0.00%	0.83%	0.00%	0.00%	0.25%	0.00%	0.15%	0.34%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.40%	0.00%	8.57%	0.14%	0.00%	0.00%	0.44%	0.23%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2621	10	22	7	0	76	36	3	10	26	42	32	23	12	1	13	58	12	3	7	8	57	32	16	5	52	55	82	84	66	73	52	2	10	17	16	55	63	103	69	45	45	2	36	11	20	18	8	21	19	10	59	53	67	65	40	6	4	95	11	15	8	12	6	7	6	93	117	87	46	6	4	35	0	28	105	101					
		9.34%	6.85%	10.73%	11.48%	0.00%	11.97%	18.37%	4.29%	2.95%	8.36%	9.98%	10.99%	8.91%	8.89%	1.15%	9.92%	17.16%	9.30%	2.03%	7.14%	10.26%	10.16%	7.71%	10.60%	7.94%	6.08%	5.82%	7.98%	8.10%	7.78%	6.10%	6.96%	1.14%	8.33%	7.91%	7.11%	13.68%	16.11%	15.85%	11.64%	8.96%	15.85%	5.88%	11.36%	7.75%	5.90%	6.27%	6.20%	8.40%	10.73%	7.14%	8.37%	7.86%	8.72%	7.10%	9.03%	3.14%	3.81%	20.52%	3.90%	4.16%	4.49%	8.76%	11.32%	9.09%	23.08%	16.46%	14.90%	12.39%	7.96%	11.11%	5.26%	7.09%	0.00%	6.38%	13.58%	12.78%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	54	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	1	1	0	7	0	1	1	2	5	1	0	1	0	0	1	2	3	2	0	0	1	0	0	0	0	0	2	0	0	1	1	1	2	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	3	2					
		0.19%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.24%	0.66%	0.00%	0.82%	0.00%	0.10%	0.10%	0.24%	0.42%	0.13%	0.00%	0.83%	0.00%	0.00%	0.25%	0.51%	0.46%	0.34%	0.00%	0.00%	2.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.14%	0.15%	0.13%	0.22%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.46%	0.00%	0.00%	0.00%	0.18%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.25%					
23	6.Политическая партия «Партия социальной справедливости»	56	0	0	0	0	2	1	0	3	1	0	2	1	0	1	1	1	0	0	0	0	0	1	0	0	1	2	1	2	2	6	1	0	0	0	0	1	0	0	1	0	0	0	3	1	3	1	0	1	0	0	0	2	1	1	2	0	0	1	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	1	0	2					
		0.20%	0.00%	0.00%	0.00%	0.00%	0.31%	0.51%	0.00%	0.88%	0.32%	0.00%	0.69%	0.39%	0.00%	1.15%	0.76%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.12%	0.21%	0.10%	0.19%	0.24%	0.50%	0.13%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.95%	0.70%	0.88%	0.35%	0.00%	0.40%	0.00%	0.00%	0.00%	0.30%	0.13%	0.11%	0.45%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.13%	0.43%	0.17%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.25%					
24	7.Политическая партия «Либерально-демократическая партия России»	2184	16	21	1	1	58	9	6	14	33	42	33	33	16	13	8	18	3	5	7	2	39	26	20	3	57	63	66	63	57	90	60	15	4	28	30	26	33	45	46	41	25	3	25	6	28	21	7	5	10	0	45	62	57	73	35	20	9	26	22	35	4	5	7	10	2	46	58	91	48	10	6	62	6	46	44	74					
		7.78%	10.96%	10.24%	1.64%	1.14%	9.13%	4.59%	8.57%	4.13%	10.61%	9.98%	11.34%	12.79%	11.85%	14.94%	6.11%	5.33%	2.33%	3.38%	7.14%	2.56%	6.95%	6.27%	13.25%	4.76%	6.67%	6.67%	6.42%	6.08%	6.72%	7.52%	8.03%	8.52%	3.33%	13.02%	13.33%	6.47%	8.44%	6.92%	7.76%	8.17%	8.80%	8.82%	7.89%	4.23%	8.26%	7.32%	5.43%	2.00%	5.65%	0.00%	6.38%	9.20%	7.42%	7.98%	7.90%	10.47%	8.57%	5.62%	7.80%	9.70%	2.25%	3.65%	13.21%	12.99%	7.69%	8.14%	7.39%	12.96%	8.30%	18.52%	7.89%	12.55%	11.54%	10.48%	5.69%	9.37%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3508	5	36	8	21	47	25	5	21	37	41	27	12	11	3	8	21	10	18	0	8	76	45	23	21	168	160	160	213	117	190	106	11	7	11	15	34	41	49	61	47	38	1	21	13	26	36	11	18	15	12	172	148	141	151	46	32	17	28	46	42	13	11	6	8	2	50	72	54	43	9	9	37	2	99	95	65					
		12.50%	3.42%	17.56%	13.11%	23.86%	7.40%	12.76%	7.14%	6.19%	11.90%	9.74%	9.28%	4.65%	8.15%	3.45%	6.11%	6.21%	7.75%	12.16%	0.00%	10.26%	13.55%	10.84%	15.23%	33.33%	19.65%	16.93%	15.56%	20.54%	13.80%	15.87%	14.19%	6.25%	5.83%	5.12%	6.67%	8.46%	10.49%	7.54%	10.29%	9.36%	13.38%	2.94%	6.62%	9.15%	7.67%	12.54%	8.53%	7.20%	8.47%	8.57%	24.40%	21.96%	18.36%	16.50%	10.38%	16.75%	16.19%	6.05%	16.31%	11.63%	7.30%	8.03%	11.32%	10.39%	7.69%	8.85%	9.17%	7.69%	7.44%	16.67%	11.84%	7.49%	3.85%	22.55%	12.29%	8.23%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	145	1	0	0	1	2	1	1	2	2	2	1	2	1	1	1	2	2	1	3	1	1	2	0	2	4	4	8	4	5	6	2	1	0	4	1	0	4	3	5	4	0	0	2	3	1	4	1	3	1	0	3	2	3	3	2	1	0	2	0	1	0	0	0	0	0	0	4	2	5	1	0	0	0	5	6	3					
		0.52%	0.68%	0.00%	0.00%	1.14%	0.31%	0.51%	1.43%	0.59%	0.64%	0.48%	0.34%	0.78%	0.74%	1.15%	0.76%	0.59%	1.55%	0.68%	3.06%	1.28%	0.18%	0.48%	0.00%	3.17%	0.47%	0.42%	0.78%	0.39%	0.59%	0.50%	0.27%	0.57%	0.00%	1.86%	0.44%	0.00%	1.02%	0.46%	0.84%	0.80%	0.00%	0.00%	0.63%	2.11%	0.29%	1.39%	0.78%	1.20%	0.56%	0.00%	0.43%	0.30%	0.39%	0.33%	0.45%	0.52%	0.00%	0.43%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.28%	0.87%	1.85%	0.00%	0.00%	0.00%	1.14%	0.78%	0.38%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	18057	108	120	38	61	396	109	51	274	196	277	180	161	85	60	88	225	88	114	80	48	349	296	88	29	519	620	665	635	587	772	496	129	96	145	150	265	225	416	370	343	160	27	209	98	239	167	98	181	117	98	396	365	460	582	292	120	74	297	185	255	146	87	31	51	14	356	494	417	367	28	55	337	44	235	494	527					
		64.33%	73.97%	58.54%	62.30%	69.32%	62.36%	55.61%	72.86%	80.83%	63.02%	65.80%	61.86%	62.40%	62.96%	68.97%	67.18%	66.57%	68.22%	77.03%	81.63%	61.54%	62.21%	71.33%	58.28%	46.03%	60.70%	65.61%	64.69%	61.23%	69.22%	64.49%	66.40%	73.30%	80.00%	67.44%	66.67%	65.92%	57.54%	64.00%	62.39%	68.33%	56.34%	79.41%	65.93%	69.01%	70.50%	58.19%	75.97%	72.40%	66.10%	70.00%	56.17%	54.15%	59.90%	63.61%	65.91%	62.83%	70.48%	64.15%	65.60%	70.64%	82.02%	63.50%	58.49%	66.23%	53.85%	63.01%	62.93%	59.40%	63.49%	51.85%	72.37%	68.22%	84.62%	53.53%	63.91%	66.71%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	125	4	0	2	0	4	1	0	0	0	0	1	2	0	0	0	2	1	0	0	0	0	0	0	0	21	0	8	5	0	6	0	1	0	1	0	2	2	6	5	2	5	0	0	1	0	2	0	2	0	0	7	3	2	1	0	1	1	0	1	0	1	0	2	0	0	3	4	2	4	0	0	2	0	2	2	1					
		0.45%	2.74%	0.00%	3.28%	0.00%	0.63%	0.51%	0.00%	0.00%	0.00%	0.00%	0.34%	0.78%	0.00%	0.00%	0.00%	0.59%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.46%	0.00%	0.78%	0.48%	0.00%	0.50%	0.00%	0.57%	0.00%	0.47%	0.00%	0.50%	0.51%	0.92%	0.84%	0.40%	1.76%	0.00%	0.00%	0.70%	0.00%	0.70%	0.00%	0.80%	0.00%	0.00%	0.99%	0.45%	0.26%	0.11%	0.00%	0.52%	0.95%	0.00%	0.35%	0.00%	0.56%	0.00%	3.77%	0.00%	0.00%	0.53%	0.51%	0.28%	0.69%	0.00%	0.00%	0.40%	0.00%	0.46%	0.26%	0.13%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
