Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Камызякская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048									
		0.54%	0.54%	0.93%	0.00%	0.45%	1.37%	0.37%	1.21%	0.22%	0.46%	0.56%	0.00%	0.00%	0.00%	0.36%	4.55%	0.00%	0.46%	1.19%	0.32%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.33%	0.43%	0.00%	0.66%	0.24%	0.52%	0.77%	0.00%	0.33%	1.18%	0.72%	0.66%	0.74%	1.12%	0.66%	0.00%	0.00%	2.88%	1.32%	0.00%	0.00%	0.00%	0.68%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	2	0	0	1	0	0	0	0	3	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0									
		0.13%	0.54%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.33%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.33%	0.24%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.37%	0.66%	0.00%	0.00%	0.26%	1.32%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1557	66	50	17	92	57	64	31	53	54	96	39	2	18	9	4	6	47	45	30	4	0	57	6	7	10	25	9	25	38	121	9	36	13	8	2	83	32	57	40	8	7	29	59	1	7	34	6	44									
		10.82%	17.98%	15.43%	6.72%	13.83%	15.57%	23.62%	18.79%	11.80%	6.18%	18.01%	13.00%	2.04%	6.84%	3.24%	9.09%	11.76%	7.21%	13.43%	9.55%	7.69%	0.00%	13.19%	4.11%	11.29%	10.64%	2.73%	3.91%	16.89%	12.50%	14.32%	2.35%	9.25%	11.50%	2.68%	2.35%	19.95%	21.05%	14.14%	14.98%	5.26%	5.56%	9.15%	15.45%	1.32%	14.58%	12.50%	7.89%	10.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	0	1	1	6	0	1	2	1	2	2	5	0	2	1	0	0	5	1	0	0	0	1	0	0	0	0	0	0	1	3	0	3	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0									
		0.31%	0.00%	0.31%	0.40%	0.90%	0.00%	0.37%	1.21%	0.22%	0.23%	0.38%	1.67%	0.00%	0.76%	0.36%	0.00%	0.00%	0.77%	0.30%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.36%	0.00%	0.77%	0.88%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	1.32%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	88	2	3	0	2	2	3	1	3	6	4	2	0	0	0	0	0	2	0	0	0	0	4	0	0	1	2	2	0	0	3	1	8	0	0	0	3	0	4	5	1	0	2	16	0	0	0	2	4									
		0.61%	0.54%	0.93%	0.00%	0.30%	0.55%	1.11%	0.61%	0.67%	0.69%	0.75%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	1.06%	0.22%	0.87%	0.00%	0.00%	0.36%	0.26%	2.06%	0.00%	0.00%	0.00%	0.72%	0.00%	0.99%	1.87%	0.66%	0.00%	0.63%	4.19%	0.00%	0.00%	0.00%	2.63%	0.91%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	1	0	0	0	2	2	0	1	0	1	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	1	2	1	0	1	0	1	0	1	0	0	0	0	0	0	0	6	2	0	0	0	0	2									
		0.21%	0.27%	0.00%	0.00%	0.00%	0.55%	0.74%	0.00%	0.22%	0.00%	0.19%	0.00%	1.02%	0.38%	0.72%	0.00%	0.00%	0.15%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.87%	0.68%	0.00%	0.12%	0.00%	0.26%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.52%	0.00%	0.00%	0.00%	0.00%	0.46%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	7	3	0	1	2	0	1	5	2	5	2	0	2	0	1	0	2	1	1	0	0	3	0	0	0	0	0	2	2	4	1	1	1	1	1	2	0	0	0	2	0	1	2	0	2	1	2	4									
		0.47%	1.91%	0.93%	0.00%	0.15%	0.55%	0.00%	0.61%	1.11%	0.23%	0.94%	0.67%	0.00%	0.76%	0.00%	2.27%	0.00%	0.31%	0.30%	0.32%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.66%	0.47%	0.26%	0.26%	0.88%	0.33%	1.18%	0.48%	0.00%	0.00%	0.00%	1.32%	0.00%	0.32%	0.52%	0.00%	4.17%	0.37%	2.63%	0.91%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2046	55	57	51	91	51	42	21	86	122	87	0	10	44	42	8	0	175	34	44	2	12	50	9	5	10	105	51	19	44	85	73	78	9	40	2	35	5	62	44	36	25	30	66	12	5	9	2	101									
		14.22%	14.99%	17.59%	20.16%	13.68%	13.93%	15.50%	12.73%	19.15%	13.96%	16.32%	0.00%	10.20%	16.73%	15.11%	18.18%	0.00%	26.84%	10.15%	14.01%	3.85%	7.32%	11.57%	6.16%	8.06%	10.64%	11.45%	22.17%	12.84%	14.47%	10.06%	19.06%	20.05%	7.96%	13.38%	2.35%	8.41%	3.29%	15.38%	16.48%	23.68%	19.84%	9.46%	17.28%	15.79%	10.42%	3.31%	2.63%	23.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	52	2	1	0	2	1	1	0	2	5	1	1	0	1	2	0	0	3	0	3	0	0	0	1	0	0	4	3	0	3	4	2	1	0	1	0	0	0	1	1	2	0	2	1	0	0	0	0	1									
		0.36%	0.54%	0.31%	0.00%	0.30%	0.27%	0.37%	0.00%	0.45%	0.57%	0.19%	0.33%	0.00%	0.38%	0.72%	0.00%	0.00%	0.46%	0.00%	0.96%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.44%	1.30%	0.00%	0.99%	0.47%	0.52%	0.26%	0.00%	0.33%	0.00%	0.00%	0.00%	0.25%	0.37%	1.32%	0.00%	0.63%	0.26%	0.00%	0.00%	0.00%	0.00%	0.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2293	82	72	24	106	83	46	33	64	182	87	26	17	48	83	1	5	60	82	102	22	24	76	28	13	14	216	51	15	66	94	52	44	11	17	2	38	17	82	40	14	5	29	39	2	3	21	11	44									
		15.93%	22.34%	22.22%	9.49%	15.94%	22.68%	16.97%	20.00%	14.25%	20.82%	16.32%	8.67%	17.35%	18.25%	29.86%	2.27%	9.80%	9.20%	24.48%	32.48%	42.31%	14.63%	17.59%	19.18%	20.97%	14.89%	23.56%	22.17%	10.14%	21.71%	11.12%	13.58%	11.31%	9.73%	5.69%	2.35%	9.13%	11.18%	20.35%	14.98%	9.21%	3.97%	9.15%	10.21%	2.63%	6.25%	7.72%	14.47%	10.05%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
