																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																								
Сводная таблица результатов выборов																																																																																																																																																																																																																																																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №475	УИК №476	УИК №478	УИК №488	УИК №489	УИК №491	УИК №492	УИК №493	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №587	УИК №589	УИК №590	УИК №591	УИК №592	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №605	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №621	УИК №624	УИК №625	УИК №629	УИК №632	УИК №634	УИК №635	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4015	23	20	20	31	22	24	25	22	23	23	21	18	26	26	27	26	31	29	26	29	17	19	17	26	34	25	35	27	29	21	31	28	33	19	24	23	27	23	17	19	22	19	0	0	0	18	19	18	16	20	18	12	18	36	19	29	35	37	31	27	24	32	31	35	30	25	26	23	19	20	15	21	24	30	26	21	29	19	21	23	30	19	22	18	28	23	29	26	23	25	0	0	0	0	0	0	0	0	15	520	11	33	23	28	27	25	21	30	27	28	24	33	28	22	26	25	22	30	26	29	25	29	30	30	29	29	32	28	28	28	27	23	33	0	28	28	32	28	33	17	26	27	26	34	26	31	32	32	34	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1793	11	12	9	18	7	16	9	5	7	4	6	3	6	5	7	5	9	9	15	8	2	3	5	5	3	7	22	10	9	13	9	6	9	6	3	7	12	2	7	9	11	2	0	0	0	3	7	5	3	10	9	6	11	14	18	5	10	18	8	8	6	11	13	13	10	8	6	16	11	9	6	6	8	11	13	15	16	17	13	14	11	6	9	11	19	5	25	8	11	9	0	0	0	0	0	0	0	0	6	512	5	9	12	6	11	14	9	14	11	4	9	15	7	8	6	7	13	13	5	16	2	13	5	6	9	9	15	12	14	7	13	15	10	0	8	9	5	9	16	3	5	8	4	12	11	16	12	10	14	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1877	10	8	12	12	11	8	3	4	3	5	10	8	3	3	10	14	4	8	12	7	7	3	12	10	10	18	17	6	15	8	9	6	10	3	5	9	9	3	13	11	17	3	4	1	0	4	4	9	9	9	20	20	9	4	9	7	6	9	15	8	7	4	18	8	10	11	13	18	1	16	6	6	24	24	5	13	14	17	14	8	7	6	21	30	57	15	11	6	18	14	2	33	5	3	1	20	4	150	3	0	6	9	9	7	8	10	7	25	17	10	9	9	5	18	3	17	17	15	10	14	17	13	24	16	24	9	11	27	6	15	25	37	12	25	19	13	6	38	10	8	10	5	17	10	21	10	16	10	11	12	5	6	1	2	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1
14	Число погашенных неиспользованных открепительных удостоверений	2222	12	8	11	13	15	8	16	17	16	19	15	15	20	21	20	21	22	20	11	21	15	16	12	21	31	18	13	17	20	8	22	22	24	13	21	16	15	21	10	10	11	17	0	0	0	15	12	13	13	10	9	6	7	22	1	24	25	19	23	19	18	21	18	22	20	17	20	7	8	11	9	15	16	19	13	6	13	2	8	9	19	13	13	7	9	18	4	18	12	16	0	0	0	0	0	0	0	0	9	8	6	24	11	22	16	11	12	16	16	24	15	18	21	14	20	18	9	17	21	13	23	16	25	24	20	20	17	16	14	21	14	8	23	0	20	19	27	19	17	14	21	19	22	22	15	15	20	22	20	28	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	292	1	1	0	7	0	3	3	1	1	3	1	2	1	1	1	2	0	2	0	0	1	0	0	0	1	4	2	4	0	1	4	3	1	1	1	1	2	2	3	0	2	1	0	0	0	1	2	1	1	2	0	1	1	3	3	0	0	2	2	2	1	0	2	1	2	4	1	4	2	5	0	2	2	5	4	0	4	3	1	4	5	2	1	1	8	0	7	4	2	3	0	0	0	0	0	0	0	0	0	86	1	3	1	2	1	0	0	1	0	2	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	1	2	0	0	1	1	1	2	1	0	1	0	2	2	0	2	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	Число утраченных избирательных бюллетеней	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	"Число избирательных бюллетеней, не учтенных при получении"	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																																																																																																																																																																																																																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	27178	157	128	120	182	147	166	196	138	143	181	131	121	198	157	134	163	181	207	218	143	106	127	147	143	260	227	166	208	211	148	212	150	198	90	136	200	163	118	117	176	181	153	13	65	6	118	164	169	159	192	174	135	140	263	202	202	250	264	219	233	211	261	261	278	232	229	191	203	146	165	123	146	204	259	234	180	247	164	193	211	241	149	200	160	239	165	256	128	124	144	24	99	13	95	7	16	24	31	45	26	69	148	183	200	158	173	97	252	213	239	184	267	241	191	220	214	225	253	220	237	182	262	224	241	252	214	257	222	198	218	203	178	224	34	177	194	248	164	265	139	176	181	158	229	176	232	223	241	286	243	47	55	14	10	9	33	26	50	13	6	2	10	5	14	6	4	5	2	0	3	3	4	5	7	1	2	0	3	5	0	5	4	2	4	2	4	2	2	3	3	4	0	0	5	8	3	3	6	3	6	4	7	2	3	1	4	9	1	3	3	6	5	11	4	4	1	4	7	4	3	5	17	8	9	4	3	2	3	2	1	12	4	1	5	2	8	2	2	2	1	4	3	1	6	7	0	1	11	7	3	8	4	5	5	1	4	5	11	6	1	4	2	14	2	1	2	1	5	4	2	5	8	21	15	10	11	8	13
		20.53%	19.29%	17.53%	17.07%	16.15%	16.74%	19.01%	20.81%	17.04%	17.74%	22.46%	21.03%	20.03%	21.18%	19.31%	15.51%	19.50%	18.72%	18.75%	23.02%	17.04%	19.31%	19.39%	23.00%	18.84%	23.05%	21.68%	19.74%	23.69%	21.93%	21.17%	20.27%	16.38%	20.41%	19.31%	20.96%	25.77%	21.56%	17.72%	20.24%	22.00%	22.26%	19.27%	16.46%	33.33%	7.79%	20.52%	22.53%	22.15%	22.59%	20.69%	19.16%	22.77%	19.15%	23.84%	25.83%	21.93%	22.60%	21.52%	20.05%	23.63%	23.87%	24.19%	22.18%	24.36%	22.81%	26.11%	21.51%	24.28%	19.62%	23.24%	22.40%	21.92%	21.84%	24.18%	24.63%	19.93%	22.60%	22.81%	23.54%	25.76%	23.24%	22.82%	21.55%	20.86%	22.96%	22.36%	22.15%	18.77%	19.75%	21.02%	15.29%	22.35%	17.57%	25.96%	15.22%	12.70%	18.46%	6.61%	12.57%	7.93%	19.88%	18.14%	26.18%	20.73%	19.46%	21.15%	15.62%	22.01%	22.44%	20.96%	22.09%	22.57%	23.20%	24.65%	23.66%	21.55%	21.57%	21.46%	22.52%	23.10%	20.45%	23.37%	21.85%	21.59%	23.60%	19.47%	21.93%	20.71%	20.86%	21.17%	19.75%	20.18%	21.21%	2.54%	17.46%	21.11%	20.45%	18.10%	19.78%	24.01%	20.88%	19.05%	17.48%	19.08%	17.71%	19.63%	18.85%	20.67%	22.66%	23.28%	15.36%	23.31%	17.28%	9.26%	8.33%	11.70%	10.04%	15.15%	6.31%	14.63%	4.35%	17.54%	6.94%	20.00%	10.34%	5.63%	6.76%	20.00%	0.00%	15.79%	15.79%	21.05%	20.83%	33.33%	3.45%	2.99%	0.00%	4.23%	7.94%	0.00%	27.78%	30.77%	12.50%	25.00%	9.09%	25.00%	15.38%	14.29%	17.65%	15.79%	20.00%	0.00%	0.00%	26.32%	50.00%	17.65%	16.67%	35.29%	18.75%	25.00%	18.18%	36.84%	8.00%	17.65%	5.26%	10.26%	52.94%	3.03%	11.54%	13.64%	27.27%	11.63%	28.21%	21.05%	21.05%	5.00%	19.05%	25.00%	16.00%	15.79%	14.71%	24.29%	25.81%	26.47%	12.50%	10.71%	10.53%	16.67%	22.22%	6.25%	23.08%	22.22%	9.09%	18.52%	6.67%	9.09%	20.00%	11.76%	5.41%	9.09%	18.18%	25.00%	5.26%	13.64%	19.44%	0.00%	10.00%	10.48%	21.21%	13.04%	21.62%	14.81%	11.90%	13.89%	3.23%	15.38%	18.52%	14.10%	11.11%	10.00%	15.38%	6.67%	46.67%	6.67%	2.78%	7.41%	4.17%	10.00%	5.88%	2.30%	20.00%	11.43%	21.21%	30.61%	17.24%	19.30%	4.44%	15.29%
20	"2. Политическая партия ""Либерально-демократическая партия России"""	21790	164	118	129	200	180	154	163	125	127	130	103	135	144	164	175	150	197	177	174	142	102	120	142	139	196	157	172	153	191	126	179	188	185	104	133	126	145	139	111	134	117	125	16	22	25	83	107	86	99	120	132	74	101	157	118	150	180	197	172	159	161	161	184	163	152	118	149	126	132	85	69	104	145	165	136	117	142	94	126	111	165	99	130	89	145	101	177	120	147	138	17	54	9	49	9	36	27	127	45	63	60	167	103	142	133	133	116	160	177	150	133	187	146	124	156	157	152	181	149	143	143	180	180	186	185	174	157	207	159	172	192	150	160	149	192	152	232	168	249	92	149	168	167	209	173	189	189	173	232	172	52	37	14	14	16	29	19	72	43	5	1	11	0	7	7	8	3	0	0	3	0	6	3	2	2	1	2	3	18	0	6	3	2	4	5	2	3	4	4	6	2	4	5	3	3	3	6	6	5	5	2	2	9	4	3	7	4	22	5	5	8	8	5	4	4	2	4	6	5	3	8	14	3	11	10	2	7	5	1	8	7	3	0	3	10	19	3	4	9	1	7	4	3	16	10	0	5	21	8	8	7	5	11	12	17	12	7	8	13	0	7	12	3	10	12	8	12	2	0	2	1	4	9	5	8	12	7	14
		16.46%	20.15%	16.16%	18.35%	17.75%	20.50%	17.64%	17.30%	15.43%	15.76%	16.13%	16.53%	22.35%	15.40%	20.17%	20.25%	17.94%	20.37%	16.03%	18.37%	16.92%	18.58%	18.32%	22.22%	18.31%	17.38%	14.99%	20.45%	17.43%	19.85%	18.03%	17.11%	20.52%	19.07%	22.32%	20.49%	16.24%	19.18%	20.87%	19.20%	16.75%	14.39%	15.74%	20.25%	11.28%	32.47%	14.43%	14.70%	11.27%	14.06%	12.93%	14.54%	12.48%	13.82%	14.23%	15.09%	16.29%	16.27%	16.06%	15.75%	16.13%	18.21%	14.92%	15.63%	14.29%	14.95%	13.45%	16.78%	15.07%	17.74%	11.97%	12.57%	15.62%	15.52%	15.41%	14.32%	12.96%	12.99%	13.07%	15.37%	13.55%	15.91%	15.16%	14.01%	11.60%	13.93%	13.69%	15.31%	17.60%	23.41%	20.15%	10.83%	12.19%	12.16%	13.39%	19.57%	28.57%	20.77%	27.08%	12.57%	19.21%	17.29%	20.47%	14.74%	14.72%	16.38%	16.26%	18.68%	13.97%	18.65%	13.16%	15.97%	15.81%	14.05%	16.00%	16.77%	15.81%	14.57%	15.35%	15.25%	13.94%	16.07%	16.06%	17.56%	16.67%	17.32%	15.83%	13.40%	19.31%	16.75%	16.70%	18.68%	17.01%	15.15%	11.12%	18.93%	16.54%	19.13%	18.54%	18.58%	15.89%	17.67%	17.68%	18.47%	17.42%	17.40%	15.99%	15.98%	14.84%	18.38%	16.48%	16.99%	15.68%	17.28%	12.96%	14.81%	10.28%	7.34%	21.82%	20.87%	12.20%	2.17%	19.30%	0.00%	10.00%	12.07%	11.27%	4.05%	0.00%	0.00%	15.79%	0.00%	31.58%	12.50%	9.52%	6.90%	1.49%	7.14%	4.23%	28.57%	0.00%	33.33%	23.08%	12.50%	25.00%	22.73%	12.50%	23.08%	28.57%	23.53%	31.58%	10.00%	44.44%	35.71%	15.79%	18.75%	17.65%	33.33%	35.29%	31.25%	20.83%	9.09%	10.53%	36.00%	23.53%	15.79%	17.95%	23.53%	66.67%	19.23%	22.73%	36.36%	18.60%	12.82%	21.05%	21.05%	10.00%	19.05%	21.43%	20.00%	15.79%	23.53%	20.00%	9.68%	32.35%	31.25%	7.14%	36.84%	27.78%	11.11%	50.00%	13.46%	16.67%	0.00%	11.11%	33.33%	21.59%	30.00%	23.53%	24.32%	9.09%	31.82%	33.33%	15.79%	36.36%	27.78%	0.00%	50.00%	20.00%	24.24%	34.78%	18.92%	18.52%	26.19%	33.33%	54.84%	46.15%	25.93%	10.26%	24.07%	0.00%	26.92%	40.00%	10.00%	33.33%	33.33%	29.63%	50.00%	4.00%	0.00%	2.30%	4.00%	5.71%	9.09%	10.20%	13.79%	21.05%	3.89%	16.47%
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1695	9	15	9	21	10	7	9	16	13	5	9	6	16	10	12	7	11	20	11	3	10	11	13	12	10	15	12	9	9	7	12	14	7	5	4	8	7	6	9	15	7	8	1	5	1	10	8	14	9	13	20	4	7	16	8	8	20	19	17	12	9	8	10	16	14	10	12	16	7	5	2	11	17	7	11	15	13	15	12	11	15	10	8	8	20	11	14	9	5	8	3	6	1	7	0	1	4	2	1	4	7	4	7	16	9	7	10	25	11	11	7	13	14	8	13	16	15	22	9	10	12	12	13	12	14	15	18	22	8	8	9	11	14	13	5	18	18	8	13	6	6	13	7	14	6	23	10	15	13	17	4	4	1	2	1	1	0	2	2	0	0	4	0	3	1	1	3	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	2	0	6	0	1	0	0	0	1	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	1	1	3	0	0	1	1	0	0	1	0	0	1	2	0	0	1	0	0	2	1	0	3	1	0	4	0	0	1	0	0	3	1	2	1	0	0	1	2	1	0	1	0	1	2	2	1	2	1	0	0	0	1	2	0	0	1	0	0	0	0	1	3	1	2	0	1	0
		1.28%	1.11%	2.05%	1.28%	1.86%	1.14%	0.80%	0.96%	1.98%	1.61%	0.62%	1.44%	0.99%	1.71%	1.23%	1.39%	0.84%	1.14%	1.81%	1.16%	0.36%	1.82%	1.68%	2.03%	1.58%	0.89%	1.43%	1.43%	1.03%	0.94%	1.00%	1.15%	1.53%	0.72%	1.07%	0.62%	1.03%	0.93%	0.90%	1.56%	1.88%	0.86%	1.01%	1.27%	2.56%	1.30%	1.74%	1.10%	1.83%	1.28%	1.40%	2.20%	0.67%	0.96%	1.45%	1.02%	0.87%	1.81%	1.55%	1.56%	1.22%	1.02%	0.74%	0.85%	1.40%	1.38%	1.14%	1.35%	1.91%	0.94%	0.70%	0.36%	1.65%	1.82%	0.65%	1.16%	1.66%	1.19%	2.09%	1.46%	1.34%	1.45%	1.53%	0.86%	1.04%	1.92%	1.49%	1.21%	1.32%	0.80%	1.17%	1.91%	1.35%	1.35%	1.91%	0.00%	0.79%	3.08%	0.43%	0.28%	1.22%	2.02%	0.49%	1.00%	1.66%	1.11%	0.86%	1.61%	2.18%	1.16%	0.96%	0.84%	1.10%	1.35%	1.03%	1.40%	1.61%	1.44%	1.87%	0.92%	0.97%	1.35%	1.07%	1.27%	1.08%	1.31%	1.36%	1.54%	2.05%	0.84%	0.78%	0.88%	1.25%	1.33%	0.97%	0.49%	1.96%	1.48%	0.88%	0.97%	1.04%	0.71%	1.37%	0.77%	1.17%	0.60%	1.95%	0.85%	1.29%	1.03%	1.63%	1.31%	1.69%	1.23%	1.85%	0.93%	0.35%	0.00%	0.61%	0.97%	0.00%	0.00%	7.02%	0.00%	4.29%	1.72%	1.41%	4.05%	0.00%	0.00%	0.00%	5.26%	5.26%	0.00%	4.76%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	7.69%	12.50%	0.00%	27.27%	0.00%	7.69%	0.00%	0.00%	0.00%	5.00%	22.22%	0.00%	5.26%	0.00%	0.00%	5.56%	0.00%	0.00%	4.17%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	4.55%	2.33%	7.69%	0.00%	0.00%	5.00%	4.76%	0.00%	0.00%	5.26%	0.00%	0.00%	3.23%	5.88%	0.00%	0.00%	5.26%	0.00%	0.00%	12.50%	1.92%	0.00%	27.27%	3.70%	0.00%	4.55%	0.00%	0.00%	2.70%	0.00%	0.00%	25.00%	5.26%	4.55%	2.78%	0.00%	0.00%	0.95%	6.06%	4.35%	0.00%	3.70%	0.00%	2.78%	6.45%	7.69%	3.70%	2.56%	1.85%	0.00%	0.00%	0.00%	3.33%	6.67%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	1.43%	3.03%	2.04%	3.45%	0.00%	0.56%	0.00%
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	29771	196	166	150	307	204	240	261	211	187	172	146	134	202	187	206	209	201	266	200	194	135	123	116	161	249	270	174	183	180	168	207	183	210	92	117	189	143	125	126	191	212	156	6	45	11	153	190	228	147	264	250	164	216	289	203	220	248	286	253	215	196	202	288	301	251	189	241	197	205	161	132	161	200	253	201	273	295	175	198	192	250	135	231	230	244	172	268	153	119	123	30	113	20	75	8	26	20	22	68	27	88	181	144	249	218	181	140	281	193	313	183	275	206	179	197	221	232	303	212	251	183	221	229	238	221	263	291	250	213	232	220	190	237	49	251	213	258	223	261	116	159	201	209	276	211	272	266	257	270	205	82	43	6	11	20	24	31	75	8	8	7	9	0	9	14	6	11	2	0	1	2	2	10	3	1	2	1	4	10	0	1	1	2	5	2	6	1	3	2	10	8	1	3	4	3	3	5	3	1	4	9	4	8	6	8	3	4	4	7	5	1	17	10	3	7	12	8	4	10	7	10	6	15	4	8	8	1	5	5	4	20	3	2	12	7	13	2	6	9	6	1	0	4	6	8	17	3	42	4	7	6	8	7	5	3	0	7	19	14	1	9	10	9	6	13	5	3	6	5	2	0	7	31	8	10	7	7	4
