Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Салаватская городская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617									
		27.10%	18.41%	23.16%	20.09%	31.98%	32.01%	16.67%	22.73%	16.77%	31.91%	28.59%	21.50%	32.07%	31.29%	7.62%	31.04%	32.03%	26.89%	14.31%	14.92%	23.60%	31.22%	31.96%	13.77%	31.98%	32.13%	10.82%	16.13%	23.93%	31.76%	19.59%	25.94%	32.25%	32.01%	16.97%	17.36%	28.93%	30.39%	31.65%	18.61%	29.05%	30.98%	19.59%	31.68%	31.97%	32.01%	12.39%	31.99%	31.99%	32.01%	22.65%	31.05%	29.57%	22.74%	31.65%	19.88%	33.57%	32.01%	18.09%	31.93%	17.02%	21.72%	8.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	209	0	0	1	1	2	0	3	3	3	0	3	2	1	4	0	0	3	0	1	0	8	0	5	3	0	1	3	2	7	2	3	3	8	2	1	2	0	4	1	38	0	4	6	0	4	3	3	2	17	8	11	7	1	2	5	5	2	2	0	3	4	0									
		0.35%	0.00%	0.00%	0.23%	0.10%	0.19%	0.00%	0.55%	0.36%	0.49%	0.00%	0.47%	0.28%	0.13%	0.48%	0.00%	0.00%	0.55%	0.00%	0.23%	0.00%	0.46%	0.00%	0.54%	0.19%	0.00%	0.13%	0.50%	0.21%	0.45%	0.34%	0.33%	0.18%	0.44%	0.20%	0.09%	0.18%	0.00%	0.24%	0.14%	2.73%	0.00%	0.74%	0.41%	0.00%	0.69%	0.52%	0.22%	0.10%	0.70%	0.82%	0.70%	0.57%	0.10%	0.36%	0.59%	0.44%	0.16%	0.35%	0.00%	0.53%	0.41%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5198	26	39	43	101	87	24	74	36	61	74	36	71	78	21	61	115	31	56	25	5	173	42	144	162	177	28	27	40	160	37	51	171	181	51	57	108	122	170	32	124	135	30	146	110	58	39	140	207	243	65	151	123	62	55	60	120	123	34	57	48	65	6									
		8.73%	4.06%	7.34%	9.71%	10.00%	8.41%	6.90%	13.45%	4.37%	10.03%	11.08%	5.61%	9.99%	9.76%	2.54%	12.71%	10.01%	5.71%	8.71%	5.83%	1.87%	9.87%	7.22%	15.62%	10.00%	11.22%	3.52%	4.54%	4.27%	10.37%	6.36%	5.63%	10.14%	10.01%	5.12%	5.13%	9.98%	9.61%	10.00%	4.35%	8.90%	10.25%	5.55%	9.91%	9.99%	9.98%	6.81%	10.29%	10.00%	10.07%	6.63%	9.59%	9.99%	5.95%	9.95%	7.06%	10.66%	9.99%	6.03%	10.00%	8.51%	6.66%	6.06%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
