Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Калуга, Московская"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046									
		1.71%	3.53%	1.26%	1.21%	2.09%	1.32%	1.62%	1.08%	3.12%	1.48%	0.96%	1.24%	0.98%	1.16%	1.63%	1.36%	1.59%	2.02%	1.60%	0.79%	1.81%	2.52%	2.34%	1.27%	1.33%	1.59%	2.30%	2.30%	1.67%	0.95%	1.35%	2.48%	1.47%	2.58%	2.46%	1.15%	1.45%	2.21%	2.35%	1.92%	1.23%	2.99%	1.95%	0.63%	0.76%	1.87%	1.80%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	38	0	0	0	3	0	0	1	1	0	0	0	1	0	1	0	0	1	2	1	2	1	2	1	1	2	0	1	0	1	0	0	1	1	1	0	2	0	3	1	3	1	1	0	0	2	0									
		0.11%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.12%	0.12%	0.00%	0.00%	0.00%	0.14%	0.00%	0.15%	0.00%	0.00%	0.18%	0.29%	0.16%	0.19%	0.09%	0.43%	0.12%	0.12%	0.23%	0.00%	0.14%	0.00%	0.19%	0.00%	0.00%	0.15%	0.15%	0.12%	0.00%	0.24%	0.00%	0.32%	0.14%	0.31%	0.10%	0.20%	0.00%	0.00%	0.93%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	913	9	27	18	29	16	17	18	23	23	10	14	7	20	12	26	15	12	20	20	37	31	11	32	28	21	13	28	11	20	4	25	17	27	30	18	27	35	39	29	35	40	3	6	1	1	8									
		2.76%	2.45%	2.83%	2.18%	3.19%	2.11%	2.12%	2.15%	2.76%	2.84%	1.92%	2.17%	0.98%	2.59%	1.78%	2.52%	2.16%	2.21%	2.91%	3.17%	3.52%	2.89%	2.34%	3.70%	3.39%	2.39%	2.72%	4.02%	2.30%	3.80%	0.60%	3.45%	2.50%	4.10%	3.52%	3.45%	3.26%	4.08%	4.17%	3.97%	3.60%	3.86%	0.59%	0.63%	0.25%	0.47%	4.79%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5674	56	156	155	140	123	110	144	139	161	96	94	91	139	108	149	112	66	101	95	193	214	105	189	142	150	81	128	92	97	135	124	98	107	153	97	140	165	177	142	173	174	76	148	70	34	35									
		17.17%	15.22%	16.35%	18.74%	15.42%	16.21%	13.73%	17.20%	16.67%	19.90%	18.43%	14.60%	12.80%	17.98%	16.00%	14.42%	16.16%	12.13%	14.68%	15.06%	18.36%	19.96%	22.34%	21.82%	17.19%	17.08%	16.95%	18.39%	19.25%	18.44%	20.30%	17.10%	14.43%	16.26%	17.96%	18.58%	16.89%	19.23%	18.91%	19.45%	17.80%	16.81%	14.84%	15.56%	17.68%	15.89%	20.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	199	1	6	5	5	4	1	2	6	6	0	3	6	5	4	5	4	4	5	4	8	2	7	3	6	3	4	6	2	2	1	4	8	3	5	4	2	9	7	5	9	10	3	7	3	0	0									
		0.60%	0.27%	0.63%	0.60%	0.55%	0.53%	0.12%	0.24%	0.72%	0.74%	0.00%	0.47%	0.84%	0.65%	0.59%	0.48%	0.58%	0.74%	0.73%	0.63%	0.76%	0.19%	1.49%	0.35%	0.73%	0.34%	0.84%	0.86%	0.42%	0.38%	0.15%	0.55%	1.18%	0.46%	0.59%	0.77%	0.24%	1.05%	0.75%	0.68%	0.93%	0.97%	0.59%	0.74%	0.76%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2851	46	85	93	80	89	70	97	97	89	53	56	65	59	69	114	50	21	65	32	68	105	37	69	62	68	31	48	51	58	57	48	59	52	82	26	71	85	78	69	108	99	22	28	21	9	10									
		8.63%	12.50%	8.91%	11.25%	8.81%	11.73%	8.74%	11.59%	11.63%	11.00%	10.17%	8.70%	9.14%	7.63%	10.22%	11.04%	7.22%	3.86%	9.45%	5.07%	6.47%	9.79%	7.87%	7.97%	7.51%	7.74%	6.49%	6.90%	10.67%	11.03%	8.57%	6.62%	8.69%	7.90%	9.62%	4.98%	8.56%	9.91%	8.33%	9.45%	11.11%	9.57%	4.30%	2.94%	5.30%	4.21%	5.99%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
