Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Балахтинская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	175	10	10	10	5	5	10	4	2	2	4	2	5	2	2	15	5	2	1	2	2	5	2	2	4	2	6	2	2	2	5	2	2	8	2	2	2	5	2	2	2	5	1	5	1	1	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	6	6	3	3	1	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	0	0	2	0	0	1	0	0	0	0	0	3	1	0	15	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	2	1	2	0	0	1	0	1	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	137	4	4	7	2	4	10	4	2	2	4	2	5	2	2	7	4	2	1	2	2	5	2	2	4	2	6	2	2	2	2	2	2	3	1	1	2	5	2	2	2	5	1	5	1	1	1					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	"1. ""ЕДИНЕНИЕ"""	193	4	8	10	5	4	5	5	3	4	5	0	9	3	2	5	8	1	0	1	5	5	1	5	2	2	11	2	0	0	11	1	2	18	0	1	4	6	5	2	2	3	3	14	5	1	0					
		1.70%	0.59%	1.71%	1.55%	1.20%	0.94%	0.93%	2.02%	3.09%	3.63%	2.09%	0.0%	1.82%	2.72%	1.83%	0.75%	2.09%	1.13%	0.0%	0.64%	3.90%	1.53%	1.14%	2.61%	0.96%	4.0%	2.05%	1.57%	0.0%	0.0%	3.00%	0.79%	2.22%	2.24%	0.0%	0.73%	3.05%	1.66%	3.70%	2.24%	1.56%	0.79%	5.66%	4.20%	9.80%	3.70%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	161	25	6	14	9	22	3	2	1	2	2	0	8	0	0	14	4	0	0	0	2	1	0	1	1	1	11	0	1	2	2	1	1	11	0	0	0	4	2	0	0	3	0	5	0	0	0					
		1.42%	3.74%	1.28%	2.17%	2.17%	5.20%	0.55%	0.80%	1.03%	1.81%	0.83%	0.0%	1.61%	0.0%	0.0%	2.12%	1.04%	0.0%	0.0%	0.0%	1.56%	0.30%	0.0%	0.52%	0.48%	2.0%	2.05%	0.0%	0.98%	1.39%	0.54%	0.79%	1.11%	1.37%	0.0%	0.0%	0.0%	1.10%	1.48%	0.0%	0.0%	0.79%	0.0%	1.50%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	296	10	7	17	16	1	18	10	2	3	4	4	12	3	1	13	11	1	1	6	5	9	1	4	0	0	9	11	0	2	12	0	1	33	2	4	4	10	10	1	1	14	1	16	3	1	2					
		2.61%	1.49%	1.49%	2.64%	3.86%	0.23%	3.35%	4.04%	2.06%	2.72%	1.67%	3.00%	2.42%	2.72%	0.91%	1.96%	2.87%	1.13%	1.63%	3.84%	3.90%	2.76%	1.14%	2.09%	0.0%	0.0%	1.68%	8.66%	0.0%	1.39%	3.27%	0.0%	1.11%	4.11%	1.53%	2.94%	3.05%	2.77%	7.40%	1.12%	0.78%	3.72%	1.88%	4.80%	5.88%	3.70%	4.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	192	24	15	16	13	14	17	3	0	1	1	2	5	2	0	9	7	1	0	3	0	4	1	3	2	0	8	0	0	1	3	0	2	18	0	1	0	5	0	1	1	3	0	6	0	0	0					
		1.69%	3.59%	3.21%	2.48%	3.14%	3.30%	3.17%	1.21%	0.0%	0.90%	0.41%	1.50%	1.01%	1.81%	0.0%	1.36%	1.83%	1.13%	0.0%	1.92%	0.0%	1.22%	1.14%	1.57%	0.96%	0.0%	1.49%	0.0%	0.0%	0.69%	0.81%	0.0%	2.22%	2.24%	0.0%	0.73%	0.0%	1.38%	0.0%	1.12%	0.78%	0.79%	0.0%	1.80%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	52	6	2	6	2	1	0	0	1	1	2	1	3	0	1	5	1	0	1	3	0	0	0	0	0	0	1	0	3	2	0	1	0	3	0	0	0	2	0	0	1	1	0	1	0	0	1					
		0.45%	0.89%	0.42%	0.93%	0.48%	0.23%	0.0%	0.0%	1.03%	0.90%	0.83%	0.75%	0.60%	0.0%	0.91%	0.75%	0.26%	0.0%	1.63%	1.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	2.94%	1.39%	0.0%	0.79%	0.0%	0.37%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.78%	0.26%	0.0%	0.30%	0.0%	0.0%	2.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	2	1	1	2	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0					
		0.23%	0.29%	0.21%	0.15%	0.48%	0.47%	0.18%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.56%	1.57%	0.0%	0.0%	0.0%	0.79%	1.11%	0.0%	0.76%	0.73%	0.0%	0.0%	0.0%	1.12%	0.78%	0.26%	0.0%	0.30%	1.96%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	8	0	5	5	4	5	2	0	0	1	0	1	0	0	3	2	1	0	1	1	2	1	1	2	0	3	0	0	1	1	3	0	3	1	0	0	2	0	0	0	3	0	1	0	0	1					
		0.56%	1.19%	0.0%	0.77%	1.20%	0.94%	0.93%	0.80%	0.0%	0.0%	0.41%	0.0%	0.20%	0.0%	0.0%	0.45%	0.52%	1.13%	0.0%	0.64%	0.78%	0.61%	1.14%	0.52%	0.96%	0.0%	0.56%	0.0%	0.0%	0.69%	0.27%	2.38%	0.0%	0.37%	0.76%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.79%	0.0%	0.30%	0.0%	0.0%	2.0%					
25	"8. ""Народно-республиканская партия России"""	22	0	0	0	2	0	0	1	0	0	0	0	1	1	1	0	1	0	4	0	0	1	0	0	0	0	3	0	0	1	0	0	0	1	2	0	1	1	0	1	0	0	0	0	0	0	0					
		0.19%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.20%	0.90%	0.91%	0.0%	0.26%	0.0%	6.55%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.12%	1.53%	0.0%	0.76%	0.27%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	0	0	3	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0					
		0.12%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.20%	0.90%	0.0%	0.0%	0.0%	1.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	2.24%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	744	33	18	23	23	16	25	12	3	5	27	21	34	4	4	19	42	9	16	15	12	27	6	27	20	7	52	15	1	12	42	6	4	41	7	7	10	22	8	10	7	28	4	16	2	2	0					
		6.57%	4.94%	3.85%	3.57%	5.55%	3.78%	4.66%	4.85%	3.09%	4.54%	11.29%	15.78%	6.88%	3.63%	3.66%	2.87%	10.99%	10.22%	26.22%	9.61%	9.37%	8.28%	6.89%	14.13%	9.61%	14.0%	9.73%	11.81%	0.98%	8.39%	11.47%	4.76%	4.44%	5.11%	5.38%	5.14%	7.63%	6.09%	5.92%	11.23%	5.46%	7.44%	7.54%	4.80%	3.92%	7.40%	0.0%					
28	"11. ""Истинные патриоты России"""	11	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.83%	0.75%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	102	6	3	3	4	2	4	1	1	1	6	2	4	2	2	5	4	3	1	1	0	3	1	7	1	0	5	4	2	2	1	0	0	4	0	0	3	0	0	2	4	1	2	2	2	0	1					
		0.90%	0.89%	0.64%	0.46%	0.96%	0.47%	0.74%	0.40%	1.03%	0.90%	2.51%	1.50%	0.80%	1.81%	1.83%	0.75%	1.04%	3.40%	1.63%	0.64%	0.0%	0.92%	1.14%	3.66%	0.48%	0.0%	0.93%	3.14%	1.96%	1.39%	0.27%	0.0%	0.0%	0.49%	0.0%	0.0%	2.29%	0.0%	0.0%	2.24%	3.12%	0.26%	3.77%	0.60%	3.92%	0.0%	2.0%					
30	"13. ""Демократическая партия России"""	26	0	1	0	1	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	3	1	0	0	1	0	0	3	0	1	0	1	0	1	2	1	0	1	0	0	0					
		0.22%	0.0%	0.21%	0.0%	0.24%	0.23%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.22%	0.0%	0.0%	0.0%	0.0%	0.56%	0.78%	0.0%	0.0%	0.27%	0.0%	0.0%	0.37%	0.0%	0.73%	0.0%	0.27%	0.0%	1.12%	1.56%	0.26%	0.0%	0.30%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	21	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	4	0	1	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0					
		0.18%	0.0%	0.0%	0.15%	0.24%	0.0%	0.18%	0.0%	1.03%	0.0%	0.0%	0.0%	0.20%	0.90%	0.91%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.18%	0.78%	3.92%	0.0%	0.27%	0.0%	1.11%	0.24%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	10	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.31%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.78%	0.0%	0.69%	0.0%	0.0%	0.0%	0.12%	0.0%	0.73%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1492	147	111	103	69	92	74	39	6	9	26	8	45	9	3	169	51	7	7	9	6	34	15	9	30	4	52	8	19	29	27	7	9	110	11	7	6	33	8	13	8	30	6	20	1	0	6					
		13.18%	22.00%	23.76%	16.01%	16.66%	21.74%	13.80%	15.78%	6.18%	8.18%	10.87%	6.01%	9.10%	8.18%	2.75%	25.60%	13.35%	7.95%	11.47%	5.76%	4.68%	10.42%	17.24%	4.71%	14.42%	8.0%	9.73%	6.29%	18.62%	20.27%	7.37%	5.55%	10.0%	13.73%	8.46%	5.14%	4.58%	9.14%	5.92%	14.60%	6.25%	7.97%	11.32%	6.00%	1.96%	0.0%	12.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	43	1	0	2	5	0	6	0	0	0	1	0	3	1	0	2	3	0	1	1	0	0	0	1	0	1	3	0	0	4	2	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0					
		0.37%	0.14%	0.0%	0.31%	1.20%	0.0%	1.11%	0.0%	0.0%	0.0%	0.41%	0.0%	0.60%	0.90%	0.0%	0.30%	0.78%	0.0%	1.63%	0.64%	0.0%	0.0%	0.0%	0.52%	0.0%	2.0%	0.56%	0.0%	0.0%	2.79%	0.54%	0.79%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	3.70%	0.0%					
35	"18. ""ЛДПР"""	1460	65	45	87	36	64	75	28	14	31	19	17	79	8	18	94	47	20	7	19	21	34	9	30	12	5	63	33	5	26	45	19	15	92	30	36	17	48	9	12	21	56	7	31	9	0	2					
		12.90%	9.73%	9.63%	13.53%	8.69%	15.13%	13.99%	11.33%	14.43%	28.18%	7.94%	12.78%	15.99%	7.27%	16.51%	14.24%	12.30%	22.72%	11.47%	12.17%	16.40%	10.42%	10.34%	15.70%	5.76%	10.0%	11.79%	25.98%	4.90%	18.18%	12.29%	15.07%	16.66%	11.48%	23.07%	26.47%	12.97%	13.29%	6.66%	13.48%	16.40%	14.89%	13.20%	9.30%	17.64%	0.0%	4.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	190	9	8	18	7	6	7	3	5	1	3	4	5	3	1	12	5	2	1	0	5	4	1	6	1	0	9	2	2	1	6	2	1	12	1	0	1	5	4	0	0	10	1	8	4	4	0					
		1.67%	1.34%	1.71%	2.79%	1.69%	1.41%	1.30%	1.21%	5.15%	0.90%	1.25%	3.00%	1.01%	2.72%	0.91%	1.81%	1.30%	2.27%	1.63%	0.0%	3.90%	1.22%	1.14%	3.14%	0.48%	0.0%	1.68%	1.57%	1.96%	0.69%	1.63%	1.58%	1.11%	1.49%	0.76%	0.0%	0.76%	1.38%	2.96%	0.0%	0.0%	2.65%	1.88%	2.40%	7.84%	14.81%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	3705	200	154	194	127	106	160	94	33	22	92	28	181	43	44	202	101	27	8	67	51	151	29	44	66	11	209	30	55	37	118	44	7	321	34	31	42	150	54	25	41	129	13	110	5	7	8					
		32.74%	29.94%	32.97%	30.17%	30.67%	25.05%	29.85%	38.05%	34.02%	20.0%	38.49%	21.05%	36.63%	39.09%	40.36%	30.60%	26.43%	30.68%	13.11%	42.94%	39.84%	46.31%	33.33%	23.03%	31.73%	22.0%	39.13%	23.62%	53.92%	25.87%	32.24%	34.92%	7.77%	40.07%	26.15%	22.79%	32.06%	41.55%	40.0%	28.08%	32.03%	34.30%	24.52%	33.03%	9.80%	25.92%	16.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	0	0	2	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0					
		0.14%	0.0%	0.0%	0.31%	0.24%	0.0%	0.18%	0.0%	0.0%	0.0%	0.83%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	1.04%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%					
39	"22. ""Развитие предпринимательства"""	28	2	2	2	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	1	3	0	1	0	0	0	0	1	1	0	2	1	0	0					
		0.24%	0.29%	0.42%	0.31%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.90%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.39%	0.81%	0.0%	1.11%	0.37%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.78%	0.26%	0.0%	0.60%	1.96%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1692	84	57	98	50	60	99	32	21	23	32	28	58	19	28	74	68	11	11	12	14	31	8	40	58	12	61	10	5	13	61	26	40	80	22	26	36	49	16	11	31	60	11	75	13	4	14					
		14.95%	12.57%	12.20%	15.24%	12.07%	14.18%	18.47%	12.95%	21.64%	20.90%	13.38%	21.05%	11.74%	17.27%	25.68%	11.21%	17.80%	12.5%	18.03%	7.69%	10.93%	9.50%	9.19%	20.94%	27.88%	24.0%	11.42%	7.87%	4.90%	9.09%	16.66%	20.63%	44.44%	9.98%	16.92%	19.11%	27.48%	13.57%	11.85%	12.35%	24.21%	15.95%	20.75%	22.52%	25.49%	14.81%	28.0%					
																																																					
41	Против всех	502	35	15	28	25	19	24	9	5	6	4	11	22	7	2	26	18	3	0	12	6	5	9	6	9	3	13	3	2	4	14	10	2	24	7	12	6	15	11	5	2	21	1	20	5	6	10					
		4.43%	5.23%	3.21%	4.35%	6.03%	4.49%	4.47%	3.64%	5.15%	5.45%	1.67%	8.27%	4.45%	6.36%	1.83%	3.93%	4.71%	3.40%	0.0%	7.69%	4.68%	1.53%	10.34%	3.14%	4.32%	6.0%	2.43%	2.36%	1.96%	2.79%	3.82%	7.93%	2.22%	2.99%	5.38%	8.82%	4.58%	4.15%	8.14%	5.61%	1.56%	5.58%	1.88%	6.00%	9.80%	22.22%	20.0%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
