Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Валуйская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365					
12	Число выданных открепительных удостоверений	179	5	3	15	13	0	6	2	2	2	7	2	3	20	9	6	2	0	1	1	0	1	4	3	2	0	0	0	0	3	1	0	0	2	0	0	3	5	0	1	2	1	10	0	1	3	0	2	1	0	0	5	3	0	5	0	4	0	0	1	1	0	0	3	3	2	5	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	157	8	2	7	8	7	4	3	1	8	9	13	5	8	14	3	2	1	0	0	3	1	1	2	8	0	0	0	0	1	0	0	0	2	2	1	1	3	0	0	2	0	3	0	1	3	1	0	0	0	3	0	0	1	0	1	1	0	1	1	0	0	1	1	1	2	5	0	0	1					
14	Число неиспользованных открепительных удостоверений	316	15	12	5	2	0	9	13	13	13	8	13	12	0	6	9	1	3	4	2	3	9	6	0	8	3	3	3	3	0	4	3	5	1	3	10	5	5	2	1	0	2	0	2	2	2	10	1	2	2	2	1	1	2	5	4	6	2	5	1	1	2	2	0	9	10	7	11	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																												
18	. Глазьев Сергей Юрьевич	1320	70	48	37	74	2	39	52	31	39	37	32	48	110	92	73	9	4	10	7	3	14	27	1	18	3	3	2	6	4	4	2	8	9	12	9	10	21	2	2	9	1	17	1	4	7	23	14	18	2	2	13	5	3	5	6	19	19	4	4	2	5	2	3	41	22	29	28	4	34					
		3.35%	4.92%	6.85%	2.59%	4.78%	1.01%	3.57%	5.14%	4.29%	5.14%	3.03%	3.41%	3.66%	6.41%	5.21%	5.12%	3.85%	1.83%	2.16%	2.75%	1.28%	2.51%	3.03%	0.37%	2.79%	2.52%	1.91%	3.51%	3.47%	2.06%	1.40%	0.89%	3.25%	2.62%	7.23%	1.40%	1.40%	1.89%	3.77%	1.28%	2.28%	0.55%	2.65%	1.47%	1.63%	1.75%	2.40%	4.64%	5.17%	2.06%	1.67%	2.40%	1.30%	1.59%	1.96%	1.88%	1.42%	3.88%	1.03%	1.51%	1.30%	2.00%	1.19%	1.04%	3.78%	2.81%	2.63%	2.89%	1.48%	4.77%					
19	. Малышкин Олег Александрович	1333	64	29	31	50	3	27	25	23	22	27	27	52	70	72	48	7	17	23	8	11	36	32	7	25	5	3	3	5	1	8	6	8	6	9	23	18	35	1	10	14	13	26	0	1	17	30	4	10	1	2	11	5	9	22	2	39	18	15	5	6	6	4	20	30	36	30	30	14	36					
		3.39%	4.50%	4.14%	2.17%	3.23%	1.51%	2.47%	2.47%	3.18%	2.90%	2.21%	2.88%	3.96%	4.08%	4.08%	3.37%	2.99%	7.76%	4.98%	3.14%	4.70%	6.46%	3.59%	2.61%	3.87%	4.20%	1.91%	5.26%	2.89%	0.52%	2.80%	2.68%	3.25%	1.75%	5.42%	3.57%	2.52%	3.16%	1.89%	6.41%	3.55%	7.18%	4.05%	0.00%	0.41%	4.26%	3.13%	1.32%	2.87%	1.03%	1.67%	2.03%	1.30%	4.76%	8.63%	0.63%	2.91%	3.67%	3.86%	1.89%	3.90%	2.40%	2.38%	6.94%	2.77%	4.59%	2.72%	3.10%	5.17%	5.05%					
20	. Миронов Сергей Михайлович	313	12	2	6	13	6	11	7	1	1	9	6	7	14	12	12	1	1	3	2	0	6	10	3	11	0	1	0	2	1	4	0	2	4	0	5	9	2	1	0	7	2	6	0	3	6	7	4	0	1	0	1	3	5	1	0	5	5	3	2	0	1	0	2	35	4	5	9	0	9					
		0.79%	0.84%	0.29%	0.42%	0.84%	3.02%	1.01%	0.69%	0.14%	0.13%	0.74%	0.64%	0.53%	0.82%	0.68%	0.84%	0.43%	0.46%	0.65%	0.78%	0.00%	1.08%	1.12%	1.12%	1.70%	0.00%	0.64%	0.00%	1.16%	0.52%	1.40%	0.00%	0.81%	1.17%	0.00%	0.78%	1.26%	0.18%	1.89%	0.00%	1.78%	1.10%	0.93%	0.00%	1.22%	1.50%	0.73%	1.32%	0.00%	1.03%	0.00%	0.18%	0.78%	2.65%	0.39%	0.00%	0.37%	1.02%	0.77%	0.75%	0.00%	0.40%	0.00%	0.69%	3.23%	0.51%	0.45%	0.93%	0.00%	1.26%					
21	. Путин Владимир Владимирович	21856	655	378	755	767	130	498	535	472	399	748	593	773	914	969	791	153	132	222	146	125	296	437	150	285	56	58	11	79	141	110	94	144	225	70	444	435	775	22	90	224	112	314	29	119	236	548	208	208	71	57	298	222	126	121	166	707	285	266	147	103	156	50	163	539	445	703	582	167	407					
		55.50%	46.06%	53.92%	52.87%	49.58%	65.33%	45.60%	52.87%	65.28%	52.57%	61.26%	63.15%	58.92%	53.29%	54.87%	55.47%	65.38%	60.27%	48.05%	57.25%	53.42%	53.14%	48.99%	55.97%	44.12%	47.06%	36.94%	19.30%	45.66%	72.68%	38.46%	41.96%	58.54%	65.60%	42.17%	68.84%	61.01%	69.88%	41.51%	57.69%	56.85%	61.88%	48.91%	42.65%	48.37%	59.15%	57.26%	68.87%	59.77%	73.20%	47.50%	55.08%	57.81%	66.67%	47.45%	52.04%	52.72%	58.16%	68.38%	55.47%	66.88%	62.40%	29.76%	56.60%	49.72%	56.76%	63.85%	60.12%	61.62%	57.08%					
22	. Хакамада Ирина Муцуовна	903	35	23	70	44	6	54	25	13	23	24	24	27	40	51	40	4	0	11	7	4	8	16	4	15	2	2	0	6	3	2	7	1	7	4	0	23	18	2	2	11	0	23	4	8	11	16	5	4	0	3	7	2	7	3	5	18	6	7	4	2	1	6	3	48	8	16	20	0	8					
		2.29%	2.46%	3.28%	4.90%	2.84%	3.02%	4.95%	2.47%	1.80%	3.03%	1.97%	2.56%	2.06%	2.33%	2.89%	2.81%	1.71%	0.00%	2.38%	2.75%	1.71%	1.44%	1.79%	1.49%	2.32%	1.68%	1.27%	0.00%	3.47%	1.55%	0.70%	3.12%	0.41%	2.04%	2.41%	0.00%	3.23%	1.62%	3.77%	1.28%	2.79%	0.00%	3.58%	5.88%	3.25%	2.76%	1.67%	1.66%	1.15%	0.00%	2.50%	1.29%	0.52%	3.70%	1.18%	1.57%	1.34%	1.22%	1.80%	1.51%	1.30%	0.40%	3.57%	1.04%	4.43%	1.02%	1.45%	2.07%	0.00%	1.12%					
23	. Харитонов Николай Михайлович	11635	471	170	427	488	41	373	306	149	235	251	193	346	463	487	393	47	63	165	75	86	169	320	87	263	48	87	40	70	41	152	107	79	81	62	133	185	232	25	47	111	48	228	33	99	113	289	51	94	21	51	190	125	39	87	136	518	139	75	89	33	75	96	87	300	236	269	262	83	201					
		29.55%	33.12%	24.25%	29.90%	31.54%	20.60%	34.16%	30.24%	20.61%	30.96%	20.56%	20.55%	26.37%	27.00%	27.58%	27.56%	20.09%	28.77%	35.71%	29.41%	36.75%	30.34%	35.87%	32.46%	40.71%	40.34%	55.41%	70.18%	40.46%	21.13%	53.15%	47.77%	32.11%	23.62%	37.35%	20.62%	25.95%	20.92%	47.17%	30.13%	28.17%	26.52%	35.51%	48.53%	40.24%	28.32%	30.20%	16.89%	27.01%	21.65%	42.50%	35.12%	32.55%	20.63%	34.12%	42.63%	38.63%	28.37%	19.28%	33.58%	21.43%	30.00%	57.14%	30.21%	27.68%	30.10%	24.43%	27.07%	30.63%	28.19%					
																																																																												
24	Против всех	1643	102	44	83	98	11	85	58	30	35	114	55	53	84	68	63	8	1	23	7	4	21	35	11	23	2	1	1	4	3	6	8	2	10	4	21	23	20	0	3	15	4	17	0	7	5	33	15	13	1	3	17	10	0	11	4	25	12	13	12	5	3	8	5	69	29	38	27	1	17					
		4.17%	7.17%	6.28%	5.81%	6.33%	5.53%	7.78%	5.73%	4.15%	4.61%	9.34%	5.86%	4.04%	4.90%	3.85%	4.42%	3.42%	0.46%	4.98%	2.75%	1.71%	3.77%	3.92%	4.10%	3.56%	1.68%	0.64%	1.75%	2.31%	1.55%	2.10%	3.57%	0.81%	2.92%	2.41%	3.26%	3.23%	1.80%	0.00%	1.92%	3.81%	2.21%	2.65%	0.00%	2.85%	1.25%	3.45%	4.97%	3.74%	1.03%	2.50%	3.14%	2.60%	0.00%	4.31%	1.25%	1.86%	2.45%	3.34%	4.53%	3.25%	1.20%	4.76%	1.74%	6.37%	3.70%	3.45%	2.79%	0.37%	2.38%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
