Выборы Президента Российской Федерации																																																																											
																																																																											
"Наименование Избирательной комиссии:    Чебоксары, Московская"																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945					
		1.55%	1.32%	1.73%	1.31%	1.26%	1.30%	1.57%	1.78%	1.77%	1.05%	1.35%	1.57%	0.90%	2.10%	1.37%	2.08%	1.93%	0.92%	1.57%	1.28%	1.46%	1.22%	1.47%	1.33%	1.40%	1.40%	1.82%	1.08%	1.27%	1.71%	0.96%	0.90%	1.29%	1.14%	4.31%	1.13%	1.30%	2.21%	1.46%	1.67%	1.26%	2.15%	1.83%	1.75%	2.42%	0.97%	1.76%	1.85%	1.70%	1.01%	1.16%	1.66%	1.80%	2.02%	1.92%	1.29%	1.69%	2.37%	3.49%	0.77%	0.96%	2.26%	1.85%	0.00%	2.36%	0.85%	2.96%	0.70%	0.91%					
20	. Миронов Сергей Михайлович	498	1	6	11	18	12	20	10	9	9	10	9	10	11	10	9	8	9	9	7	9	2	6	1	3	8	4	10	9	8	12	6	7	5	10	3	2	7	5	10	8	5	5	6	9	8	13	9	9	13	8	8	11	12	10	13	7	10	5	2	1	1	3	0	0	4	0	1	2					
		0.58%	0.22%	0.41%	0.62%	1.08%	0.68%	1.04%	0.59%	0.57%	0.63%	0.85%	0.59%	0.60%	0.66%	0.72%	0.69%	0.45%	0.59%	0.61%	0.53%	0.60%	0.12%	0.59%	0.12%	0.23%	0.62%	0.29%	0.77%	0.57%	0.55%	0.64%	0.36%	0.50%	0.47%	1.31%	0.24%	0.32%	0.59%	0.38%	0.67%	0.56%	0.38%	0.34%	0.58%	0.60%	0.52%	0.82%	0.57%	0.51%	0.77%	0.49%	0.51%	0.62%	0.71%	0.57%	0.84%	0.47%	0.70%	1.16%	1.54%	0.48%	0.38%	0.93%	0.00%	0.00%	0.85%	0.00%	0.23%	0.36%					
21	. Путин Владимир Владимирович	58133	305	977	1192	1156	1192	1265	1137	1054	969	780	935	1063	1094	849	788	1095	966	1007	923	998	1085	722	636	849	832	1006	947	1199	1006	1359	1015	901	676	515	869	423	793	848	1064	954	881	1003	738	1042	1185	1086	1075	1157	1207	1119	1030	1220	1165	1251	1058	961	932	320	96	144	208	210	76	219	349	161	355	441					
		67.87%	67.33%	67.47%	67.69%	69.10%	67.15%	66.06%	67.44%	66.62%	67.95%	66.05%	60.99%	63.46%	65.59%	61.34%	60.80%	62.22%	63.22%	68.74%	69.66%	66.31%	63.23%	70.92%	76.63%	66.17%	64.80%	73.22%	73.07%	76.42%	68.62%	72.67%	60.85%	64.59%	64.20%	67.32%	70.14%	68.67%	67.26%	64.98%	71.03%	66.71%	67.77%	67.82%	71.58%	69.93%	76.55%	68.13%	68.60%	65.59%	71.59%	68.44%	65.81%	68.46%	69.30%	70.72%	68.08%	64.89%	65.08%	74.42%	73.85%	69.23%	78.49%	64.81%	80.00%	73.99%	74.41%	79.31%	82.94%	80.33%					
22	. Хакамада Ирина Муцуовна	3843	11	69	115	90	76	94	71	72	64	37	89	78	78	68	67	94	70	100	79	70	101	44	32	61	59	48	48	60	60	101	101	57	59	43	89	8	51	46	32	52	46	52	27	61	54	90	84	81	74	92	71	55	83	79	51	65	43	17	7	6	11	4	0	8	14	1	8	15					
		4.49%	2.43%	4.77%	6.53%	5.38%	4.28%	4.91%	4.21%	4.55%	4.49%	3.13%	5.81%	4.66%	4.68%	4.91%	5.17%	5.34%	4.58%	6.83%	5.96%	4.65%	5.89%	4.32%	3.86%	4.75%	4.60%	3.49%	3.70%	3.82%	4.09%	5.40%	6.06%	4.09%	5.60%	5.62%	7.18%	1.30%	4.33%	3.52%	2.14%	3.64%	3.54%	3.52%	2.62%	4.09%	3.49%	5.65%	5.36%	4.59%	4.39%	5.63%	4.54%	3.09%	4.94%	4.47%	3.28%	4.39%	3.00%	3.95%	5.38%	2.88%	4.15%	1.23%	0.00%	2.70%	2.99%	0.49%	1.87%	2.73%					
23	. Харитонов Николай Михайлович	14371	104	239	266	244	316	294	287	300	228	228	327	334	293	304	259	348	331	209	173	283	346	142	88	249	262	176	188	151	264	217	323	275	183	73	140	114	194	275	257	293	253	243	161	212	186	230	247	324	235	267	286	321	253	253	304	325	289	43	17	34	28	70	13	25	65	28	37	45					
		16.78%	22.96%	16.51%	15.11%	14.58%	17.80%	15.35%	17.02%	18.96%	15.99%	19.31%	21.33%	19.94%	17.57%	21.97%	19.98%	19.77%	21.66%	14.27%	13.06%	18.80%	20.16%	13.95%	10.60%	19.41%	20.40%	12.81%	14.51%	9.62%	18.01%	11.60%	19.36%	19.71%	17.38%	9.54%	11.30%	18.51%	16.45%	21.07%	17.16%	20.49%	19.46%	16.43%	15.62%	14.23%	12.02%	14.43%	15.76%	18.37%	13.94%	16.33%	18.27%	18.01%	15.05%	14.30%	19.56%	21.94%	20.18%	10.00%	13.08%	16.35%	10.57%	21.60%	13.68%	8.45%	13.86%	13.79%	8.64%	8.20%					
																																																																											
24	Против всех	2876	4	56	64	46	57	73	54	39	42	36	57	61	62	55	51	65	43	51	42	50	62	47	22	35	33	51	48	88	47	89	57	47	39	59	40	18	31	44	45	41	43	53	33	55	45	67	44	58	57	53	49	53	47	51	50	28	42	13	3	12	4	8	2	11	9	6	16	13					
		3.36%	0.88%	3.87%	3.63%	2.75%	3.21%	3.81%	3.20%	2.47%	2.95%	3.05%	3.72%	3.64%	3.72%	3.97%	3.94%	3.69%	2.81%	3.48%	3.17%	3.32%	3.61%	4.62%	2.65%	2.73%	2.57%	3.71%	3.70%	5.61%	3.21%	4.76%	3.42%	3.37%	3.70%	7.71%	3.23%	2.92%	2.63%	3.37%	3.00%	2.87%	3.31%	3.58%	3.20%	3.69%	2.91%	4.20%	2.81%	3.29%	3.38%	3.24%	3.13%	2.97%	2.80%	2.88%	3.22%	1.89%	2.93%	3.02%	2.31%	5.77%	1.51%	2.47%	2.11%	3.72%	1.92%	2.96%	3.74%	2.37%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
