Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Белокалитвинская районная																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №131	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №1713	УИК №2481	УИК №2574	УИК №2581	УИК №2591					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2836	80	55	35	35	20	20	35	35	55	35	55	35	30	35	50	45	60	25	25	35	45	55	35	35	25	15	15	35	35	25	5	25	25	15	80	80	80	50	80	50	90	50	25	20	35	25	5	10	60	45	15	50	91	35	25	70	25	25	25	25	30	10	35	25	25	40	55	20	25	15	105	15	15	45	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2412	76	33	31	28	10	14	33	31	44	30	37	28	29	29	46	43	45	25	25	35	45	47	35	19	11	15	15	35	35	25	5	19	25	15	75	65	67	37	80	48	90	36	25	20	35	9	2	8	42	45	12	50	91	35	25	56	17	18	18	14	15	7	31	6	25	40	55	17	4	9	94	15	15	28	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	847	16	41	13	20	38	16	60	33	11	38	34	36	17	14	12	25	29	36	5	3	6	16	8	7	7	5	4	1	13	7	3	2	6	5	9	19	4	10	12	11	10	25	1	7	20	6	10	4	10	1	3	2	4	5	4	11	4	8	6	1	5	1	6	2	1	6	4	3	1	4	9	3	4	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	424	4	22	4	7	10	6	2	4	11	5	18	7	1	6	4	2	15	0	0	0	0	8	0	16	14	0	0	0	0	0	0	6	0	0	5	15	13	13	0	2	0	14	0	0	0	16	3	2	18	0	3	0	0	0	0	14	8	7	7	11	15	3	4	19	0	0	0	3	21	6	11	0	0	17	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	2	3	0	1	2	0	1	0	1	3	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	1.Политическая партия «Аграрная партия России»	986	2	2	10	23	5	5	26	15	45	21	29	26	7	19	2	9	6	0	8	3	2	12	9	15	6	0	2	12	12	12	7	0	4	4	23	34	11	2	17	18	19	34	1	0	25	12	1	15	1	22	2	27	16	10	25	55	18	11	12	8	16	4	9	1	35	20	24	9	24	24	12	2	5	15	7					
		1.90%	0.19%	0.20%	1.59%	1.63%	0.62%	0.85%	2.33%	1.37%	4.15%	1.75%	2.73%	2.26%	0.61%	2.14%	0.19%	0.75%	0.39%	0.00%	1.95%	0.96%	0.36%	1.55%	1.25%	2.09%	1.75%	0.00%	1.32%	1.79%	1.97%	1.59%	1.41%	0.00%	1.08%	2.45%	1.70%	2.45%	0.87%	0.20%	1.70%	1.80%	1.58%	2.97%	0.21%	0.00%	3.37%	3.35%	0.57%	3.96%	0.09%	1.97%	0.66%	6.05%	2.82%	4.02%	4.86%	5.62%	2.89%	3.42%	3.32%	2.06%	2.26%	6.35%	1.39%	0.33%	7.45%	2.78%	3.74%	2.54%	3.80%	19.35%	1.21%	1.02%	2.78%	2.47%	3.80%					
19	2.Всероссийская политическая партия «Гражданская Сила»	146	1	1	1	6	0	4	7	5	9	2	14	11	2	2	4	0	2	0	0	0	0	2	1	2	0	0	0	2	1	5	1	0	3	1	4	6	7	1	3	2	6	4	0	0	2	1	0	0	0	0	1	2	1	1	1	4	0	0	0	0	1	0	2	0	0	2	0	0	0	1	2	0	1	2	0					
		0.28%	0.09%	0.10%	0.16%	0.43%	0.00%	0.68%	0.63%	0.46%	0.83%	0.17%	1.32%	0.96%	0.17%	0.22%	0.38%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.26%	0.14%	0.28%	0.00%	0.00%	0.00%	0.30%	0.16%	0.66%	0.20%	0.00%	0.81%	0.61%	0.30%	0.43%	0.55%	0.10%	0.30%	0.20%	0.50%	0.35%	0.00%	0.00%	0.27%	0.28%	0.00%	0.00%	0.00%	0.00%	0.33%	0.45%	0.18%	0.40%	0.19%	0.41%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.31%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.81%	0.20%	0.00%	0.56%	0.33%	0.00%					
20	3.Политическая партия «Демократическая партия России»	36	0	0	1	1	2	1	0	3	0	2	0	0	0	1	2	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	2	0	2	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0					
		0.07%	0.00%	0.00%	0.16%	0.07%	0.25%	0.17%	0.00%	0.27%	0.00%	0.17%	0.00%	0.00%	0.00%	0.11%	0.19%	0.08%	0.06%	0.00%	0.00%	0.00%	0.18%	0.13%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.54%	0.00%	0.15%	0.00%	0.08%	0.00%	0.10%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.19%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.28%	0.00%	0.00%	0.10%	0.00%	1.11%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6598	132	98	64	154	59	69	138	163	223	158	152	198	179	133	158	106	207	146	57	31	61	103	99	101	24	21	13	111	83	86	42	50	34	12	167	231	222	180	180	223	224	119	87	5	142	33	18	32	140	65	30	33	56	19	74	125	42	25	34	26	37	15	66	3	21	88	46	22	52	6	84	7	14	110	30					
		12.69%	12.35%	9.78%	10.19%	10.95%	7.32%	11.73%	12.39%	14.89%	20.57%	13.20%	14.31%	17.20%	15.58%	14.96%	14.86%	8.86%	13.45%	14.76%	13.90%	9.90%	10.95%	13.34%	13.77%	14.11%	6.99%	10.24%	8.61%	16.52%	13.63%	11.38%	8.43%	14.41%	9.19%	7.36%	12.37%	16.62%	17.51%	18.35%	18.00%	22.26%	18.59%	10.38%	18.32%	4.46%	19.16%	9.22%	10.23%	8.44%	13.02%	5.81%	9.87%	7.40%	9.88%	7.63%	14.40%	12.78%	6.75%	7.76%	9.42%	6.68%	5.22%	23.81%	10.17%	0.99%	4.47%	12.24%	7.18%	6.21%	8.24%	4.84%	8.47%	3.57%	7.78%	18.09%	16.30%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	124	8	2	1	3	3	3	0	5	5	3	5	9	2	1	6	7	7	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	2	0	2	2	1	0	5	3	5	1	1	3	1	1	0	1	0	1	0	1	1	1	2	0	3	0	0	1	2	0	1	0	0	2	0	1	2	0	1	1	0	1	0					
		0.24%	0.75%	0.20%	0.16%	0.21%	0.37%	0.51%	0.00%	0.46%	0.46%	0.25%	0.47%	0.78%	0.17%	0.11%	0.56%	0.59%	0.45%	0.00%	0.00%	0.00%	0.18%	0.00%	0.14%	0.14%	0.00%	0.00%	0.00%	0.00%	0.16%	0.13%	0.00%	0.00%	0.54%	0.00%	0.15%	0.14%	0.08%	0.00%	0.50%	0.30%	0.41%	0.09%	0.21%	2.68%	0.13%	0.28%	0.00%	0.26%	0.00%	0.09%	0.00%	0.22%	0.18%	0.40%	0.39%	0.00%	0.48%	0.00%	0.00%	0.26%	0.28%	0.00%	0.15%	0.00%	0.00%	0.28%	0.00%	0.28%	0.32%	0.00%	0.10%	0.51%	0.00%	0.16%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	67	0	1	0	2	0	3	2	2	0	5	1	0	1	4	3	2	2	0	1	1	1	1	2	5	0	0	0	3	1	1	0	0	0	0	0	1	1	0	1	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	3	1	0	0	0	3	0	0	3	0					
		0.13%	0.00%	0.10%	0.00%	0.14%	0.00%	0.51%	0.18%	0.18%	0.00%	0.42%	0.09%	0.00%	0.09%	0.45%	0.28%	0.17%	0.13%	0.00%	0.24%	0.32%	0.18%	0.13%	0.28%	0.70%	0.00%	0.00%	0.00%	0.45%	0.16%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.08%	0.00%	0.10%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.19%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.42%	0.16%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.49%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	4210	96	117	76	157	87	56	121	129	85	8	89	30	47	120	74	39	182	123	28	49	18	62	50	48	30	6	11	58	44	52	17	41	37	11	108	88	2	72	65	92	111	162	42	7	46	36	24	33	96	59	34	59	63	24	59	56	32	36	26	37	63	5	30	5	34	43	49	44	65	22	84	10	23	43	23					
		8.10%	8.98%	11.68%	12.10%	11.16%	10.79%	9.52%	10.86%	11.78%	7.84%	0.67%	8.38%	2.61%	4.09%	13.50%	6.96%	3.26%	11.83%	12.44%	6.83%	15.65%	3.23%	8.03%	6.95%	6.70%	8.75%	2.93%	7.28%	8.63%	7.22%	6.88%	3.41%	11.82%	10.00%	6.75%	8.00%	6.33%	0.16%	7.34%	6.50%	9.18%	9.21%	14.14%	8.84%	6.25%	6.21%	10.06%	13.64%	8.71%	8.93%	5.27%	11.18%	13.23%	11.11%	9.64%	11.48%	5.73%	5.14%	11.18%	7.20%	9.51%	8.89%	7.94%	4.62%	1.66%	7.23%	5.98%	7.64%	12.43%	10.30%	17.74%	8.47%	5.10%	12.78%	7.07%	12.50%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3997	44	73	51	139	42	45	121	134	170	115	125	42	60	141	25	156	9	0	26	14	34	117	60	113	26	14	8	80	57	67	23	26	37	11	154	23	110	128	146	107	177	177	19	1	11	8	1	33	67	32	14	28	26	20	17	4	23	8	12	6	30	6	39	9	28	44	16	10	25	3	131	13	10	64	12					
		7.69%	4.12%	7.29%	8.12%	9.88%	5.21%	7.65%	10.86%	12.24%	15.68%	9.61%	11.77%	3.65%	5.22%	15.86%	2.35%	13.04%	0.58%	0.00%	6.34%	4.47%	6.10%	15.16%	8.34%	15.78%	7.58%	6.83%	5.30%	11.90%	9.36%	8.86%	4.62%	7.49%	10.00%	6.75%	11.41%	1.65%	8.68%	13.05%	14.60%	10.68%	14.69%	15.45%	4.00%	0.89%	1.48%	2.23%	0.57%	8.71%	6.23%	2.86%	4.61%	6.28%	4.59%	8.03%	3.31%	0.41%	3.70%	2.48%	3.32%	1.54%	4.23%	9.52%	6.01%	2.99%	5.96%	6.12%	2.50%	2.82%	3.96%	2.42%	13.21%	6.63%	5.56%	10.53%	6.52%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	269	1	0	6	12	0	5	7	11	11	1	14	0	3	8	2	9	10	7	2	2	0	8	5	10	0	3	1	4	0	5	0	0	2	1	5	8	7	2	5	13	8	5	0	1	5	1	2	2	1	2	2	2	6	1	2	0	2	2	0	3	1	0	2	0	2	2	6	2	4	0	6	2	1	4	0					
		0.52%	0.09%	0.00%	0.96%	0.85%	0.00%	0.85%	0.63%	1.00%	1.01%	0.08%	1.32%	0.00%	0.26%	0.90%	0.19%	0.75%	0.65%	0.71%	0.49%	0.64%	0.00%	1.04%	0.70%	1.40%	0.00%	1.46%	0.66%	0.60%	0.00%	0.66%	0.00%	0.00%	0.54%	0.61%	0.37%	0.58%	0.55%	0.20%	0.50%	1.30%	0.66%	0.44%	0.00%	0.89%	0.67%	0.28%	1.14%	0.53%	0.09%	0.18%	0.66%	0.45%	1.06%	0.40%	0.39%	0.00%	0.32%	0.62%	0.00%	0.77%	0.14%	0.00%	0.31%	0.00%	0.43%	0.28%	0.94%	0.56%	0.63%	0.00%	0.60%	1.02%	0.56%	0.66%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	34898	775	696	408	895	583	388	677	612	513	859	614	813	837	449	760	791	1094	713	284	204	437	457	482	413	254	160	115	389	403	512	406	228	248	121	876	988	897	585	558	527	642	614	324	93	507	260	130	260	762	936	217	287	395	168	323	727	497	238	275	301	557	31	498	280	350	508	497	264	456	67	661	160	123	357	112					
		67.14%	72.50%	69.46%	64.97%	63.61%	72.33%	65.99%	60.77%	55.89%	47.32%	71.76%	57.82%	70.63%	72.85%	50.51%	71.50%	66.14%	71.09%	72.09%	69.27%	65.18%	78.46%	59.20%	67.04%	57.68%	74.05%	78.05%	76.16%	57.89%	66.17%	67.72%	81.53%	65.71%	67.03%	74.23%	64.89%	71.08%	70.74%	59.63%	55.80%	52.59%	53.28%	53.58%	68.21%	83.04%	68.42%	72.63%	73.86%	68.60%	70.88%	83.65%	71.38%	64.35%	69.66%	67.47%	62.84%	74.34%	79.90%	73.91%	76.18%	77.38%	78.56%	49.21%	76.73%	93.02%	74.47%	70.65%	77.54%	74.58%	72.27%	54.03%	66.63%	81.63%	68.33%	58.72%	60.87%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	322	8	1	4	9	7	8	9	9	15	14	15	17	7	6	17	10	13	0	0	3	0	7	8	2	1	0	1	7	1	10	2	0	1	0	1	5	5	0	14	8	6	16	0	1	1	2	0	2	1	2	2	2	0	5	3	2	3	1	0	1	1	1	2	0	0	3	2	1	3	1	4	1	0	8	0					
		0.62%	0.75%	0.10%	0.64%	0.64%	0.87%	1.36%	0.81%	0.82%	1.38%	1.17%	1.41%	1.48%	0.61%	0.67%	1.60%	0.84%	0.84%	0.00%	0.00%	0.96%	0.00%	0.91%	1.11%	0.28%	0.29%	0.00%	0.66%	1.04%	0.16%	1.32%	0.40%	0.00%	0.27%	0.00%	0.07%	0.36%	0.39%	0.00%	1.40%	0.80%	0.50%	1.40%	0.00%	0.89%	0.13%	0.56%	0.00%	0.53%	0.09%	0.18%	0.66%	0.45%	0.00%	2.01%	0.58%	0.20%	0.48%	0.31%	0.00%	0.26%	0.14%	1.59%	0.31%	0.00%	0.00%	0.42%	0.31%	0.28%	0.48%	0.81%	0.40%	0.51%	0.00%	1.32%	0.00%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
