Выборы Президента Российской Федерации																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Курск, Центральная"																																																																																																					
																																																																																																					
Итоги голосования 																																																																																																					
																																																																																																					
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190					
11	Число полученных открепительных  удостоверений	1895	20	20	20	20	20	20	20	20	20	20	35	20	20	20	20	45	20	20	20	20	20	30	20	20	20	20	20	40	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	60	20	20	70	20	60	20	20	20	20	30	20	30	30	30	20	70	20	20	20	20	20	20	20	20	5	40	20	20	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1126	8	4	14	9	17	4	4	3	5	8	22	10	7	4	8	38	17	11	16	1	16	21	20	19	15	15	13	21	8	14	16	11	13	20	13	12	19	14	6	7	3	8	18	15	2	9	14	6	10	15	54	9	15	35	11	40	15	5	15	10	16	13	25	16	27	9	65	12	8	4	11	18	10	0	14	0	32	10	7	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1105	5	7	6	10	15	4	4	4	9	7	13	6	7	2	4	10	9	9	6	2	10	10	5	8	9	10	4	8	7	6	3	5	5	16	8	16	22	7	2	3	4	8	10	9	4	92	11	4	23	10	5	8	6	10	14	36	5	3	4	5	12	6	7	9	4	14	11	5	10	7	8	8	10	7	12	0	4	8	6	4	23	4	3	3	0	13	257	6	2	21	29	3	9	6					
14	Число неиспользованных открепительных удостоверений	769	12	16	6	11	3	16	16	17	15	12	13	10	13	16	12	7	3	9	4	19	4	9	0	1	5	5	7	19	12	6	4	9	7	0	7	8	1	6	14	13	17	12	2	5	18	11	6	14	10	5	6	11	5	35	9	20	5	15	5	10	14	7	5	14	3	11	5	8	12	16	9	2	10	20	6	5	8	10	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	88	1	0	3	1	1	1	0	1	0	1	0	3	0	0	0	0	1	1	1	2	4	0	1	0	3	4	1	2	1	4	3	2	1	0	2	0	3	1	1	2	1	0	1	0	0	1	1	0	0	1	2	2	3	1	0	0	0	3	0	1	1	1	5	1	0	2	1	0	0	1	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																					
18	. Глазьев Сергей Юрьевич	6257	63	12	63	86	123	59	16	29	62	108	99	65	49	10	76	97	94	98	103	43	86	94	147	94	103	119	85	77	78	88	87	92	110	110	71	94	126	95	57	64	51	33	45	116	32	92	81	39	70	117	82	95	92	125	86	58	73	75	39	53	100	114	130	63	36	140	82	94	98	23	118	78	48	17	113	3	104	33	45	6	13	9	5	3	2	3	22	22	12	5	14	1	11	4					
		7.18%	5.62%	4.08%	7.69%	6.91%	7.80%	8.03%	4.23%	6.65%	5.43%	7.75%	6.82%	6.25%	4.40%	3.12%	6.98%	7.15%	7.36%	7.05%	7.06%	6.22%	7.02%	6.88%	10.14%	8.11%	7.29%	8.46%	6.98%	5.01%	6.83%	5.94%	7.30%	6.86%	7.88%	8.15%	6.02%	7.57%	8.05%	8.60%	6.08%	6.29%	6.60%	6.17%	7.69%	9.70%	7.79%	7.82%	8.69%	5.57%	10.26%	8.82%	6.59%	8.23%	7.52%	8.42%	9.58%	4.70%	9.61%	7.84%	5.08%	6.36%	6.69%	10.96%	8.49%	5.37%	4.26%	8.22%	6.37%	9.14%	7.75%	5.56%	9.07%	7.57%	5.41%	3.22%	9.19%	1.33%	7.96%	5.10%	6.05%	5.36%	6.60%	20.93%	12.50%	2.05%	4.00%	5.00%	2.23%	6.69%	5.91%	3.70%	16.87%	2.94%	12.50%	8.70%					
19	. Малышкин Олег Александрович	1762	28	6	19	24	23	9	14	13	21	24	44	29	34	7	23	23	24	35	34	10	35	28	43	27	24	22	23	39	30	48	30	24	30	39	22	24	21	33	31	20	17	4	6	18	4	27	15	12	5	18	25	23	15	17	17	20	11	13	21	16	24	12	44	15	16	28	30	30	14	6	9	22	15	7	27	2	22	15	10	6	7	3	1	3	2	1	35	7	5	1	1	0	0	1					
		2.02%	2.50%	2.04%	2.32%	1.93%	1.46%	1.22%	3.70%	2.98%	1.84%	1.72%	3.03%	2.79%	3.05%	2.19%	2.11%	1.69%	1.88%	2.52%	2.33%	1.45%	2.86%	2.05%	2.97%	2.33%	1.70%	1.56%	1.89%	2.54%	2.63%	3.24%	2.52%	1.79%	2.15%	2.89%	1.87%	1.93%	1.34%	2.99%	3.30%	1.96%	2.20%	0.75%	1.03%	1.51%	0.97%	2.30%	1.61%	1.71%	0.73%	1.36%	2.01%	1.99%	1.23%	1.15%	1.89%	1.62%	1.45%	1.36%	2.74%	1.92%	1.61%	1.15%	2.87%	1.28%	1.89%	1.64%	2.33%	2.92%	1.11%	1.45%	0.69%	2.14%	1.69%	1.33%	2.20%	0.88%	1.68%	2.32%	1.34%	5.36%	3.55%	6.98%	2.50%	2.05%	4.00%	1.67%	3.55%	2.13%	2.46%	0.74%	1.20%	0.00%	0.00%	2.17%					
20	. Миронов Сергей Михайлович	988	8	1	5	16	26	9	7	4	19	17	22	13	11	5	12	11	11	11	12	5	12	22	19	19	17	22	16	24	12	17	12	20	20	12	13	8	22	9	8	5	4	6	9	16	9	14	19	13	8	26	17	15	13	14	10	10	7	6	8	9	16	10	12	11	6	17	4	7	13	6	17	17	8	4	6	3	13	3	11	4	2	3	0	2	0	1	11	6	1	1	1	1	3	1					
		1.13%	0.71%	0.34%	0.61%	1.29%	1.65%	1.22%	1.85%	0.92%	1.67%	1.22%	1.52%	1.25%	0.99%	1.56%	1.10%	0.81%	0.86%	0.79%	0.82%	0.72%	0.98%	1.61%	1.31%	1.64%	1.20%	1.56%	1.31%	1.56%	1.05%	1.15%	1.01%	1.49%	1.43%	0.89%	1.10%	0.64%	1.41%	0.81%	0.85%	0.49%	0.52%	1.12%	1.54%	1.34%	2.19%	1.19%	2.04%	1.86%	1.17%	1.96%	1.37%	1.30%	1.06%	0.94%	1.11%	0.81%	0.92%	0.63%	1.04%	1.08%	1.07%	0.96%	0.78%	0.94%	0.71%	1.00%	0.31%	0.68%	1.03%	1.45%	1.31%	1.65%	0.90%	0.76%	0.49%	1.33%	1.00%	0.46%	1.48%	3.57%	1.02%	6.98%	0.00%	1.37%	0.00%	1.67%	1.12%	1.82%	0.49%	0.74%	1.20%	2.94%	3.41%	2.17%					
21	. Путин Владимир Владимирович	54515	725	214	507	750	914	466	250	269	746	827	962	684	697	221	695	900	744	817	843	418	795	836	894	708	882	849	787	958	729	974	761	869	858	871	754	822	999	655	635	613	491	337	368	686	237	712	540	459	407	768	840	699	725	927	509	910	448	582	479	494	898	580	914	737	630	1007	828	600	778	286	717	627	598	385	776	172	836	432	480	57	114	20	27	118	39	38	727	193	145	99	45	17	50	29					
		62.55%	64.73%	72.79%	61.90%	60.29%	57.96%	63.40%	66.14%	61.70%	65.38%	59.37%	66.25%	65.77%	62.57%	69.06%	63.82%	66.32%	58.22%	58.73%	57.78%	60.49%	64.90%	61.16%	61.66%	61.09%	62.42%	60.34%	64.67%	62.37%	63.84%	65.77%	63.84%	64.75%	61.46%	64.57%	63.95%	66.18%	63.83%	59.28%	67.70%	60.22%	63.52%	62.99%	62.91%	57.36%	57.66%	60.54%	57.94%	65.57%	59.68%	57.92%	67.52%	60.52%	59.28%	62.47%	56.68%	73.74%	58.95%	60.82%	62.45%	59.30%	60.11%	55.77%	59.70%	62.83%	74.56%	59.10%	64.34%	58.31%	61.55%	69.08%	55.11%	60.87%	67.42%	72.92%	63.14%	76.11%	64.01%	66.77%	64.52%	50.89%	57.87%	46.51%	67.50%	80.82%	78.00%	63.33%	73.81%	58.66%	71.43%	73.33%	54.22%	50.00%	56.82%	63.04%					
22	. Хакамада Ирина Муцуовна	4041	52	9	38	62	91	34	15	21	73	56	67	45	59	5	35	56	34	67	53	16	36	61	52	50	56	60	48	71	61	54	54	44	94	46	58	55	91	42	19	32	23	28	50	91	17	56	69	35	42	94	56	49	69	89	54	70	34	31	32	27	85	45	69	57	31	102	63	50	68	19	93	58	27	17	55	4	60	31	30	8	2	0	0	4	2	5	43	9	2	6	4	0	1	3					
		4.64%	4.64%	3.06%	4.64%	4.98%	5.77%	4.63%	3.97%	4.82%	6.40%	4.02%	4.61%	4.33%	5.30%	1.56%	3.21%	4.13%	2.66%	4.82%	3.63%	2.32%	2.94%	4.46%	3.59%	4.31%	3.96%	4.26%	3.94%	4.62%	5.34%	3.65%	4.53%	3.28%	6.73%	3.41%	4.92%	4.43%	5.81%	3.80%	2.03%	3.14%	2.98%	5.23%	8.55%	7.61%	4.14%	4.76%	7.40%	5.00%	6.16%	7.09%	4.50%	4.24%	5.64%	6.00%	6.01%	5.67%	4.47%	3.24%	4.17%	3.24%	5.69%	4.33%	4.51%	4.86%	3.67%	5.99%	4.90%	4.86%	5.38%	4.59%	7.15%	5.63%	3.04%	3.22%	4.48%	1.77%	4.59%	4.79%	4.03%	7.14%	1.02%	0.00%	0.00%	2.74%	4.00%	8.33%	4.37%	2.74%	0.99%	4.44%	4.82%	0.00%	1.14%	6.52%					
23	. Харитонов Николай Михайлович	14000	180	38	133	231	303	126	53	73	156	252	167	132	196	54	188	149	277	279	328	156	186	246	206	186	222	236	176	262	141	214	154	204	183	195	173	170	216	204	140	235	154	91	70	190	81	190	151	104	106	230	149	202	229	211	160	92	128	194	137	159	276	229	281	238	71	304	202	169	206	50	258	152	147	81	171	35	177	99	130	15	49	6	5	4	0	4	40	64	31	1	16	12	22	7					
		16.06%	16.07%	12.93%	16.24%	18.57%	19.21%	17.14%	14.02%	16.74%	13.67%	18.09%	11.50%	12.69%	17.59%	16.88%	17.26%	10.98%	21.67%	20.06%	22.48%	22.58%	15.18%	18.00%	14.21%	16.05%	15.71%	16.77%	14.46%	17.06%	12.35%	14.45%	12.92%	15.20%	13.11%	14.46%	14.67%	13.69%	13.80%	18.46%	14.93%	23.08%	19.92%	17.01%	11.97%	15.89%	19.71%	16.16%	16.20%	14.86%	15.54%	17.35%	11.98%	17.49%	18.72%	14.22%	17.82%	7.46%	16.84%	20.27%	17.86%	19.09%	18.47%	22.02%	18.35%	20.29%	8.40%	17.84%	15.70%	16.42%	16.30%	12.08%	19.83%	14.76%	16.57%	15.34%	13.91%	15.49%	13.55%	15.30%	17.47%	13.39%	24.87%	13.95%	12.50%	2.74%	0.00%	6.67%	4.06%	19.45%	15.27%	0.74%	19.28%	35.29%	25.00%	15.22%					
																																																																																																					
24	Против всех	5136	61	14	51	69	89	31	23	21	56	101	86	69	62	13	57	103	88	76	82	35	70	67	82	70	99	92	71	100	82	82	84	85	92	69	81	60	86	59	44	38	29	30	36	78	29	82	56	33	40	71	70	68	75	97	62	74	56	52	47	68	90	47	75	48	55	97	74	75	84	22	82	72	36	10	74	4	88	26	34	11	9	2	1	12	4	8	86	25	6	21	2	2	0	1					
		5.89%	5.45%	4.76%	6.23%	5.55%	5.64%	4.22%	6.08%	4.82%	4.91%	7.25%	5.92%	6.63%	5.57%	4.06%	5.23%	7.59%	6.89%	5.46%	5.62%	5.07%	5.71%	4.90%	5.66%	6.04%	7.01%	6.54%	5.83%	6.51%	7.18%	5.54%	7.05%	6.33%	6.59%	5.11%	6.87%	4.83%	5.50%	5.34%	4.69%	3.73%	3.75%	5.61%	6.15%	6.52%	7.06%	6.97%	6.01%	4.71%	5.87%	5.35%	5.63%	5.89%	6.13%	6.54%	6.90%	6.00%	7.37%	5.43%	6.13%	8.16%	6.02%	4.52%	4.90%	4.09%	6.51%	5.69%	5.75%	7.29%	6.65%	5.31%	6.30%	6.99%	4.06%	1.89%	6.02%	1.77%	6.74%	4.02%	4.57%	9.82%	4.57%	4.65%	2.50%	8.22%	8.00%	13.33%	8.73%	7.60%	2.96%	15.56%	2.41%	5.88%	0.00%	2.17%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
