Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Медынская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	81	10	3	1	4	6	1	2	1	25	17	1	1	9									
		1.48%	4.27%	1.64%	0.83%	0.86%	1.88%	0.53%	2.13%	0.53%	1.77%	1.18%	0.74%	0.34%	2.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	146	6	8	2	17	6	2	3	4	38	42	3	6	9									
		2.67%	2.56%	4.37%	1.65%	3.65%	1.88%	1.06%	3.19%	2.12%	2.69%	2.92%	2.21%	2.06%	2.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	183	9	8	7	13	9	0	1	7	48	55	3	8	15									
		3.34%	3.85%	4.37%	5.79%	2.79%	2.81%	0.00%	1.06%	3.70%	3.40%	3.83%	2.21%	2.75%	3.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2795	145	99	79	267	188	101	55	114	618	672	83	170	204									
		51.04%	61.97%	54.10%	65.29%	57.30%	58.75%	53.72%	58.51%	60.32%	43.77%	46.80%	61.03%	58.42%	50.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	2	0	0	5	2	0	0	1	6	3	0	2	3									
		0.44%	0.85%	0.00%	0.00%	1.07%	0.63%	0.00%	0.00%	0.53%	0.42%	0.21%	0.00%	0.69%	0.74%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	1	0	0	0	0	1	0	0	1	1									
		0.07%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.34%	0.25%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1116	33	36	19	85	61	59	16	31	311	311	29	66	59									
		20.38%	14.10%	19.67%	15.70%	18.24%	19.06%	31.38%	17.02%	16.40%	22.03%	21.66%	21.32%	22.68%	14.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	0	1	1	0	0	0	0	0	9	5	1	0	3									
		0.37%	0.00%	0.55%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.35%	0.74%	0.00%	0.74%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	49	1	1	0	3	0	0	0	0	25	11	0	6	2									
		0.89%	0.43%	0.55%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	1.77%	0.77%	0.00%	2.06%	0.49%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	1	1	1	0	0	0	0	2	0	0	0									
		0.09%	0.00%	0.00%	0.83%	0.21%	0.31%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	45	2	0	0	5	1	1	0	0	19	10	1	1	5									
		0.82%	0.85%	0.00%	0.00%	1.07%	0.31%	0.53%	0.00%	0.00%	1.35%	0.70%	0.74%	0.34%	1.23%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	665	23	21	10	44	22	13	14	23	203	211	7	17	57									
		12.14%	9.83%	11.48%	8.26%	9.44%	6.88%	6.91%	14.89%	12.17%	14.38%	14.69%	5.15%	5.84%	14.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	0	0	1	0	0	0	0	1	7	3	1	3	2									
		0.33%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.53%	0.50%	0.21%	0.74%	1.03%	0.49%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	220	1	5	0	11	12	9	3	7	75	59	2	7	29									
		4.02%	0.43%	2.73%	0.00%	2.36%	3.75%	4.79%	3.19%	3.70%	5.31%	4.11%	1.47%	2.41%	7.14%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
