Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
"Наименование Избирательной комиссии:    Пермь, Дзержинская"																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3000	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1410	26	34	27	36	23	14	23	12	17	17	12	25	8	22	33	14	19	21	26	25	2	32	22	19	27	38	28	29	19	33	32	22	21	18	29	24	30	26	11	31	13	21	13	27	34	50	23	18	24	12	19	17	34	14	27	13	19	30	34	41	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1201	32	48	56	23	26	21	87	10	55	73	3	14	90	86	6	9	12	6	3	4	20	10	4	5	5	10	15	4	5	11	4	24	22	9	36	6	27	11	6	32	5	3	5	8	15	10	26	19	12	15	8	3	2	5	3	3	14	7	8	32	8	1	11	48									
14	Число погашенных неиспользованных открепительных удостоверений	1590	24	16	23	14	27	36	27	38	33	33	38	25	42	28	17	36	31	29	24	25	48	18	28	31	23	12	22	21	31	17	18	28	29	32	21	26	20	24	39	19	37	29	37	23	16	0	27	32	26	38	31	33	16	36	23	37	31	20	16	9	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	3	1	0	3	0	0	0	1	1	0	2	0	2	0	2	0	2	1	0	2	0	0	4	3	1	0	1	2	2	0	2	0	1	0	2	1	3	1	2	0	3	0	1	1	1	1	2	0	0	0	1	0	2	0	3	0	3	0	3	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	848	18	13	22	6	17	7	6	9	21	9	12	18	11	18	33	12	6	20	14	19	1	11	22	14	9	13	18	9	9	21	16	8	18	13	12	14	15	22	8	28	14	12	7	8	25	26	13	11	6	13	8	10	17	6	27	4	9	19	21	14	2	0	3	1									
		2.01%	1.88%	1.73%	2.85%	0.67%	2.43%	1.67%	1.03%	1.98%	3.37%	1.68%	2.17%	2.76%	2.02%	3.01%	3.64%	1.74%	1.40%	3.85%	2.09%	2.72%	1.39%	1.87%	3.05%	2.06%	1.93%	1.92%	2.48%	1.13%	1.44%	2.54%	1.84%	1.19%	2.04%	1.65%	1.32%	1.83%	1.98%	2.99%	1.12%	2.81%	2.01%	1.62%	1.06%	0.95%	2.37%	2.53%	1.43%	1.64%	1.20%	3.32%	1.61%	1.83%	2.04%	0.99%	2.83%	0.89%	1.39%	1.99%	3.04%	1.50%	1.40%	0.00%	1.39%	2.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	986	22	25	19	20	17	8	17	14	10	14	6	17	16	15	20	16	8	17	16	15	0	10	16	9	9	15	16	10	11	17	21	15	21	22	17	21	16	17	11	24	16	14	16	18	22	22	18	9	12	15	19	15	30	18	21	9	22	22	18	24	7	0	6	3									
		2.33%	2.30%	3.32%	2.46%	2.23%	2.43%	1.91%	2.92%	3.08%	1.61%	2.61%	1.08%	2.61%	2.94%	2.51%	2.21%	2.32%	1.86%	3.27%	2.39%	2.15%	0.00%	1.70%	2.22%	1.32%	1.93%	2.21%	2.20%	1.26%	1.76%	2.06%	2.41%	2.23%	2.38%	2.80%	1.87%	2.75%	2.11%	2.31%	1.54%	2.40%	2.30%	1.89%	2.41%	2.14%	2.09%	2.14%	1.98%	1.35%	2.40%	3.83%	3.82%	2.74%	3.61%	2.99%	2.20%	2.01%	3.39%	2.31%	2.61%	2.56%	4.90%	0.00%	2.78%	6.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	940	22	22	15	26	11	5	11	7	7	12	9	8	3	10	28	14	14	10	16	22	3	14	23	14	11	13	14	17	13	22	22	7	23	30	19	15	25	22	22	27	17	21	18	17	14	15	19	11	5	11	5	22	15	16	13	13	12	26	10	17	6	2	7	0									
		2.22%	2.30%	2.92%	1.95%	2.90%	1.57%	1.20%	1.89%	1.54%	1.12%	2.23%	1.62%	1.23%	0.55%	1.67%	3.09%	2.03%	3.26%	1.92%	2.39%	3.15%	4.17%	2.38%	3.19%	2.06%	2.36%	1.92%	1.93%	2.14%	2.08%	2.66%	2.53%	1.04%	2.61%	3.82%	2.09%	1.97%	3.30%	2.99%	3.08%	2.71%	2.44%	2.84%	2.71%	2.02%	1.33%	1.46%	2.09%	1.64%	1.00%	2.81%	1.00%	4.02%	1.80%	2.65%	1.36%	2.90%	1.85%	2.73%	1.45%	1.82%	4.20%	3.92%	3.24%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16649	346	287	297	319	264	183	222	153	263	225	223	250	220	215	322	250	161	190	240	251	23	217	258	283	181	248	281	299	221	327	313	274	342	316	335	247	279	251	239	381	267	279	284	375	447	505	420	336	225	151	232	243	343	257	397	211	260	365	252	430	40	23	95	16									
		39.38%	36.15%	38.11%	38.52%	35.60%	37.77%	43.78%	38.08%	33.70%	42.22%	41.90%	40.25%	38.40%	40.37%	35.95%	35.54%	36.28%	37.44%	36.54%	35.82%	35.96%	31.94%	36.84%	35.73%	41.56%	38.84%	36.58%	38.71%	37.56%	35.36%	39.59%	35.98%	40.77%	38.78%	40.20%	36.89%	32.37%	36.81%	34.10%	33.47%	38.18%	38.31%	37.70%	42.84%	44.64%	42.45%	49.12%	46.10%	50.22%	45.09%	38.52%	46.59%	44.42%	41.23%	42.62%	41.66%	47.10%	40.06%	38.30%	36.52%	45.94%	27.97%	45.10%	43.98%	33.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	487	14	6	7	8	14	1	8	5	5	4	5	8	7	8	13	8	7	5	11	9	0	8	14	6	4	10	13	4	8	11	10	7	11	11	20	11	7	7	10	15	5	10	2	8	13	11	11	2	5	2	4	2	9	7	8	2	9	9	12	9	1	1	3	2									
		1.15%	1.46%	0.80%	0.91%	0.89%	2.00%	0.24%	1.37%	1.10%	0.80%	0.74%	0.90%	1.23%	1.28%	1.34%	1.43%	1.16%	1.63%	0.96%	1.64%	1.29%	0.00%	1.36%	1.94%	0.88%	0.86%	1.47%	1.79%	0.50%	1.28%	1.33%	1.15%	1.04%	1.25%	1.40%	2.20%	1.44%	0.92%	0.95%	1.40%	1.50%	0.72%	1.35%	0.30%	0.95%	1.23%	1.07%	1.21%	0.30%	1.00%	0.51%	0.80%	0.37%	1.08%	1.16%	0.84%	0.45%	1.39%	0.94%	1.74%	0.96%	0.70%	1.96%	1.39%	4.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	115	4	3	3	2	1	0	2	2	0	4	2	2	3	3	2	0	1	2	0	2	1	4	2	2	1	3	5	3	0	4	2	1	1	3	6	0	0	2	1	3	0	3	3	3	1	2	3	3	0	0	0	0	1	0	2	0	3	4	1	1	3	0	0	0									
		0.27%	0.42%	0.40%	0.39%	0.22%	0.14%	0.00%	0.34%	0.44%	0.00%	0.74%	0.36%	0.31%	0.55%	0.50%	0.22%	0.00%	0.23%	0.38%	0.00%	0.29%	1.39%	0.68%	0.28%	0.29%	0.21%	0.44%	0.69%	0.38%	0.00%	0.48%	0.23%	0.15%	0.11%	0.38%	0.66%	0.00%	0.00%	0.27%	0.14%	0.30%	0.00%	0.41%	0.45%	0.36%	0.09%	0.19%	0.33%	0.45%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.21%	0.00%	0.46%	0.42%	0.14%	0.11%	2.10%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5605	148	95	89	133	85	52	68	74	71	65	87	79	63	48	115	60	47	65	80	86	6	60	86	64	54	98	111	98	102	101	132	91	125	102	119	114	102	88	98	143	103	108	84	123	145	127	120	80	56	55	68	78	128	102	122	52	115	128	131	117	20	5	26	8									
		13.26%	15.46%	12.62%	11.54%	14.84%	12.16%	12.44%	11.66%	16.30%	11.40%	12.10%	15.70%	12.14%	11.56%	8.03%	12.69%	8.71%	10.93%	12.50%	11.94%	12.32%	8.33%	10.19%	11.91%	9.40%	11.59%	14.45%	15.29%	12.31%	16.32%	12.23%	15.17%	13.54%	14.17%	12.98%	13.11%	14.94%	13.46%	11.96%	13.73%	14.33%	14.78%	14.59%	12.67%	14.64%	13.77%	12.35%	13.17%	11.96%	11.22%	14.03%	13.65%	14.26%	15.38%	16.92%	12.80%	11.61%	17.72%	13.43%	18.99%	12.50%	13.99%	9.80%	12.04%	16.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	670	15	8	18	26	11	5	10	2	8	8	9	19	10	10	15	19	8	10	15	13	1	17	10	13	8	9	8	16	10	10	16	10	12	16	10	6	10	12	11	12	15	20	5	15	19	15	9	8	6	6	7	7	10	9	9	4	6	17	12	12	0	0	2	1									
		1.58%	1.57%	1.06%	2.33%	2.90%	1.57%	1.20%	1.72%	0.44%	1.28%	1.49%	1.62%	2.92%	1.83%	1.67%	1.66%	2.76%	1.86%	1.92%	2.24%	1.86%	1.39%	2.89%	1.39%	1.91%	1.72%	1.33%	1.10%	2.01%	1.60%	1.21%	1.84%	1.49%	1.36%	2.04%	1.10%	0.79%	1.32%	1.63%	1.54%	1.20%	2.15%	2.70%	0.75%	1.79%	1.80%	1.46%	0.99%	1.20%	1.20%	1.53%	1.41%	1.28%	1.20%	1.49%	0.94%	0.89%	0.92%	1.78%	1.74%	1.28%	0.00%	0.00%	0.93%	2.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1272	25	15	32	31	25	10	19	12	22	31	12	26	16	15	29	37	16	23	15	33	1	15	22	27	6	25	13	24	29	21	28	17	28	16	23	25	26	33	27	53	18	26	9	18	31	40	14	21	9	3	9	11	16	12	28	9	11	35	22	18	4	0	5	0									
		3.01%	2.61%	1.99%	4.15%	3.46%	3.58%	2.39%	3.26%	2.64%	3.53%	5.77%	2.17%	3.99%	2.94%	2.51%	3.20%	5.37%	3.72%	4.42%	2.24%	4.73%	1.39%	2.55%	3.05%	3.96%	1.29%	3.69%	1.79%	3.02%	4.64%	2.54%	3.22%	2.53%	3.17%	2.04%	2.53%	3.28%	3.43%	4.48%	3.78%	5.31%	2.58%	3.51%	1.36%	2.14%	2.94%	3.89%	1.54%	3.14%	1.80%	0.77%	1.81%	2.01%	1.92%	1.99%	2.94%	2.01%	1.69%	3.67%	3.19%	1.92%	2.80%	0.00%	2.31%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	65	2	0	2	1	0	0	0	0	1	0	1	1	1	1	2	3	2	1	0	0	1	0	0	2	0	0	0	4	0	1	0	3	3	2	1	3	2	0	0	1	0	2	0	2	1	3	2	0	0	1	0	4	1	1	0	0	1	3	0	1	0	0	2	0									
		0.15%	0.21%	0.00%	0.26%	0.11%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.18%	0.15%	0.18%	0.17%	0.22%	0.44%	0.47%	0.19%	0.00%	0.00%	1.39%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.50%	0.00%	0.12%	0.00%	0.45%	0.34%	0.25%	0.11%	0.39%	0.26%	0.00%	0.00%	0.10%	0.00%	0.27%	0.00%	0.24%	0.09%	0.29%	0.22%	0.00%	0.00%	0.26%	0.00%	0.73%	0.12%	0.17%	0.00%	0.00%	0.15%	0.31%	0.00%	0.11%	0.00%	0.00%	0.93%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2657	58	48	50	75	51	26	30	30	31	38	27	66	52	66	98	92	46	43	66	57	13	49	42	61	27	36	51	42	38	46	55	35	58	39	52	51	27	65	42	50	37	48	26	34	61	50	51	48	19	11	21	22	42	14	49	22	24	63	29	49	2	0	3	3									
		6.28%	6.06%	6.37%	6.49%	8.37%	7.30%	6.22%	5.15%	6.61%	4.98%	7.08%	4.87%	10.14%	9.54%	11.04%	10.82%	13.35%	10.70%	8.27%	9.85%	8.17%	18.06%	8.32%	5.82%	8.96%	5.79%	5.31%	7.02%	5.28%	6.08%	5.57%	6.32%	5.21%	6.58%	4.96%	5.73%	6.68%	3.56%	8.83%	5.88%	5.01%	5.31%	6.49%	3.92%	4.05%	5.79%	4.86%	5.60%	7.17%	3.81%	2.81%	4.22%	4.02%	5.05%	2.32%	5.14%	4.91%	3.70%	6.61%	4.20%	5.24%	1.40%	0.00%	1.39%	6.25%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5703	143	101	117	107	101	53	86	59	67	75	63	72	57	97	113	91	60	63	96	105	13	106	105	97	56	90	93	123	79	115	126	101	103	94	139	126	117	103	97	116	107	100	82	80	136	126	126	77	58	59	59	60	106	71	137	53	98	132	95	131	32	11	33	9									
		13.49%	14.94%	13.41%	15.18%	11.94%	14.45%	12.68%	14.75%	12.99%	10.75%	13.97%	11.37%	11.06%	10.46%	16.22%	12.47%	13.21%	13.95%	12.12%	14.33%	15.04%	18.06%	17.99%	14.54%	14.24%	12.02%	13.27%	12.81%	15.45%	12.64%	13.92%	14.48%	15.03%	11.68%	11.96%	15.31%	16.51%	15.44%	13.99%	13.59%	11.62%	15.35%	13.51%	12.37%	9.52%	12.92%	12.26%	13.83%	11.51%	11.62%	15.05%	11.85%	10.97%	12.74%	11.77%	14.38%	11.83%	15.10%	13.85%	13.77%	13.99%	22.38%	21.57%	15.28%	18.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	152	4	2	3	2	3	2	3	3	2	0	2	4	5	1	0	1	3	2	2	0	2	1	4	1	3	1	1	2	1	4	4	6	3	0	9	4	0	4	2	4	1	1	2	1	4	3	2	0	1	2	4	2	6	3	5	2	0	2	7	2	0	0	2	0									
		0.36%	0.42%	0.27%	0.39%	0.22%	0.43%	0.48%	0.51%	0.66%	0.32%	0.00%	0.36%	0.61%	0.92%	0.17%	0.00%	0.15%	0.70%	0.38%	0.30%	0.00%	2.78%	0.17%	0.55%	0.15%	0.64%	0.15%	0.14%	0.25%	0.16%	0.48%	0.46%	0.89%	0.34%	0.00%	0.99%	0.52%	0.00%	0.54%	0.28%	0.40%	0.14%	0.14%	0.30%	0.12%	0.38%	0.29%	0.22%	0.00%	0.20%	0.51%	0.80%	0.37%	0.72%	0.50%	0.52%	0.45%	0.00%	0.21%	1.01%	0.21%	0.00%	0.00%	0.93%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4199	99	91	63	99	69	50	62	52	78	14	70	54	47	60	77	61	36	51	54	51	4	58	85	69	55	69	67	100	81	100	75	66	109	93	106	94	108	84	109	103	78	77	73	91	92	59	67	34	51	32	38	39	69	62	85	45	56	96	58	85	13	3	18	5									
		9.93%	10.34%	12.08%	8.17%	11.05%	9.87%	11.96%	10.63%	11.45%	12.52%	2.61%	12.64%	8.29%	8.62%	10.03%	8.50%	8.85%	8.37%	9.81%	8.06%	7.31%	5.56%	9.85%	11.77%	10.13%	11.80%	10.18%	9.23%	12.56%	12.96%	12.11%	8.62%	9.82%	12.36%	11.83%	11.67%	12.32%	14.25%	11.41%	15.27%	10.32%	11.19%	10.41%	11.01%	10.83%	8.74%	5.74%	7.35%	5.08%	10.22%	8.16%	7.63%	7.13%	8.29%	10.28%	8.92%	10.04%	8.63%	10.07%	8.41%	9.08%	9.09%	5.88%	8.33%	10.42%									
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
