Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Горнозаводская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721					
		0.10%	0.12%	0.0%	0.06%	0.19%	0.56%	0.0%	0.15%	0.10%	0.22%	0.0%	0.36%	0.0%	0.0%	0.08%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	138	10	9	17	20	2	4	3	15	3	1	3	0	7	14	5	4	6	4	4	6	1					
		1.00%	0.64%	0.60%	1.14%	1.30%	1.12%	2.0%	0.45%	1.51%	0.67%	0.39%	0.36%	0.0%	1.54%	1.24%	0.83%	1.25%	1.32%	1.22%	1.65%	2.52%	0.34%					
30	"13. ""Демократическая партия России"""	43	3	2	0	7	2	0	3	4	0	0	1	0	2	7	2	2	2	3	2	1	0					
		0.31%	0.19%	0.13%	0.0%	0.45%	1.12%	0.0%	0.45%	0.40%	0.0%	0.0%	0.12%	0.0%	0.44%	0.62%	0.33%	0.62%	0.44%	0.91%	0.82%	0.42%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	42	3	4	1	3	2	0	1	6	2	1	0	0	5	1	2	0	0	0	3	6	2					
		0.30%	0.19%	0.26%	0.06%	0.19%	1.12%	0.0%	0.15%	0.60%	0.44%	0.39%	0.0%	0.0%	1.10%	0.08%	0.33%	0.0%	0.0%	0.0%	1.23%	2.52%	0.68%					
32	"15. ""Партия СЛОН"""	7	2	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0					
		0.05%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.22%	0.0%	0.0%	0.0%	0.22%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	911	120	123	105	135	15	8	36	75	31	14	38	14	14	53	51	8	21	16	8	19	7					
		6.64%	7.78%	8.22%	7.06%	8.81%	8.42%	4.0%	5.44%	7.59%	6.95%	5.57%	4.61%	23.33%	3.09%	4.72%	8.55%	2.51%	4.62%	4.89%	3.30%	7.98%	2.41%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	56	4	3	4	3	2	4	5	4	3	2	2	0	0	4	5	3	5	0	0	1	2					
		0.40%	0.25%	0.20%	0.26%	0.19%	1.12%	2.0%	0.75%	0.40%	0.67%	0.79%	0.24%	0.0%	0.0%	0.35%	0.83%	0.94%	1.10%	0.0%	0.0%	0.42%	0.68%					
35	"18. ""ЛДПР"""	1844	193	185	185	200	30	38	89	140	91	28	96	14	60	136	69	30	69	59	28	41	63					
		13.45%	12.52%	12.36%	12.44%	13.06%	16.85%	19.0%	13.46%	14.17%	20.40%	11.15%	11.66%	23.33%	13.24%	12.13%	11.57%	9.43%	15.19%	18.04%	11.57%	17.22%	21.72%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	409	31	48	42	33	3	8	18	28	10	6	19	6	14	35	23	8	15	27	17	8	10					
		2.98%	2.01%	3.20%	2.82%	2.15%	1.68%	4.0%	2.72%	2.83%	2.24%	2.39%	2.30%	10.0%	3.09%	3.12%	3.85%	2.51%	3.30%	8.25%	7.02%	3.36%	3.44%					
37	"20. ""Политическая партия ""Единая Россия"""	5184	563	499	517	522	69	72	257	399	185	146	435	9	145	258	248	186	215	103	139	91	126					
		37.83%	36.53%	33.35%	34.79%	34.09%	38.76%	36.0%	38.88%	40.38%	41.47%	58.16%	52.85%	15.0%	32.00%	23.01%	41.61%	58.49%	47.35%	31.49%	57.43%	38.23%	43.44%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	3	2	0	1	1	1	2	2	0	1	3	0	0	1	1	0	1	3	1	1	2					
		0.18%	0.19%	0.13%	0.0%	0.06%	0.56%	0.5%	0.30%	0.20%	0.0%	0.39%	0.36%	0.0%	0.0%	0.08%	0.16%	0.0%	0.22%	0.91%	0.41%	0.42%	0.68%					
39	"22. ""Развитие предпринимательства"""	37	5	6	3	6	0	1	2	2	3	0	1	0	2	1	2	1	0	0	0	1	1					
		0.27%	0.32%	0.40%	0.20%	0.39%	0.0%	0.5%	0.30%	0.20%	0.67%	0.0%	0.12%	0.0%	0.44%	0.08%	0.33%	0.31%	0.0%	0.0%	0.0%	0.42%	0.34%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	927	113	109	101	86	14	19	53	90	19	12	40	7	34	74	27	27	25	27	6	21	23					
		6.76%	7.33%	7.28%	6.79%	5.61%	7.86%	9.5%	8.01%	9.10%	4.26%	4.78%	4.86%	11.66%	7.50%	6.60%	4.53%	8.49%	5.50%	8.25%	2.47%	8.82%	7.93%					
																												
41	Против всех	877	80	120	120	123	11	7	41	42	18	5	58	1	28	119	40	7	17	14	5	6	15					
		6.40%	5.19%	8.02%	8.07%	8.03%	6.17%	3.5%	6.20%	4.25%	4.03%	1.99%	7.04%	1.66%	6.18%	10.61%	6.71%	2.20%	3.74%	4.28%	2.06%	2.52%	5.17%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
