Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Новомосковская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647					
		0.84%	0.58%	1.01%	1.44%	1.08%	0.82%	0.93%	0.56%	1.26%	1.06%	1.08%	0.60%	0.65%	0.76%	0.79%	1.28%	1.39%	1.20%	0.88%	0.81%	1.61%	0.73%	0.62%	0.67%	0.66%	0.71%	0.09%	0.99%	1.05%	0.92%	1.10%	0.62%	0.56%	1.31%	0.69%	0.67%	0.66%	0.97%	0.85%	0.75%	0.54%	0.82%	0.40%	0.85%	0.73%	1.54%	1.43%	0.50%	0.89%	0.00%	1.00%	0.44%	0.83%	0.75%	0.91%	1.09%	0.72%	0.00%	0.53%	0.78%	0.82%	0.67%	1.04%	0.81%	0.83%	0.00%	0.00%	1.46%	0.48%	0.00%	0.00%	1.05%	0.56%	0.44%	0.00%	0.32%	0.97%	2.50%	0.71%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14932	178	122	229	281	247	248	264	250	255	276	315	341	308	9	407	304	340	256	269	315	319	273	255	262	232	142	227	256	260	171	242	242	276	263	271	206	300	242	318	366	262	287	331	213	249	301	290	156	15	194	91	240	246	239	151	143	37	18	37	42	41	20	129	271	39	36	98	23	17	19	14	99	59	29	21	124	9	5					
		16.78%	11.41%	24.65%	18.26%	20.20%	14.40%	19.22%	14.71%	17.45%	14.21%	17.48%	15.82%	20.13%	16.65%	7.09%	21.67%	20.05%	21.48%	22.65%	18.20%	21.18%	12.34%	16.84%	21.37%	17.42%	14.99%	12.68%	14.08%	13.47%	18.49%	13.44%	12.52%	13.57%	19.10%	13.92%	20.27%	19.42%	16.20%	18.76%	18.41%	15.19%	13.47%	16.46%	16.55%	15.54%	23.97%	26.95%	20.79%	17.31%	6.52%	19.44%	20.13%	15.36%	15.31%	18.09%	14.94%	14.76%	16.82%	9.63%	9.66%	17.28%	13.67%	10.36%	14.86%	28.17%	19.40%	15.06%	11.92%	11.06%	18.09%	14.96%	7.33%	18.54%	12.91%	9.42%	6.73%	20.10%	22.50%	1.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2697	32	19	42	67	32	47	79	37	57	81	76	86	79	1	114	72	85	48	51	52	104	33	51	60	52	2	43	59	56	40	26	59	65	44	41	31	45	55	44	42	69	68	56	26	47	43	27	20	0	23	17	13	21	21	14	9	7	3	2	7	3	8	13	12	0	2	7	2	0	1	6	10	7	2	6	14	1	1					
		3.03%	2.05%	3.84%	3.35%	4.82%	1.87%	3.64%	4.40%	2.58%	3.18%	5.13%	3.82%	5.08%	4.27%	0.79%	6.07%	4.75%	5.37%	4.25%	3.45%	3.50%	4.02%	2.04%	4.27%	3.99%	3.36%	0.18%	2.67%	3.11%	3.98%	3.14%	1.35%	3.31%	4.50%	2.33%	3.07%	2.92%	2.43%	4.26%	2.55%	1.74%	3.55%	3.90%	2.80%	1.90%	4.52%	3.85%	1.94%	2.22%	0.00%	2.30%	3.76%	0.83%	1.31%	1.59%	1.38%	0.93%	3.18%	1.60%	0.52%	2.88%	1.00%	4.15%	1.50%	1.25%	0.00%	0.84%	0.85%	0.96%	0.00%	0.79%	3.14%	1.87%	1.53%	0.65%	1.92%	2.27%	2.50%	0.35%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	47868	1040	205	520	504	956	620	987	632	1008	807	1150	802	1020	62	878	634	654	414	705	626	1633	847	598	798	854	659	796	1185	661	705	1096	1163	712	1221	615	460	1092	634	893	1521	1139	1020	1168	850	381	389	735	486	144	419	240	1015	1029	748	607	586	134	121	274	142	174	140	497	394	129	152	527	122	61	83	89	290	260	212	220	275	18	231					
		53.80%	66.67%	41.41%	41.47%	36.23%	55.74%	48.06%	54.99%	44.10%	56.16%	51.11%	57.76%	47.34%	55.14%	48.82%	46.75%	41.82%	41.31%	36.64%	47.70%	42.10%	63.15%	52.25%	50.13%	53.06%	55.17%	58.84%	49.38%	62.37%	47.01%	55.42%	56.70%	65.23%	49.27%	64.60%	45.99%	43.36%	58.96%	49.15%	51.71%	63.11%	58.56%	58.49%	58.40%	61.99%	36.67%	34.83%	52.69%	53.94%	62.61%	41.98%	53.10%	64.94%	64.03%	56.62%	60.04%	60.47%	60.91%	64.71%	71.54%	58.44%	58.00%	72.54%	57.26%	40.96%	64.18%	63.60%	64.11%	58.65%	64.89%	65.35%	46.60%	54.31%	56.89%	68.83%	70.51%	44.57%	45.00%	81.91%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	396	2	2	3	11	7	4	5	8	7	3	10	9	13	1	11	16	9	4	9	6	6	5	4	2	10	1	8	6	8	5	4	8	10	6	3	2	10	13	4	8	15	3	11	7	15	3	6	10	0	7	1	5	6	5	8	2	0	1	1	0	2	0	2	6	1	0	0	0	0	0	0	5	3	1	2	3	1	1					
		0.45%	0.13%	0.40%	0.24%	0.79%	0.41%	0.31%	0.28%	0.56%	0.39%	0.19%	0.50%	0.53%	0.70%	0.79%	0.59%	1.06%	0.57%	0.35%	0.61%	0.40%	0.23%	0.31%	0.34%	0.13%	0.65%	0.09%	0.50%	0.32%	0.57%	0.39%	0.21%	0.45%	0.69%	0.32%	0.22%	0.19%	0.54%	1.01%	0.23%	0.33%	0.77%	0.17%	0.55%	0.51%	1.44%	0.27%	0.43%	1.11%	0.00%	0.70%	0.22%	0.32%	0.37%	0.38%	0.79%	0.21%	0.00%	0.53%	0.26%	0.00%	0.67%	0.00%	0.23%	0.62%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.66%	0.32%	0.64%	0.49%	2.50%	0.35%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
