Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Ефремовская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	707	15	30	19	15	5	21	11	11	21	24	18	8	16	11	25	18	12	8	34	23	17	20	23	17	20	13	9	14	8	16	17	2	2	6	2	1	8	3	6	2	10	20	2	4	3	10	5	9	9	2	1	14	2	4	4	8	8	4	15	5	7	6	4									
		3.25%	4.60%	5.84%	4.08%	2.72%	3.09%	2.92%	2.37%	2.01%	3.32%	4.85%	3.99%	4.21%	2.52%	4.85%	4.02%	2.78%	1.97%	1.71%	5.04%	3.02%	3.22%	3.30%	4.02%	2.92%	3.59%	4.55%	2.42%	6.17%	4.85%	4.52%	3.86%	0.93%	1.83%	2.49%	1.80%	0.86%	2.35%	1.29%	2.35%	2.38%	3.17%	5.63%	1.04%	1.93%	1.32%	3.19%	3.62%	3.33%	1.76%	1.20%	0.71%	4.38%	1.85%	2.27%	2.96%	3.05%	2.81%	3.88%	4.82%	3.88%	5.00%	2.63%	2.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	609	8	12	15	21	6	19	15	27	20	20	9	6	21	7	28	25	23	12	22	24	11	14	13	10	14	4	0	6	5	7	17	6	2	5	3	3	12	9	3	3	5	9	2	1	7	9	2	5	14	12	1	5	1	1	6	7	9	2	7	1	5	1	10									
		2.80%	2.45%	2.33%	3.22%	3.81%	3.70%	2.65%	3.23%	4.94%	3.16%	4.04%	1.99%	3.16%	3.30%	3.08%	4.50%	3.86%	3.78%	2.57%	3.26%	3.15%	2.08%	2.31%	2.27%	1.72%	2.51%	1.40%	0.00%	2.64%	3.03%	1.98%	3.86%	2.78%	1.83%	2.07%	2.70%	2.59%	3.53%	3.88%	1.18%	3.57%	1.59%	2.54%	1.04%	0.48%	3.08%	2.88%	1.45%	1.85%	2.74%	7.23%	0.71%	1.56%	0.93%	0.57%	4.44%	2.67%	3.16%	1.94%	2.25%	0.78%	3.57%	0.44%	6.58%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10571	134	204	194	241	67	305	194	233	267	192	210	80	346	103	273	302	273	232	304	329	209	228	239	269	259	115	272	143	90	213	201	152	58	144	67	55	154	126	194	54	204	175	139	136	132	168	94	125	289	98	93	163	78	104	51	128	138	60	148	58	61	134	70									
		48.64%	41.10%	39.69%	41.63%	43.74%	41.36%	42.48%	41.81%	42.60%	42.25%	38.79%	46.56%	42.11%	54.40%	45.37%	43.89%	46.68%	44.90%	49.68%	45.04%	43.23%	39.58%	37.62%	41.78%	46.22%	46.50%	40.21%	73.12%	62.99%	54.55%	60.17%	45.68%	70.37%	53.21%	59.75%	60.36%	47.41%	45.29%	54.31%	76.08%	64.29%	64.76%	49.30%	72.40%	65.70%	58.15%	53.67%	68.12%	46.30%	56.56%	59.04%	66.43%	50.94%	72.22%	59.09%	37.78%	48.85%	48.42%	58.25%	47.59%	44.96%	43.57%	58.77%	46.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	165	1	10	5	3	0	10	6	6	7	4	7	1	5	2	12	8	5	1	5	1	3	7	5	5	3	2	0	1	2	0	3	0	1	0	0	0	2	1	0	0	1	4	0	0	1	1	0	5	2	3	0	1	0	1	0	2	4	0	3	1	2	0	0									
		0.76%	0.31%	1.95%	1.07%	0.54%	0.00%	1.39%	1.29%	1.10%	1.11%	0.81%	1.55%	0.53%	0.79%	0.88%	1.93%	1.24%	0.82%	0.21%	0.74%	0.13%	0.57%	1.16%	0.87%	0.86%	0.54%	0.70%	0.00%	0.44%	1.21%	0.00%	0.68%	0.00%	0.92%	0.00%	0.00%	0.00%	0.59%	0.43%	0.00%	0.00%	0.32%	1.13%	0.00%	0.00%	0.44%	0.32%	0.00%	1.85%	0.39%	1.81%	0.00%	0.31%	0.00%	0.57%	0.00%	0.76%	1.40%	0.00%	0.96%	0.78%	1.43%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	33	0	0	1	0	1	1	1	1	0	0	0	3	2	0	3	0	1	1	1	2	1	1	0	0	3	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0									
		0.15%	0.00%	0.00%	0.21%	0.00%	0.62%	0.14%	0.22%	0.18%	0.00%	0.00%	0.00%	1.58%	0.31%	0.00%	0.48%	0.00%	0.16%	0.21%	0.15%	0.26%	0.19%	0.17%	0.00%	0.00%	0.54%	0.35%	0.00%	0.44%	0.00%	0.28%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3571	43	82	78	87	37	107	78	82	108	82	75	33	88	33	96	123	96	84	100	136	99	111	97	110	95	56	35	17	32	49	70	24	19	32	17	27	69	23	18	8	51	54	29	28	38	68	14	57	95	26	17	46	17	33	27	46	56	18	63	26	32	38	36									
		16.43%	13.19%	15.95%	16.74%	15.79%	22.84%	14.90%	16.81%	14.99%	17.09%	16.57%	16.63%	17.37%	13.84%	14.54%	15.43%	19.01%	15.79%	17.99%	14.81%	17.87%	18.75%	18.32%	16.96%	18.90%	17.06%	19.58%	9.41%	7.49%	19.39%	13.84%	15.91%	11.11%	17.43%	13.28%	15.32%	23.28%	20.29%	9.91%	7.06%	9.52%	16.19%	15.21%	15.10%	13.53%	16.74%	21.73%	10.14%	21.11%	18.59%	15.66%	12.14%	14.38%	15.74%	18.75%	20.00%	17.56%	19.65%	17.48%	20.26%	20.16%	22.86%	16.67%	23.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	81	2	2	1	1	0	5	5	0	7	2	3	0	3	2	0	1	3	3	4	1	2	2	2	3	2	2	2	1	0	2	3	0	0	0	0	0	1	0	1	0	2	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	2	0	1	0	0	0	1									
		0.37%	0.61%	0.39%	0.21%	0.18%	0.00%	0.70%	1.08%	0.00%	1.11%	0.40%	0.67%	0.00%	0.47%	0.88%	0.00%	0.15%	0.49%	0.64%	0.59%	0.13%	0.38%	0.33%	0.35%	0.52%	0.36%	0.70%	0.54%	0.44%	0.00%	0.56%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.39%	0.00%	0.63%	0.00%	0.52%	0.48%	0.00%	0.32%	0.00%	0.37%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.38%	0.70%	0.00%	0.32%	0.00%	0.00%	0.00%	0.66%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	179	4	10	5	6	0	2	7	5	8	6	4	2	9	4	10	5	8	5	6	6	4	5	1	7	4	2	0	0	3	3	3	0	1	0	0	0	8	3	0	1	0	1	0	2	2	2	0	2	2	0	0	1	0	1	0	2	1	1	3	1	0	0	1									
		0.82%	1.23%	1.95%	1.07%	1.09%	0.00%	0.28%	1.51%	0.91%	1.27%	1.21%	0.89%	1.05%	1.42%	1.76%	1.61%	0.77%	1.32%	1.07%	0.89%	0.79%	0.76%	0.83%	0.17%	1.20%	0.72%	0.70%	0.00%	0.00%	1.82%	0.85%	0.68%	0.00%	0.92%	0.00%	0.00%	0.00%	2.35%	1.29%	0.00%	1.19%	0.00%	0.28%	0.00%	0.97%	0.88%	0.64%	0.00%	0.74%	0.39%	0.00%	0.00%	0.31%	0.00%	0.57%	0.00%	0.76%	0.35%	0.97%	0.96%	0.78%	0.00%	0.00%	0.66%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	3	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1									
		0.12%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.16%	0.21%	0.00%	0.00%	0.57%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.43%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.32%	0.72%	0.00%	0.20%	0.00%	0.00%	0.31%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	219	0	8	5	7	4	14	5	9	13	9	11	4	4	2	6	4	10	5	7	7	4	9	7	6	3	1	0	0	0	1	8	0	0	4	2	0	5	2	0	0	0	3	1	1	1	0	1	2	3	2	0	3	0	0	3	6	1	0	3	1	0	0	2									
		1.01%	0.00%	1.56%	1.07%	1.27%	2.47%	1.95%	1.08%	1.65%	2.06%	1.82%	2.44%	2.11%	0.63%	0.88%	0.96%	0.62%	1.64%	1.07%	1.04%	0.92%	0.76%	1.49%	1.22%	1.03%	0.54%	0.35%	0.00%	0.00%	0.00%	0.28%	1.82%	0.00%	0.00%	1.66%	1.80%	0.00%	1.47%	0.86%	0.00%	0.00%	0.00%	0.85%	0.52%	0.48%	0.44%	0.00%	0.72%	0.74%	0.59%	1.20%	0.00%	0.94%	0.00%	0.00%	2.22%	2.29%	0.35%	0.00%	0.96%	0.78%	0.00%	0.00%	1.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3745	75	108	97	102	31	156	83	108	131	118	65	37	101	39	122	109	113	54	121	161	112	124	126	96	103	59	36	39	21	42	59	22	19	44	11	17	46	52	27	15	31	67	13	24	40	34	16	40	59	18	19	63	10	28	27	50	51	10	54	32	18	22	18									
		17.23%	23.01%	21.01%	20.82%	18.51%	19.14%	21.73%	17.89%	19.74%	20.73%	23.84%	14.41%	19.47%	15.88%	17.18%	19.61%	16.85%	18.59%	11.56%	17.93%	21.16%	21.21%	20.46%	22.03%	16.49%	18.49%	20.63%	9.68%	17.18%	12.73%	11.86%	13.41%	10.19%	17.43%	18.26%	9.91%	14.66%	13.53%	22.41%	10.59%	17.86%	9.84%	18.87%	6.77%	11.59%	17.62%	10.86%	11.59%	14.81%	11.55%	10.84%	13.57%	19.69%	9.26%	15.91%	20.00%	19.08%	17.89%	9.71%	17.36%	24.81%	12.86%	9.65%	11.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	64	1	1	1	4	0	4	0	2	0	1	1	0	2	0	2	1	7	0	2	2	3	1	3	2	3	1	0	0	0	0	5	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	3	0	1	0	0	0	1	0	0	0	1	0	2	1									
		0.29%	0.31%	0.19%	0.21%	0.73%	0.00%	0.56%	0.00%	0.37%	0.00%	0.20%	0.22%	0.00%	0.31%	0.00%	0.32%	0.15%	1.15%	0.00%	0.30%	0.26%	0.57%	0.17%	0.52%	0.34%	0.54%	0.35%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.92%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.44%	0.00%	0.00%	0.37%	0.20%	1.81%	0.00%	0.31%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.78%	0.00%	0.88%	0.66%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	988	21	24	28	36	4	47	28	37	42	20	30	6	17	13	26	26	39	43	37	36	40	44	32	28	27	20	8	2	2	12	26	5	6	5	6	12	16	3	4	1	2	6	4	4	1	11	2	10	10	1	3	16	0	3	6	6	6	6	4	1	11	13	3									
		4.55%	6.44%	4.67%	6.01%	6.53%	2.47%	6.55%	6.03%	6.76%	6.65%	4.04%	6.65%	3.16%	2.67%	5.73%	4.18%	4.02%	6.41%	9.21%	5.48%	4.73%	7.58%	7.26%	5.59%	4.81%	4.85%	6.99%	2.15%	0.88%	1.21%	3.39%	5.91%	2.31%	5.50%	2.07%	5.41%	10.34%	4.71%	1.29%	1.57%	1.19%	0.63%	1.69%	2.08%	1.93%	0.44%	3.51%	1.45%	3.70%	1.96%	0.60%	2.14%	5.00%	0.00%	1.70%	4.44%	2.29%	2.11%	5.83%	1.29%	0.78%	7.86%	5.70%	1.97%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
