Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																												
Дата голосования: 18.09.2016																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Миасская городская																																																																																												
																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																												
																																																																																												
		Сумма	УИК №145	УИК №146	УИК №147	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1092	10	10	10	20	20	10	20	13	10	10	35	20	10	15	20	10	20	15	20	25	15	15	15	20	10	10	20	10	10	14	20	10	10	10	15	13	18	10	10	10	10	10	20	15	20	13	10	20	10	10	20	15	10	20	14	10	12	22	10	10	10	10	10	10	10	10	10	20	13	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	775	10	4	3	20	18	9	14	12	9	8	24	16	7	12	10	8	12	10	17	20	15	15	15	13	6	8	18	10	5	14	18	4	8	9	10	13	15	7	9	6	6	10	13	13	15	10	6	14	9	5	13	12	5	12	11	6	9	22	5	6	2	5	7	6	4	6	6	17	10	5	6	6	2	1	7	3	4	3	4	0	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	765	10	4	6	17	17	5	12	10	14	8	11	15	8	8	9	14	11	12	5	19	12	14	18	11	7	15	14	11	5	7	7	5	17	13	13	7	11	11	12	12	14	4	5	8	10	15	10	12	11	5	12	11	2	13	9	4	9	5	1	5	5	12	6	2	11	13	6	8	5	7	5	4	6	6	13	1	1	4	7	5	36									
14	Число погашенных неиспользованных открепительных удостоверений	317	0	6	7	0	2	1	6	1	1	2	11	4	3	3	10	2	8	5	3	5	0	0	0	7	4	2	2	0	5	0	2	6	2	1	5	0	3	3	1	4	4	0	7	2	5	3	4	6	1	5	7	3	5	8	3	4	3	0	5	4	8	5	3	4	6	4	4	3	3	5	4	4	8	9	3	7	6	7	6	10	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	138	1	1	2	0	0	3	1	1	0	3	1	6	1	3	3	0	3	1	1	2	0	3	4	5	2	2	0	0	1	0	0	0	2	0	2	2	0	1	4	1	3	1	3	1	2	3	1	1	3	1	2	2	1	3	1	3	0	5	0	4	1	1	1	4	1	1	3	1	2	2	3	2	1	3	1	0	1	0	0	0	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1072	8	5	3	20	29	9	20	17	11	12	30	30	10	12	25	18	24	22	34	20	36	17	10	13	12	9	15	8	10	10	17	12	16	9	22	13	20	11	15	10	12	8	24	26	15	12	7	11	13	10	15	15	14	10	17	15	17	29	11	22	2	10	7	7	5	5	6	11	3	3	9	7	11	4	4	2	11	6	4	1	7									
		1.92%	2.21%	1.80%	0.77%	2.22%	3.03%	1.42%	2.67%	2.19%	1.63%	1.98%	2.22%	2.99%	2.61%	1.55%	3.06%	2.19%	2.22%	1.96%	3.32%	1.70%	3.00%	1.80%	1.20%	1.19%	2.22%	1.27%	1.55%	0.92%	1.03%	1.28%	1.73%	2.56%	2.20%	2.45%	2.73%	2.42%	2.31%	1.76%	2.12%	1.66%	1.63%	0.94%	2.10%	3.96%	1.72%	1.35%	1.25%	1.70%	1.58%	2.06%	1.96%	1.74%	3.50%	1.70%	2.11%	1.50%	3.07%	3.12%	2.29%	2.62%	0.67%	1.66%	1.35%	1.26%	1.31%	1.30%	1.39%	1.82%	0.52%	0.46%	1.61%	1.18%	2.38%	0.84%	1.14%	0.79%	2.33%	1.52%	0.97%	0.50%	1.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1299	6	2	11	17	16	10	14	21	15	10	43	19	11	13	14	22	13	35	28	26	18	18	19	34	9	15	18	9	36	28	16	10	29	7	15	12	32	7	15	10	20	19	33	18	17	15	16	8	18	11	23	27	8	21	17	20	16	25	15	20	7	16	6	18	5	9	14	13	17	11	14	11	14	12	12	7	11	11	9	2	10									
		2.32%	1.66%	0.72%	2.81%	1.89%	1.67%	1.58%	1.87%	2.70%	2.23%	1.65%	3.18%	1.90%	2.87%	1.68%	1.71%	2.68%	1.20%	3.12%	2.73%	2.21%	1.50%	1.91%	2.28%	3.11%	1.67%	2.12%	1.86%	1.04%	3.70%	3.59%	1.63%	2.14%	3.99%	1.91%	1.86%	2.23%	3.70%	1.12%	2.12%	1.66%	2.72%	2.24%	2.89%	2.74%	1.95%	1.68%	2.87%	1.23%	2.19%	2.26%	3.01%	3.13%	2.00%	3.57%	2.11%	2.00%	2.89%	2.69%	3.12%	2.38%	2.35%	2.66%	1.16%	3.25%	1.31%	2.33%	3.24%	2.15%	2.96%	1.68%	2.51%	1.86%	3.03%	2.53%	3.42%	2.78%	2.33%	2.79%	2.18%	0.99%	2.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1645	7	6	18	45	36	9	26	21	27	20	45	29	10	23	40	36	31	40	32	46	43	37	25	28	14	0	22	35	21	28	33	11	16	13	26	13	26	13	24	13	20	23	33	23	24	27	0	20	34	6	20	21	7	21	23	46	8	21	9	26	6	11	21	13	6	8	11	21	7	13	15	14	9	16	10	10	13	13	13	3	12									
		2.94%	1.93%	2.16%	4.59%	5.01%	3.76%	1.42%	3.47%	2.70%	4.01%	3.29%	3.33%	2.90%	2.61%	2.96%	4.90%	4.38%	2.87%	3.57%	3.13%	3.91%	3.58%	3.92%	3.00%	2.56%	2.59%	0.00%	2.27%	4.03%	2.16%	3.59%	3.37%	2.35%	2.20%	3.54%	3.23%	2.42%	3.01%	2.08%	3.39%	2.15%	2.72%	2.71%	2.89%	3.51%	2.76%	3.03%	0.00%	3.09%	4.13%	1.23%	2.61%	2.43%	1.75%	3.57%	2.86%	4.61%	1.44%	2.26%	1.87%	3.09%	2.01%	1.83%	4.05%	2.35%	1.57%	2.07%	2.55%	3.47%	1.22%	1.99%	2.69%	2.37%	1.95%	3.37%	2.85%	3.97%	2.75%	3.30%	3.16%	1.49%	3.31%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20738	169	119	146	339	364	252	197	237	221	214	408	332	127	264	274	281	355	350	326	428	375	319	256	350	182	244	397	325	372	257	357	172	224	144	306	187	289	269	268	230	262	289	404	229	274	351	175	222	296	158	233	308	139	220	293	357	219	391	149	309	137	247	201	228	186	204	199	266	292	290	256	253	234	243	186	115	225	201	235	126	210									
		37.10%	46.69%	42.81%	37.24%	37.71%	38.04%	39.81%	26.30%	30.50%	32.84%	35.26%	30.18%	33.17%	33.16%	34.02%	33.54%	34.18%	32.81%	31.19%	31.84%	36.43%	31.25%	33.79%	30.77%	31.99%	33.70%	34.51%	40.97%	37.40%	38.19%	32.99%	36.43%	36.75%	30.81%	39.24%	38.01%	34.82%	33.41%	43.11%	37.85%	38.08%	35.60%	34.08%	35.41%	34.91%	31.49%	39.35%	31.36%	34.26%	35.97%	32.51%	30.46%	35.65%	34.75%	37.41%	36.40%	35.77%	39.53%	42.09%	30.98%	36.74%	45.97%	41.03%	38.80%	41.16%	48.82%	52.85%	46.06%	43.97%	50.78%	44.41%	45.88%	42.81%	50.65%	51.16%	52.99%	45.63%	47.67%	51.02%	57.04%	62.69%	57.85%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	604	1	4	1	12	10	7	13	10	6	8	20	13	2	14	15	5	20	13	23	15	19	12	10	6	4	5	9	7	7	1	8	4	11	3	6	5	13	5	10	3	10	14	13	7	6	6	3	9	7	8	12	7	4	4	8	6	8	9	7	10	2	9	10	4	5	4	5	3	4	3	1	8	3	5	11	2	2	3	0	1	1									
		1.08%	0.28%	1.44%	0.26%	1.33%	1.04%	1.11%	1.74%	1.29%	0.89%	1.32%	1.48%	1.30%	0.52%	1.80%	1.84%	0.61%	1.85%	1.16%	2.25%	1.28%	1.58%	1.27%	1.20%	0.55%	0.74%	0.71%	0.93%	0.81%	0.72%	0.13%	0.82%	0.85%	1.51%	0.82%	0.75%	0.93%	1.50%	0.80%	1.41%	0.50%	1.36%	1.65%	1.14%	1.07%	0.69%	0.67%	0.54%	1.39%	0.85%	1.65%	1.57%	0.81%	1.00%	0.68%	0.99%	0.60%	1.44%	0.97%	1.46%	1.19%	0.67%	1.50%	1.93%	0.72%	1.31%	1.04%	1.16%	0.50%	0.70%	0.46%	0.18%	1.35%	0.65%	1.05%	3.13%	0.79%	0.42%	0.76%	0.00%	0.50%	0.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	104	1	0	2	2	1	2	2	1	0	2	2	3	0	1	2	1	0	3	4	4	1	4	1	3	0	0	2	0	3	1	0	0	0	3	2	2	0	2	2	0	0	2	1	0	6	1	4	1	1	1	2	0	0	1	3	3	1	0	0	1	0	3	1	3	0	2	0	0	0	2	0	2	1	0	0	0	0	1	1	0	1									
		0.19%	0.28%	0.00%	0.51%	0.22%	0.10%	0.32%	0.27%	0.13%	0.00%	0.33%	0.15%	0.30%	0.00%	0.13%	0.24%	0.12%	0.00%	0.27%	0.39%	0.34%	0.08%	0.42%	0.12%	0.27%	0.00%	0.00%	0.21%	0.00%	0.31%	0.13%	0.00%	0.00%	0.00%	0.82%	0.25%	0.37%	0.00%	0.32%	0.28%	0.00%	0.00%	0.24%	0.09%	0.00%	0.69%	0.11%	0.72%	0.15%	0.12%	0.21%	0.26%	0.00%	0.00%	0.17%	0.37%	0.30%	0.18%	0.00%	0.00%	0.12%	0.00%	0.50%	0.19%	0.54%	0.00%	0.52%	0.00%	0.00%	0.00%	0.31%	0.00%	0.34%	0.22%	0.00%	0.00%	0.00%	0.00%	0.25%	0.24%	0.00%	0.28%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9599	57	53	95	128	129	70	77	125	101	87	184	160	71	105	108	105	145	138	141	155	150	115	156	209	103	116	187	162	166	156	162	86	141	86	166	92	135	124	116	125	135	153	171	103	119	169	92	101	126	91	134	157	102	109	148	195	135	207	116	143	60	105	120	115	74	84	90	116	112	144	119	120	85	122	71	40	96	62	69	36	66									
		17.17%	15.75%	19.06%	24.23%	14.24%	13.48%	11.06%	10.28%	16.09%	15.01%	14.33%	13.61%	15.98%	18.54%	13.53%	13.22%	12.77%	13.40%	12.30%	13.77%	13.19%	12.50%	12.18%	18.75%	19.10%	19.07%	16.41%	19.30%	18.64%	17.04%	20.03%	16.53%	18.38%	19.39%	23.43%	20.62%	17.13%	15.61%	19.87%	16.38%	20.70%	18.34%	18.04%	14.99%	15.70%	13.68%	18.95%	16.49%	15.59%	15.31%	18.72%	17.52%	18.17%	25.50%	18.54%	18.39%	19.54%	24.37%	22.28%	24.12%	17.00%	20.13%	17.44%	23.17%	20.76%	19.42%	21.76%	20.83%	19.17%	19.48%	22.05%	21.33%	20.30%	18.40%	25.68%	20.23%	15.87%	20.34%	15.74%	16.75%	17.91%	18.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	551	2	3	1	19	13	8	8	8	6	4	15	14	6	14	8	7	22	18	18	14	18	16	5	7	4	5	10	7	7	4	7	12	3	6	4	4	8	3	6	0	6	11	17	5	18	13	7	11	6	10	3	8	7	9	6	4	2	7	4	3	0	3	6	6	2	2	1	4	2	5	0	3	3	1	1	3	3	2	0	1	2									
		0.99%	0.55%	1.08%	0.26%	2.11%	1.36%	1.26%	1.07%	1.03%	0.89%	0.66%	1.11%	1.40%	1.57%	1.80%	0.98%	0.85%	2.03%	1.60%	1.76%	1.19%	1.50%	1.69%	0.60%	0.64%	0.74%	0.71%	1.03%	0.81%	0.72%	0.51%	0.71%	2.56%	0.41%	1.63%	0.50%	0.74%	0.92%	0.48%	0.85%	0.00%	0.82%	1.30%	1.49%	0.76%	2.07%	1.46%	1.25%	1.70%	0.73%	2.06%	0.39%	0.93%	1.75%	1.53%	0.75%	0.40%	0.36%	0.75%	0.83%	0.36%	0.00%	0.50%	1.16%	1.08%	0.52%	0.52%	0.23%	0.66%	0.35%	0.77%	0.00%	0.51%	0.65%	0.21%	0.28%	1.19%	0.64%	0.51%	0.00%	0.50%	0.55%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1586	14	7	9	41	38	20	26	33	11	18	55	43	9	28	40	31	39	56	54	42	61	47	24	46	19	26	34	21	19	23	26	12	16	13	24	8	17	16	18	19	9	24	29	14	17	21	8	28	27	16	27	16	8	10	11	25	9	13	13	18	5	14	5	10	11	4	2	7	7	12	4	15	8	6	7	3	4	3	4	2	7									
		2.84%	3.87%	2.52%	2.30%	4.56%	3.97%	3.16%	3.47%	4.25%	1.63%	2.97%	4.07%	4.30%	2.35%	3.61%	4.90%	3.77%	3.60%	4.99%	5.27%	3.57%	5.08%	4.98%	2.88%	4.20%	3.52%	3.68%	3.51%	2.42%	1.95%	2.95%	2.65%	2.56%	2.20%	3.54%	2.98%	1.49%	1.97%	2.56%	2.54%	3.15%	1.22%	2.83%	2.54%	2.13%	1.95%	2.35%	1.43%	4.32%	3.28%	3.29%	3.53%	1.85%	2.00%	1.70%	1.37%	2.51%	1.62%	1.40%	2.70%	2.14%	1.68%	2.33%	0.97%	1.81%	2.89%	1.04%	0.46%	1.16%	1.22%	1.84%	0.72%	2.54%	1.73%	1.26%	1.99%	1.19%	0.85%	0.76%	0.97%	0.99%	1.93%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	62	1	0	1	2	1	2	0	0	0	1	2	1	0	1	2	1	1	2	0	0	1	2	2	4	0	1	1	1	2	2	1	1	1	1	2	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	0	2	1	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0									
		0.11%	0.28%	0.00%	0.26%	0.22%	0.10%	0.32%	0.00%	0.00%	0.00%	0.16%	0.15%	0.10%	0.00%	0.13%	0.24%	0.12%	0.09%	0.18%	0.00%	0.00%	0.08%	0.21%	0.24%	0.37%	0.00%	0.14%	0.10%	0.12%	0.21%	0.26%	0.10%	0.21%	0.14%	0.27%	0.25%	0.19%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.09%	0.15%	0.11%	0.11%	0.18%	0.00%	0.12%	0.21%	0.00%	0.12%	0.00%	0.34%	0.12%	0.20%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.36%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.28%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	957	6	0	1	23	37	24	19	17	10	16	33	36	10	31	28	12	32	22	27	36	42	16	10	17	6	6	12	11	9	14	5	14	15	10	16	5	20	7	16	3	8	15	23	11	14	9	11	12	7	1	12	8	9	8	6	12	8	16	2	15	6	9	1	7	6	1	4	4	6	3	1	4	6	3	2	2	7	1	2	0	1									
		1.71%	1.66%	0.00%	0.26%	2.56%	3.87%	3.79%	2.54%	2.19%	1.49%	2.64%	2.44%	3.60%	2.61%	3.99%	3.43%	1.46%	2.96%	1.96%	2.64%	3.06%	3.50%	1.69%	1.20%	1.55%	1.11%	0.85%	1.24%	1.27%	0.92%	1.80%	0.51%	2.99%	2.06%	2.72%	1.99%	0.93%	2.31%	1.12%	2.26%	0.50%	1.09%	1.77%	2.02%	1.68%	1.61%	1.01%	1.97%	1.85%	0.85%	0.21%	1.57%	0.93%	2.25%	1.36%	0.75%	1.20%	1.44%	1.72%	0.42%	1.78%	2.01%	1.50%	0.19%	1.26%	1.57%	0.26%	0.93%	0.66%	1.04%	0.46%	0.18%	0.68%	1.30%	0.63%	0.57%	0.79%	1.48%	0.25%	0.49%	0.00%	0.28%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6868	28	31	53	134	116	81	122	102	89	78	172	125	42	111	101	111	164	191	139	193	205	138	95	127	67	108	107	98	129	85	109	48	93	20	80	84	96	63	95	65	100	113	142	85	131	90	88	95	106	64	76	100	56	59	114	142	56	84	79	99	34	64	51	60	29	28	33	59	56	66	57	60	46	28	16	30	57	56	34	10	20									
		12.29%	7.73%	11.15%	13.52%	14.91%	12.12%	12.80%	16.29%	13.13%	13.22%	12.85%	12.72%	12.49%	10.97%	14.30%	12.36%	13.50%	15.16%	17.02%	13.57%	16.43%	17.08%	14.62%	11.42%	11.61%	12.41%	15.28%	11.04%	11.28%	13.24%	10.91%	11.12%	10.26%	12.79%	5.45%	9.94%	15.64%	11.10%	10.10%	13.42%	10.76%	13.59%	13.33%	12.45%	12.96%	15.06%	10.09%	15.77%	14.66%	12.88%	13.17%	9.93%	11.57%	14.00%	10.03%	14.16%	14.23%	10.11%	9.04%	16.42%	11.77%	11.41%	10.63%	9.85%	10.83%	7.61%	7.25%	7.64%	9.75%	9.74%	10.11%	10.22%	10.15%	9.96%	5.89%	4.56%	11.90%	12.08%	14.21%	8.25%	4.98%	5.51%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	270	3	0	1	11	5	3	1	2	2	2	7	5	2	5	6	5	9	2	3	3	6	5	1	5	5	1	7	1	2	4	4	3	5	1	1	2	3	4	3	6	2	3	2	1	5	3	1	3	4	4	0	6	1	11	7	6	7	7	1	2	0	2	3	3	2	1	4	7	2	3	7	1	1	3	2	1	2	2	1	0	1									
		0.48%	0.83%	0.00%	0.26%	1.22%	0.52%	0.47%	0.13%	0.26%	0.30%	0.33%	0.52%	0.50%	0.52%	0.64%	0.73%	0.61%	0.83%	0.18%	0.29%	0.26%	0.50%	0.53%	0.12%	0.46%	0.93%	0.14%	0.72%	0.12%	0.21%	0.51%	0.41%	0.64%	0.69%	0.27%	0.12%	0.37%	0.35%	0.64%	0.42%	0.99%	0.27%	0.35%	0.18%	0.15%	0.57%	0.34%	0.18%	0.46%	0.49%	0.82%	0.00%	0.69%	0.25%	1.87%	0.87%	0.60%	1.26%	0.75%	0.21%	0.24%	0.00%	0.33%	0.58%	0.54%	0.52%	0.26%	0.93%	1.16%	0.35%	0.46%	1.25%	0.17%	0.22%	0.63%	0.57%	0.40%	0.42%	0.51%	0.24%	0.00%	0.28%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8639	49	35	30	81	142	115	197	162	153	114	294	168	74	140	137	157	199	201	165	164	202	170	156	198	97	135	109	149	151	142	198	72	132	42	99	93	177	79	95	101	131	140	216	118	193	138	105	102	150	90	188	165	27	78	129	128	52	90	53	150	29	80	69	65	28	22	49	72	43	60	44	61	27	20	17	30	25	24	23	15	19									
		15.46%	13.54%	12.59%	7.65%	9.01%	14.84%	18.17%	26.30%	20.85%	22.73%	18.78%	21.75%	16.78%	19.32%	18.04%	16.77%	19.10%	18.39%	17.91%	16.11%	13.96%	16.83%	18.01%	18.75%	18.10%	17.96%	19.09%	11.25%	17.15%	15.50%	18.23%	20.20%	15.38%	18.16%	11.44%	12.30%	17.32%	20.46%	12.66%	13.42%	16.72%	17.80%	16.51%	18.93%	17.99%	22.18%	15.47%	18.82%	15.74%	18.23%	18.52%	24.58%	19.10%	6.75%	13.27%	16.02%	12.83%	9.39%	9.69%	11.02%	17.84%	9.73%	13.29%	13.32%	11.73%	7.35%	5.70%	11.34%	11.90%	7.48%	9.19%	7.89%	10.32%	5.84%	4.21%	4.84%	11.90%	5.30%	6.09%	5.58%	7.46%	5.23%									
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
