Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
Наименование Избирательной комиссии:    Первоуральская городская																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2682	24	52	66	75	46	67	33	36	82	59	70	60	75	80	49	40	52	46	76	92	63	47	69	75	89	55	76	39	44	79	48	41	46	36	32	12	9	52	11	56	55	17	34	29	32	51	18	52	18	27	11	3	17	22	10	7	10	8	16	2	9	20	2	4	0	3	23	6	6	5	0	5	1					
		5.01%	4.41%	7.35%	4.94%	6.03%	4.47%	5.37%	3.98%	4.50%	5.79%	4.91%	5.73%	4.57%	6.45%	7.47%	5.90%	4.56%	6.52%	5.44%	8.06%	6.99%	10.34%	5.30%	5.95%	5.92%	7.04%	6.62%	7.85%	6.27%	3.77%	6.10%	4.86%	4.32%	5.87%	5.49%	4.61%	2.24%	6.20%	5.99%	5.72%	5.11%	5.19%	4.40%	4.02%	3.51%	4.09%	5.20%	2.54%	5.80%	3.75%	3.46%	2.51%	1.31%	4.80%	2.47%	2.69%	1.80%	2.36%	2.97%	1.60%	1.80%	1.23%	2.92%	0.58%	0.78%	0.0%	2.45%	5.20%	4.13%	3.38%	3.33%	0.0%	5.15%	2.63%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3360	30	36	95	95	61	88	79	87	82	92	91	86	73	71	46	52	48	57	51	62	35	79	91	96	58	23	26	43	72	59	67	74	37	59	90	20	4	59	3	50	62	17	46	50	31	51	67	60	31	35	23	17	30	91	27	25	19	17	45	4	20	50	17	23	4	5	23	8	7	10	7	8	3					
		6.28%	5.51%	5.09%	7.11%	7.64%	5.93%	7.06%	9.54%	10.88%	5.79%	7.66%	7.45%	6.55%	6.28%	6.63%	5.54%	5.93%	6.02%	6.74%	5.41%	4.71%	5.74%	8.91%	7.85%	7.58%	4.58%	2.77%	2.68%	6.91%	6.17%	4.55%	6.79%	7.81%	4.72%	9.00%	12.98%	3.73%	2.75%	6.79%	1.56%	4.57%	5.86%	4.40%	5.44%	6.05%	3.96%	5.20%	9.47%	6.69%	6.45%	4.49%	5.25%	7.45%	8.47%	10.24%	7.27%	6.44%	4.50%	6.31%	4.50%	3.60%	2.75%	7.32%	5.0%	4.50%	3.84%	4.09%	5.20%	5.51%	3.95%	6.66%	10.76%	8.24%	7.89%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3470	43	49	106	90	67	80	50	43	106	80	108	113	95	87	53	77	66	67	79	148	59	72	94	77	84	76	71	41	80	89	63	95	61	48	59	13	7	49	5	71	66	4	46	29	50	56	53	69	19	33	19	11	17	26	6	13	13	6	10	1	17	21	3	11	0	0	12	11	7	14	2	2	2					
		6.48%	7.90%	6.93%	7.93%	7.24%	6.51%	6.42%	6.03%	5.38%	7.48%	6.66%	8.85%	8.61%	8.17%	8.13%	6.38%	8.78%	8.28%	7.92%	8.38%	11.25%	9.68%	8.12%	8.11%	6.08%	6.64%	9.15%	7.33%	6.59%	6.86%	6.87%	6.38%	10.03%	7.79%	7.32%	8.51%	2.42%	4.82%	5.64%	2.60%	6.48%	6.23%	1.03%	5.44%	3.51%	6.40%	5.72%	7.49%	7.70%	3.95%	4.23%	4.33%	4.82%	4.80%	2.92%	1.61%	3.35%	3.08%	2.23%	1.00%	0.90%	2.33%	3.07%	0.88%	2.15%	0.0%	0.0%	2.71%	7.58%	3.95%	9.33%	3.07%	2.06%	5.26%					
22	"5. ""За Русь Святую"""	287	1	1	3	4	7	8	4	4	9	3	2	3	2	4	6	6	4	5	1	5	2	3	12	6	5	2	2	4	10	4	3	2	5	7	0	4	0	5	1	13	12	1	2	5	2	5	3	3	7	6	3	8	3	3	2	3	2	1	14	1	2	5	3	7	1	1	1	1	3	3	0	2	0					
		0.53%	0.18%	0.14%	0.22%	0.32%	0.68%	0.64%	0.48%	0.50%	0.63%	0.24%	0.16%	0.22%	0.17%	0.37%	0.72%	0.68%	0.50%	0.59%	0.10%	0.38%	0.32%	0.33%	1.03%	0.47%	0.39%	0.24%	0.20%	0.64%	0.85%	0.30%	0.30%	0.21%	0.63%	1.06%	0.0%	0.74%	0.0%	0.57%	0.52%	1.18%	1.13%	0.25%	0.23%	0.60%	0.25%	0.51%	0.42%	0.33%	1.45%	0.77%	0.68%	3.50%	0.84%	0.33%	0.53%	0.77%	0.47%	0.37%	1.40%	0.90%	0.27%	0.73%	0.88%	1.37%	0.96%	0.81%	0.22%	0.68%	1.69%	2.0%	0.0%	2.06%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	178	0	2	2	4	4	6	4	3	2	7	5	2	8	3	6	2	2	3	6	3	3	1	5	4	3	1	3	2	2	5	3	2	7	1	2	2	0	2	0	3	4	1	1	3	2	4	3	3	1	2	0	0	3	6	2	2	1	0	2	1	1	0	1	1	1	1	2	1	0	2	0	1	1					
		0.33%	0.0%	0.28%	0.14%	0.32%	0.38%	0.48%	0.48%	0.37%	0.14%	0.58%	0.40%	0.15%	0.68%	0.28%	0.72%	0.22%	0.25%	0.35%	0.63%	0.22%	0.49%	0.11%	0.43%	0.31%	0.23%	0.12%	0.30%	0.32%	0.17%	0.38%	0.30%	0.21%	0.89%	0.15%	0.28%	0.37%	0.0%	0.23%	0.0%	0.27%	0.37%	0.25%	0.11%	0.36%	0.25%	0.40%	0.42%	0.33%	0.20%	0.25%	0.0%	0.0%	0.84%	0.67%	0.53%	0.51%	0.23%	0.0%	0.20%	0.90%	0.13%	0.0%	0.29%	0.19%	0.96%	0.81%	0.45%	0.68%	0.0%	1.33%	0.0%	1.03%	2.63%					
24	"7. ""Новый курс - Автомобильная Россия"""	648	5	7	16	16	14	16	7	3	17	20	12	11	14	16	8	12	9	12	8	18	4	6	10	13	22	18	19	6	10	16	17	6	17	11	7	14	0	6	3	30	24	4	13	14	16	15	8	16	9	5	2	1	3	3	4	2	2	2	2	2	6	4	1	0	0	0	9	1	2	2	0	0	0					
		1.21%	0.91%	0.99%	1.19%	1.28%	1.36%	1.28%	0.84%	0.37%	1.20%	1.66%	0.98%	0.83%	1.20%	1.49%	0.96%	1.36%	1.12%	1.42%	0.84%	1.36%	0.65%	0.67%	0.86%	1.02%	1.74%	2.16%	1.96%	0.96%	0.85%	1.23%	1.72%	0.63%	2.17%	1.67%	1.01%	2.61%	0.0%	0.69%	1.56%	2.74%	2.26%	1.03%	1.53%	1.69%	2.04%	1.53%	1.13%	1.78%	1.87%	0.64%	0.45%	0.43%	0.84%	0.33%	1.07%	0.51%	0.47%	0.74%	0.20%	1.80%	0.82%	0.58%	0.29%	0.0%	0.0%	0.0%	2.03%	0.68%	1.12%	1.33%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	101	3	2	2	1	5	2	0	1	6	0	2	5	1	0	0	3	2	2	3	0	2	1	1	2	0	0	3	3	2	3	2	0	2	3	0	1	0	6	0	1	2	0	0	3	1	1	0	4	1	0	1	0	0	0	1	1	0	1	1	1	1	3	0	5	0	0	0	0	0	1	0	1	0					
		0.18%	0.55%	0.28%	0.14%	0.08%	0.48%	0.16%	0.0%	0.12%	0.42%	0.0%	0.16%	0.38%	0.08%	0.0%	0.0%	0.34%	0.25%	0.23%	0.31%	0.0%	0.32%	0.11%	0.08%	0.15%	0.0%	0.0%	0.30%	0.48%	0.17%	0.23%	0.20%	0.0%	0.25%	0.45%	0.0%	0.18%	0.0%	0.69%	0.0%	0.09%	0.18%	0.0%	0.0%	0.36%	0.12%	0.10%	0.0%	0.44%	0.20%	0.0%	0.22%	0.0%	0.0%	0.0%	0.26%	0.25%	0.0%	0.37%	0.10%	0.90%	0.13%	0.43%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	1.03%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	303	3	5	5	4	6	6	2	6	6	5	6	4	5	13	8	5	5	6	5	11	2	3	6	6	10	8	10	3	13	9	6	5	8	1	2	3	1	4	0	7	14	2	4	5	11	5	6	8	0	4	4	0	1	1	0	1	1	0	2	0	1	2	1	0	0	0	3	1	0	1	0	1	1					
		0.56%	0.55%	0.70%	0.37%	0.32%	0.58%	0.48%	0.24%	0.75%	0.42%	0.41%	0.49%	0.30%	0.43%	1.21%	0.96%	0.57%	0.62%	0.71%	0.53%	0.83%	0.32%	0.33%	0.51%	0.47%	0.79%	0.96%	1.03%	0.48%	1.11%	0.69%	0.60%	0.52%	1.02%	0.15%	0.28%	0.56%	0.68%	0.46%	0.0%	0.63%	1.32%	0.51%	0.47%	0.60%	1.40%	0.51%	0.84%	0.89%	0.0%	0.51%	0.91%	0.0%	0.28%	0.11%	0.0%	0.25%	0.23%	0.0%	0.20%	0.0%	0.13%	0.29%	0.29%	0.0%	0.0%	0.0%	0.67%	0.68%	0.0%	0.66%	0.0%	1.03%	2.63%					
27	"10. ""Аграрная партия России"""	1510	20	17	32	31	25	34	21	12	26	43	35	35	24	12	21	15	9	15	31	43	13	16	23	36	28	23	18	9	30	35	38	24	14	13	16	8	2	23	0	42	26	67	28	22	24	23	21	22	14	17	37	4	9	21	10	16	84	7	23	6	21	19	11	8	4	17	27	2	2	3	0	3	0					
		2.82%	3.67%	2.40%	2.39%	2.49%	2.43%	2.72%	2.53%	1.50%	1.83%	3.58%	2.86%	2.66%	2.06%	1.12%	2.53%	1.71%	1.12%	1.77%	3.29%	3.26%	2.13%	1.80%	1.98%	2.84%	2.21%	2.77%	1.85%	1.44%	2.57%	2.70%	3.85%	2.53%	1.78%	1.98%	2.30%	1.49%	1.37%	2.64%	0.0%	3.83%	2.45%	17.35%	3.31%	2.66%	3.07%	2.34%	2.97%	2.45%	2.91%	2.18%	8.44%	1.75%	2.54%	2.36%	2.69%	4.12%	19.90%	2.60%	2.30%	5.40%	2.88%	2.78%	3.23%	1.56%	3.84%	13.93%	6.10%	1.37%	1.12%	2.0%	0.0%	3.09%	0.0%					
28	"11. ""Истинные патриоты России"""	53	1	0	0	2	0	2	2	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	2	1	1	0	2	2	0	0	1	4	1	2	1	2	0	0	0	2	0	0	1	1	0	1	1	0	0	5	2	0	1	2	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0					
		0.09%	0.18%	0.0%	0.0%	0.16%	0.0%	0.16%	0.24%	0.0%	0.07%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.07%	0.0%	0.22%	0.17%	0.07%	0.07%	0.0%	0.20%	0.32%	0.0%	0.0%	0.10%	0.42%	0.12%	0.30%	0.14%	0.37%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.11%	0.12%	0.0%	0.10%	0.14%	0.0%	0.0%	0.64%	0.45%	0.0%	0.28%	0.22%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.14%	0.0%	0.19%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1769	22	31	59	61	38	51	31	31	62	48	41	39	40	51	40	34	27	34	47	54	38	46	49	41	53	28	47	27	64	49	30	47	30	24	22	5	4	29	2	28	30	6	17	9	10	16	13	17	9	20	6	4	10	10	2	7	5	4	10	9	10	14	4	11	0	0	3	0	1	3	1	4	0					
		3.30%	4.04%	4.38%	4.41%	4.91%	3.69%	4.09%	3.74%	3.87%	4.37%	3.99%	3.36%	2.97%	3.44%	4.76%	4.81%	3.88%	3.38%	4.02%	4.98%	4.10%	6.23%	5.19%	4.22%	3.24%	4.19%	3.37%	4.85%	4.34%	5.48%	3.78%	3.04%	4.96%	3.83%	3.66%	3.17%	0.93%	2.75%	3.34%	1.04%	2.55%	2.83%	1.55%	2.01%	1.08%	1.28%	1.63%	1.83%	1.89%	1.87%	2.56%	1.36%	1.75%	2.82%	1.12%	0.53%	1.80%	1.18%	1.48%	1.00%	8.10%	1.37%	2.04%	1.17%	2.15%	0.0%	0.0%	0.67%	0.0%	0.56%	2.0%	1.53%	4.12%	0.0%					
30	"13. ""Демократическая партия России"""	165	0	3	2	1	4	1	1	2	10	3	3	3	4	1	1	0	1	3	1	8	2	4	7	4	2	1	6	2	2	5	1	6	5	0	2	1	1	4	0	3	2	5	1	1	2	2	2	2	0	2	0	6	1	6	2	4	0	0	2	1	2	5	1	0	0	1	2	1	0	0	0	2	0					
		0.30%	0.0%	0.42%	0.14%	0.08%	0.38%	0.08%	0.12%	0.25%	0.70%	0.24%	0.24%	0.22%	0.34%	0.09%	0.12%	0.0%	0.12%	0.35%	0.10%	0.60%	0.32%	0.45%	0.60%	0.31%	0.15%	0.12%	0.61%	0.32%	0.17%	0.38%	0.10%	0.63%	0.63%	0.0%	0.28%	0.18%	0.68%	0.46%	0.0%	0.27%	0.18%	1.29%	0.11%	0.12%	0.25%	0.20%	0.28%	0.22%	0.0%	0.25%	0.0%	2.63%	0.28%	0.67%	0.53%	1.03%	0.0%	0.0%	0.20%	0.90%	0.27%	0.73%	0.29%	0.0%	0.0%	0.81%	0.45%	0.68%	0.0%	0.0%	0.0%	2.06%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	313	6	7	6	7	14	5	4	5	2	6	7	1	3	3	4	4	3	0	4	7	1	4	7	10	7	10	1	1	8	3	4	3	1	3	10	4	1	9	1	22	14	10	8	4	6	7	2	4	3	5	1	1	3	3	0	7	3	6	2	1	6	5	0	1	0	1	1	0	1	0	0	0	0					
		0.58%	1.10%	0.99%	0.44%	0.56%	1.36%	0.40%	0.48%	0.62%	0.14%	0.49%	0.57%	0.07%	0.25%	0.28%	0.48%	0.45%	0.37%	0.0%	0.42%	0.53%	0.16%	0.45%	0.60%	0.79%	0.55%	1.20%	0.10%	0.16%	0.68%	0.23%	0.40%	0.31%	0.12%	0.45%	1.44%	0.74%	0.68%	1.03%	0.52%	2.01%	1.32%	2.59%	0.94%	0.48%	0.76%	0.71%	0.28%	0.44%	0.62%	0.64%	0.22%	0.43%	0.84%	0.33%	0.0%	1.80%	0.71%	2.23%	0.20%	0.90%	0.82%	0.73%	0.0%	0.19%	0.0%	0.81%	0.22%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	62	0	1	1	0	2	2	2	0	3	1	0	3	0	3	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	2	1	0	0	1	1	2	0	0	1	0	0	0	2	2	0	1	0	2	0	0	1	1	0	0	0	0	5	1	4	1	1	2	1	0	1	0	1	0	0	0	0					
		0.11%	0.0%	0.14%	0.07%	0.0%	0.19%	0.16%	0.24%	0.0%	0.21%	0.08%	0.0%	0.22%	0.0%	0.28%	0.12%	0.11%	0.12%	0.0%	0.0%	0.07%	0.16%	0.0%	0.08%	0.0%	0.07%	0.12%	0.0%	0.16%	0.08%	0.0%	0.0%	0.21%	0.12%	0.0%	0.0%	0.18%	0.68%	0.23%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.25%	0.20%	0.0%	0.11%	0.0%	0.25%	0.0%	0.0%	0.28%	0.11%	0.0%	0.0%	0.0%	0.0%	0.50%	0.90%	0.55%	0.14%	0.29%	0.39%	0.96%	0.0%	0.22%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3525	37	37	100	94	64	77	72	68	98	80	86	112	69	103	64	57	44	53	79	141	39	59	86	87	88	61	70	51	106	97	75	72	53	54	41	10	17	49	9	64	43	17	50	26	32	76	33	57	26	46	23	4	21	40	25	23	13	13	33	1	49	47	16	29	6	2	18	4	7	14	6	1	1					
		6.59%	6.80%	5.23%	7.48%	7.56%	6.22%	6.17%	8.69%	8.51%	6.92%	6.66%	7.04%	8.54%	5.93%	9.62%	7.71%	6.50%	5.52%	6.27%	8.38%	10.72%	6.40%	6.65%	7.42%	6.87%	6.96%	7.34%	7.23%	8.19%	9.09%	7.49%	7.60%	7.60%	6.76%	8.24%	5.91%	1.86%	11.72%	5.64%	4.68%	5.85%	4.06%	4.40%	5.91%	3.14%	4.09%	7.76%	4.66%	6.36%	5.41%	5.90%	5.25%	1.75%	5.93%	4.50%	6.73%	5.92%	3.08%	4.83%	3.30%	0.90%	6.74%	6.88%	4.70%	5.68%	5.76%	1.63%	4.07%	2.75%	3.95%	9.33%	9.23%	1.03%	2.63%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	108	2	0	2	0	4	5	1	0	2	1	2	2	0	1	0	3	3	1	1	0	0	2	3	2	2	0	4	1	2	1	2	0	4	3	1	3	1	2	1	5	0	1	4	2	3	2	4	0	3	1	1	1	3	5	1	0	0	0	0	0	1	0	1	1	0	0	2	0	1	2	0	0	0					
		0.20%	0.36%	0.0%	0.14%	0.0%	0.38%	0.40%	0.12%	0.0%	0.14%	0.08%	0.16%	0.15%	0.0%	0.09%	0.0%	0.34%	0.37%	0.11%	0.10%	0.0%	0.0%	0.22%	0.25%	0.15%	0.15%	0.0%	0.41%	0.16%	0.17%	0.07%	0.20%	0.0%	0.51%	0.45%	0.14%	0.56%	0.68%	0.23%	0.52%	0.45%	0.0%	0.25%	0.47%	0.24%	0.38%	0.20%	0.56%	0.0%	0.62%	0.12%	0.22%	0.43%	0.84%	0.56%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.29%	0.19%	0.0%	0.0%	0.45%	0.0%	0.56%	1.33%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	6927	71	118	170	174	120	162	105	83	155	125	143	169	191	131	109	134	96	113	108	142	66	95	155	151	184	92	145	63	136	147	110	105	109	92	78	68	30	115	3	146	146	45	107	98	105	116	99	142	68	92	57	33	40	92	50	56	54	54	162	21	135	117	60	82	16	21	71	16	29	16	10	7	1					
