Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Красногорская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2630	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	40	80	80	20	30	20	0	0	20	30	50	30	30	80	39	70	61	80	40	80	40	30	40	30	80	30	30	30	30	20	30	20	30	70	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1684	23	4	30	9	22	23	19	14	23	23	21	21	23	30	28	20	19	23	30	24	24	20	34	23	21	21	25	21	23	23	30	30	21	24	19	18	10	4	10	13	32	34	23	5	28	4	0	0	4	10	47	29	19	36	33	67	60	30	34	30	25	7	39	15	40	20	19	17	18	5	22	1	18	28	42					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2076	19	17	44	17	52	20	5	8	16	33	11	14	33	20	7	17	9	25	18	35	17	23	9	36	8	23	13	35	30	20	19	20	4	10	29	21	31	20	33	9	24	10	41	9	63	104	19	46	8	14	20	32	19	21	28	18	21	50	24	14	16	12	119	44	174	43	22	13	24	19	39	62	26	14	34					
14	Число погашенных неиспользованных открепительных удостоверений	946	7	16	0	21	8	7	11	16	7	7	9	9	7	0	2	10	11	7	0	6	6	10	6	7	9	9	5	9	7	7	0	0	9	6	11	12	20	26	10	17	8	46	57	15	2	16	0	0	16	20	3	1	11	44	6	3	1	50	6	50	15	23	1	15	40	10	11	13	12	15	8	19	12	42	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	0	2	1	0	0	2	0	0	0	1	1	1	0	4	0	1	3	0	0	0	0	0	2	1	0	1	0	3	2	0	1	0	0	2	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12241	160	71	207	113	158	219	202	161	131	213	181	130	108	204	221	176	194	157	157	227	245	231	267	248	174	161	187	136	189	253	215	213	142	153	170	186	124	104	68	209	174	182	221	26	181	116	78	28	31	86	215	205	167	164	187	197	233	207	240	204	196	103	213	108	228	136	194	127	189	41	101	101	94	31	172					
		17.67%	18.60%	22.40%	17.69%	17.52%	16.27%	19.33%	18.21%	15.26%	14.25%	18.93%	18.21%	13.67%	14.67%	18.75%	19.02%	18.31%	20.23%	18.34%	17.66%	18.73%	18.46%	18.99%	21.24%	19.21%	17.45%	15.94%	18.70%	17.22%	16.98%	19.89%	17.98%	18.77%	16.73%	16.38%	19.41%	18.04%	18.90%	17.54%	15.42%	18.24%	17.81%	16.91%	18.92%	18.98%	16.13%	16.52%	17.77%	17.28%	17.71%	19.86%	17.26%	17.43%	19.13%	16.21%	17.16%	15.44%	15.89%	14.66%	18.76%	19.88%	18.90%	16.83%	18.08%	16.17%	16.74%	16.21%	21.70%	18.07%	19.27%	17.08%	17.44%	17.66%	17.57%	8.88%	13.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10125	127	53	167	109	172	133	158	149	130	165	135	137	107	155	167	128	129	121	192	157	182	130	131	138	133	138	117	133	130	186	145	170	163	134	133	158	100	90	93	167	117	166	118	18	153	98	76	26	36	64	220	169	140	174	184	230	252	302	165	140	138	98	146	84	219	157	120	116	119	37	80	49	90	59	203					
		14.62%	14.77%	16.72%	14.27%	16.90%	17.71%	11.74%	14.25%	14.12%	14.15%	14.67%	13.58%	14.41%	14.54%	14.25%	14.37%	13.32%	13.45%	14.14%	21.60%	12.95%	13.72%	10.69%	10.42%	10.69%	13.34%	13.66%	11.70%	16.84%	11.68%	14.62%	12.12%	14.98%	19.20%	14.35%	15.18%	15.32%	15.24%	15.18%	21.09%	14.57%	11.98%	15.43%	10.10%	13.14%	13.64%	13.96%	17.31%	16.05%	20.57%	14.78%	17.66%	14.37%	16.04%	17.19%	16.88%	18.03%	17.19%	21.39%	12.90%	13.65%	13.31%	16.01%	12.39%	12.57%	16.08%	18.71%	13.42%	16.50%	12.13%	15.42%	13.82%	8.57%	16.82%	16.91%	16.49%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1221	15	2	12	10	19	17	10	20	10	18	16	24	17	13	14	17	12	14	23	27	20	27	26	22	20	19	14	15	14	17	14	32	14	14	15	24	12	11	12	31	13	16	19	1	12	9	9	2	1	3	17	14	17	15	27	39	44	23	29	19	19	10	24	13	38	13	14	17	16	2	6	8	9	2	18					
		1.76%	1.74%	0.63%	1.03%	1.55%	1.96%	1.50%	0.90%	1.90%	1.09%	1.60%	1.61%	2.52%	2.31%	1.19%	1.20%	1.77%	1.25%	1.64%	2.59%	2.23%	1.51%	2.22%	2.07%	1.70%	2.01%	1.88%	1.40%	1.90%	1.26%	1.34%	1.17%	2.82%	1.65%	1.50%	1.71%	2.33%	1.83%	1.85%	2.72%	2.71%	1.33%	1.49%	1.63%	0.73%	1.07%	1.28%	2.05%	1.23%	0.57%	0.69%	1.36%	1.19%	1.95%	1.48%	2.48%	3.06%	3.00%	1.63%	2.27%	1.85%	1.83%	1.63%	2.04%	1.95%	2.79%	1.55%	1.57%	2.42%	1.63%	0.83%	1.04%	1.40%	1.68%	0.57%	1.46%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	19492	210	67	333	146	236	362	311	310	259	354	275	285	265	276	343	235	248	237	199	371	353	336	356	421	260	314	304	185	343	362	331	300	209	274	249	272	162	175	110	315	289	319	405	36	310	181	104	27	45	118	320	368	216	333	341	391	495	324	416	354	330	172	357	199	425	171	196	165	250	56	124	162	122	61	357					
		28.14%	24.42%	21.14%	28.46%	22.64%	24.30%	31.95%	28.04%	29.38%	28.18%	31.47%	27.67%	29.97%	36.01%	25.37%	29.52%	24.45%	25.86%	27.69%	22.38%	30.61%	26.60%	27.63%	28.32%	32.61%	26.08%	31.09%	30.40%	23.42%	30.82%	28.46%	27.68%	26.43%	24.62%	29.34%	28.42%	26.38%	24.70%	29.51%	24.94%	27.49%	29.58%	29.65%	34.67%	26.28%	27.63%	25.78%	23.69%	16.67%	25.71%	27.25%	25.68%	31.29%	24.74%	32.91%	31.28%	30.64%	33.77%	22.95%	32.53%	34.50%	31.82%	28.10%	30.31%	29.79%	31.20%	20.38%	21.92%	23.47%	25.48%	23.33%	21.42%	28.32%	22.80%	17.48%	29.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	7159	94	49	115	50	65	123	95	100	150	112	107	164	114	142	121	125	90	83	98	160	148	191	143	117	124	110	113	85	163	153	184	114	85	105	73	116	59	43	51	126	111	79	115	10	247	136	28	4	6	36	116	78	78	85	97	89	108	74	107	72	96	57	120	63	94	42	78	47	63	19	72	69	38	22	143					
		10.34%	10.93%	15.46%	9.83%	7.75%	6.69%	10.86%	8.57%	9.48%	16.32%	9.96%	10.76%	17.25%	15.49%	13.05%	10.41%	13.01%	9.38%	9.70%	11.02%	13.20%	11.15%	15.71%	11.38%	9.06%	12.44%	10.89%	11.30%	10.76%	14.65%	12.03%	15.38%	10.04%	10.01%	11.24%	8.33%	11.25%	8.99%	7.25%	11.56%	10.99%	11.36%	7.34%	9.85%	7.30%	22.01%	19.37%	6.38%	2.47%	3.43%	8.31%	9.31%	6.63%	8.93%	8.40%	8.90%	6.97%	7.37%	5.24%	8.37%	7.02%	9.26%	9.31%	10.19%	9.43%	6.90%	5.01%	8.72%	6.69%	6.42%	7.92%	12.44%	12.06%	7.10%	6.30%	11.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16301	222	61	293	192	226	237	292	274	204	234	247	189	104	263	254	237	241	212	192	226	321	270	284	310	247	226	235	197	228	249	249	249	209	215	193	230	171	142	93	256	237	263	236	42	188	145	125	70	44	113	303	308	230	188	205	289	277	428	282	199	220	152	269	167	296	288	243	212	292	75	173	168	160	157	283					
		23.53%	25.81%	19.24%	25.04%	29.77%	23.27%	20.92%	26.33%	25.97%	22.20%	20.80%	24.85%	19.87%	14.13%	24.17%	21.86%	24.66%	25.13%	24.77%	21.60%	18.65%	24.19%	22.20%	22.59%	24.01%	24.77%	22.38%	23.50%	24.94%	20.49%	19.58%	20.82%	21.94%	24.62%	23.02%	22.03%	22.31%	26.07%	23.95%	21.09%	22.34%	24.26%	24.44%	20.21%	30.66%	16.76%	20.66%	28.47%	43.21%	25.14%	26.10%	24.32%	26.19%	26.35%	18.58%	18.81%	22.65%	18.89%	30.31%	22.05%	19.40%	21.22%	24.84%	22.84%	25.00%	21.73%	34.33%	27.18%	30.16%	29.77%	31.25%	29.88%	29.37%	29.91%	44.99%	22.99%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	841	8	6	20	9	11	10	3	17	13	10	13	9	11	12	13	12	14	10	11	17	14	19	17	7	12	17	9	10	14	17	15	17	8	4	15	17	6	11	6	10	11	20	10	1	12	9	3	2	2	4	21	10	11	9	17	18	27	15	16	8	13	7	4	12	19	12	16	4	12	1	7	5	6	2	21					
		1.21%	0.93%	1.89%	1.71%	1.40%	1.13%	0.88%	0.27%	1.61%	1.41%	0.89%	1.31%	0.95%	1.49%	1.10%	1.12%	1.25%	1.46%	1.17%	1.24%	1.40%	1.06%	1.56%	1.35%	0.54%	1.20%	1.68%	0.90%	1.27%	1.26%	1.34%	1.25%	1.50%	0.94%	0.43%	1.71%	1.65%	0.91%	1.85%	1.36%	0.87%	1.13%	1.86%	0.86%	0.73%	1.07%	1.28%	0.68%	1.23%	1.14%	0.92%	1.69%	0.85%	1.26%	0.89%	1.56%	1.41%	1.84%	1.06%	1.25%	0.78%	1.25%	1.14%	0.34%	1.80%	1.40%	1.43%	1.79%	0.57%	1.22%	0.42%	1.21%	0.87%	1.12%	0.57%	1.71%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
