Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    Красногорская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	1.Политическая партия «Аграрная партия России»	2574	16	44	16	22	29	51	49	46	52	49	43	34	29	31	25	47	49	33	49	73	62	48	43	33	30	45	32	45	24	14	61	43	35	29	52	48	19	21	23	38	33	60	44	24	12	13	18	42	53	36	30	41	23	52	48	33	21	24	57	38	45	54	24	40	49	7	29	11	45	8	28					
		3.65%	2.02%	3.41%	3.83%	3.76%	3.57%	4.22%	3.98%	3.62%	4.76%	4.23%	3.70%	4.21%	3.07%	3.97%	2.17%	4.51%	3.69%	3.30%	3.48%	5.10%	4.71%	4.36%	3.92%	3.07%	2.89%	4.46%	2.95%	3.97%	2.45%	2.30%	4.26%	4.40%	4.38%	3.65%	4.11%	4.27%	3.64%	3.33%	2.99%	3.31%	3.07%	4.02%	3.74%	4.24%	3.90%	5.33%	3.21%	3.02%	3.94%	3.48%	1.87%	2.19%	2.60%	3.32%	3.25%	3.77%	2.09%	2.87%	5.46%	3.34%	5.08%	5.22%	3.64%	5.15%	4.15%	2.32%	3.28%	4.91%	4.76%	2.73%	2.83%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1477	14	17	12	6	19	44	15	17	25	21	35	12	20	18	43	18	34	35	34	21	38	21	21	25	14	27	19	19	27	15	31	22	26	15	35	21	15	15	16	30	28	41	22	4	6	3	9	19	24	16	32	50	19	18	27	27	21	11	10	24	16	30	9	12	16	2	17	7	18	7	20					
		2.10%	1.77%	1.32%	2.87%	1.03%	2.34%	3.64%	1.22%	1.34%	2.29%	1.81%	3.01%	1.49%	2.12%	2.30%	3.73%	1.73%	2.56%	3.50%	2.41%	1.47%	2.89%	1.91%	1.91%	2.33%	1.35%	2.68%	1.75%	1.68%	2.76%	2.47%	2.17%	2.25%	3.25%	1.89%	2.77%	1.87%	2.87%	2.38%	2.09%	2.61%	2.60%	2.75%	1.87%	0.71%	1.95%	1.23%	1.61%	1.36%	1.78%	1.55%	1.99%	2.67%	2.15%	1.15%	1.83%	3.09%	2.09%	1.31%	0.96%	2.11%	1.81%	2.90%	1.36%	1.54%	1.36%	0.66%	1.92%	3.13%	1.90%	2.39%	2.02%					
20	3.Политическая партия «Демократическая партия России»	135	0	0	0	1	1	2	3	5	2	0	3	0	2	2	3	2	1	4	0	2	3	4	3	3	2	0	1	3	1	1	3	1	1	0	5	2	2	0	0	3	3	4	2	0	1	3	0	4	1	1	6	1	2	3	5	2	1	3	1	3	1	0	1	0	5	1	4	0	2	1	3					
		0.19%	0.00%	0.00%	0.00%	0.17%	0.12%	0.17%	0.24%	0.39%	0.18%	0.00%	0.26%	0.00%	0.21%	0.26%	0.26%	0.19%	0.08%	0.40%	0.00%	0.14%	0.23%	0.36%	0.27%	0.28%	0.19%	0.00%	0.09%	0.26%	0.10%	0.16%	0.21%	0.10%	0.13%	0.00%	0.40%	0.18%	0.38%	0.00%	0.00%	0.26%	0.28%	0.27%	0.17%	0.00%	0.32%	1.23%	0.00%	0.29%	0.07%	0.10%	0.37%	0.05%	0.23%	0.19%	0.34%	0.23%	0.10%	0.36%	0.10%	0.26%	0.11%	0.00%	0.15%	0.00%	0.42%	0.33%	0.45%	0.00%	0.21%	0.34%	0.30%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10977	108	219	53	56	128	201	195	189	202	203	149	128	115	140	146	170	203	125	213	256	226	181	196	175	171	164	168	214	175	86	232	162	123	140	194	189	79	114	125	158	163	257	287	76	22	17	85	182	196	225	258	241	117	157	282	166	124	87	156	151	154	167	110	104	195	46	78	17	167	29	190					
		15.57%	13.62%	16.98%	12.68%	9.57%	15.76%	16.63%	15.85%	14.87%	18.48%	17.53%	12.82%	15.86%	12.18%	17.93%	12.65%	16.30%	15.27%	12.49%	15.12%	17.89%	17.19%	16.45%	17.87%	16.28%	16.47%	16.25%	15.50%	18.89%	17.89%	14.14%	16.21%	16.56%	15.38%	17.63%	15.35%	16.83%	15.13%	18.10%	16.30%	13.76%	15.16%	17.24%	24.43%	13.43%	7.14%	6.97%	15.18%	13.07%	14.56%	21.76%	16.07%	12.85%	13.25%	10.01%	19.07%	18.97%	12.36%	10.39%	14.94%	13.26%	17.40%	16.14%	16.67%	13.38%	16.53%	15.23%	8.82%	7.59%	17.65%	9.90%	19.23%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1386	12	33	7	24	7	16	41	24	23	44	12	19	29	17	35	18	28	13	35	31	42	34	17	28	17	30	9	27	26	9	43	32	27	18	44	22	4	16	19	26	26	24	19	6	12	1	6	22	19	24	28	14	14	15	22	7	17	5	10	15	18	21	9	13	13	4	14	4	14	3	9					
		1.97%	1.51%	2.56%	1.67%	4.10%	0.86%	1.32%	3.33%	1.89%	2.10%	3.80%	1.03%	2.35%	3.07%	2.18%	3.03%	1.73%	2.11%	1.30%	2.48%	2.17%	3.19%	3.09%	1.55%	2.60%	1.64%	2.97%	0.83%	2.38%	2.66%	1.48%	3.00%	3.27%	3.38%	2.27%	3.48%	1.96%	0.77%	2.54%	2.48%	2.26%	2.42%	1.61%	1.62%	1.06%	3.90%	0.41%	1.07%	1.58%	1.41%	2.32%	1.74%	0.75%	1.59%	0.96%	1.49%	0.80%	1.69%	0.60%	0.96%	1.32%	2.03%	2.03%	1.36%	1.67%	1.10%	1.32%	1.58%	1.79%	1.48%	1.02%	0.91%					
23	6.Политическая партия «Партия социальной справедливости»	273	4	12	2	2	6	8	2	2	4	4	7	1	5	2	2	2	7	6	4	5	0	3	3	4	10	3	3	2	4	2	3	6	0	2	7	10	2	1	4	9	8	4	2	1	1	1	3	6	7	4	4	15	2	5	5	3	0	2	4	9	1	1	4	2	1	2	3	2	1	3	2					
		0.39%	0.50%	0.93%	0.48%	0.34%	0.74%	0.66%	0.16%	0.16%	0.37%	0.35%	0.60%	0.12%	0.53%	0.26%	0.17%	0.19%	0.53%	0.60%	0.28%	0.35%	0.00%	0.27%	0.27%	0.37%	0.96%	0.30%	0.28%	0.18%	0.41%	0.33%	0.21%	0.61%	0.00%	0.25%	0.55%	0.89%	0.38%	0.16%	0.52%	0.78%	0.74%	0.27%	0.17%	0.18%	0.32%	0.41%	0.54%	0.43%	0.52%	0.39%	0.25%	0.80%	0.23%	0.32%	0.34%	0.34%	0.00%	0.24%	0.38%	0.79%	0.11%	0.10%	0.61%	0.26%	0.08%	0.66%	0.34%	0.89%	0.11%	1.02%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	5716	64	109	45	51	70	79	69	116	72	63	100	42	87	67	77	91	100	103	102	83	82	60	76	64	97	86	87	90	85	50	103	68	58	56	89	87	34	44	65	96	89	152	69	55	38	23	49	152	114	61	154	220	73	175	122	65	84	104	84	136	48	73	62	88	88	28	75	14	54	22	78					
		8.11%	8.07%	8.45%	10.77%	8.72%	8.62%	6.53%	5.61%	9.13%	6.59%	5.44%	8.61%	5.20%	9.22%	8.58%	6.67%	8.72%	7.52%	10.29%	7.24%	5.80%	6.24%	5.45%	6.93%	5.95%	9.34%	8.52%	8.03%	7.94%	8.69%	8.22%	7.20%	6.95%	7.25%	7.05%	7.04%	7.75%	6.51%	6.98%	8.47%	8.36%	8.28%	10.19%	5.87%	9.72%	12.34%	9.43%	8.75%	10.92%	8.47%	5.90%	9.60%	11.73%	8.27%	11.16%	8.25%	7.43%	8.37%	12.43%	8.05%	11.94%	5.42%	7.05%	9.39%	11.33%	7.46%	9.27%	8.48%	6.25%	5.71%	7.51%	7.89%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6127	72	102	39	61	74	89	137	115	128	79	110	93	90	69	91	84	105	81	135	166	114	107	95	126	98	89	93	107	84	50	121	95	60	76	131	112	47	68	89	94	93	111	101	38	12	22	40	107	125	102	114	135	74	107	128	92	65	42	80	73	80	86	50	89	112	22	61	15	76	27	72					
		8.69%	9.08%	7.91%	9.33%	10.43%	9.11%	7.36%	11.14%	9.05%	11.71%	6.82%	9.47%	11.52%	9.53%	8.83%	7.89%	8.05%	7.90%	8.09%	9.58%	11.60%	8.67%	9.73%	8.66%	11.72%	9.44%	8.82%	8.58%	9.44%	8.59%	8.22%	8.46%	9.71%	7.50%	9.57%	10.36%	9.97%	9.00%	10.79%	11.60%	8.19%	8.65%	7.44%	8.60%	6.71%	3.90%	9.02%	7.14%	7.69%	9.29%	9.86%	7.10%	7.20%	8.38%	6.82%	8.65%	10.51%	6.48%	5.02%	7.66%	6.41%	9.04%	8.31%	7.58%	11.45%	9.49%	7.28%	6.90%	6.70%	8.03%	9.22%	7.29%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1152	12	17	9	6	19	17	16	14	12	10	13	13	15	16	24	18	20	20	27	23	9	8	21	14	17	13	54	17	14	6	17	12	4	8	18	20	12	8	14	13	15	35	29	4	4	3	6	27	25	17	49	36	7	24	26	18	24	7	6	29	15	25	9	14	19	6	8	2	20	4	19					
		1.63%	1.51%	1.32%	2.15%	1.03%	2.34%	1.41%	1.30%	1.10%	1.10%	0.86%	1.12%	1.61%	1.59%	2.05%	2.08%	1.73%	1.50%	1.99%	1.92%	1.61%	0.68%	0.73%	1.91%	1.30%	1.64%	1.29%	4.98%	1.50%	1.43%	0.99%	1.19%	1.23%	0.50%	1.01%	1.42%	1.78%	2.30%	1.27%	1.83%	1.13%	1.40%	2.35%	2.47%	0.71%	1.30%	1.23%	1.07%	1.94%	1.86%	1.64%	3.05%	1.92%	0.79%	1.53%	1.76%	2.06%	2.39%	0.84%	0.57%	2.55%	1.69%	2.42%	1.36%	1.80%	1.61%	1.99%	0.90%	0.89%	2.11%	1.37%	1.92%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	36752	446	658	209	335	422	615	621	677	492	588	619	420	489	355	639	532	686	505	717	696	640	554	555	527	527	494	547	529	476	335	709	473	393	391	634	557	284	312	362	634	562	738	536	335	181	153	328	776	732	502	853	1041	512	967	740	415	612	533	586	605	447	517	342	395	629	179	552	139	505	168	518					
		52.14%	56.24%	51.01%	50.00%	57.26%	51.97%	50.87%	50.49%	53.27%	45.01%	50.78%	53.27%	52.04%	51.80%	45.45%	55.37%	51.01%	51.62%	50.45%	50.89%	48.64%	48.67%	50.36%	50.59%	49.02%	50.77%	48.96%	50.46%	46.69%	48.67%	55.10%	49.55%	48.36%	49.13%	49.24%	50.16%	49.60%	54.41%	49.52%	47.20%	55.23%	52.28%	49.50%	45.62%	59.19%	58.77%	62.70%	58.57%	55.75%	54.38%	48.55%	53.15%	55.52%	57.98%	61.67%	50.03%	47.43%	61.02%	63.68%	56.13%	53.12%	50.51%	49.95%	51.82%	50.84%	53.31%	59.27%	62.44%	62.05%	53.38%	57.34%	52.43%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2874	35	55	25	12	29	65	65	49	64	67	63	37	45	47	56	53	82	61	79	55	80	57	57	62	43	45	55	66	47	32	86	50	58	48	47	36	16	20	39	28	36	32	46	10	14	2	14	39	26	31	43	55	35	27	47	36	25	14	37	32	29	28	32	11	33	0	33	9	37	15	30					
		4.08%	4.41%	4.26%	5.98%	2.05%	3.57%	5.38%	5.28%	3.86%	5.86%	5.79%	5.42%	4.58%	4.77%	6.02%	4.85%	5.08%	6.17%	6.09%	5.61%	3.84%	6.08%	5.18%	5.20%	5.77%	4.14%	4.46%	5.07%	5.83%	4.81%	5.26%	6.01%	5.11%	7.25%	6.05%	3.72%	3.21%	3.07%	3.17%	5.08%	2.44%	3.35%	2.15%	3.91%	1.77%	4.55%	0.82%	2.50%	2.80%	1.93%	2.99%	2.68%	2.93%	3.96%	1.72%	3.18%	4.11%	2.49%	1.67%	3.54%	2.81%	3.28%	2.71%	4.85%	1.42%	2.80%	0.00%	3.73%	4.02%	3.91%	5.12%	3.04%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
