Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Нижнеудинская городская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999					
		1.72%	2.40%	1.63%	0.97%	1.66%	1.88%	1.25%	1.58%	2.95%	3.29%	2.22%	1.36%	1.27%	1.49%	1.57%	2.04%	1.21%	2.62%	2.84%	2.72%	1.49%	1.44%	0.54%	1.45%	0.59%	0.0%	0.0%	0.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	480	20	12	13	22	8	26	14	16	25	9	9	20	49	26	17	23	24	12	15	22	12	20	30	13	14	4	5					
		3.71%	1.92%	3.27%	3.16%	6.11%	3.01%	2.96%	3.16%	4.73%	2.74%	3.33%	6.16%	3.62%	5.24%	3.40%	6.96%	4.64%	3.93%	3.10%	3.14%	4.11%	3.46%	5.43%	4.83%	3.89%	4.98%	1.75%	1.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	674	63	26	25	19	10	58	24	19	66	8	8	40	59	40	15	25	48	7	21	12	24	10	15	8	4	6	14					
		5.21%	6.06%	7.10%	6.08%	5.27%	3.77%	6.62%	5.42%	5.62%	7.24%	2.96%	5.47%	7.25%	6.31%	5.23%	6.14%	5.05%	7.86%	1.81%	4.40%	2.24%	6.93%	2.71%	2.41%	2.39%	1.42%	2.63%	4.19%					
22	"5. ""За Русь Святую"""	90	2	3	1	8	3	9	2	1	7	2	0	3	5	7	3	5	7	6	1	1	3	1	5	1	4	0	0					
		0.69%	0.19%	0.81%	0.24%	2.22%	1.13%	1.02%	0.45%	0.29%	0.76%	0.74%	0.0%	0.54%	0.53%	0.91%	1.22%	1.01%	1.14%	1.55%	0.20%	0.18%	0.86%	0.27%	0.80%	0.29%	1.42%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	3	0	1	0	3	3	0	2	2	3	0	2	3	3	1	0	2	1	2	0	0	0	1	3	1	0	0					
		0.27%	0.28%	0.0%	0.24%	0.0%	1.13%	0.34%	0.0%	0.59%	0.21%	1.11%	0.0%	0.36%	0.32%	0.39%	0.40%	0.0%	0.32%	0.25%	0.41%	0.0%	0.0%	0.0%	0.16%	0.89%	0.35%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	89	15	4	1	1	0	2	3	3	6	1	0	1	2	6	1	6	4	1	2	20	2	0	3	1	1	0	3					
		0.68%	1.44%	1.09%	0.24%	0.27%	0.0%	0.22%	0.67%	0.88%	0.65%	0.37%	0.0%	0.18%	0.21%	0.78%	0.40%	1.21%	0.65%	0.25%	0.41%	3.74%	0.57%	0.0%	0.48%	0.29%	0.35%	0.0%	0.89%					
25	"8. ""Народно-республиканская партия России"""	26	2	2	0	0	0	2	1	1	2	0	1	1	0	3	1	1	1	1	1	2	0	1	0	1	1	0	1					
		0.20%	0.19%	0.54%	0.0%	0.0%	0.0%	0.22%	0.22%	0.29%	0.21%	0.0%	0.68%	0.18%	0.0%	0.39%	0.40%	0.20%	0.16%	0.25%	0.20%	0.37%	0.0%	0.27%	0.0%	0.29%	0.35%	0.0%	0.29%					
26	"9. ""Российская экологическая партия ""Зеленые"""	53	7	1	1	1	3	2	1	1	2	9	0	1	6	3	0	0	0	2	1	2	2	0	0	0	5	0	3					
		0.40%	0.67%	0.27%	0.24%	0.27%	1.13%	0.22%	0.22%	0.29%	0.21%	3.33%	0.0%	0.18%	0.64%	0.39%	0.0%	0.0%	0.0%	0.51%	0.20%	0.37%	0.57%	0.0%	0.0%	0.0%	1.77%	0.0%	0.89%					
27	"10. ""Аграрная партия России"""	306	26	9	9	10	7	18	12	4	20	12	6	13	27	18	7	17	15	8	13	5	7	7	17	10	1	4	4					
		2.36%	2.50%	2.45%	2.18%	2.77%	2.64%	2.05%	2.71%	1.18%	2.19%	4.44%	4.10%	2.35%	2.88%	2.35%	2.86%	3.43%	2.45%	2.07%	2.72%	0.93%	2.02%	1.90%	2.74%	2.99%	0.35%	1.75%	1.19%					
28	"11. ""Истинные патриоты России"""	21	2	0	0	0	1	3	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	8	0	1					
		0.16%	0.19%	0.0%	0.0%	0.0%	0.37%	0.34%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.37%	0.0%	0.27%	0.0%	0.0%	2.84%	0.0%	0.29%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	464	40	18	14	10	7	37	26	10	36	9	7	21	37	25	17	24	23	15	13	19	14	8	16	8	1	3	6					
		3.58%	3.85%	4.91%	3.40%	2.77%	2.64%	4.22%	5.88%	2.95%	3.95%	3.33%	4.79%	3.81%	3.95%	3.27%	6.96%	4.84%	3.77%	3.88%	2.72%	3.55%	4.04%	2.17%	2.58%	2.39%	0.35%	1.31%	1.79%					
30	"13. ""Демократическая партия России"""	28	4	2	0	1	0	1	3	2	1	0	0	3	2	0	0	0	0	0	1	1	0	1	3	1	0	1	1					
		0.21%	0.38%	0.54%	0.0%	0.27%	0.0%	0.11%	0.67%	0.59%	0.10%	0.0%	0.0%	0.54%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.18%	0.0%	0.27%	0.48%	0.29%	0.0%	0.43%	0.29%					
31	"14. ""Великая Россия - Евразийский Союз"""	36	4	2	0	2	0	5	2	3	1	1	0	0	2	0	0	1	4	1	1	1	0	3	0	1	0	0	2					
		0.27%	0.38%	0.54%	0.0%	0.55%	0.0%	0.57%	0.45%	0.88%	0.10%	0.37%	0.0%	0.0%	0.21%	0.0%	0.0%	0.20%	0.65%	0.25%	0.20%	0.18%	0.0%	0.81%	0.0%	0.29%	0.0%	0.0%	0.59%					
32	"15. ""Партия СЛОН"""	18	2	0	1	0	1	2	1	0	1	1	0	0	1	1	0	0	0	2	1	1	0	0	1	1	1	0	0					
		0.13%	0.19%	0.0%	0.24%	0.0%	0.37%	0.22%	0.22%	0.0%	0.10%	0.37%	0.0%	0.0%	0.10%	0.13%	0.0%	0.0%	0.0%	0.51%	0.20%	0.18%	0.0%	0.0%	0.16%	0.29%	0.35%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	821	68	30	28	27	17	68	23	24	55	9	11	28	70	54	21	37	40	28	23	24	16	18	38	11	17	12	24					
		6.34%	6.55%	8.19%	6.81%	7.5%	6.41%	7.76%	5.20%	7.10%	6.03%	3.33%	7.53%	5.08%	7.48%	7.06%	8.60%	7.47%	6.55%	7.25%	4.82%	4.49%	4.62%	4.89%	6.12%	3.29%	6.04%	5.26%	7.18%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	70	6	5	3	1	3	2	0	0	5	4	0	0	5	0	1	13	2	5	1	2	2	5	3	1	0	0	1					
		0.54%	0.57%	1.36%	0.72%	0.27%	1.13%	0.22%	0.0%	0.0%	0.54%	1.48%	0.0%	0.0%	0.53%	0.0%	0.40%	2.62%	0.32%	1.29%	0.20%	0.37%	0.57%	1.35%	0.48%	0.29%	0.0%	0.0%	0.29%					
35	"18. ""ЛДПР"""	2107	192	54	78	57	54	97	57	46	147	44	26	97	122	139	22	68	109	65	80	114	49	65	94	70	45	61	55					
		16.29%	18.49%	14.75%	18.97%	15.83%	20.37%	11.07%	12.89%	13.60%	16.13%	16.29%	17.80%	17.60%	13.04%	18.19%	9.01%	13.73%	17.86%	16.83%	16.77%	21.34%	14.16%	17.66%	15.16%	20.95%	16.01%	26.75%	16.46%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	231	9	13	10	1	5	7	8	7	13	3	2	11	16	14	4	8	9	9	14	12	0	11	18	5	9	4	9					
		1.78%	0.86%	3.55%	2.43%	0.27%	1.88%	0.79%	1.80%	2.07%	1.42%	1.11%	1.36%	1.99%	1.71%	1.83%	1.63%	1.61%	1.47%	2.33%	2.93%	2.24%	0.0%	2.98%	2.90%	1.49%	3.20%	1.75%	2.69%					
37	"20. ""Политическая партия ""Единая Россия"""	4349	340	102	146	124	95	313	142	107	292	94	41	204	288	231	83	165	191	150	168	182	133	124	216	120	108	71	119					
		33.63%	32.75%	27.86%	35.52%	34.44%	35.84%	35.73%	32.12%	31.65%	32.05%	34.81%	28.08%	37.02%	30.80%	30.23%	34.01%	33.33%	31.31%	38.86%	35.22%	34.08%	38.43%	33.69%	34.83%	35.92%	38.43%	31.14%	35.62%					
38	"21. ""Российская Конституционно-демократическая партия"""	32	6	0	3	2	0	4	2	1	3	0	0	1	2	1	1	0	0	0	3	0	0	0	3	0	0	0	0					
		0.24%	0.57%	0.0%	0.72%	0.55%	0.0%	0.45%	0.45%	0.29%	0.32%	0.0%	0.0%	0.18%	0.21%	0.13%	0.40%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	26	5	0	0	0	2	1	0	0	1	0	1	2	1	0	0	4	3	0	1	1	0	1	0	1	0	2	0					
		0.20%	0.48%	0.0%	0.0%	0.0%	0.75%	0.11%	0.0%	0.0%	0.10%	0.0%	0.68%	0.36%	0.10%	0.0%	0.0%	0.80%	0.49%	0.0%	0.20%	0.18%	0.0%	0.27%	0.0%	0.29%	0.0%	0.87%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2026	100	56	52	50	26	154	80	56	138	37	25	71	176	137	30	84	85	45	81	79	56	72	117	66	41	48	64					
		15.66%	9.63%	15.30%	12.65%	13.88%	9.81%	17.57%	18.09%	16.56%	15.14%	13.70%	17.12%	12.88%	18.82%	17.93%	12.29%	16.96%	13.93%	11.65%	16.98%	14.79%	16.18%	19.56%	18.87%	19.76%	14.59%	21.05%	19.16%					
																																		
41	Против всех	379	69	9	10	5	10	21	24	12	28	9	3	19	34	17	7	0	18	5	13	9	11	7	14	4	9	4	8					
		2.93%	6.64%	2.45%	2.43%	1.38%	3.77%	2.39%	5.42%	3.55%	3.07%	3.33%	2.05%	3.44%	3.63%	2.22%	2.86%	0.0%	2.95%	1.29%	2.72%	1.68%	3.17%	1.90%	2.25%	1.19%	3.20%	1.75%	2.39%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
